Timestamp	Age	Gender	Height
'2/3/2017 14:35:29'	25	'Male'	183
'2/3/2017 14:40:08'	25	'Female'	170
'2/3/2017 15:11:44'	24	'Male'	178
'2/3/2017 15:12:00'	27	'Female'	160
'2/3/2017 15:12:12'	21	'Female'	166
'2/3/2017 15:56:21'	30	'Man'	172
'2/3/2017 16:06:32'	22	'Female'	165.6
'2/3/2017 16:15:53'	19	'Male'	190
'2/3/2017 16:25:12'	23	'male'	178.9
'2/3/2017 16:25:29'	27	'male'	169.8
'2/7/2017 17:41:35'	23	'male'	177.9
'2/20/2017 12:13:33'	31	'male'	185
'2/22/2017 14:04:34'	29	'male'	186
'2/23/2017 15:00:33'	22	'Male'	177
'2/23/2017 15:00:36'	23	'Female'	165
'2/23/2017 15:01:21'	39	'male'	165
'2/23/2017 15:01:46'	25	'other'	161
'2/23/2017 15:01:34'	24	'female'	167
'2/23/2017 15:20:52'	12	'Female'	201
'2/23/2017 15:52:14'	27	'Male'	172
'2/23/2017 16:16:31'	26	'male'	182.3
'2/23/2017 16:17:12'	22	'female'	163
'2/23/2017 16:18:40'	23	'female'	171
