Category: All categories

Week,lockdown: (United States),minecraft: (United States)
2020-01-05,1,37
2020-01-12,1,36
2020-01-19,1,38
2020-01-26,2,35
2020-02-02,1,38
2020-02-09,1,41
2020-02-16,1,41
2020-02-23,2,38
2020-03-01,2,38
2020-03-08,13,43
2020-03-15,100,71
2020-03-22,80,80
2020-03-29,35,79
2020-04-05,17,77
2020-04-12,16,76
2020-04-19,16,75
2020-04-26,16,72
2020-05-03,12,67
2020-05-10,14,66
2020-05-17,11,67
2020-05-24,8,71
2020-05-31,8,64
2020-06-07,5,65
2020-06-14,5,60
2020-06-21,5,82
2020-06-28,6,78
2020-07-05,5,70
2020-07-12,8,69
2020-07-19,4,69
2020-07-26,3,70
2020-08-02,3,65
2020-08-09,3,65
2020-08-16,3,59
2020-08-23,3,56
2020-08-30,3,52
2020-09-06,3,53
2020-09-13,3,51
2020-09-20,4,48
2020-09-27,3,53
2020-10-04,3,58
2020-10-11,4,51
2020-10-18,4,52
2020-10-25,7,50
2020-11-01,8,43
2020-11-08,16,51
2020-11-15,28,53
2020-11-22,10,64
2020-11-29,13,57
2020-12-06,15,58
2020-12-13,7,60
2020-12-20,6,73
2020-12-27,5,72
