Word	Armenian-hy	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	շեղում	0.385	0.407	0.288
abacus	անբավարարություն	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	լքել	0.052	0.519	0.245
abandoned	լքված	0.046	0.481	0.130
abandonment	հրաժարվելով	0.128	0.430	0.202
abashed	ցնցված	0.177	0.644	0.307
abate	քանդել	0.255	0.696	0.604
abatement	նվազեցում	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	Աբբեյ	0.580	0.367	0.444
abbot	աբբոթ	0.427	0.321	0.483
abbreviate	կրճատել	0.531	0.375	0.330
abbreviation	հապավումը	0.469	0.306	0.345
abdomen	որովայնը	0.469	0.462	0.471
abdominal	որովայնային	0.490	0.456	0.445
abduct	առեւանգում	0.173	0.720	0.615
abduction	առեւանգում	0.062	0.990	0.673
aberrant	անպտուղ	0.146	0.765	0.431
aberration	ավերումը	0.125	0.816	0.417
abeyance	անհանգստություն	0.330	0.510	0.292
abhor	զզվելի	0.125	0.602	0.349
abhorrence	նենգություն	0.167	0.684	0.420
abhorrent	նողկալի	0.229	0.750	0.474
abide	մնացեք	0.635	0.354	0.705
abiding	անընդհատ	0.796	0.327	0.750
ability	կարողություն	0.875	0.510	0.816
abject	խաբեություն	0.354	0.590	0.417
ablation	աբլյացիան	0.418	0.500	0.500
ablaze	կործանում	0.240	0.847	0.525
able	կարող	0.786	0.500	0.810
abnormal	աննորմալ	0.137	0.604	0.309
abnormality	աննորմալություն	0.092	0.655	0.383
aboard	երկայնքով	0.698	0.284	0.481
abode	բնակություն հաստատելու համար	0.620	0.302	0.500
abolish	վերացնել	0.448	0.615	0.529
abolition	վերացնելը	0.323	0.690	0.529
abominable	նողկալի	0.120	0.731	0.482
abominate	խաբեություն	0.198	0.788	0.366
abomination	նողկանք	0.078	0.755	0.518
aboriginal	բնիկ	0.448	0.427	0.542
abort	անջատել	0.153	0.686	0.429
abortion	աբորտ	0.082	0.770	0.283
abortive	անբավարար	0.090	0.776	0.280
abound	ընդարձակ	0.704	0.490	0.681
abovementioned	վերը նշված	0.541	0.298	0.509
abracadabra	Աբրահամյան	0.673	0.632	0.434
abrasion	քայքայում	0.406	0.592	0.441
abrasive	հղկող	0.392	0.610	0.593
abreast	ընդմիշտ	0.635	0.380	0.519
abroad	արտերկրում	0.677	0.596	0.561
abrogate	վերացնելը	0.327	0.510	0.594
abrupt	կտրուկ	0.271	0.819	0.545
abruptly	կտրուկ	0.250	0.808	0.556
abscess	անբավարարություն	0.154	0.451	0.349
absence	բացակայություն	0.153	0.235	0.266
absent	բացակայում է	0.177	0.221	0.116
absentee	բացակա	0.235	0.330	0.279
absenteeism	բացակայություն	0.404	0.273	0.357
absinthe	Աբսթիֆը	0.481	0.510	0.462
absolute	բացարձակ	0.526	0.510	0.827
absolution	անհեթեթություն	0.715	0.500	0.664
absolve	բացարձակ	0.684	0.449	0.660
absorb	կլանել	0.469	0.558	0.670
absorbed	կլանված	0.490	0.471	0.519
absorbent	ներծծող	0.552	0.394	0.718
absorbing	կլանող	0.490	0.490	0.578
absorption	կլանում	0.609	0.422	0.446
abstain	ձեռնպահ մնալ	0.385	0.385	0.427
abstention	ձեռնպահ մնալուց	0.271	0.264	0.509
abstinence	ձեռնպահ մնալով	0.260	0.392	0.429
abstract	վերացական	0.438	0.292	0.444
abstraction	Աբստրակցիա	0.469	0.439	0.525
absurd	անհեթեթ	0.188	0.656	0.284
absurdity	անհեթեթություն	0.115	0.528	0.227
abundance	առատություն	0.812	0.690	0.852
abundant	առատ	0.958	0.590	0.760
abuse	չարաշահում	0.071	0.873	0.469
abused	չարաշահել	0.021	0.874	0.235
abusive	չարաշահող	0.125	0.903	0.567
abutment	ամբարտակը	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	անբարոյական	0.250	0.710	0.598
abyss	անդունդ	0.353	0.725	0.296
academic	ակադեմիական	0.781	0.420	0.812
academy	ակադեմիա	0.704	0.473	0.792
accede	միանալը	0.698	0.510	0.537
accelerant	արագացնող	0.643	0.844	0.802
accelerate	արագացնել	0.615	0.902	0.759
accelerated	արագացված	0.610	0.812	0.682
acceleration	արագացումը	0.704	0.905	0.843
accelerator	արագացուցիչ	0.593	0.830	0.812
accent	շեշտը	0.598	0.357	0.509
accentuate	ընդգծում	0.673	0.556	0.667
accept	ընդունել	0.847	0.286	0.565
acceptable	ընդունելի	0.812	0.286	0.583
acceptance	ընդունում	0.833	0.287	0.755
acceptances	ընդունումներ	0.847	0.413	0.648
access	մուտք	0.714	0.472	0.567
accessible	մատչելի	0.796	0.410	0.645
accession	միանալը	0.612	0.383	0.636
accessory	Աքսեսուարը	0.562	0.292	0.445
accident	վթար	0.125	0.908	0.336
accidental	պատահական	0.319	0.784	0.307
accidentally	պատահաբար	0.333	0.741	0.333
acclaim	վայելեք	0.562	0.809	0.718
accolade	մրցանակաբաշխություն	0.688	0.591	0.775
accommodate	տեղավորել	0.844	0.375	0.566
accommodation	բնակեցումը	0.817	0.415	0.587
accompaniment	ուղեկցությամբ	0.740	0.479	0.695
accompany	ուղեկցում	0.833	0.406	0.585
accompanying	ուղեկցող	0.787	0.460	0.582
accomplice	մեղադրյալ	0.408	0.580	0.510
accomplish	իրականացնել	0.929	0.673	0.816
accomplished	ավարտվեց	0.870	0.520	0.798
accomplishment	ավարտելը	0.917	0.694	0.888
accord	համաձայնություն	0.898	0.264	0.382
accordance	համաձայն	0.659	0.349	0.600
accordion	ակորդեոն	0.604	0.490	0.361
account	հաշիվը	0.531	0.347	0.472
accountability	պատասխանատվություն	0.755	0.537	0.833
accountable	հաշվետու	0.709	0.282	0.777
accountant	հաշվապահ	0.625	0.450	0.639
accounting	հաշվապահական հաշվառում	0.552	0.390	0.677
accounts	հաշիվներ	0.592	0.340	0.471
accredited	հավատարմագրված	0.669	0.479	0.768
accretion	ընդլայնում	0.448	0.519	0.672
accrue	հավաքել	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	կուտակվում	0.573	0.536	0.607
accumulation	կուտակումը	0.479	0.527	0.600
accuracy	ճշգրտություն	0.604	0.481	0.802
accurate	ճշգրիտ	0.743	0.360	0.737
accursed	անիծված	0.135	0.745	0.345
accusation	մեղադրանք	0.073	0.718	0.564
accusative	մեղադրող	0.198	0.755	0.482
accuse	մեղադրեց	0.133	0.752	0.500
accused	մեղադրյալը	0.130	0.670	0.420
accuser	մեղադրող	0.122	0.779	0.615
accusing	մեղադրելով	0.156	0.745	0.324
accustomed	սովոր	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	քացախ	0.333	0.420	0.519
acetylene	ացետիլեն	0.306	0.469	0.509
ache	ցավ	0.146	0.760	0.312
achieve	հասնել	0.816	0.545	0.843
achieved	հասնելը	0.896	0.519	0.775
achievement	ձեռքբերումը	0.896	0.808	0.759
aching	ցավոտ	0.053	0.880	0.348
achy	ցավոտ	0.167	0.840	0.373
acid	թթու	0.265	0.642	0.566
acidity	թթվայնությունը	0.156	0.663	0.360
acknowledge	ընդունեք	0.786	0.370	0.661
acknowledged	ընդունեց	0.714	0.443	0.765
acknowledgement	ճանաչում	0.819	0.539	0.830
acknowledgment	ճանաչում	0.796	0.528	0.777
acme	ակամա	0.408	0.435	0.375
acne	պզուկներ	0.167	0.474	0.308
acorn	կաղամբ	0.448	0.198	0.192
acoustic	ակուստիկ	0.542	0.462	0.536
acoustics	ակուստիկա	0.611	0.330	0.509
acquaint	ծանոթացնել	0.646	0.491	0.639
acquaintance	ծանոթություն	0.656	0.290	0.670
acquainted	ծանոթացավ	0.906	0.358	0.632
acquiescence	համաձայնությամբ	0.542	0.480	0.554
acquire	ձեռք բերեք	0.833	0.468	0.700
acquiring	ձեռք բերելու համար	0.735	0.510	0.817
acquisition	ձեռք բերում	0.698	0.509	0.736
acquisitions	ձեռքբերումներ	0.773	0.660	0.790
acquit	արդարացում	0.583	0.571	0.611
acquittal	արդարացում	0.760	0.497	0.700
acre	ակր	0.583	0.387	0.423
acreage	տարածք	0.741	0.450	0.528
acres	ակրքեր	0.510	0.363	0.500
acrobat	ակրոբատ	0.708	0.828	0.602
acrylic	ակրիլ	0.582	0.279	0.420
act	գործել	0.656	0.704	0.735
acting	գործողություն	0.698	0.643	0.500
action	գործողություն	0.760	0.898	0.802
action figure	գործողությունների ցուցանիշը	0.615	0.774	0.611
actionable	կիրառելի	0.673	0.702	0.613
activate	ակտիվացնել	0.764	0.650	0.806
activation	ակտիվացում	0.781	0.800	0.754
active	ակտիվ	0.847	0.730	0.731
activist	ակտիվիստ	0.531	0.653	0.877
activity	գործունեությունը	0.701	0.660	0.807
actor	դերասան	0.653	0.561	0.629
actress	դերասանուհի	0.633	0.556	0.596
actual	փաստացի	0.729	0.400	0.716
actuality	իրողությունը	0.750	0.464	0.600
actuary	դերասանուհի	0.510	0.404	0.491
acuity	կտրուկություն	0.469	0.378	0.741
acumen	հացադուլ	0.564	0.660	0.679
acupuncture	ասեղնաբուժություն	0.531	0.324	0.549
acute	սուր	0.427	0.652	0.534
acutely	կտրուկ	0.417	0.543	0.491
ad	Հայտարարություն	0.521	0.705	0.558
adage	կեղծիք	0.517	0.415	0.566
adamant	անհանգիստ	0.344	0.529	0.575
adapt	հարմարեցնել	0.740	0.355	0.551
adaptable	հարմարվողական	0.735	0.423	0.641
adaptation	հարմարեցում	0.663	0.365	0.609
add	ավելացրեք	0.728	0.490	0.554
added	ավելացրեց	0.562	0.405	0.509
addendum	հավելված	0.392	0.370	0.418
adder	հագեցած	0.388	0.461	0.588
