Word	Azeerbaijani-az	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	sanki	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	tərk et	0.052	0.519	0.245
abandoned	tərk etdi	0.046	0.481	0.130
abandonment	ləğv	0.128	0.430	0.202
abashed	xəyanət etdi	0.177	0.644	0.307
abate	boşaltın	0.255	0.696	0.604
abatement	azaldılması	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	abbot	0.427	0.321	0.483
abbreviate	qısaltmaq	0.531	0.375	0.330
abbreviation	kısaltma	0.469	0.306	0.345
abdomen	qarın	0.469	0.462	0.471
abdominal	qarın	0.490	0.456	0.445
abduct	qaçırmaq	0.173	0.720	0.615
abduction	qaçırma	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	nifrət	0.229	0.750	0.474
abide	riayət edin	0.635	0.354	0.705
abiding	əbədi	0.796	0.327	0.750
ability	bacarığı	0.875	0.510	0.816
abject	abd	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	yandırdılar	0.240	0.847	0.525
able	bacardı	0.786	0.500	0.810
abnormal	anormal	0.137	0.604	0.309
abnormality	anormallik	0.092	0.655	0.383
aboard	xaricdə	0.698	0.284	0.481
abode	məskunlaşma yeri	0.620	0.302	0.500
abolish	ləğv et	0.448	0.615	0.529
abolition	ləğv	0.323	0.690	0.529
abominable	qüsursuz	0.120	0.731	0.482
abominate	kədərlənmək	0.198	0.788	0.366
abomination	iyrənclik	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	abort	0.082	0.770	0.283
abortive	abortiv	0.090	0.776	0.280
abound	bolluq	0.704	0.490	0.681
abovementioned	yuxarıda qeyd olunan	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	aşınma	0.406	0.592	0.441
abrasive	aşındırıcı	0.392	0.610	0.593
abreast	ayağa qalxdılar	0.635	0.380	0.519
abroad	xaricdə	0.677	0.596	0.561
abrogate	qaçmaq	0.327	0.510	0.594
abrupt	kəskin	0.271	0.819	0.545
abruptly	Kobudcasına	0.250	0.808	0.556
abscess	absesi	0.154	0.451	0.349
absence	olmaması	0.153	0.235	0.266
absent	yoxdur	0.177	0.221	0.116
absentee	xaricində	0.235	0.330	0.279
absenteeism	pozulma	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	mütləq	0.526	0.510	0.827
absolution	absurd	0.715	0.500	0.664
absolve	mütləq	0.684	0.449	0.660
absorb	udmaq	0.469	0.558	0.670
absorbed	udulmuşdu	0.490	0.471	0.519
absorbent	emici	0.552	0.394	0.718
absorbing	udma	0.490	0.490	0.578
absorption	absorbsiya	0.609	0.422	0.446
abstain	çəkinməyin	0.385	0.385	0.427
abstention	qəsd	0.271	0.264	0.509
abstinence	əxlaqsızlıq	0.260	0.392	0.429
abstract	mücərrəd	0.438	0.292	0.444
abstraction	soyutma	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurdluq	0.115	0.528	0.227
abundance	bolluq	0.812	0.690	0.852
abundant	zəngin	0.958	0.590	0.760
abuse	sui-istifadə	0.071	0.873	0.469
abused	sui-istifadə	0.021	0.874	0.235
abusive	təhqiramiz	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	dəhşətli	0.250	0.710	0.598
abyss	uçurum	0.353	0.725	0.296
academic	akademik	0.781	0.420	0.812
academy	akademiya	0.704	0.473	0.792
accede	qoşulmaq	0.698	0.510	0.537
accelerant	sürətləndirici	0.643	0.844	0.802
accelerate	sürətləndirmək	0.615	0.902	0.759
accelerated	sürətləndi	0.610	0.812	0.682
acceleration	sürətləndirmək	0.704	0.905	0.843
accelerator	sürətləndirici	0.593	0.830	0.812
accent	vurğu	0.598	0.357	0.509
accentuate	vurğulamaq	0.673	0.556	0.667
accept	qəbul et	0.847	0.286	0.565
acceptable	məqbul	0.812	0.286	0.583
acceptance	qəbul	0.833	0.287	0.755
acceptances	qəbul edir	0.847	0.413	0.648
access	Giriş	0.714	0.472	0.567
accessible	əlçatan	0.796	0.410	0.645
accession	qoşulma	0.612	0.383	0.636
accessory	Aksesuar	0.562	0.292	0.445
accident	qəza	0.125	0.908	0.336
accidental	təsadüfən	0.319	0.784	0.307
accidentally	təsadüfən	0.333	0.741	0.333
acclaim	bəyənmə	0.562	0.809	0.718
accolade	mükafat	0.688	0.591	0.775
accommodate	yerləşdirmək	0.844	0.375	0.566
accommodation	yaşayış	0.817	0.415	0.587
accompaniment	müşayiət	0.740	0.479	0.695
accompany	müşayiət edir	0.833	0.406	0.585
accompanying	müşayiət edən	0.787	0.460	0.582
accomplice	tərəfdaş	0.408	0.580	0.510
accomplish	yerinə yetirmək	0.929	0.673	0.816
accomplished	həyata keçirildi	0.870	0.520	0.798
accomplishment	nailiyyət	0.917	0.694	0.888
accord	uyğunluq	0.898	0.264	0.382
accordance	uyğun	0.659	0.349	0.600
accordion	akordeon	0.604	0.490	0.361
account	hesab	0.531	0.347	0.472
accountability	hesabatlılıq	0.755	0.537	0.833
accountable	hesabat verə bilər	0.709	0.282	0.777
accountant	mühasib	0.625	0.450	0.639
accounting	mühasibat	0.552	0.390	0.677
accounts	hesablar	0.592	0.340	0.471
accredited	akkreditə olunmuşdur	0.669	0.479	0.768
accretion	artım	0.448	0.519	0.672
accrue	yığmaq	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	toplamaq	0.573	0.536	0.607
accumulation	akkumulyasiya	0.479	0.527	0.600
accuracy	dəqiqlik	0.604	0.481	0.802
accurate	dəqiqlik	0.743	0.360	0.737
accursed	lənətlənmişdir	0.135	0.745	0.345
accusation	ittiham	0.073	0.718	0.564
accusative	ittiham edir	0.198	0.755	0.482
accuse	ittiham etmək	0.133	0.752	0.500
accused	şübhəli	0.130	0.670	0.420
accuser	təqsirləndirən	0.122	0.779	0.615
accusing	ittiham edir	0.156	0.745	0.324
accustomed	alışmış	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	sirkə	0.333	0.420	0.519
acetylene	asetilen	0.306	0.469	0.509
ache	acı	0.146	0.760	0.312
achieve	nail olmaq	0.816	0.545	0.843
achieved	nail oldu	0.896	0.519	0.775
achievement	nailiyyət	0.896	0.808	0.759
aching	ağrı	0.053	0.880	0.348
achy	acıqlı	0.167	0.840	0.373
acid	turşu	0.265	0.642	0.566
acidity	turşuluq	0.156	0.663	0.360
acknowledge	etiraf et	0.786	0.370	0.661
acknowledged	etiraf etdi	0.714	0.443	0.765
acknowledgement	etiraf	0.819	0.539	0.830
acknowledgment	etiraf	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	sızanaq	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	akustik	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	tanış ol	0.646	0.491	0.639
acquaintance	tanışlıq	0.656	0.290	0.670
acquainted	tanış oldum	0.906	0.358	0.632
acquiescence	razılıq	0.542	0.480	0.554
acquire	əldə etmek	0.833	0.468	0.700
acquiring	əldə etmək	0.735	0.510	0.817
acquisition	satın alma	0.698	0.509	0.736
acquisitions	satın almalar	0.773	0.660	0.790
acquit	bəraət et	0.583	0.571	0.611
acquittal	bəraət	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	dönər	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akril	0.582	0.279	0.420
act	hərəkət et	0.656	0.704	0.735
acting	fəaliyyət göstərən	0.698	0.643	0.500
action	hərəkət	0.760	0.898	0.802
action figure	hərəkət rəqəmi	0.615	0.774	0.611
actionable	hərəkətli	0.673	0.702	0.613
activate	aktivləşdirin	0.764	0.650	0.806
activation	aktivləşdirmə	0.781	0.800	0.754
active	aktiv	0.847	0.730	0.731
activist	aktivist	0.531	0.653	0.877
activity	fəaliyyəti	0.701	0.660	0.807
actor	aktyor	0.653	0.561	0.629
actress	aktrisa	0.633	0.556	0.596
actual	faktiki	0.729	0.400	0.716
actuality	aktuallıq	0.750	0.464	0.600
actuary	aktuar	0.510	0.404	0.491
acuity	kəskinlik	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	akupunktur	0.531	0.324	0.549
acute	kəskin	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	reklam	0.521	0.705	0.558
adage	adadır	0.517	0.415	0.566
adamant	hörmətli	0.344	0.529	0.575
adapt	uyğunlaşmaq	0.740	0.355	0.551
adaptable	uyarlanabilir	0.735	0.423	0.641
adaptation	uyğunlaşma	0.663	0.365	0.609
add	əlavə edin	0.728	0.490	0.554
added	əlavə etdi	0.562	0.405	0.509
addendum	əlavə et	0.392	0.370	0.418
adder	tacir	0.388	0.461	0.588
addict	addict	0.075	0.696	0.327
addicted	asılılıq	0.156	0.712	0.483
addiction	asılılıq	0.180	0.806	0.420
addictive	asılılıq	0.302	0.683	0.472
addition	Əlavə	0.562	0.373	0.471
additional	Əlavə	0.673	0.462	0.526
additive	əlavəçi	0.561	0.633	0.691
address	ünvanı	0.650	0.327	0.567
addressee	alıcı	0.622	0.382	0.538
addresses	ünvanları	0.510	0.354	0.450
adept	usta	0.594	0.539	0.789
