Word	Bulgarian-bg	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	вид юж.-афр. мравояд	0.427	0.490	0.437
aback	изненадан	0.385	0.407	0.288
abacus	Абак	0.510	0.276	0.485
abalone	морски охлюви	0.500	0.480	0.412
abandon	изоставят	0.052	0.519	0.245
abandoned	изоставен	0.046	0.481	0.130
abandonment	изоставяне	0.128	0.430	0.202
abashed	смутен	0.177	0.644	0.307
abate	отменям	0.255	0.696	0.604
abatement	намаляване	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	абатство	0.580	0.367	0.444
abbot	игумен	0.427	0.321	0.483
abbreviate	съкращавам	0.531	0.375	0.330
abbreviation	съкращение	0.469	0.306	0.345
abdomen	корем	0.469	0.462	0.471
abdominal	коремен	0.490	0.456	0.445
abduct	отклонявам	0.173	0.720	0.615
abduction	отвличане	0.062	0.990	0.673
aberrant	анормален	0.146	0.765	0.431
aberration	аберация	0.125	0.816	0.417
abeyance	безстопанственост	0.330	0.510	0.292
abhor	ненавиждам	0.125	0.602	0.349
abhorrence	отвращение	0.167	0.684	0.420
abhorrent	отблъскващ	0.229	0.750	0.474
abide	стоя	0.635	0.354	0.705
abiding	траен	0.796	0.327	0.750
ability	способност	0.875	0.510	0.816
abject	жалък	0.354	0.590	0.417
ablation	ампутация	0.418	0.500	0.500
ablaze	пламнал	0.240	0.847	0.525
able	способен	0.786	0.500	0.810
abnormal	анормален	0.137	0.604	0.309
abnormality	аномалия	0.092	0.655	0.383
aboard	на борда	0.698	0.284	0.481
abode	жилище	0.620	0.302	0.500
abolish	премахване	0.448	0.615	0.529
abolition	премахване	0.323	0.690	0.529
abominable	отвратителен	0.120	0.731	0.482
abominate	ненавиждам	0.198	0.788	0.366
abomination	мерзост	0.078	0.755	0.518
aboriginal	абориген	0.448	0.427	0.542
abort	осуетявам	0.153	0.686	0.429
abortion	аборт	0.082	0.770	0.283
abortive	неуспешен	0.090	0.776	0.280
abound	изобилстват	0.704	0.490	0.681
abovementioned	гореспоменат	0.541	0.298	0.509
abracadabra	заклинание	0.673	0.632	0.434
abrasion	износване	0.406	0.592	0.441
abrasive	абразив	0.392	0.610	0.593
abreast	редом	0.635	0.380	0.519
abroad	в чужбина	0.677	0.596	0.561
abrogate	отменям	0.327	0.510	0.594
abrupt	рязък	0.271	0.819	0.545
abruptly	рязко	0.250	0.808	0.556
abscess	абсцес	0.154	0.451	0.349
absence	отсъствие	0.153	0.235	0.266
absent	отсъстващ	0.177	0.221	0.116
absentee	отсъствуващ	0.235	0.330	0.279
absenteeism	често отсъствие от работа	0.404	0.273	0.357
absinthe	абсент	0.481	0.510	0.462
absolute	абсолютен	0.526	0.510	0.827
absolution	опрощение на греховете	0.715	0.500	0.664
absolve	опрощавам	0.684	0.449	0.660
absorb	абсорбират	0.469	0.558	0.670
absorbed	погълнат	0.490	0.471	0.519
absorbent	абсорбент	0.552	0.394	0.718
absorbing	увлекателен	0.490	0.490	0.578
absorption	абсорбция	0.609	0.422	0.446
abstain	въздържа	0.385	0.385	0.427
abstention	въздържание	0.271	0.264	0.509
abstinence	въздържане	0.260	0.392	0.429
abstract	абстрактен	0.438	0.292	0.444
abstraction	абстракция	0.469	0.439	0.525
absurd	абсурд	0.188	0.656	0.284
absurdity	абсурд	0.115	0.528	0.227
abundance	изобилие	0.812	0.690	0.852
abundant	изобилен	0.958	0.590	0.760
abuse	злоупотреба	0.071	0.873	0.469
abused	злоупотребява	0.021	0.874	0.235
abusive	обиден	0.125	0.903	0.567
abutment	подпора	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	бездънен	0.250	0.710	0.598
abyss	бездна	0.353	0.725	0.296
academic	академичен	0.781	0.420	0.812
academy	академия	0.704	0.473	0.792
accede	се присъедини	0.698	0.510	0.537
accelerant	ускорител	0.643	0.844	0.802
accelerate	ускоряване	0.615	0.902	0.759
accelerated	ускорено	0.610	0.812	0.682
acceleration	ускорение	0.704	0.905	0.843
accelerator	ускорител	0.593	0.830	0.812
accent	акцент	0.598	0.357	0.509
accentuate	наблягам	0.673	0.556	0.667
accept	приемам	0.847	0.286	0.565
acceptable	приемлив	0.812	0.286	0.583
acceptance	приемане	0.833	0.287	0.755
acceptances	приемания	0.847	0.413	0.648
access	достъп	0.714	0.472	0.567
accessible	достъпен	0.796	0.410	0.645
accession	достъп	0.612	0.383	0.636
accessory	аксесоар	0.562	0.292	0.445
accident	злополука	0.125	0.908	0.336
accidental	случаен	0.319	0.784	0.307
accidentally	случайно	0.333	0.741	0.333
acclaim	аплодирам	0.562	0.809	0.718
accolade	похвала	0.688	0.591	0.775
accommodate	настанят	0.844	0.375	0.566
accommodation	настаняване	0.817	0.415	0.587
accompaniment	съпровод	0.740	0.479	0.695
accompany	придружавам	0.833	0.406	0.585
accompanying	придружаващ	0.787	0.460	0.582
accomplice	съучастник	0.408	0.580	0.510
accomplish	постигне	0.929	0.673	0.816
accomplished	осъществен	0.870	0.520	0.798
accomplishment	постижение	0.917	0.694	0.888
accord	съгласие	0.898	0.264	0.382
accordance	съответствие	0.659	0.349	0.600
accordion	акордеон	0.604	0.490	0.361
account	сметка	0.531	0.347	0.472
accountability	отговорност	0.755	0.537	0.833
accountable	отговорен	0.709	0.282	0.777
accountant	касиер счетоводител	0.625	0.450	0.639
accounting	счетоводство	0.552	0.390	0.677
accounts	сметки	0.592	0.340	0.471
accredited	акредитиран	0.669	0.479	0.768
accretion	натрупване	0.448	0.519	0.672
accrue	натрупват	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	натрупват	0.573	0.536	0.607
accumulation	натрупване	0.479	0.527	0.600
accuracy	точност	0.604	0.481	0.802
accurate	точен	0.743	0.360	0.737
accursed	проклет	0.135	0.745	0.345
accusation	обвинение	0.073	0.718	0.564
accusative	винителен	0.198	0.755	0.482
accuse	обвинявам	0.133	0.752	0.500
accused	обвинен	0.130	0.670	0.420
accuser	обвинител	0.122	0.779	0.615
accusing	обвинявайки	0.156	0.745	0.324
accustomed	обичаен	0.542	0.365	0.441
ace	ас	0.643	0.481	0.546
acetic	оцетен	0.333	0.420	0.519
acetylene	ацетилен	0.306	0.469	0.509
ache	болка	0.146	0.760	0.312
achieve	постигане	0.816	0.545	0.843
achieved	постигнати	0.896	0.519	0.775
achievement	постижение	0.896	0.808	0.759
aching	болеше	0.053	0.880	0.348
achy	схванат	0.167	0.840	0.373
acid	киселина	0.265	0.642	0.566
acidity	киселинност	0.156	0.663	0.360
acknowledge	потвърждавам	0.786	0.370	0.661
acknowledged	призната	0.714	0.443	0.765
acknowledgement	признание	0.819	0.539	0.830
acknowledgment	признание	0.796	0.528	0.777
acme	връхна точка	0.408	0.435	0.375
acne	акне	0.167	0.474	0.308
acorn	жълъд	0.448	0.198	0.192
acoustic	акустичен	0.542	0.462	0.536
acoustics	акустика	0.611	0.330	0.509
acquaint	запознае	0.646	0.491	0.639
acquaintance	познат	0.656	0.290	0.670
acquainted	запознат	0.906	0.358	0.632
acquiescence	примирение	0.542	0.480	0.554
acquire	придобивам	0.833	0.468	0.700
acquiring	придобиване	0.735	0.510	0.817
acquisition	придобиване	0.698	0.509	0.736
acquisitions	придобивания	0.773	0.660	0.790
acquit	уреждам	0.583	0.571	0.611
acquittal	оправдателна присъда	0.760	0.497	0.700
acre	акър	0.583	0.387	0.423
acreage	площ	0.741	0.450	0.528
acres	акра	0.510	0.363	0.500
acrobat	акробат	0.708	0.828	0.602
acrylic	акрил	0.582	0.279	0.420
act	акт	0.656	0.704	0.735
acting	актьорско майсторство	0.698	0.643	0.500
action	действие	0.760	0.898	0.802
action figure	фигура за действие	0.615	0.774	0.611
actionable	действена	0.673	0.702	0.613
activate	активирате	0.764	0.650	0.806
activation	активиране	0.781	0.800	0.754
active	активен	0.847	0.730	0.731
activist	деец	0.531	0.653	0.877
activity	дейност	0.701	0.660	0.807
actor	актьор	0.653	0.561	0.629
actress	актриса	0.633	0.556	0.596
actual	действителен	0.729	0.400	0.716
actuality	действителност	0.750	0.464	0.600
actuary	статистик	0.510	0.404	0.491
acuity	проницателност	0.469	0.378	0.741
acumen	проницателност	0.564	0.660	0.679
acupuncture	акупунктура	0.531	0.324	0.549
acute	остър	0.427	0.652	0.534
acutely	остро	0.417	0.543	0.491
ad	реклама	0.521	0.705	0.558
adage	поговорка	0.517	0.415	0.566
adamant	непреклонен	0.344	0.529	0.575
adapt	адаптира	0.740	0.355	0.551
adaptable	приспособим	0.735	0.423	0.641
adaptation	адаптация	0.663	0.365	0.609
add	добави	0.728	0.490	0.554
added	добавен	0.562	0.405	0.509
addendum	допълнение	0.392	0.370	0.418
adder	усойница	0.388	0.461	0.588
addict	наркоман	0.075	0.696	0.327
addicted	пристрастен	0.156	0.712	0.483
addiction	пристрастяване	0.180	0.806	0.420
addictive	пристрастяване	0.302	0.683	0.472
addition	допълнение	0.562	0.373	0.471
additional	допълнителен	0.673	0.462	0.526
additive	добавъчен	0.561	0.633	0.691
address	адрес	0.650	0.327	0.567
addressee	адресат	0.622	0.382	0.538
addresses	адреси	0.510	0.354	0.450
adept	вещ	0.594	0.539	0.789
adequacy	адекватност	0.615	0.435	0.702
adequate	адекватен	0.854	0.264	0.705
adhere	се придържат	0.633	0.339	0.554
adherence	придържане	0.760	0.307	0.630
adherent	привърженик	0.561	0.385	0.555
adhering	придържайки	0.612	0.561	0.537
adhesion	адхезия	0.521	0.445	0.586
adhesive	лепило	0.604	0.350	0.413
adieu	сбогом	0.250	0.471	0.342
adipose	мастната	0.333	0.350	0.391
adjacency	съседство	0.365	0.417	0.375
adjacent	съседен	0.645	0.276	0.536
