Word	Gujarati-gu	Valence	Arousal	Dominance
aaaaaaah	આયાઆહહ	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	આર્ડવર્ક	0.427	0.490	0.437
aback	અચાનક	0.385	0.407	0.288
abacus	એબાસ	0.510	0.276	0.485
abalone	અબાલોન	0.500	0.480	0.412
abandon	છોડી દો	0.052	0.519	0.245
abandoned	ત્યજી	0.046	0.481	0.130
abandonment	પરિત્યાગ	0.128	0.430	0.202
abashed	શરમજનક	0.177	0.644	0.307
abate	ઓછું કરવું	0.255	0.696	0.604
abatement	ઘટાડા	0.388	0.338	0.336
abba	અબા	0.562	0.500	0.480
abbey	એબી	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	સંક્ષિપ્ત	0.531	0.375	0.330
abbreviation	સંક્ષેપ	0.469	0.306	0.345
abdomen	પેટ	0.469	0.462	0.471
abdominal	પેટની	0.490	0.456	0.445
abduct	અપહરણ	0.173	0.720	0.615
abduction	અપહરણ	0.062	0.990	0.673
aberrant	બદનક્ષી	0.146	0.765	0.431
aberration	વિચલન	0.125	0.816	0.417
abeyance	સ્થગિતતા	0.330	0.510	0.292
abhor	તિરસ્કારવું	0.125	0.602	0.349
abhorrence	દ્વેષ	0.167	0.684	0.420
abhorrent	ઘૃણાસ્પદ	0.229	0.750	0.474
abide	પાલન	0.635	0.354	0.705
abiding	પાલન	0.796	0.327	0.750
ability	ક્ષમતા	0.875	0.510	0.816
abject	નબળું	0.354	0.590	0.417
ablation	ઘટાડામાં	0.418	0.500	0.500
ablaze	પ્રજ્વલિત	0.240	0.847	0.525
able	સક્ષમ	0.786	0.500	0.810
abnormal	અસામાન્ય	0.137	0.604	0.309
abnormality	અસાધારણતા	0.092	0.655	0.383
aboard	વહાણમાં	0.698	0.284	0.481
abode	ઘર	0.620	0.302	0.500
abolish	નાબૂદ કરો	0.448	0.615	0.529
abolition	નાબૂદી	0.323	0.690	0.529
abominable	ઘૃણાસ્પદ	0.120	0.731	0.482
abominate	ધિક્કારવું	0.198	0.788	0.366
abomination	નફરત	0.078	0.755	0.518
aboriginal	આદિમ	0.448	0.427	0.542
abort	બંધ કરો	0.153	0.686	0.429
abortion	ગર્ભપાત	0.082	0.770	0.283
abortive	નિષ્ક્રિય	0.090	0.776	0.280
abound	ભરપૂર	0.704	0.490	0.681
abovementioned	ઉપર ઉલ્લેખ કર્યો છે	0.541	0.298	0.509
abracadabra	અબરકાદાબ્રા	0.673	0.632	0.434
abrasion	ઘસારો	0.406	0.592	0.441
abrasive	ઘર્ષક	0.392	0.610	0.593
abreast	સબળ	0.635	0.380	0.519
abroad	વિદેશમાં	0.677	0.596	0.561
abrogate	રદબાતલ	0.327	0.510	0.594
abrupt	આકસ્મિક	0.271	0.819	0.545
abruptly	અચાનક	0.250	0.808	0.556
abscess	ફોલ્લો	0.154	0.451	0.349
absence	ગેરહાજરી	0.153	0.235	0.266
absent	ગેરહાજર	0.177	0.221	0.116
absentee	ગેરહાજર	0.235	0.330	0.279
absenteeism	ગેરહાજરી	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	નિરપેક્ષ	0.526	0.510	0.827
absolution	ગેરવસૂલી	0.715	0.500	0.664
absolve	મુક્ત કરવું	0.684	0.449	0.660
absorb	શોષણ કરે છે	0.469	0.558	0.670
absorbed	શોષણ	0.490	0.471	0.519
absorbent	શોષક	0.552	0.394	0.718
absorbing	શોષણ	0.490	0.490	0.578
absorption	શોષણ	0.609	0.422	0.446
abstain	દૂર રહો	0.385	0.385	0.427
abstention	પ્રતિબંધ	0.271	0.264	0.509
abstinence	ત્યાગ	0.260	0.392	0.429
abstract	અમૂર્ત	0.438	0.292	0.444
abstraction	અદ્રશ્ય	0.469	0.439	0.525
absurd	વાહિયાત	0.188	0.656	0.284
absurdity	કઢંગાપણું	0.115	0.528	0.227
abundance	વિપુલતા	0.812	0.690	0.852
abundant	વિપુલ પ્રમાણમાં	0.958	0.590	0.760
abuse	ગા ળ	0.071	0.873	0.469
abused	દુરુપયોગ	0.021	0.874	0.235
abusive	અપમાનજનક	0.125	0.903	0.567
abutment	શરણાગતિ	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	અપૂરતું	0.250	0.710	0.598
abyss	પાતાળ	0.353	0.725	0.296
academic	શૈક્ષણિક	0.781	0.420	0.812
academy	અકાદમી	0.704	0.473	0.792
accede	સ્વીકાર્યું	0.698	0.510	0.537
accelerant	પ્રવેગક	0.643	0.844	0.802
accelerate	વેગ	0.615	0.902	0.759
accelerated	પ્રવેગીય	0.610	0.812	0.682
acceleration	પ્રવેગ	0.704	0.905	0.843
accelerator	પ્રવેગક	0.593	0.830	0.812
accent	ઉચ્ચારણ	0.598	0.357	0.509
accentuate	ભાર મૂકે છે	0.673	0.556	0.667
accept	સ્વીકારવું	0.847	0.286	0.565
acceptable	સ્વીકાર્ય	0.812	0.286	0.583
acceptance	સ્વીકૃતિ	0.833	0.287	0.755
acceptances	સ્વીકાર	0.847	0.413	0.648
access	ઍક્સેસ	0.714	0.472	0.567
accessible	સુલભ	0.796	0.410	0.645
accession	પ્રવેશ	0.612	0.383	0.636
accessory	સહાયક	0.562	0.292	0.445
accident	અકસ્માત	0.125	0.908	0.336
accidental	આકસ્મિક	0.319	0.784	0.307
accidentally	અકસ્માતે	0.333	0.741	0.333
acclaim	પ્રશંસા	0.562	0.809	0.718
accolade	પ્રશંસા	0.688	0.591	0.775
accommodate	સમાવવા	0.844	0.375	0.566
accommodation	આવાસ	0.817	0.415	0.587
accompaniment	સાથ	0.740	0.479	0.695
accompany	સાથે	0.833	0.406	0.585
accompanying	સાથે	0.787	0.460	0.582
accomplice	સહ - અપરાધી	0.408	0.580	0.510
accomplish	પરિપૂર્ણ	0.929	0.673	0.816
accomplished	પરિપૂર્ણ	0.870	0.520	0.798
accomplishment	સિદ્ધિ	0.917	0.694	0.888
accord	સમજૂતી	0.898	0.264	0.382
accordance	અનુસાર	0.659	0.349	0.600
accordion	એકોર્ડિયન	0.604	0.490	0.361
account	એકાઉન્ટ	0.531	0.347	0.472
accountability	જવાબદારી	0.755	0.537	0.833
