Word	Hebrew-iw	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	נבוך	0.385	0.407	0.288
abacus	אַבַּקוּס	0.510	0.276	0.485
abalone	אָבָּלוֹנֶה	0.500	0.480	0.412
abandon	לִנְטוֹשׁ	0.052	0.519	0.245
abandoned	נָטוּשׁ	0.046	0.481	0.130
abandonment	נְטִישָׁה	0.128	0.430	0.202
abashed	נבוך	0.177	0.644	0.307
abate	לְשַׁכֵּך	0.255	0.696	0.604
abatement	הַפחָתָה	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	מִנזָר	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	לְקַצֵר	0.531	0.375	0.330
abbreviation	נוֹטָרִיקוֹן	0.469	0.306	0.345
abdomen	בֶּטֶן	0.469	0.462	0.471
abdominal	בִּטנִי	0.490	0.456	0.445
abduct	לַחטוֹף	0.173	0.720	0.615
abduction	חֲטִיפָה	0.062	0.990	0.673
aberrant	סוֹטֶה	0.146	0.765	0.431
aberration	סְטִיָה	0.125	0.816	0.417
abeyance	העמידה	0.330	0.510	0.292
abhor	לְתַעֵב	0.125	0.602	0.349
abhorrence	התיעוב	0.167	0.684	0.420
abhorrent	שָׂנוּא	0.229	0.750	0.474
abide	לציית	0.635	0.354	0.705
abiding	ציד	0.796	0.327	0.750
ability	יְכוֹלֶת	0.875	0.510	0.816
abject	בָּזוּי	0.354	0.590	0.417
ablation	כְּרִיתָה	0.418	0.500	0.500
ablaze	בָּאֵשׁ	0.240	0.847	0.525
able	יכול	0.786	0.500	0.810
abnormal	לֹא נוֹרמָלִי	0.137	0.604	0.309
abnormality	חֲרִיגוּת	0.092	0.655	0.383
aboard	עַל	0.698	0.284	0.481
abode	מָקוֹם	0.620	0.302	0.500
abolish	לְבַטֵל	0.448	0.615	0.529
abolition	ביטול	0.323	0.690	0.529
abominable	מְתוֹעָב	0.120	0.731	0.482
abominate	תועבה	0.198	0.788	0.366
abomination	תוֹעֵבָה	0.078	0.755	0.518
aboriginal	קַדמוֹן	0.448	0.427	0.542
abort	לְהַפִּיל	0.153	0.686	0.429
abortion	הפלה	0.082	0.770	0.283
abortive	כּוֹשֵׁל	0.090	0.776	0.280
abound	בשפע	0.704	0.490	0.681
abovementioned	לְעֵיל	0.541	0.298	0.509
abracadabra	אברה קדברה	0.673	0.632	0.434
abrasion	שְׁחִיקָה	0.406	0.592	0.441
abrasive	מְשַׁפשֵׁף	0.392	0.610	0.593
abreast	צמודים	0.635	0.380	0.519
abroad	מחוץ לארץ	0.677	0.596	0.561
abrogate	ביטול	0.327	0.510	0.594
abrupt	פִּתְאוֹמִי	0.271	0.819	0.545
abruptly	פִּתְאוֹם	0.250	0.808	0.556
abscess	מוּרְסָה	0.154	0.451	0.349
absence	הֶעְדֵר	0.153	0.235	0.266
absent	נֶעדָר	0.177	0.221	0.116
absentee	נִפקָד	0.235	0.330	0.279
absenteeism	הֵעָדְרוּת	0.404	0.273	0.357
absinthe	אַבְּסִינְתְ	0.481	0.510	0.462
absolute	מוּחלָט	0.526	0.510	0.827
absolution	מְחִילָה	0.715	0.500	0.664
absolve	לִפְטוֹר	0.684	0.449	0.660
absorb	לִסְפּוֹג	0.469	0.558	0.670
absorbed	ספג	0.490	0.471	0.519
absorbent	סוֹפֵג	0.552	0.394	0.718
absorbing	מְרַתֵק	0.490	0.490	0.578
absorption	קְלִיטָה	0.609	0.422	0.446
abstain	לְהִתְנַזֵר	0.385	0.385	0.427
abstention	הִתנַזְרוּת	0.271	0.264	0.509
abstinence	פְּרִישׁוּת	0.260	0.392	0.429
abstract	תַקצִיר	0.438	0.292	0.444
abstraction	הַפשָׁטָה	0.469	0.439	0.525
absurd	אַבּסוּרדִי	0.188	0.656	0.284
absurdity	אַבּסוּרדִיוּת	0.115	0.528	0.227
abundance	שפע	0.812	0.690	0.852
abundant	שׁוֹפֵעַ	0.958	0.590	0.760
abuse	התעללות	0.071	0.873	0.469
abused	התעללות	0.021	0.874	0.235
abusive	מַעֲלִיב	0.125	0.903	0.567
abutment	מִשׁעֶנֶת	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	תְהוֹמִי	0.250	0.710	0.598
abyss	תהום	0.353	0.725	0.296
academic	אקדמי	0.781	0.420	0.812
academy	אֲקָדֶמִיָה	0.704	0.473	0.792
accede	לְהַסכִּים	0.698	0.510	0.537
accelerant	מאיץ	0.643	0.844	0.802
accelerate	להאיץ	0.615	0.902	0.759
accelerated	מוּאָץ	0.610	0.812	0.682
acceleration	תְאוּצָה	0.704	0.905	0.843
accelerator	מֵאִיץ	0.593	0.830	0.812
accent	מִבטָא	0.598	0.357	0.509
accentuate	לְהַדגִישׁ	0.673	0.556	0.667
accept	לְקַבֵּל	0.847	0.286	0.565
acceptable	קָבִיל	0.812	0.286	0.583
acceptance	קַבָּלָה	0.833	0.287	0.755
acceptances	קבלה	0.847	0.413	0.648
access	גִישָׁה	0.714	0.472	0.567
accessible	נגיש	0.796	0.410	0.645
accession	הִצטָרְפוּת	0.612	0.383	0.636
accessory	אבזר	0.562	0.292	0.445
accident	תְאוּנָה	0.125	0.908	0.336
accidental	מִקרִי	0.319	0.784	0.307
accidentally	בטעות	0.333	0.741	0.333
acclaim	תְשׁוּאוֹת	0.562	0.809	0.718
accolade	לְהַעֲנִיק תוֹאַר אַבִּיר	0.688	0.591	0.775
accommodate	להתאים	0.844	0.375	0.566
accommodation	דִיוּר	0.817	0.415	0.587
accompaniment	לִוּוּי	0.740	0.479	0.695
accompany	ללוות	0.833	0.406	0.585
accompanying	מתלווה	0.787	0.460	0.582
accomplice	שׁוּתָף	0.408	0.580	0.510
accomplish	לְהַשִׂיג	0.929	0.673	0.816
accomplished	השיג	0.870	0.520	0.798
accomplishment	הישג	0.917	0.694	0.888
accord	הֶסכֵּם	0.898	0.264	0.382
accordance	בהתאם	0.659	0.349	0.600
accordion	אַקוֹרדִיוֹן	0.604	0.490	0.361
account	חֶשְׁבּוֹן	0.531	0.347	0.472
accountability	דין וחשבון	0.755	0.537	0.833
accountable	אַחֲרַאִי	0.709	0.282	0.777
accountant	רואת חשבון	0.625	0.450	0.639
accounting	חשבונאות	0.552	0.390	0.677
accounts	חשבונות	0.592	0.340	0.471
accredited	מוכר	0.669	0.479	0.768
accretion	הִצטַבְּרוּת	0.448	0.519	0.672
accrue	לצבור	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	לִצְבּוֹר	0.573	0.536	0.607
accumulation	הצטברות	0.479	0.527	0.600
accuracy	דיוק	0.604	0.481	0.802
accurate	מְדוּיָק	0.743	0.360	0.737
accursed	אָרוּר	0.135	0.745	0.345
accusation	הַאֲשָׁמָה	0.073	0.718	0.564
accusative	אשם	0.198	0.755	0.482
accuse	לְהַאֲשִׁים	0.133	0.752	0.500
accused	מואשם	0.130	0.670	0.420
accuser	מַאֲשִׁים	0.122	0.779	0.615
accusing	מאשים	0.156	0.745	0.324
accustomed	רָגִיל	0.542	0.365	0.441
ace	אֵס	0.643	0.481	0.546
acetic	אצטית	0.333	0.420	0.519
acetylene	אֲצֵיטִילֵן	0.306	0.469	0.509
ache	כְּאֵב	0.146	0.760	0.312
achieve	לְהַשִׂיג	0.816	0.545	0.843
achieved	הושג	0.896	0.519	0.775
achievement	הֶשֵׂג	0.896	0.808	0.759
aching	כּוֹאֵב	0.053	0.880	0.348
achy	כואב	0.167	0.840	0.373
acid	חוּמצָה	0.265	0.642	0.566
acidity	חוּמצִיוּת	0.156	0.663	0.360
acknowledge	לְהוֹדוֹת	0.786	0.370	0.661
acknowledged	הודה	0.714	0.443	0.765
acknowledgement	הכרה	0.819	0.539	0.830
acknowledgment	הכרה	0.796	0.528	0.777
acme	שִׂיא	0.408	0.435	0.375
acne	אקנה	0.167	0.474	0.308
acorn	בַּלוּט	0.448	0.198	0.192
acoustic	אֲקוּסְטִי	0.542	0.462	0.536
acoustics	אֲקוּסְטִיקָה	0.611	0.330	0.509
acquaint	להכיר	0.646	0.491	0.639
acquaintance	הֶכֵּרוּת	0.656	0.290	0.670
acquainted	היכרות	0.906	0.358	0.632
acquiescence	הסכמה	0.542	0.480	0.554
acquire	לִרְכּוֹשׁ	0.833	0.468	0.700
acquiring	רכישה	0.735	0.510	0.817
acquisition	רְכִישָׁה	0.698	0.509	0.736
acquisitions	רכישות	0.773	0.660	0.790
acquit	לִזכּוֹת	0.583	0.571	0.611
acquittal	זיכוי	0.760	0.497	0.700
acre	אַקְר	0.583	0.387	0.423
acreage	אקרים	0.741	0.450	0.528
acres	דונם	0.510	0.363	0.500
acrobat	אַקרוֹבָּט	0.708	0.828	0.602
acrylic	אַקרִילִי	0.582	0.279	0.420
act	פעולה	0.656	0.704	0.735
acting	משחק	0.698	0.643	0.500
action	פעולה	0.760	0.898	0.802
action figure	דמות פעולה	0.615	0.774	0.611
actionable	ניתנת לפעולה	0.673	0.702	0.613
activate	לְהַפְעִיל	0.764	0.650	0.806
activation	הַפעָלָה	0.781	0.800	0.754
active	פָּעִיל	0.847	0.730	0.731
activist	פעיל	0.531	0.653	0.877
activity	פעילות	0.701	0.660	0.807
actor	שַׂחְקָן	0.653	0.561	0.629
actress	שַׂחְקָנִית	0.633	0.556	0.596
actual	מַמָשִׁי	0.729	0.400	0.716
actuality	מְצִיאוּת	0.750	0.464	0.600
actuary	אַקטוּאָר	0.510	0.404	0.491
acuity	חדות	0.469	0.378	0.741
acumen	החריפה	0.564	0.660	0.679
acupuncture	אַקוּפּוּנקטוּרָה	0.531	0.324	0.549
acute	חַד	0.427	0.652	0.534
