Word	Hindi-hi	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	एर्डवार्क	0.427	0.490	0.437
aback	अचंभे	0.385	0.407	0.288
abacus	अबेकस	0.510	0.276	0.485
abalone	ऐबालोन	0.500	0.480	0.412
abandon	छोड़ देना	0.052	0.519	0.245
abandoned	त्यागा हुआ	0.046	0.481	0.130
abandonment	संन्यास	0.128	0.430	0.202
abashed	घबराया हुआ	0.177	0.644	0.307
abate	रोक-थाम करना	0.255	0.696	0.604
abatement	कमी	0.388	0.338	0.336
abba	अब्बा	0.562	0.500	0.480
abbey	ऐबी	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	संक्षिप्त करना	0.531	0.375	0.330
abbreviation	संक्षिप्त नाम	0.469	0.306	0.345
abdomen	पेट	0.469	0.462	0.471
abdominal	पेट	0.490	0.456	0.445
abduct	अपहरण करना	0.173	0.720	0.615
abduction	अपहरण	0.062	0.990	0.673
aberrant	धर्मपथ से हटनेवाला	0.146	0.765	0.431
aberration	विपथन	0.125	0.816	0.417
abeyance	दुविधा	0.330	0.510	0.292
abhor	घृणा करना	0.125	0.602	0.349
abhorrence	घृणा	0.167	0.684	0.420
abhorrent	घिनौना	0.229	0.750	0.474
abide	रहना	0.635	0.354	0.705
abiding	स्थायी	0.796	0.327	0.750
ability	योग्यता	0.875	0.510	0.816
abject	अधम	0.354	0.590	0.417
ablation	पृथक करना	0.418	0.500	0.500
ablaze	जलता हुआ	0.240	0.847	0.525
able	योग्य	0.786	0.500	0.810
abnormal	असामान्य	0.137	0.604	0.309
abnormality	विषमता	0.092	0.655	0.383
aboard	समीप	0.698	0.284	0.481
abode	निवास	0.620	0.302	0.500
abolish	समाप्त करना	0.448	0.615	0.529
abolition	उन्मूलन	0.323	0.690	0.529
abominable	घिनौना	0.120	0.731	0.482
abominate	घृणा करना	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	आदिवासी	0.448	0.427	0.542
abort	गर्भपात	0.153	0.686	0.429
abortion	गर्भपात	0.082	0.770	0.283
abortive	निष्फल	0.090	0.776	0.280
abound	प्रचुर मात्रा में	0.704	0.490	0.681
abovementioned	उपरोक्त	0.541	0.298	0.509
abracadabra	मंत्र	0.673	0.632	0.434
abrasion	घर्षण	0.406	0.592	0.441
abrasive	अपघर्षक	0.392	0.610	0.593
abreast	बराबर में	0.635	0.380	0.519
abroad	विदेश में	0.677	0.596	0.561
abrogate	अभिनिषेध करना	0.327	0.510	0.594
abrupt	आकस्मिक	0.271	0.819	0.545
abruptly	एकाएक	0.250	0.808	0.556
abscess	फोड़ा	0.154	0.451	0.349
absence	अनुपस्थिति	0.153	0.235	0.266
absent	अनुपस्थित	0.177	0.221	0.116
absentee	अनुपस्थित होनेवाला	0.235	0.330	0.279
absenteeism	कार्य से अनुपस्थित होना	0.404	0.273	0.357
absinthe	चिरायता	0.481	0.510	0.462
absolute	पूर्ण	0.526	0.510	0.827
absolution	मुक्ति	0.715	0.500	0.664
absolve	दोषमुक्त करना	0.684	0.449	0.660
absorb	सोख लेना	0.469	0.558	0.670
absorbed	को अवशोषित	0.490	0.471	0.519
absorbent	शोषक	0.552	0.394	0.718
absorbing	अवशोषित	0.490	0.490	0.578
absorption	अवशोषण	0.609	0.422	0.446
abstain	बचना	0.385	0.385	0.427
abstention	बचाव	0.271	0.264	0.509
abstinence	परहेज़	0.260	0.392	0.429
abstract	सार	0.438	0.292	0.444
abstraction	मतिहीनता	0.469	0.439	0.525
absurd	बेतुका	0.188	0.656	0.284
absurdity	मूर्खता	0.115	0.528	0.227
abundance	प्रचुरता	0.812	0.690	0.852
abundant	प्रचुर	0.958	0.590	0.760
abuse	गाली	0.071	0.873	0.469
abused	साथ दुर्व्यवहार	0.021	0.874	0.235
abusive	अपमानजनक	0.125	0.903	0.567
abutment	सीमा	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	मात्र	0.250	0.710	0.598
abyss	रसातल	0.353	0.725	0.296
academic	शैक्षिक	0.781	0.420	0.812
academy	अकादमी	0.704	0.473	0.792
accede	मान लेना	0.698	0.510	0.537
accelerant	तेज़ करनेवाला	0.643	0.844	0.802
accelerate	में तेजी लाने के	0.615	0.902	0.759
accelerated	त्वरित	0.610	0.812	0.682
acceleration	त्वरण	0.704	0.905	0.843
accelerator	त्वरक	0.593	0.830	0.812
accent	उच्चारण	0.598	0.357	0.509
accentuate	बढ़	0.673	0.556	0.667
accept	स्वीकार करना	0.847	0.286	0.565
acceptable	स्वीकार्य	0.812	0.286	0.583
acceptance	स्वीकार	0.833	0.287	0.755
acceptances	स्वीकृतियां	0.847	0.413	0.648
access	पहुंच	0.714	0.472	0.567
accessible	सुलभ	0.796	0.410	0.645
accession	परिग्रहण	0.612	0.383	0.636
accessory	सहायक	0.562	0.292	0.445
accident	दुर्घटना	0.125	0.908	0.336
accidental	आकस्मिक	0.319	0.784	0.307
accidentally	अकस्मात	0.333	0.741	0.333
acclaim	प्रशंसा	0.562	0.809	0.718
accolade	सम्मान	0.688	0.591	0.775
accommodate	समायोजित	0.844	0.375	0.566
accommodation	आवास	0.817	0.415	0.587
accompaniment	संगत	0.740	0.479	0.695
accompany	साथ	0.833	0.406	0.585
accompanying	साथ में	0.787	0.460	0.582
accomplice	साथी	0.408	0.580	0.510
accomplish	पूरा	0.929	0.673	0.816
accomplished	पूरा किया	0.870	0.520	0.798
accomplishment	उपलब्धि	0.917	0.694	0.888
accord	समझौते	0.898	0.264	0.382
accordance	अनुसार	0.659	0.349	0.600
accordion	अकॉर्डियन	0.604	0.490	0.361
account	लेखा	0.531	0.347	0.472
accountability	जवाबदेही	0.755	0.537	0.833
accountable	उत्तरदायी	0.709	0.282	0.777
accountant	मुनीम	0.625	0.450	0.639
accounting	लेखांकन	0.552	0.390	0.677
accounts	हिसाब किताब	0.592	0.340	0.471
accredited	मान्यता प्राप्त	0.669	0.479	0.768
accretion	एक साथ वृद्धि	0.448	0.519	0.672
accrue	उपाजित होना	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	संचय करें	0.573	0.536	0.607
accumulation	संचय	0.479	0.527	0.600
accuracy	शुद्धता	0.604	0.481	0.802
accurate	शुद्ध	0.743	0.360	0.737
accursed	शापित	0.135	0.745	0.345
accusation	आरोप	0.073	0.718	0.564
accusative	कर्म कारक	0.198	0.755	0.482
accuse	आरोप	0.133	0.752	0.500
accused	अभियुक्त	0.130	0.670	0.420
accuser	अभियोक्ता	0.122	0.779	0.615
accusing	आरोप लगा	0.156	0.745	0.324
accustomed	आदी	0.542	0.365	0.441
ace	इक्का	0.643	0.481	0.546
acetic	खट्टा	0.333	0.420	0.519
acetylene	एसिटिलीन	0.306	0.469	0.509
ache	दर्द	0.146	0.760	0.312
achieve	प्राप्त	0.816	0.545	0.843
achieved	हासिल	0.896	0.519	0.775
achievement	उपलब्धि	0.896	0.808	0.759
aching	दर्द	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	अम्ल	0.265	0.642	0.566
acidity	पेट की गैस	0.156	0.663	0.360
acknowledge	स्वीकार करते हैं	0.786	0.370	0.661
acknowledged	स्वीकार किया	0.714	0.443	0.765
acknowledgement	अभिस्वीकृति	0.819	0.539	0.830
acknowledgment	अभिस्वीकृति	0.796	0.528	0.777
acme	परिपूर्णता	0.408	0.435	0.375
acne	मुँहासे	0.167	0.474	0.308
acorn	बलूत का फल	0.448	0.198	0.192
acoustic	ध्वनिक	0.542	0.462	0.536
acoustics	ध्वनि-विज्ञान	0.611	0.330	0.509
acquaint	परिचित	0.646	0.491	0.639
acquaintance	जान पहचान	0.656	0.290	0.670
acquainted	परिचित	0.906	0.358	0.632
acquiescence	रज़ामंदी	0.542	0.480	0.554
acquire	अधिग्रहण	0.833	0.468	0.700
acquiring	प्राप्त	0.735	0.510	0.817
acquisition	अर्जन	0.698	0.509	0.736
acquisitions	अधिग्रहण	0.773	0.660	0.790
acquit	बरी करना	0.583	0.571	0.611
acquittal	दोषमुक्ति	0.760	0.497	0.700
acre	एकड़	0.583	0.387	0.423
acreage	एकड़	0.741	0.450	0.528
acres	एकड़ जमीन	0.510	0.363	0.500
acrobat	नट	0.708	0.828	0.602
acrylic	ऐक्रेलिक	0.582	0.279	0.420
act	अधिनियम	0.656	0.704	0.735
acting	अभिनय	0.698	0.643	0.500
action	कार्य	0.760	0.898	0.802
action figure	कार्रवाई का आंकड़ा	0.615	0.774	0.611
actionable	कार्रवाई योग्य	0.673	0.702	0.613
activate	सक्रिय	0.764	0.650	0.806
activation	सक्रियण	0.781	0.800	0.754
active	सक्रिय	0.847	0.730	0.731
activist	कार्यकर्ता	0.531	0.653	0.877
activity	गतिविधि	0.701	0.660	0.807
actor	अभिनेता	0.653	0.561	0.629
actress	अभिनेत्री	0.633	0.556	0.596
actual	वास्तविक	0.729	0.400	0.716
actuality	सत्यता	0.750	0.464	0.600
actuary	मुंशी	0.510	0.404	0.491
acuity	तीक्ष्णता	0.469	0.378	0.741
acumen	कुशाग्रता	0.564	0.660	0.679
acupuncture	एक्यूपंक्चर	0.531	0.324	0.549
acute	तीव्र	0.427	0.652	0.534
acutely	तीव्रता से	0.417	0.543	0.491
ad	विज्ञापन	0.521	0.705	0.558
adage	कहावत	0.517	0.415	0.566
adamant	अटल	0.344	0.529	0.575
adapt	अनुकूल बनाना	0.740	0.355	0.551
adaptable	अनुकूलनीय	0.735	0.423	0.641
adaptation	अनुकूलन	0.663	0.365	0.609
add	जोड़ना	0.728	0.490	0.554
added	जोड़ा	0.562	0.405	0.509
addendum	परिशिष्ट	0.392	0.370	0.418
