Word	Hmong-hmn	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	tso tseg	0.052	0.519	0.245
abandoned	tso tseg	0.046	0.481	0.130
abandonment	kev nrauj	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	kev txhim kho	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abbreviate	0.531	0.375	0.330
abbreviation	hloov	0.469	0.306	0.345
abdomen	plab	0.469	0.462	0.471
abdominal	plab	0.490	0.456	0.445
abduct	tshem tawm	0.173	0.720	0.615
abduction	tshem tawm	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	ua raws nraim li	0.635	0.354	0.705
abiding	ua raws	0.796	0.327	0.750
ability	muaj peev xwm	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	kub hnyiab	0.240	0.847	0.525
able	ua tau	0.786	0.500	0.810
abnormal	txawv txav	0.137	0.604	0.309
abnormality	abnormality	0.092	0.655	0.383
aboard	aboard	0.698	0.284	0.481
abode	abode	0.620	0.302	0.500
abolish	tshem tawm	0.448	0.615	0.529
abolition	abolition	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	rho tawm	0.153	0.686	0.429
abortion	rho menyuam	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	abound	0.704	0.490	0.681
abovementioned	abovementioned	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	puas ntsoog	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	txawv teb chaws	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	abruptly	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	tsis tuaj	0.153	0.235	0.266
absent	tsis tuaj	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	tsis tuaj	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	tsis meej	0.526	0.510	0.827
absolution	tsis nco qab	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	nqus tau	0.469	0.558	0.670
absorbed	absorbed	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	absorbing	0.490	0.490	0.578
absorption	nqus dej	0.609	0.422	0.446
abstain	tshem tawm	0.385	0.385	0.427
abstention	tshem tawm	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurdity	0.115	0.528	0.227
abundance	abundance	0.812	0.690	0.852
abundant	tshaj	0.958	0.590	0.760
abuse	kev tsim txom	0.071	0.873	0.469
abused	raug tsim txom	0.021	0.874	0.235
abusive	tsim txom	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	kev kawm	0.781	0.420	0.812
academy	academy	0.704	0.473	0.792
accede	tso cai	0.698	0.510	0.537
accelerant	ceev nrooj	0.643	0.844	0.802
accelerate	leeb	0.615	0.902	0.759
accelerated	ceev nrooj	0.610	0.812	0.682
acceleration	acceleration	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	sis	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	txais	0.847	0.286	0.565
acceptable	tau	0.812	0.286	0.583
acceptance	kev txaus sab	0.833	0.287	0.755
acceptances	kev pom zoo	0.847	0.413	0.648
access	nkag	0.714	0.472	0.567
accessible	puas siv tau	0.796	0.410	0.645
accession	kev nkag	0.612	0.383	0.636
accessory	accessory	0.562	0.292	0.445
accident	kev huam yuaj	0.125	0.908	0.336
accidental	lo lus	0.319	0.784	0.307
accidentally	ua yuam kev	0.333	0.741	0.333
acclaim	acclaim	0.562	0.809	0.718
accolade	ua tsaug	0.688	0.591	0.775
accommodate	pabcuam	0.844	0.375	0.566
accommodation	kev pabcuam	0.817	0.415	0.587
accompaniment	accompaniment	0.740	0.479	0.695
accompany	nrog xyuas	0.833	0.406	0.585
accompanying	nrog	0.787	0.460	0.582
accomplice	ua tiav	0.408	0.580	0.510
accomplish	ua tiav	0.929	0.673	0.816
accomplished	ua tiav	0.870	0.520	0.798
accomplishment	ua tiav	0.917	0.694	0.888
accord	accord	0.898	0.264	0.382
accordance	raws li txoj cai	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	account	0.531	0.347	0.472
accountability	lub luag hauj lwm	0.755	0.537	0.833
accountable	lav ris	0.709	0.282	0.777
accountant	tus accountant	0.625	0.450	0.639
accounting	accounting	0.552	0.390	0.677
accounts	accounts	0.592	0.340	0.471
accredited	accredited	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	sau	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	noog	0.573	0.536	0.607
accumulation	tsub zuj zuj	0.479	0.527	0.600
accuracy	qhov tseeb	0.604	0.481	0.802
accurate	yog	0.743	0.360	0.737
accursed	accursed	0.135	0.745	0.345
accusation	kev liam	0.073	0.718	0.564
accusative	accusative	0.198	0.755	0.482
accuse	liam sim	0.133	0.752	0.500
accused	liam	0.130	0.670	0.420
accuser	tus neeg dag	0.122	0.779	0.615
accusing	accusing	0.156	0.745	0.324
accustomed	accustomed	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	mob siab	0.146	0.760	0.312
achieve	ua tiav	0.816	0.545	0.843
achieved	tiav	0.896	0.519	0.775
achievement	kev ua tiav	0.896	0.808	0.759
aching	mob siab	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	lees paub	0.786	0.370	0.661
acknowledged	lees paub	0.714	0.443	0.765
acknowledgement	kev lees paub	0.819	0.539	0.830
acknowledgment	kev lees paub	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	pob txuv	0.167	0.474	0.308
acorn	noob txiv qhib	0.448	0.198	0.192
acoustic	pob txaij	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	kev paub	0.646	0.491	0.639
acquaintance	kev paub	0.656	0.290	0.670
acquainted	ntsib	0.906	0.358	0.632
acquiescence	kev pom zoo	0.542	0.480	0.554
acquire	tau	0.833	0.468	0.700
acquiring	nrhiav tau	0.735	0.510	0.817
acquisition	tshaaj	0.698	0.509	0.736
acquisitions	txais khoom	0.773	0.660	0.790
acquit	suav	0.583	0.571	0.611
acquittal	lees paub	0.760	0.497	0.700
acre	evkawj	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	ua	0.656	0.704	0.735
acting	yeeb yam	0.698	0.643	0.500
action	kev ua	0.760	0.898	0.802
action figure	daim ntawv txiav txim	0.615	0.774	0.611
actionable	ua tau	0.673	0.702	0.613
activate	qhib	0.764	0.650	0.806
activation	ua kom	0.781	0.800	0.754
active	nquag	0.847	0.730	0.731
activist	activist	0.531	0.653	0.877
activity	kev ua si	0.701	0.660	0.807
actor	actor	0.653	0.561	0.629
actress	actress	0.633	0.556	0.596
actual	tseeb	0.729	0.400	0.716
actuality	qhov tseeb	0.750	0.464	0.600
actuary	neeg ua hauj lwm	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	mob	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	hloov	0.740	0.355	0.551
adaptable	adaptable	0.735	0.423	0.641
adaptation	hloov dua siab tshiab	0.663	0.365	0.609
add	ntxiv	0.728	0.490	0.554
added	ntxiv	0.562	0.405	0.509
addendum	daim ntawv ntxiv	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	tus yees	0.075	0.696	0.327
addicted	quav	0.156	0.712	0.483
addiction	kev quav tshuaj	0.180	0.806	0.420
addictive	hom	0.302	0.683	0.472
addition	Ntxiv	0.562	0.373	0.471
additional	ntxiv	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	chaw nyob	0.650	0.327	0.567
addressee	tus neeg teb xov tooj	0.622	0.382	0.538
addresses	chaw nyob	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	txaus tsim nyog	0.615	0.435	0.702
adequate	txaus	0.854	0.264	0.705
adhere	koom	0.633	0.339	0.554
adherence	kev ua raws	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
