Word	Hungarian-hu	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	hátra	0.385	0.407	0.288
abacus	golyós számológép	0.510	0.276	0.485
abalone	kaliforniai ehető kagyló	0.500	0.480	0.412
abandon	elhagyott	0.052	0.519	0.245
abandoned	elhagyatott	0.046	0.481	0.130
abandonment	lemondás	0.128	0.430	0.202
abashed	elképedt	0.177	0.644	0.307
abate	érvénytelenít	0.255	0.696	0.604
abatement	csökkentés	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	apátság	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	rövidít	0.531	0.375	0.330
abbreviation	rövidítés	0.469	0.306	0.345
abdomen	has	0.469	0.462	0.471
abdominal	hasi	0.490	0.456	0.445
abduct	elrabol	0.173	0.720	0.615
abduction	emberrablás	0.062	0.990	0.673
aberrant	aberrált	0.146	0.765	0.431
aberration	eltérés	0.125	0.816	0.417
abeyance	felfüggesztve	0.330	0.510	0.292
abhor	gyűlöl	0.125	0.602	0.349
abhorrence	gyűlölet	0.167	0.684	0.420
abhorrent	gyűlöletes	0.229	0.750	0.474
abide	betartja	0.635	0.354	0.705
abiding	maradandó	0.796	0.327	0.750
ability	képesség	0.875	0.510	0.816
abject	siralmas	0.354	0.590	0.417
ablation	abláció	0.418	0.500	0.500
ablaze	lángoló	0.240	0.847	0.525
able	képes	0.786	0.500	0.810
abnormal	rendellenes	0.137	0.604	0.309
abnormality	rendellenesség	0.092	0.655	0.383
aboard	fedélzeten	0.698	0.284	0.481
abode	lakóhely	0.620	0.302	0.500
abolish	megszüntet	0.448	0.615	0.529
abolition	eltörlés	0.323	0.690	0.529
abominable	utálatos	0.120	0.731	0.482
abominate	utál	0.198	0.788	0.366
abomination	utálat	0.078	0.755	0.518
aboriginal	bennszülött	0.448	0.427	0.542
abort	elvetél	0.153	0.686	0.429
abortion	magzatelhajtás	0.082	0.770	0.283
abortive	sikertelen	0.090	0.776	0.280
abound	bővelkedik	0.704	0.490	0.681
abovementioned	fent említett	0.541	0.298	0.509
abracadabra	varázsige	0.673	0.632	0.434
abrasion	kopás	0.406	0.592	0.441
abrasive	csiszoló	0.392	0.610	0.593
abreast	egymás mellett	0.635	0.380	0.519
abroad	külföldön	0.677	0.596	0.561
abrogate	megszünteti	0.327	0.510	0.594
abrupt	hirtelen	0.271	0.819	0.545
abruptly	hirtelen	0.250	0.808	0.556
abscess	tályog	0.154	0.451	0.349
absence	távollét	0.153	0.235	0.266
absent	hiányzó	0.177	0.221	0.116
absentee	hiányzó	0.235	0.330	0.279
absenteeism	hiányzás	0.404	0.273	0.357
absinthe	abszint	0.481	0.510	0.462
absolute	abszolút	0.526	0.510	0.827
absolution	feloldozás	0.715	0.500	0.664
absolve	felment	0.684	0.449	0.660
absorb	elnyel	0.469	0.558	0.670
absorbed	elnyelt	0.490	0.471	0.519
absorbent	nedvszívó	0.552	0.394	0.718
absorbing	elnyelő	0.490	0.490	0.578
absorption	abszorpció	0.609	0.422	0.446
abstain	tartózkodik	0.385	0.385	0.427
abstention	tartózkodás	0.271	0.264	0.509
abstinence	önmegtartóztatás	0.260	0.392	0.429
abstract	absztrakt	0.438	0.292	0.444
abstraction	absztrakció	0.469	0.439	0.525
absurd	abszurd	0.188	0.656	0.284
absurdity	képtelenség	0.115	0.528	0.227
abundance	bőség	0.812	0.690	0.852
abundant	bőséges	0.958	0.590	0.760
abuse	visszaélés	0.071	0.873	0.469
abused	bántalmazott	0.021	0.874	0.235
abusive	gyalázkodó	0.125	0.903	0.567
abutment	támfal	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	feneketlen	0.250	0.710	0.598
abyss	szakadék	0.353	0.725	0.296
academic	akadémiai	0.781	0.420	0.812
academy	akadémia	0.704	0.473	0.792
accede	csatlakozásra	0.698	0.510	0.537
accelerant	katalizátor	0.643	0.844	0.802
accelerate	gyorsul	0.615	0.902	0.759
accelerated	felgyorsult	0.610	0.812	0.682
acceleration	gyorsulás	0.704	0.905	0.843
accelerator	gyorsító	0.593	0.830	0.812
accent	hangsúly	0.598	0.357	0.509
accentuate	hangsúlyoz	0.673	0.556	0.667
accept	elfogad	0.847	0.286	0.565
acceptable	elfogadható	0.812	0.286	0.583
acceptance	elfogadás	0.833	0.287	0.755
acceptances	vételek	0.847	0.413	0.648
access	hozzáférés	0.714	0.472	0.567
accessible	hozzáférhető	0.796	0.410	0.645
accession	csatlakozás	0.612	0.383	0.636
accessory	tartozék	0.562	0.292	0.445
accident	baleset	0.125	0.908	0.336
accidental	véletlen	0.319	0.784	0.307
accidentally	véletlenül	0.333	0.741	0.333
acclaim	elismerést	0.562	0.809	0.718
accolade	elismerés	0.688	0.591	0.775
accommodate	elhelyezésére	0.844	0.375	0.566
accommodation	szállás	0.817	0.415	0.587
accompaniment	kíséret	0.740	0.479	0.695
accompany	kísér	0.833	0.406	0.585
accompanying	kísérő	0.787	0.460	0.582
accomplice	bűnrészes	0.408	0.580	0.510
accomplish	megvalósítani, végrahajt	0.929	0.673	0.816
accomplished	tökéletes	0.870	0.520	0.798
accomplishment	teljesítmény	0.917	0.694	0.888
accord	egyetértés	0.898	0.264	0.382
accordance	szerint	0.659	0.349	0.600
accordion	harmonika	0.604	0.490	0.361
account	számla	0.531	0.347	0.472
accountability	felelősségre vonhatóság	0.755	0.537	0.833
accountable	felelős	0.709	0.282	0.777
accountant	Könyvelő	0.625	0.450	0.639
accounting	számvitel	0.552	0.390	0.677
accounts	fiókok	0.592	0.340	0.471
accredited	meghatalmazott	0.669	0.479	0.768
accretion	növekedés	0.448	0.519	0.672
accrue	növekszik	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	felhalmozódnak	0.573	0.536	0.607
accumulation	felhalmozódás	0.479	0.527	0.600
accuracy	pontosság	0.604	0.481	0.802
accurate	pontos	0.743	0.360	0.737
accursed	elátkozott	0.135	0.745	0.345
accusation	vád	0.073	0.718	0.564
accusative	tárgyeset	0.198	0.755	0.482
accuse	vádol	0.133	0.752	0.500
accused	vádlott	0.130	0.670	0.420
accuser	vádló	0.122	0.779	0.615
accusing	vádló	0.156	0.745	0.324
accustomed	szokásos	0.542	0.365	0.441
ace	ász	0.643	0.481	0.546
acetic	ecetsavas	0.333	0.420	0.519
acetylene	acetilén	0.306	0.469	0.509
ache	fájdalom	0.146	0.760	0.312
achieve	elér	0.816	0.545	0.843
achieved	elért	0.896	0.519	0.775
achievement	teljesítmény	0.896	0.808	0.759
aching	fájó	0.053	0.880	0.348
achy	sajgó	0.167	0.840	0.373
acid	sav	0.265	0.642	0.566
acidity	savasság	0.156	0.663	0.360
acknowledge	elismerni	0.786	0.370	0.661
acknowledged	elismert	0.714	0.443	0.765
acknowledgement	elismerés	0.819	0.539	0.830
acknowledgment	elismerés	0.796	0.528	0.777
acme	csúcspont	0.408	0.435	0.375
acne	pattanás	0.167	0.474	0.308
acorn	makk	0.448	0.198	0.192
acoustic	akusztikus	0.542	0.462	0.536
acoustics	akusztika	0.611	0.330	0.509
acquaint	megismertet	0.646	0.491	0.639
acquaintance	ismerős	0.656	0.290	0.670
acquainted	ismerkedés	0.906	0.358	0.632
acquiescence	hozzájárulás	0.542	0.480	0.554
acquire	szerez	0.833	0.468	0.700
acquiring	megszerzése	0.735	0.510	0.817
acquisition	beszerzés	0.698	0.509	0.736
acquisitions	felvásárlások	0.773	0.660	0.790
acquit	viszonoz	0.583	0.571	0.611
acquittal	felmentés	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	vetésterülete	0.741	0.450	0.528
acres	hold	0.510	0.363	0.500
acrobat	akrobata	0.708	0.828	0.602
acrylic	akril	0.582	0.279	0.420
act	törvény	0.656	0.704	0.735
acting	ható	0.698	0.643	0.500
action	akció	0.760	0.898	0.802
action figure	akció figura	0.615	0.774	0.611
actionable	perelhető	0.673	0.702	0.613
activate	aktiválja	0.764	0.650	0.806
activation	aktiválás	0.781	0.800	0.754
active	aktív	0.847	0.730	0.731
activist	aktivista	0.531	0.653	0.877
activity	tevékenység	0.701	0.660	0.807
actor	színész	0.653	0.561	0.629
actress	színésznő	0.633	0.556	0.596
actual	tényleges	0.729	0.400	0.716
actuality	aktualitás	0.750	0.464	0.600
actuary	statisztikus	0.510	0.404	0.491
acuity	élesség	0.469	0.378	0.741
acumen	éleslátás	0.564	0.660	0.679
acupuncture	akupunktúra	0.531	0.324	0.549
acute	akut	0.427	0.652	0.534
acutely	akut	0.417	0.543	0.491
ad	hirdetés	0.521	0.705	0.558
adage	példabeszéd	0.517	0.415	0.566
adamant	hajthatatlan	0.344	0.529	0.575
adapt	alkalmazkodni	0.740	0.355	0.551
adaptable	alkalmazható	0.735	0.423	0.641
adaptation	alkalmazkodás	0.663	0.365	0.609
add	hozzáad	0.728	0.490	0.554
added	hozzáadott	0.562	0.405	0.509
addendum	függelék	0.392	0.370	0.418
adder	vipera	0.388	0.461	0.588
addict	rabja	0.075	0.696	0.327
addicted	rabja	0.156	0.712	0.483
addiction	függőség	0.180	0.806	0.420
addictive	addiktív	0.302	0.683	0.472
addition	kiegészítés	0.562	0.373	0.471
additional	további	0.673	0.462	0.526
additive	adalékanyag	0.561	0.633	0.691
address	cím	0.650	0.327	0.567
addressee	címzett	0.622	0.382	0.538
addresses	címek	0.510	0.354	0.450
adept	ügyes	0.594	0.539	0.789
adequacy	megfelelés	0.615	0.435	0.702
adequate	megfelelő	0.854	0.264	0.705
adhere	tapad	0.633	0.339	0.554
adherence	tapadás	0.760	0.307	0.630
adherent	tapadó	0.561	0.385	0.555
