Word	Icelandic-is	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	jarðvegur	0.427	0.490	0.437
aback	óvart	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	yfirgefa	0.052	0.519	0.245
abandoned	yfirgefinn	0.046	0.481	0.130
abandonment	yfirgefa	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	afnema	0.255	0.696	0.604
abatement	lækkun	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	klaustur	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	skammstafað	0.531	0.375	0.330
abbreviation	skammstöfun	0.469	0.306	0.345
abdomen	kvið	0.469	0.462	0.471
abdominal	kvið	0.490	0.456	0.445
abduct	afnema	0.173	0.720	0.615
abduction	brottnám	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	halda áfram	0.635	0.354	0.705
abiding	ævarandi	0.796	0.327	0.750
ability	hæfni	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	bölvun	0.240	0.847	0.525
able	fær	0.786	0.500	0.810
abnormal	óeðlilegt	0.137	0.604	0.309
abnormality	óeðlilegt	0.092	0.655	0.383
aboard	um borð	0.698	0.284	0.481
abode	búsetu	0.620	0.302	0.500
abolish	afnema	0.448	0.615	0.529
abolition	afnám	0.323	0.690	0.529
abominable	svívirðilegt	0.120	0.731	0.482
abominate	gnæfa	0.198	0.788	0.366
abomination	gnægð	0.078	0.755	0.518
aboriginal	frumbyggja	0.448	0.427	0.542
abort	afnema	0.153	0.686	0.429
abortion	fóstureyðingu	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	í miklu magni	0.704	0.490	0.681
abovementioned	fyrrnefndur	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	núningi	0.406	0.592	0.441
abrasive	slípiefni	0.392	0.610	0.593
abreast	í lagi	0.635	0.380	0.519
abroad	erlendis	0.677	0.596	0.561
abrogate	afnema	0.327	0.510	0.594
abrupt	skyndilega	0.271	0.819	0.545
abruptly	skyndilega	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	fjarveru	0.153	0.235	0.266
absent	fjarverandi	0.177	0.221	0.116
absentee	fjarverandi	0.235	0.330	0.279
absenteeism	fjarvistir	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	alger	0.526	0.510	0.827
absolution	upplausn	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	gleypa	0.469	0.558	0.670
absorbed	frásogast	0.490	0.471	0.519
absorbent	gleypið	0.552	0.394	0.718
absorbing	hrífandi	0.490	0.490	0.578
absorption	frásog	0.609	0.422	0.446
abstain	afstýra	0.385	0.385	0.427
abstention	ógildingu	0.271	0.264	0.509
abstinence	fráhvarf	0.260	0.392	0.429
abstract	abstrakt	0.438	0.292	0.444
abstraction	abstrakt	0.469	0.439	0.525
absurd	fáránlegt	0.188	0.656	0.284
absurdity	fáránlegt	0.115	0.528	0.227
abundance	gnægð	0.812	0.690	0.852
abundant	nóg	0.958	0.590	0.760
abuse	misnotkun	0.071	0.873	0.469
abused	misnotuð	0.021	0.874	0.235
abusive	Ofbeldisfull	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	óþarfur	0.250	0.710	0.598
abyss	hyldýpi	0.353	0.725	0.296
academic	fræðileg	0.781	0.420	0.812
academy	Háskóli	0.704	0.473	0.792
accede	komast að	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	hraða	0.615	0.902	0.759
accelerated	flýtti	0.610	0.812	0.682
acceleration	hröðun	0.704	0.905	0.843
accelerator	eldsneytisgjöf	0.593	0.830	0.812
accent	hreim	0.598	0.357	0.509
accentuate	leggja áherslu á	0.673	0.556	0.667
accept	samþykkja	0.847	0.286	0.565
acceptable	viðunandi	0.812	0.286	0.583
acceptance	samþykki	0.833	0.287	0.755
acceptances	samþykki	0.847	0.413	0.648
access	aðgang	0.714	0.472	0.567
accessible	aðgengileg	0.796	0.410	0.645
accession	aðild	0.612	0.383	0.636
accessory	aukabúnaður	0.562	0.292	0.445
accident	slys	0.125	0.908	0.336
accidental	fyrir slysni	0.319	0.784	0.307
accidentally	fyrir slysni	0.333	0.741	0.333
acclaim	lof	0.562	0.809	0.718
accolade	hrós	0.688	0.591	0.775
accommodate	mæta	0.844	0.375	0.566
accommodation	húsnæði	0.817	0.415	0.587
accompaniment	undirleik	0.740	0.479	0.695
accompany	fylgja	0.833	0.406	0.585
accompanying	í fylgd með	0.787	0.460	0.582
accomplice	vitorðsmaður	0.408	0.580	0.510
accomplish	ná	0.929	0.673	0.816
accomplished	náð	0.870	0.520	0.798
accomplishment	afrek	0.917	0.694	0.888
accord	samkomulagi	0.898	0.264	0.382
accordance	samræmi	0.659	0.349	0.600
accordion	harmónikur	0.604	0.490	0.361
account	reikningur	0.531	0.347	0.472
accountability	ábyrgð	0.755	0.537	0.833
accountable	ábyrgur	0.709	0.282	0.777
accountant	endurskoðandi	0.625	0.450	0.639
accounting	bókhald	0.552	0.390	0.677
accounts	reikningar	0.592	0.340	0.471
accredited	viðurkennd	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	safna saman	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	safnast saman	0.573	0.536	0.607
accumulation	uppsöfnun	0.479	0.527	0.600
accuracy	nákvæmni	0.604	0.481	0.802
accurate	nákvæmur	0.743	0.360	0.737
accursed	bölvaður	0.135	0.745	0.345
accusation	ásakanir	0.073	0.718	0.564
accusative	accusative	0.198	0.755	0.482
accuse	ákæra	0.133	0.752	0.500
accused	sakaður	0.130	0.670	0.420
accuser	ákærandi	0.122	0.779	0.615
accusing	ásakandi	0.156	0.745	0.324
accustomed	vanir	0.542	0.365	0.441
ace	Ás	0.643	0.481	0.546
acetic	ediksýra	0.333	0.420	0.519
acetylene	asetýlen	0.306	0.469	0.509
ache	verkur	0.146	0.760	0.312
achieve	ná	0.816	0.545	0.843
achieved	náð	0.896	0.519	0.775
achievement	afrek	0.896	0.808	0.759
aching	verkir	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	sýru	0.265	0.642	0.566
acidity	sýrustig	0.156	0.663	0.360
acknowledge	viðurkenna	0.786	0.370	0.661
acknowledged	viðurkennt	0.714	0.443	0.765
acknowledgement	staðfesting	0.819	0.539	0.830
acknowledgment	staðfesting	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	unglingabólur	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	hljóðeinangrun	0.542	0.462	0.536
acoustics	hljóðeinangrun	0.611	0.330	0.509
acquaint	kynnast	0.646	0.491	0.639
acquaintance	kunningi	0.656	0.290	0.670
acquainted	kynnt	0.906	0.358	0.632
acquiescence	samkynhneigð	0.542	0.480	0.554
acquire	eignast	0.833	0.468	0.700
acquiring	öðlast	0.735	0.510	0.817
acquisition	kaup	0.698	0.509	0.736
acquisitions	yfirtökur	0.773	0.660	0.790
acquit	frelsa	0.583	0.571	0.611
acquittal	fagnaðarerindið	0.760	0.497	0.700
acre	ekrur	0.583	0.387	0.423
acreage	svæði	0.741	0.450	0.528
acres	hektara	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	akríl	0.582	0.279	0.420
act	athöfn	0.656	0.704	0.735
acting	starfa	0.698	0.643	0.500
action	aðgerð	0.760	0.898	0.802
action figure	ofurhetja	0.615	0.774	0.611
actionable	virkjanlegt	0.673	0.702	0.613
activate	virkja	0.764	0.650	0.806
activation	virkjun	0.781	0.800	0.754
active	virkur	0.847	0.730	0.731
activist	aðgerðasinnar	0.531	0.653	0.877
activity	virkni	0.701	0.660	0.807
actor	leikari	0.653	0.561	0.629
actress	leikkona	0.633	0.556	0.596
actual	raunveruleg	0.729	0.400	0.716
actuality	virkni	0.750	0.464	0.600
actuary	tryggingafélagi	0.510	0.404	0.491
acuity	skerpu	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	nálastungumeðferð	0.531	0.324	0.549
acute	bráð	0.427	0.652	0.534
acutely	bráðlega	0.417	0.543	0.491
ad	auglýsing	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	aðlagast	0.740	0.355	0.551
adaptable	aðlögunarhæfni	0.735	0.423	0.641
adaptation	aðlögun	0.663	0.365	0.609
add	Bæta við	0.728	0.490	0.554
added	bætt við	0.562	0.405	0.509
addendum	viðbót	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	fíkill	0.075	0.696	0.327
addicted	háður	0.156	0.712	0.483
addiction	fíkn	0.180	0.806	0.420
addictive	ávanabindandi	0.302	0.683	0.472
addition	viðbót	0.562	0.373	0.471
additional	viðbótar	0.673	0.462	0.526
additive	aukefni	0.561	0.633	0.691
address	heimilisfang	0.650	0.327	0.567
addressee	viðtakandi	0.622	0.382	0.538
addresses	heimilisföng	0.510	0.354	0.450
adept	Adept	0.594	0.539	0.789
adequacy	fullnægjandi	0.615	0.435	0.702
adequate	fullnægjandi	0.854	0.264	0.705
adhere	fylgja	0.633	0.339	0.554
adherence	fylgja	0.760	0.307	0.630
adherent	viðhengi	0.561	0.385	0.555
