Word	Kannada-kn	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	ಆಡ್ವಾರ್ಕ್	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	ಅಬ್ಯಾಕಸ್	0.510	0.276	0.485
abalone	ಅಬಲೋನ್	0.500	0.480	0.412
abandon	ತ್ಯಜಿಸಿ	0.052	0.519	0.245
abandoned	ಕೈಬಿಡಲಾಗಿದೆ	0.046	0.481	0.130
abandonment	ಪರಿತ್ಯಾಗ	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	ಕ್ಷೀಣಿಸು	0.255	0.696	0.604
abatement	ತಗ್ಗಿಸುವಿಕೆ	0.388	0.338	0.336
abba	ಅಬ್ಬಾ	0.562	0.500	0.480
abbey	ಅಬ್ಬೆ	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	ಸಂಕ್ಷೇಪಿಸು	0.531	0.375	0.330
abbreviation	ಸಂಕ್ಷೇಪಣ	0.469	0.306	0.345
abdomen	ಹೊಟ್ಟೆ	0.469	0.462	0.471
abdominal	ಕಿಬ್ಬೊಟ್ಟೆಯ	0.490	0.456	0.445
abduct	ಅಪಹರಣ	0.173	0.720	0.615
abduction	ಅಪಹರಣ	0.062	0.990	0.673
aberrant	ದೌರ್ಜನ್ಯ	0.146	0.765	0.431
aberration	ವಿಪಥನ	0.125	0.816	0.417
abeyance	ಅಮಾನತ್ತು	0.330	0.510	0.292
abhor	ಅಸಹ್ಯ	0.125	0.602	0.349
abhorrence	ಅಸಹ್ಯ	0.167	0.684	0.420
abhorrent	ಅಸಹ್ಯ	0.229	0.750	0.474
abide	ಬದ್ಧವಾಗಿರಲು	0.635	0.354	0.705
abiding	ಪಾಲಿಸುವ	0.796	0.327	0.750
ability	ಸಾಮರ್ಥ್ಯ	0.875	0.510	0.816
abject	ಅಸಹ್ಯ	0.354	0.590	0.417
ablation	ಕ್ಷಯಿಸುವಿಕೆ	0.418	0.500	0.500
ablaze	ಹೊಳಪು	0.240	0.847	0.525
able	ಸಾಧ್ಯವಾಯಿತು	0.786	0.500	0.810
abnormal	ಅಸಹಜ	0.137	0.604	0.309
abnormality	ಅಸಹಜತೆ	0.092	0.655	0.383
aboard	ವಿಮಾನದಲ್ಲಿ	0.698	0.284	0.481
abode	ವಾಸಸ್ಥಾನ	0.620	0.302	0.500
abolish	ನಿರ್ಮೂಲನೆ	0.448	0.615	0.529
abolition	ನಿರ್ಮೂಲನೆ	0.323	0.690	0.529
abominable	ಅಸಹ್ಯ	0.120	0.731	0.482
abominate	ಅಸಹ್ಯ	0.198	0.788	0.366
abomination	ಅಬೊಮಿನೇಷನ್	0.078	0.755	0.518
aboriginal	ಮೂಲನಿವಾಸಿ	0.448	0.427	0.542
abort	ಸ್ಥಗಿತಗೊಳಿಸು	0.153	0.686	0.429
abortion	ಗರ್ಭಪಾತ	0.082	0.770	0.283
abortive	ಸ್ಥಗಿತಗೊಳಿಸು	0.090	0.776	0.280
abound	ವಿಪುಲವಾಗಿವೆ	0.704	0.490	0.681
abovementioned	ಮೇಲೆ ತಿಳಿಸಿದ	0.541	0.298	0.509
abracadabra	ಅಬ್ರಕಾಡಬ್ರಾ	0.673	0.632	0.434
abrasion	ಸವೆತ	0.406	0.592	0.441
abrasive	ಅಪಘರ್ಷಕ	0.392	0.610	0.593
abreast	ಪಕ್ಕಪಕ್ಕದಲ್ಲಿ	0.635	0.380	0.519
abroad	ವಿದೇಶದಲ್ಲಿ	0.677	0.596	0.561
abrogate	ದುರ್ಬಲಗೊಳಿಸು	0.327	0.510	0.594
abrupt	ಹಠಾತ್	0.271	0.819	0.545
abruptly	ಥಟ್ಟನೆ	0.250	0.808	0.556
abscess	ಬಾವು	0.154	0.451	0.349
absence	ಅನುಪಸ್ಥಿತಿಯಲ್ಲಿ	0.153	0.235	0.266
absent	ಗೈರು	0.177	0.221	0.116
absentee	ಅನುಪಸ್ಥಿತಿಯಲ್ಲಿ	0.235	0.330	0.279
absenteeism	ಗೈರುಹಾಜರಿಯಿಲ್ಲ	0.404	0.273	0.357
absinthe	ಅಬ್ಸಿಂತೆ	0.481	0.510	0.462
absolute	ಸಂಪೂರ್ಣ	0.526	0.510	0.827
absolution	ವಿಕಸನ	0.715	0.500	0.664
absolve	ನಿವಾರಿಸು	0.684	0.449	0.660
absorb	ಹೀರಿಕೊಳ್ಳುತ್ತದೆ	0.469	0.558	0.670
absorbed	ಹೀರಿಕೊಳ್ಳಲಾಗಿದೆ	0.490	0.471	0.519
absorbent	ಹೀರಿಕೊಳ್ಳುವ	0.552	0.394	0.718
absorbing	ಹೀರಿಕೊಳ್ಳುವ	0.490	0.490	0.578
absorption	ಹೀರಿಕೊಳ್ಳುವಿಕೆ	0.609	0.422	0.446
abstain	ದೂರವಿರಿ	0.385	0.385	0.427
abstention	ತಿರಸ್ಕಾರ	0.271	0.264	0.509
abstinence	ಇಂದ್ರಿಯನಿಗ್ರಹವು	0.260	0.392	0.429
abstract	ಅಮೂರ್ತ	0.438	0.292	0.444
abstraction	ಅಮೂರ್ತತೆ	0.469	0.439	0.525
absurd	ಅಸಂಬದ್ಧ	0.188	0.656	0.284
absurdity	ಅಸಂಬದ್ಧತೆ	0.115	0.528	0.227
abundance	ಹೇರಳವಾಗಿ	0.812	0.690	0.852
abundant	ಹೇರಳವಾಗಿ	0.958	0.590	0.760
abuse	ನಿಂದನೆ	0.071	0.873	0.469
abused	ನಿಂದನೆ	0.021	0.874	0.235
abusive	ನಿಂದನೀಯ	0.125	0.903	0.567
abutment	ತಗ್ಗಿಸುವಿಕೆ	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	ಅಸಹ್ಯ	0.250	0.710	0.598
abyss	ಪ್ರಪಾತ	0.353	0.725	0.296
academic	ಶೈಕ್ಷಣಿಕ	0.781	0.420	0.812
academy	ಅಕಾಡೆಮಿ	0.704	0.473	0.792
accede	ಒಪ್ಪಿಕೊಳ್ಳಿ	0.698	0.510	0.537
accelerant	ವೇಗವರ್ಧಕ	0.643	0.844	0.802
accelerate	ವೇಗವನ್ನು	0.615	0.902	0.759
accelerated	ವೇಗವರ್ಧಿತ	0.610	0.812	0.682
acceleration	ವೇಗವರ್ಧನೆ	0.704	0.905	0.843
accelerator	ವೇಗವರ್ಧಕ	0.593	0.830	0.812
accent	ಉಚ್ಚಾರಣೆ	0.598	0.357	0.509
accentuate	ಎದ್ದುಕಾಣಿಸು	0.673	0.556	0.667
accept	ಸ್ವೀಕರಿಸಿ	0.847	0.286	0.565
acceptable	ಸ್ವೀಕಾರಾರ್ಹ	0.812	0.286	0.583
acceptance	ಸ್ವೀಕಾರ	0.833	0.287	0.755
acceptances	ಸ್ವೀಕಾರಗಳು	0.847	0.413	0.648
access	ಪ್ರವೇಶ	0.714	0.472	0.567
accessible	ಪ್ರವೇಶಿಸಬಹುದು	0.796	0.410	0.645
accession	ಪ್ರವೇಶ	0.612	0.383	0.636
accessory	ಸಹಾಯಕ	0.562	0.292	0.445
accident	ಅಪಘಾತ	0.125	0.908	0.336
accidental	ಆಕಸ್ಮಿಕ	0.319	0.784	0.307
accidentally	ಆಕಸ್ಮಿಕವಾಗಿ	0.333	0.741	0.333
acclaim	ಪ್ರಶಂಸೆ	0.562	0.809	0.718
accolade	ಪುರಸ್ಕಾರ	0.688	0.591	0.775
accommodate	ಸರಿಹೊಂದಿಸು	0.844	0.375	0.566
accommodation	ಸೌಕರ್ಯಗಳು	0.817	0.415	0.587
accompaniment	ಪಕ್ಕವಾದ್ಯ	0.740	0.479	0.695
accompany	ಜೊತೆಯಲ್ಲಿ	0.833	0.406	0.585
accompanying	ಜೊತೆಯಲ್ಲಿ	0.787	0.460	0.582
accomplice	ಸಹಾಯಕ	0.408	0.580	0.510
accomplish	ಸಾಧಿಸು	0.929	0.673	0.816
accomplished	ಸಾಧಿಸಬಹುದು	0.870	0.520	0.798
accomplishment	ಸಾಧನೆ	0.917	0.694	0.888
accord	ಒಪ್ಪಂದ	0.898	0.264	0.382
accordance	ಅನುಗುಣವಾಗಿ	0.659	0.349	0.600
accordion	ಅಕಾರ್ಡಿಯನ್	0.604	0.490	0.361
account	ಖಾತೆ	0.531	0.347	0.472
accountability	ಹೊಣೆಗಾರಿಕೆ	0.755	0.537	0.833
accountable	ಜವಾಬ್ದಾರಿಯುತ	0.709	0.282	0.777
accountant	ಅಕೌಂಟೆಂಟ್	0.625	0.450	0.639
accounting	ಲೆಕ್ಕಪತ್ರ	0.552	0.390	0.677
accounts	ಖಾತೆಗಳು	0.592	0.340	0.471
accredited	ಮಾನ್ಯತೆ ಪಡೆದಿದೆ	0.669	0.479	0.768
accretion	ಸಂಚಯ	0.448	0.519	0.672
accrue	ಸೇರಿಕೊಳ್ಳಿ	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	ಸಂಗ್ರಹಿಸು	0.573	0.536	0.607
accumulation	ಶೇಖರಣೆ	0.479	0.527	0.600
accuracy	ನಿಖರತೆ	0.604	0.481	0.802
accurate	ನಿಖರವಾದ	0.743	0.360	0.737
accursed	ಶಾಪಗ್ರಸ್ತವಾಗಿದೆ	0.135	0.745	0.345
accusation	ಆರೋಪ	0.073	0.718	0.564
accusative	ಆರೋಪಿಸು	0.198	0.755	0.482
accuse	ಆರೋಪಿಸಿ	0.133	0.752	0.500
accused	ಆರೋಪಿ	0.130	0.670	0.420
accuser	ಆರೋಪಿಸು	0.122	0.779	0.615
accusing	ಆರೋಪಿಸಿ	0.156	0.745	0.324
accustomed	ಒಗ್ಗಿಕೊಂಡಿದೆ	0.542	0.365	0.441
