Word	Kurdish-ku	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	xerîb	0.427	0.490	0.437
aback	şaş	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	terikandin	0.052	0.519	0.245
abandoned	derxistin	0.046	0.481	0.130
abandonment	berdan	0.128	0.430	0.202
abashed	revandin	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	kinkirin	0.531	0.375	0.330
abbreviation	kinkirî	0.469	0.306	0.345
abdomen	binzik	0.469	0.462	0.471
abdominal	germ	0.490	0.456	0.445
abduct	revandin	0.173	0.720	0.615
abduction	revandinî	0.062	0.990	0.673
aberrant	xerîb	0.146	0.765	0.431
aberration	berbiçav	0.125	0.816	0.417
abeyance	nehêle	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	bêhtir	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	debirandin	0.635	0.354	0.705
abiding	bimîne	0.796	0.327	0.750
ability	kêrhatî	0.875	0.510	0.816
abject	xelet	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	arpêketî	0.240	0.847	0.525
able	kêrhat	0.786	0.500	0.810
abnormal	nenormal	0.137	0.604	0.309
abnormality	abnormality	0.092	0.655	0.383
aboard	aboard	0.698	0.284	0.481
abode	aboriyê	0.620	0.302	0.500
abolish	rakirin	0.448	0.615	0.529
abolition	hilweşandin	0.323	0.690	0.529
abominable	berbiçav	0.120	0.731	0.482
abominate	tirsa	0.198	0.788	0.366
abomination	hilweşandin	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	ji berxwegirtin	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	dûr	0.704	0.490	0.681
abovementioned	jorîn	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	hilweşandin	0.406	0.592	0.441
abrasive	hilweşandin	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	ji derve	0.677	0.596	0.561
abrogate	lêpirsîn	0.327	0.510	0.594
abrupt	seranser	0.271	0.819	0.545
abruptly	bêdeng	0.250	0.808	0.556
abscess	kûl	0.154	0.451	0.349
absence	neamadeyî	0.153	0.235	0.266
absent	neamade	0.177	0.221	0.116
absentee	neheq	0.235	0.330	0.279
absenteeism	neheq	0.404	0.273	0.357
absinthe	betal	0.481	0.510	0.462
absolute	temam	0.526	0.510	0.827
absolution	betalkirinê	0.715	0.500	0.664
absolve	berbiçav	0.684	0.449	0.660
absorb	mehandin	0.469	0.558	0.670
absorbed	berbiçav kirin	0.490	0.471	0.519
absorbent	berbiçav	0.552	0.394	0.718
absorbing	bifikirin	0.490	0.490	0.578
absorption	hestyariyê	0.609	0.422	0.446
abstain	bêdengmayin	0.385	0.385	0.427
abstention	nerazîbûnê	0.271	0.264	0.509
abstinence	bêhtir	0.260	0.392	0.429
abstract	veqetî	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	dijrast	0.188	0.656	0.284
absurdity	bêbaweriyê	0.115	0.528	0.227
abundance	zêdayî	0.812	0.690	0.852
abundant	gellek	0.958	0.590	0.760
abuse	nebaşkaranî	0.071	0.873	0.469
abused	tawanbar kirin	0.021	0.874	0.235
abusive	rixe	0.125	0.903	0.567
abutment	windakirinê	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	danişgayî	0.781	0.420	0.812
academy	danişga	0.704	0.473	0.792
accede	şaş dike	0.698	0.510	0.537
accelerant	lezgîn	0.643	0.844	0.802
accelerate	lezdan	0.615	0.902	0.759
accelerated	zûtirîn	0.610	0.812	0.682
acceleration	lezdanî	0.704	0.905	0.843
accelerator	pêdala xazê	0.593	0.830	0.812
accent	devok	0.598	0.357	0.509
accentuate	şaş	0.673	0.556	0.667
accept	baweranîn	0.847	0.286	0.565
acceptable	bawerbar	0.812	0.286	0.583
acceptance	bawerî	0.833	0.287	0.755
acceptances	pejirandin	0.847	0.413	0.648
access	navketin	0.714	0.472	0.567
accessible	navketî	0.796	0.410	0.645
accession	pêkanîna	0.612	0.383	0.636
accessory	perçê pêva	0.562	0.292	0.445
accident	qeza	0.125	0.908	0.336
accidental	bêqesd	0.319	0.784	0.307
accidentally	tesadûfî	0.333	0.741	0.333
acclaim	pesnê	0.562	0.809	0.718
accolade	pîroz kirin	0.688	0.591	0.775
accommodate	bicihkirin	0.844	0.375	0.566
accommodation	cih	0.817	0.415	0.587
accompaniment	hevalrêtî	0.740	0.479	0.695
accompany	hevalrêtîkirin	0.833	0.406	0.585
accompanying	bi hev re	0.787	0.460	0.582
accomplice	hevpeyman	0.408	0.580	0.510
accomplish	bicihanîn	0.929	0.673	0.816
accomplished	pêk tê	0.870	0.520	0.798
accomplishment	bicihhatî	0.917	0.694	0.888
accord	peyman	0.898	0.264	0.382
accordance	li gor	0.659	0.349	0.600
accordion	akordîyon	0.604	0.490	0.361
account	konto	0.531	0.347	0.472
accountability	hesab	0.755	0.537	0.833
accountable	berpirsîyarîn	0.709	0.282	0.777
accountant	hesabdar	0.625	0.450	0.639
accounting	hesabê	0.552	0.390	0.677
accounts	hesab	0.592	0.340	0.471
accredited	naskirî	0.669	0.479	0.768
accretion	gav	0.448	0.519	0.672
accrue	hevgîhandin	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	hevcivandin	0.573	0.536	0.607
accumulation	serhevhatin	0.479	0.527	0.600
accuracy	tamî	0.604	0.481	0.802
accurate	tam	0.743	0.360	0.737
accursed	qurban	0.135	0.745	0.345
accusation	gilî	0.073	0.718	0.564
accusative	berkar	0.198	0.755	0.482
accuse	gilîkirin	0.133	0.752	0.500
accused	gilîdar	0.130	0.670	0.420
accuser	sûcdar	0.122	0.779	0.615
accusing	sûcdar	0.156	0.745	0.324
accustomed	hesibandin	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	êş	0.146	0.760	0.312
achieve	gîhaştin	0.816	0.545	0.843
achieved	bidestxistin	0.896	0.519	0.775
achievement	suxre	0.896	0.808	0.759
aching	êş	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	tirş	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	nasîn	0.786	0.370	0.661
acknowledged	pejirandin	0.714	0.443	0.765
acknowledgement	nasyarî	0.819	0.539	0.830
acknowledgment	nasyarî	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	pizik	0.167	0.474	0.308
acorn	bellot	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	akstîk	0.611	0.330	0.509
acquaint	nasdayin	0.646	0.491	0.639
acquaintance	nasî	0.656	0.290	0.670
acquainted	naskirin	0.906	0.358	0.632
acquiescence	kişandin	0.542	0.480	0.554
acquire	kirrîn	0.833	0.468	0.700
acquiring	bidestxistin	0.735	0.510	0.817
acquisition	bidestxistinî	0.698	0.509	0.736
acquisitions	dagirkeriyê	0.773	0.660	0.790
acquit	azadaxaftin	0.583	0.571	0.611
acquittal	azadakir	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	ewlekarî	0.656	0.704	0.735
acting	kirin	0.698	0.643	0.500
action	çalakî	0.760	0.898	0.802
action figure	hejmara çalakiyê	0.615	0.774	0.611
actionable	çalak kirin	0.673	0.702	0.613
activate	çalak bikin	0.764	0.650	0.806
activation	çalakiyê	0.781	0.800	0.754
active	jîr	0.847	0.730	0.731
activist	dilxwaz	0.531	0.653	0.877
activity	çalakî	0.701	0.660	0.807
actor	şanoger	0.653	0.561	0.629
actress	şanoger	0.633	0.556	0.596
actual	rast	0.729	0.400	0.716
actuality	rastiyê	0.750	0.464	0.600
actuary	çalakiyê	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	akpûnktûr	0.531	0.324	0.549
acute	acîl	0.427	0.652	0.534
acutely	zû	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	xemgîniyê	0.517	0.415	0.566
adamant	serhişk	0.344	0.529	0.575
adapt	lihevanîn	0.740	0.355	0.551
adaptable	lihevtê	0.735	0.423	0.641
adaptation	adaptasyona	0.663	0.365	0.609
add	lêzêdekirin	0.728	0.490	0.554
added	zêdekirin	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	peywend	0.075	0.696	0.327
addicted	tedawî	0.156	0.712	0.483
addiction	peywendî	0.180	0.806	0.420
addictive	nermî	0.302	0.683	0.472
addition	pitir	0.562	0.373	0.471
additional	biserre	0.673	0.462	0.526
additive	tiştênbiserre	0.561	0.633	0.691
address	navnîşan	0.650	0.327	0.567
addressee	navnîşan	0.622	0.382	0.538
addresses	navnîşan	0.510	0.354	0.450
adept	şaş	0.594	0.539	0.789
adequacy	pêdivî ye	0.615	0.435	0.702
adequate	gordil	0.854	0.264	0.705
adhere	binêrin	0.633	0.339	0.554
adherence	dilsoz	0.760	0.307	0.630
adherent	dilsoz	0.561	0.385	0.555
adhering	nirxandin	0.612	0.561	0.537
