Word	Mongolian-mn	Valence	Arousal	Dominance
aaaaaaah	aaaaaa	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	Үгүй ээ	0.385	0.407	0.288
abacus	Abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	хаях	0.052	0.519	0.245
abandoned	орхисон	0.046	0.481	0.130
abandonment	татгалзах	0.128	0.430	0.202
abashed	нойрссон	0.177	0.644	0.307
abate	унах	0.255	0.696	0.604
abatement	багасгах	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	хоргодох газар	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	товчлох	0.531	0.375	0.330
abbreviation	товчлол	0.469	0.306	0.345
abdomen	Хэвлий	0.469	0.462	0.471
abdominal	хэвлийн	0.490	0.456	0.445
abduct	хулгайлж байна	0.173	0.720	0.615
abduction	хулгайлсан	0.062	0.990	0.673
aberrant	дампуурах	0.146	0.765	0.431
aberration	гажилт	0.125	0.816	0.417
abeyance	суллах	0.330	0.510	0.292
abhor	жигшин зэвүүцэх	0.125	0.602	0.349
abhorrence	жигшсэн юм	0.167	0.684	0.420
abhorrent	бузар юм	0.229	0.750	0.474
abide	тэвчээртэй бай	0.635	0.354	0.705
abiding	тэвчээртэй байх	0.796	0.327	0.750
ability	чадвар	0.875	0.510	0.816
abject	хортой	0.354	0.590	0.417
ablation	уналт	0.418	0.500	0.500
ablaze	галд шатаа	0.240	0.847	0.525
able	боломжтой	0.786	0.500	0.810
abnormal	хэвийн бус	0.137	0.604	0.309
abnormality	хэвийн бус байдал	0.092	0.655	0.383
aboard	усан онгоцон дээр	0.698	0.284	0.481
abode	орон байр	0.620	0.302	0.500
abolish	устгах	0.448	0.615	0.529
abolition	устгах	0.323	0.690	0.529
abominable	жигшүүрт юм	0.120	0.731	0.482
abominate	жигшүүрт юм	0.198	0.788	0.366
abomination	жигшүүрт юм	0.078	0.755	0.518
aboriginal	анхдагч	0.448	0.427	0.542
abort	бүү хас	0.153	0.686	0.429
abortion	үр хөндөлт	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	элбэг дэлбэг байна	0.704	0.490	0.681
abovementioned	дээр дурдагдсан	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	үрэл	0.406	0.592	0.441
abrasive	зүлгүүр	0.392	0.610	0.593
abreast	өршөөлгүй	0.635	0.380	0.519
abroad	гадаадад	0.677	0.596	0.561
abrogate	хаях	0.327	0.510	0.594
abrupt	гэнэт	0.271	0.819	0.545
abruptly	гэнэт	0.250	0.808	0.556
abscess	буглаа	0.154	0.451	0.349
absence	байхгүй	0.153	0.235	0.266
absent	байхгүй	0.177	0.221	0.116
absentee	байхгүй хүн	0.235	0.330	0.279
absenteeism	хасагдаагүй	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	үнэмлэхүй	0.526	0.510	0.827
absolution	хувьсагч	0.715	0.500	0.664
absolve	Алдар	0.684	0.449	0.660
absorb	шингээх	0.469	0.558	0.670
absorbed	шингэсэн	0.490	0.471	0.519
absorbent	шингээгч	0.552	0.394	0.718
absorbing	шингээх	0.490	0.490	0.578
absorption	шингээлт	0.609	0.422	0.446
abstain	татгалзаарай	0.385	0.385	0.427
abstention	зогсоох	0.271	0.264	0.509
abstinence	тэвчих	0.260	0.392	0.429
abstract	хийсвэр	0.438	0.292	0.444
abstraction	хийсвэрлэх	0.469	0.439	0.525
absurd	утгагүй	0.188	0.656	0.284
absurdity	утгагүй юм	0.115	0.528	0.227
abundance	элбэг	0.812	0.690	0.852
abundant	элбэг	0.958	0.590	0.760
abuse	хүчирхийлэл	0.071	0.873	0.469
abused	хүчирхийлэлд өртсөн	0.021	0.874	0.235
abusive	доромжилсон	0.125	0.903	0.567
abutment	хүлцэл	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	харамсалтай	0.250	0.710	0.598
abyss	ёроолгүй	0.353	0.725	0.296
academic	академик	0.781	0.420	0.812
academy	академи	0.704	0.473	0.792
accede	зөвшөөрсөн	0.698	0.510	0.537
accelerant	хурдатгал	0.643	0.844	0.802
accelerate	хурдасгах	0.615	0.902	0.759
accelerated	хурдасгасан	0.610	0.812	0.682
acceleration	хурдатгал	0.704	0.905	0.843
accelerator	хурдасгуур	0.593	0.830	0.812
accent	өргөлт	0.598	0.357	0.509
accentuate	тодотгох	0.673	0.556	0.667
accept	хүлээж ав	0.847	0.286	0.565
acceptable	хүлээн зөвшөөрсөн	0.812	0.286	0.583
acceptance	хүлээн зөвшөөрөх	0.833	0.287	0.755
acceptances	хүлээн зөвшөөрөх	0.847	0.413	0.648
access	хандалт	0.714	0.472	0.567
accessible	хүртээмжтэй	0.796	0.410	0.645
accession	нэгдэн орох	0.612	0.383	0.636
accessory	дагалдах хэрэгсэл	0.562	0.292	0.445
accident	осол	0.125	0.908	0.336
accidental	санамсаргүй байдлаар	0.319	0.784	0.307
accidentally	санамсаргүйгээр	0.333	0.741	0.333
acclaim	Баярлалаа	0.562	0.809	0.718
accolade	өргөмжлөл	0.688	0.591	0.775
accommodate	байршуулах	0.844	0.375	0.566
accommodation	байр	0.817	0.415	0.587
accompaniment	дагалдан	0.740	0.479	0.695
accompany	дагалдана	0.833	0.406	0.585
accompanying	дагалдах	0.787	0.460	0.582
accomplice	хамтрагч	0.408	0.580	0.510
accomplish	гүйцэлдүүлэх	0.929	0.673	0.816
accomplished	амжилттай болсон	0.870	0.520	0.798
accomplishment	амжилт	0.917	0.694	0.888
accord	дагуу	0.898	0.264	0.382
accordance	дагуу	0.659	0.349	0.600
accordion	баян хуур	0.604	0.490	0.361
account	данс	0.531	0.347	0.472
accountability	хариуцлагын тогтолцоо	0.755	0.537	0.833
accountable	хариуцлагатай байх	0.709	0.282	0.777
accountant	нягтлан бодогч	0.625	0.450	0.639
accounting	нягтлан бодох бүртгэл	0.552	0.390	0.677
accounts	данс	0.592	0.340	0.471
accredited	итгэмжлэгдсэн	0.669	0.479	0.768
accretion	нэмэгдэл	0.448	0.519	0.672
accrue	хуримтлуулах	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	хуримтлуулах	0.573	0.536	0.607
accumulation	хуримтлал	0.479	0.527	0.600
accuracy	нарийвчлал	0.604	0.481	0.802
accurate	үнэн зөв	0.743	0.360	0.737
accursed	хараалласан	0.135	0.745	0.345
accusation	яллах	0.073	0.718	0.564
accusative	яллагдагч	0.198	0.755	0.482
accuse	буруутгаж байна	0.133	0.752	0.500
accused	яллагдагч	0.130	0.670	0.420
accuser	яллагдагч	0.122	0.779	0.615
accusing	буруутгаж байна	0.156	0.745	0.324
accustomed	дассан	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	цууны хүчил	0.333	0.420	0.519
acetylene	ацетилен	0.306	0.469	0.509
ache	Айдас	0.146	0.760	0.312
achieve	хүрэх	0.816	0.545	0.843
achieved	хүрсэн	0.896	0.519	0.775
achievement	ололт амжилт	0.896	0.808	0.759
aching	өвдөх	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	хүчил	0.265	0.642	0.566
acidity	хүчиллэг байдал	0.156	0.663	0.360
acknowledge	хүлээн зөвшөөрнө	0.786	0.370	0.661
acknowledged	хүлээн зөвшөөрсөн	0.714	0.443	0.765
acknowledgement	хүлээн зөвшөөрсөн	0.819	0.539	0.830
acknowledgment	хүлээн зөвшөөрсөн	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	Батга	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	акустик	0.542	0.462	0.536
acoustics	акустик	0.611	0.330	0.509
acquaint	танилцуулах	0.646	0.491	0.639
acquaintance	танил	0.656	0.290	0.670
acquainted	танилцсан	0.906	0.358	0.632
acquiescence	Нөхцөл байдал	0.542	0.480	0.554
acquire	Худалдан авах	0.833	0.468	0.700
acquiring	олж авах	0.735	0.510	0.817
acquisition	худалдан авах	0.698	0.509	0.736
acquisitions	Худалдан авалт	0.773	0.660	0.790
acquit	уучлаарай	0.583	0.571	0.611
acquittal	цагаатгах	0.760	0.497	0.700
acre	акр	0.583	0.387	0.423
acreage	акр талбай	0.741	0.450	0.528
acres	акр	0.510	0.363	0.500
acrobat	акробат	0.708	0.828	0.602
acrylic	нийлэг	0.582	0.279	0.420
act	үйлдэх	0.656	0.704	0.735
acting	жүжиглэх	0.698	0.643	0.500
action	үйлдэл	0.760	0.898	0.802
action figure	үйл ажиллагааны зураг	0.615	0.774	0.611
actionable	арга хэмжээ авах боломжтой	0.673	0.702	0.613
activate	идэвхжүүлэх	0.764	0.650	0.806
activation	идэвхжүүлэх	0.781	0.800	0.754
active	идэвхитэй	0.847	0.730	0.731
activist	идэвхтэн	0.531	0.653	0.877
activity	үйл ажиллагаа	0.701	0.660	0.807
actor	жүжигчин	0.653	0.561	0.629
actress	жүжигчин	0.633	0.556	0.596
actual	бодит байдал	0.729	0.400	0.716
actuality	үнэн бодит байдал	0.750	0.464	0.600
actuary	актуар	0.510	0.404	0.491
acuity	мэдрэмж	0.469	0.378	0.741
acumen	мэдрэмж	0.564	0.660	0.679
acupuncture	зүү	0.531	0.324	0.549
acute	цочмог	0.427	0.652	0.534
acutely	Айсан	0.417	0.543	0.491
ad	зар	0.521	0.705	0.558
adage	зарчмууд	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	дасан зохицох	0.740	0.355	0.551
adaptable	дасан зохицох боломжтой	0.735	0.423	0.641
adaptation	дасан зохицох	0.663	0.365	0.609
add	нэмнэ үү	0.728	0.490	0.554
added	нэмсэн	0.562	0.405	0.509
addendum	Нэмэлт	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	донтуулагч	0.075	0.696	0.327
addicted	донтсон	0.156	0.712	0.483
addiction	донтолт	0.180	0.806	0.420
addictive	донтуулагч	0.302	0.683	0.472
addition	нэмэлт	0.562	0.373	0.471
additional	нэмэлт	0.673	0.462	0.526
additive	нэмэлт	0.561	0.633	0.691
address	хаяг	0.650	0.327	0.567
addressee	хаягаар хандана уу	0.622	0.382	0.538
addresses	хаягууд	0.510	0.354	0.450
adept	сайн байна	0.594	0.539	0.789
adequacy	хүрэлцээтэй байдал	0.615	0.435	0.702
adequate	хангалттай	0.854	0.264	0.705
adhere	баримтлах	0.633	0.339	0.554
adherence	дагаж мөрдөх	0.760	0.307	0.630
adherent	дагаж мөрддөг	0.561	0.385	0.555
adhering	дагаж мөрдөх	0.612	0.561	0.537
adhesion	наалдац	0.521	0.445	0.586
adhesive	наалддаг	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	мөөгөнцөр	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	зэргэлдээ	0.645	0.276	0.536
adjective	adjective	0.570	0.316	0.569
adjoining	зэргэлдээ	0.520	0.400	0.393
adjourn	түр хүлээнэ үү	0.385	0.456	0.475
adjournment	хугацаа сунгах	0.438	0.510	0.370
adjudicate	шийдвэрлэнэ	0.559	0.520	0.683
adjudication	Шүүмжлэл	0.551	0.462	0.691
adjunct	нэмэлт байна	0.459	0.440	0.426
adjust	тохируулах	0.647	0.327	0.638
adjuster	Зохицуулагч	0.510	0.540	0.760
adjustment	тохируулга	0.590	0.520	0.661
adjuvant	Туслах хүн	0.510	0.500	0.456
admin	админ	0.688	0.420	0.854
administer	удирдах	0.635	0.425	0.860
administration	захиргаа	0.625	0.404	0.786
administrative	захиргаа	0.542	0.415	0.579
administrator	администратор	0.538	0.480	0.902
admirable	гайхалтай	0.929	0.600	0.870
admiral	адмирал	0.844	0.490	0.847
admiralty	адмирали	0.594	0.547	0.733
admiration	гайхал	0.969	0.583	0.726
admire	бахархах	0.867	0.692	0.704
admired	гайхан биширдэг	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	гайхамшигтай	0.867	0.578	0.629
admissibility	хүлээн зөвшөөрөх	0.802	0.580	0.602
admissible	хүлээн зөвшөөрсөн	0.780	0.528	0.642
admission	элсэлт	0.802	0.415	0.732
admit	хүлээн зөвшөөрнө	0.538	0.423	0.667
admittance	хүлээн зөвшөөрөх	0.690	0.451	0.598
admitted	хүлээн зөвшөөрсөн	0.720	0.490	0.767
admitting	хүлээн зөвшөөрөх	0.620	0.500	0.546
admixture	хольц	0.450	0.375	0.438
admonition	сануулга	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	өсвөр насныхан	0.487	0.694	0.444
adolescent	өсвөр насны хүүхэд	0.781	0.680	0.509
adopt	батлах	0.694	0.612	0.701
adoption	үрчлэлт	0.625	0.566	0.589
adoptive	үрчлэгдсэн	0.531	0.469	0.520
adorable	дуртай	0.969	0.519	0.457
adoration	Залбирал	0.885	0.699	0.708
adore	дуртайяа	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	засах	0.910	0.424	0.482
adornment	гоёл чимэглэл	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	гацаж байна	0.398	0.486	0.230
adult	насанд хүрэгчид	0.815	0.491	0.787
adulterated	халдашгүй	0.188	0.865	0.370
adulterer	завхайрагч	0.229	0.814	0.407
adultery	садар самуун	0.120	0.922	0.510
adulthood	насанд хүрэгчид	0.541	0.454	0.652
advance	урьдчилгаа	0.673	0.472	0.858
advanced	дэвшилтэт	0.844	0.623	0.797
advancement	дэвшил	0.776	0.650	0.839
advancing	дэвшүүлэх	0.929	0.608	0.812
advantage	Давуу тал	0.917	0.548	0.859
advantageous	давуу тал	0.837	0.640	0.789
advent	Ирээдүйд	0.665	0.560	0.627
adventure	адал явдал	0.917	0.857	0.710
adventurer	Адал явдал	0.781	0.839	0.868
adventures	адал явдал	0.812	0.764	0.749
adventurous	Адал явдал	0.969	0.898	0.722
adversary	дайсан	0.349	0.777	0.457
adverse	сөрөг	0.323	0.610	0.385
adversity	саад бэрхшээл	0.276	0.760	0.538
advertise	зар сурталчилгаа	0.500	0.529	0.580
advertisement	Зар сурталчилгаа	0.600	0.566	0.539
advertising	зар сурталчилгаа	0.622	0.608	0.632
adverts	зар сурталчилгаа	0.551	0.500	0.595
advice	зөвлөгөө	0.698	0.408	0.688
advisable	зөвлөдөг	0.867	0.480	0.510
advise	зөвлөгөө өгөх	0.760	0.393	0.705
advised	зөвлөгөө өгсөн	0.823	0.330	0.509
advisement	зөвлөгөө	0.698	0.235	0.655
adviser	зөвлөх	0.745	0.362	0.705
advisor	зөвлөх	0.646	0.350	0.689
advisory	зөвлөгөө өгөх	0.656	0.429	0.633
advocacy	сурталчилгаа	0.500	0.646	0.731
advocate	өмгөөлөгч	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	агааржуулалт	0.550	0.500	0.433
aerial	Агаар	0.615	0.461	0.463
aerobics	аэробик	0.708	0.771	0.627
aerodrome	аэродром	0.541	0.740	0.678
aerodynamic	аэродинамик	0.561	0.724	0.728
aerodynamics	аэродинамик	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	онгоц	0.714	0.642	0.644
aerospace	сансрын хөлөг	0.643	0.520	0.779
aesthetic	гоо сайхан	0.708	0.442	0.526
aesthetics	гоо сайхан	0.847	0.327	0.549
aetiology	тухайлбал,	0.480	0.398	0.615
afar	алс хол	0.396	0.373	0.358
affable	сайн байна	0.704	0.380	0.452
affair	үйл явдал	0.520	0.459	0.657
affect	нөлөөлөх	0.458	0.569	0.578
affecting	нөлөөлөх	0.350	0.574	0.394
affection	хайр дурлал	0.898	0.559	0.696
affectionate	хайрладаг	0.949	0.422	0.550
affections	сэтгэл хөдлөл	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	хараат бус	0.673	0.519	0.535
affiliation	харьяалал	0.615	0.594	0.500
affinity	ойртох	0.800	0.500	0.537
affirm	баталж байна	0.745	0.509	0.731
affirmation	баталж байна	0.750	0.500	0.689
affirmative	батлах	0.854	0.589	0.816
affirmatively	Нөхцөл байдал	0.908	0.500	0.811
affix	дар	0.438	0.335	0.411
afflict	зовлонтой байна	0.302	0.555	0.293
afflicted	зовж шаналсан	0.271	0.500	0.167
affliction	зовлон зүдүүр	0.294	0.635	0.392
affluence	Ашигт малтмал	0.663	0.618	0.722
affluent	чинээлэг	0.756	0.388	0.477
afford	төлөх	0.571	0.580	0.575
affordable	боломжийн	0.840	0.398	0.493
affront	зовлонтой	0.327	0.740	0.547
affronted	зовж шаналсан	0.385	0.750	0.527
afield	талбайнууд	0.594	0.370	0.373
afire	гал	0.367	0.904	0.675
afloat	өрсөлдөж байна	0.602	0.427	0.444
afore	Өмнө нь	0.500	0.337	0.382
aforementioned	Дээр дурдсан	0.490	0.316	0.408
aforesaid	дээр дурдсан	0.531	0.358	0.478
afraid	айдас	0.010	0.775	0.245
afresh	дахиад л	0.643	0.521	0.480
african	Африк	0.490	0.423	0.555
aft	дараа нь	0.480	0.417	0.518
afterlife	дараа нь	0.571	0.567	0.568
aftermath	дараа нь	0.312	0.449	0.444
afternoon	үдээс хойш	0.533	0.388	0.339
aftershave	Дараа нь	0.406	0.384	0.415
aftertaste	дараах зүйл	0.354	0.362	0.455
afterthought	Дараа нь	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	оникс	0.540	0.377	0.483
age	нас	0.561	0.226	0.498
aged	насны	0.135	0.365	0.236
agency	агентлаг	0.460	0.296	0.583
agenda	хэлэлцэх асуудал	0.531	0.296	0.553
agent	агент	0.480	0.439	0.755
agglomeration	бөөгнөрөл	0.450	0.765	0.509
aggravate	улам хүндрэх	0.224	0.770	0.464
aggravated	улам хүндрэв	0.079	0.760	0.430
aggravates	хүндрүүлдэг	0.108	0.778	0.357
aggravating	улам хүндрэх	0.257	0.794	0.640
aggravation	доройтсон	0.071	0.784	0.613
aggregate	нийлбэр	0.730	0.378	0.556
aggregation	нэгтгэсэн	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	түрэмгийлэл	0.094	0.929	0.533
aggressive	түрэмгий	0.125	0.949	0.648
aggressively	түрэмгий	0.250	0.926	0.688
aggressiveness	түрэмгийлэл	0.077	0.913	0.648
aggressor	түрэмгийлэгч	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	агш	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	аятайхан	0.800	0.657	0.775
agility	Ачаалал	0.720	0.702	0.815
aging	хөгшрөлт	0.214	0.255	0.284
agitate	түрэмгийлэл	0.300	0.796	0.593
agitated	шоолсон	0.444	0.882	0.491
agitation	шуугиан тарих	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
