Word	Polish-pl	Valence	Arousal	Dominance
aaaaaaah	aaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	wstecz	0.385	0.407	0.288
abacus	liczydło	0.510	0.276	0.485
abalone	uchowiec	0.500	0.480	0.412
abandon	porzucić	0.052	0.519	0.245
abandoned	opuszczony	0.046	0.481	0.130
abandonment	porzucenie	0.128	0.430	0.202
abashed	speszony	0.177	0.644	0.307
abate	zmniejszać	0.255	0.696	0.604
abatement	obniżka	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	opactwo	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	skracać	0.531	0.375	0.330
abbreviation	skrót	0.469	0.306	0.345
abdomen	brzuch	0.469	0.462	0.471
abdominal	brzuszny	0.490	0.456	0.445
abduct	uprowadzać	0.173	0.720	0.615
abduction	uprowadzenie	0.062	0.990	0.673
aberrant	anormalny	0.146	0.765	0.431
aberration	aberracja	0.125	0.816	0.417
abeyance	stan zawieszenia	0.330	0.510	0.292
abhor	czuć wstręt	0.125	0.602	0.349
abhorrence	wstręt	0.167	0.684	0.420
abhorrent	odrażający	0.229	0.750	0.474
abide	przestrzegać	0.635	0.354	0.705
abiding	trwały	0.796	0.327	0.750
ability	umiejętność	0.875	0.510	0.816
abject	nikczemny	0.354	0.590	0.417
ablation	ablacja	0.418	0.500	0.500
ablaze	w ogniu	0.240	0.847	0.525
able	zdolny	0.786	0.500	0.810
abnormal	nieprawidłowy	0.137	0.604	0.309
abnormality	nieprawidłowość	0.092	0.655	0.383
aboard	na	0.698	0.284	0.481
abode	siedziba	0.620	0.302	0.500
abolish	znieść	0.448	0.615	0.529
abolition	zniesienie	0.323	0.690	0.529
abominable	wstrętny	0.120	0.731	0.482
abominate	nienawidzić	0.198	0.788	0.366
abomination	wstręt	0.078	0.755	0.518
aboriginal	rodowity	0.448	0.427	0.542
abort	anulować	0.153	0.686	0.429
abortion	poronienie	0.082	0.770	0.283
abortive	nieudany	0.090	0.776	0.280
abound	obfitować	0.704	0.490	0.681
abovementioned	wyżej wymienione	0.541	0.298	0.509
abracadabra	abrakadabra	0.673	0.632	0.434
abrasion	przetarcie	0.406	0.592	0.441
abrasive	ścierny	0.392	0.610	0.593
abreast	ramię przy ramieniu	0.635	0.380	0.519
abroad	za granicą	0.677	0.596	0.561
abrogate	unieważnić	0.327	0.510	0.594
abrupt	nagły	0.271	0.819	0.545
abruptly	nagle	0.250	0.808	0.556
abscess	ropień	0.154	0.451	0.349
absence	brak	0.153	0.235	0.266
absent	nieobecny	0.177	0.221	0.116
absentee	bumelant	0.235	0.330	0.279
absenteeism	absencja	0.404	0.273	0.357
absinthe	Absynt	0.481	0.510	0.462
absolute	absolutny	0.526	0.510	0.827
absolution	rozgrzeszenie	0.715	0.500	0.664
absolve	rozgrzeszać	0.684	0.449	0.660
absorb	absorbować	0.469	0.558	0.670
absorbed	zaabsorbowany	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	absorbujący	0.490	0.490	0.578
absorption	wchłanianie	0.609	0.422	0.446
abstain	wstrzymać się	0.385	0.385	0.427
abstention	wstrzymanie się od głosu	0.271	0.264	0.509
abstinence	abstynencja	0.260	0.392	0.429
abstract	abstrakcyjny	0.438	0.292	0.444
abstraction	abstrakcja	0.469	0.439	0.525
absurd	absurdalny	0.188	0.656	0.284
absurdity	absurdalność	0.115	0.528	0.227
abundance	obfitość	0.812	0.690	0.852
abundant	obfity	0.958	0.590	0.760
abuse	nadużycie	0.071	0.873	0.469
abused	maltretowany	0.021	0.874	0.235
abusive	obraźliwy	0.125	0.903	0.567
abutment	przyczółek	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	bezdenny	0.250	0.710	0.598
abyss	przepaść	0.353	0.725	0.296
academic	akademicki	0.781	0.420	0.812
academy	akademia	0.704	0.473	0.792
accede	przystąpić	0.698	0.510	0.537
accelerant	przyśpieszacz	0.643	0.844	0.802
accelerate	przyśpieszyć	0.615	0.902	0.759
accelerated	przyśpieszony	0.610	0.812	0.682
acceleration	przyśpieszenie	0.704	0.905	0.843
accelerator	akcelerator	0.593	0.830	0.812
accent	akcent	0.598	0.357	0.509
accentuate	podkreślać	0.673	0.556	0.667
accept	zaakceptować	0.847	0.286	0.565
acceptable	do przyjęcia	0.812	0.286	0.583
acceptance	przyjęcie	0.833	0.287	0.755
acceptances	akceptacje	0.847	0.413	0.648
access	dostęp	0.714	0.472	0.567
accessible	dostępny	0.796	0.410	0.645
accession	przystąpienie	0.612	0.383	0.636
accessory	akcesorium	0.562	0.292	0.445
accident	wypadek	0.125	0.908	0.336
accidental	przypadkowy	0.319	0.784	0.307
accidentally	przypadkowo	0.333	0.741	0.333
acclaim	oklaskiwać	0.562	0.809	0.718
accolade	uznanie	0.688	0.591	0.775
accommodate	pomieścić	0.844	0.375	0.566
accommodation	nocleg	0.817	0.415	0.587
accompaniment	akompaniament	0.740	0.479	0.695
accompany	towarzyszyć	0.833	0.406	0.585
accompanying	towarzyszący	0.787	0.460	0.582
accomplice	wspólnik	0.408	0.580	0.510
accomplish	ukończyć	0.929	0.673	0.816
accomplished	znakomity	0.870	0.520	0.798
accomplishment	osiągnięcie	0.917	0.694	0.888
accord	porozumienie	0.898	0.264	0.382
accordance	zgodność	0.659	0.349	0.600
accordion	akordeon	0.604	0.490	0.361
account	konto	0.531	0.347	0.472
accountability	odpowiedzialność	0.755	0.537	0.833
accountable	odpowiedzialny	0.709	0.282	0.777
accountant	księgowa	0.625	0.450	0.639
accounting	rachunkowość	0.552	0.390	0.677
accounts	konta	0.592	0.340	0.471
accredited	akredytowany	0.669	0.479	0.768
accretion	przyrost	0.448	0.519	0.672
accrue	płynąć	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	gromadzić	0.573	0.536	0.607
accumulation	akumulacja	0.479	0.527	0.600
accuracy	precyzja	0.604	0.481	0.802
accurate	dokładny	0.743	0.360	0.737
accursed	przeklęty	0.135	0.745	0.345
accusation	oskarżenie	0.073	0.718	0.564
accusative	biernik	0.198	0.755	0.482
accuse	oskarżać	0.133	0.752	0.500
accused	oskarżony	0.130	0.670	0.420
accuser	oskarżyciel	0.122	0.779	0.615
accusing	oskarżając	0.156	0.745	0.324
accustomed	przyzwyczajony	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	octowy	0.333	0.420	0.519
acetylene	acetylen	0.306	0.469	0.509
