Word	Romanian-ro	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Aardvark	0.427	0.490	0.437
aback	prin surprindere	0.385	0.407	0.288
abacus	abac	0.510	0.276	0.485
abalone	scoică abalone	0.500	0.480	0.412
abandon	abandon	0.052	0.519	0.245
abandoned	abandonat	0.046	0.481	0.130
abandonment	abandon	0.128	0.430	0.202
abashed	ruşinat	0.177	0.644	0.307
abate	reduce	0.255	0.696	0.604
abatement	reducere	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abaţie	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	prescurta	0.531	0.375	0.330
abbreviation	abreviere	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	răpi	0.173	0.720	0.615
abduction	răpire	0.062	0.990	0.673
aberrant	aberant	0.146	0.765	0.431
aberration	aberaţie	0.125	0.816	0.417
abeyance	suspendare	0.330	0.510	0.292
abhor	detesta	0.125	0.602	0.349
abhorrence	oroare	0.167	0.684	0.420
abhorrent	respingător	0.229	0.750	0.474
abide	rămâne	0.635	0.354	0.705
abiding	statornic	0.796	0.327	0.750
ability	abilitate	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablațiune	0.418	0.500	0.500
ablaze	aprins	0.240	0.847	0.525
able	capabil	0.786	0.500	0.810
abnormal	anormal	0.137	0.604	0.309
abnormality	anomalie	0.092	0.655	0.383
aboard	la bordul	0.698	0.284	0.481
abode	domiciliu	0.620	0.302	0.500
abolish	aboli	0.448	0.615	0.529
abolition	desființare	0.323	0.690	0.529
abominable	abominabil	0.120	0.731	0.482
abominate	detesta	0.198	0.788	0.366
abomination	scârbă	0.078	0.755	0.518
aboriginal	aborigen	0.448	0.427	0.542
abort	avorta	0.153	0.686	0.429
abortion	intrerupere de sarcina	0.082	0.770	0.283
abortive	nereușit	0.090	0.776	0.280
abound	abunda	0.704	0.490	0.681
abovementioned	menționat mai sus	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abraziune	0.406	0.592	0.441
abrasive	abraziv	0.392	0.610	0.593
abreast	alături	0.635	0.380	0.519
abroad	in strainatate	0.677	0.596	0.561
abrogate	abroga	0.327	0.510	0.594
abrupt	brusc	0.271	0.819	0.545
abruptly	brusc	0.250	0.808	0.556
abscess	abces	0.154	0.451	0.349
absence	absență	0.153	0.235	0.266
absent	absent	0.177	0.221	0.116
absentee	absent	0.235	0.330	0.279
absenteeism	absenteism	0.404	0.273	0.357
absinthe	absint	0.481	0.510	0.462
absolute	absolut	0.526	0.510	0.827
absolution	iertare	0.715	0.500	0.664
absolve	absolvi	0.684	0.449	0.660
absorb	absorbi	0.469	0.558	0.670
absorbed	absorbită	0.490	0.471	0.519
absorbent	absorbant	0.552	0.394	0.718
absorbing	absorbant	0.490	0.490	0.578
absorption	absorbţie	0.609	0.422	0.446
abstain	abține	0.385	0.385	0.427
abstention	abţinere	0.271	0.264	0.509
abstinence	abstinență	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	abstracție	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurditate	0.115	0.528	0.227
abundance	abundenţă	0.812	0.690	0.852
abundant	abundent	0.958	0.590	0.760
abuse	abuz	0.071	0.873	0.469
abused	abuzat	0.021	0.874	0.235
abusive	abuziv	0.125	0.903	0.567
abutment	pilastru	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abisal	0.250	0.710	0.598
abyss	abis	0.353	0.725	0.296
academic	academic	0.781	0.420	0.812
academy	academie	0.704	0.473	0.792
accede	adera	0.698	0.510	0.537
accelerant	Accelerant	0.643	0.844	0.802
accelerate	accelera	0.615	0.902	0.759
accelerated	accelerat	0.610	0.812	0.682
acceleration	accelerare	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	accentua	0.673	0.556	0.667
accept	Accept	0.847	0.286	0.565
acceptable	acceptabil	0.812	0.286	0.583
acceptance	acceptare	0.833	0.287	0.755
acceptances	acceptările	0.847	0.413	0.648
access	acces	0.714	0.472	0.567
accessible	accesibil	0.796	0.410	0.645
accession	acces	0.612	0.383	0.636
accessory	accesorii	0.562	0.292	0.445
accident	accident	0.125	0.908	0.336
accidental	accidental	0.319	0.784	0.307
accidentally	accidental	0.333	0.741	0.333
acclaim	aclama	0.562	0.809	0.718
accolade	acoladă	0.688	0.591	0.775
accommodate	găzdui	0.844	0.375	0.566
accommodation	cazare	0.817	0.415	0.587
accompaniment	acompaniament	0.740	0.479	0.695
accompany	însoți	0.833	0.406	0.585
accompanying	acompaniind	0.787	0.460	0.582
accomplice	complice	0.408	0.580	0.510
accomplish	realiza	0.929	0.673	0.816
accomplished	realizat	0.870	0.520	0.798
accomplishment	realizare	0.917	0.694	0.888
accord	acord	0.898	0.264	0.382
accordance	concordanță	0.659	0.349	0.600
accordion	acordeon	0.604	0.490	0.361
account	cont	0.531	0.347	0.472
accountability	responsabilitate	0.755	0.537	0.833
accountable	responsabil	0.709	0.282	0.777
accountant	contabil	0.625	0.450	0.639
accounting	contabilitate	0.552	0.390	0.677
accounts	conturi	0.592	0.340	0.471
accredited	acreditat	0.669	0.479	0.768
accretion	concreștere	0.448	0.519	0.672
accrue	crește	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	acumula	0.573	0.536	0.607
accumulation	acumulare	0.479	0.527	0.600
accuracy	precizie	0.604	0.481	0.802
accurate	precis	0.743	0.360	0.737
accursed	blestemat	0.135	0.745	0.345
accusation	acuzare	0.073	0.718	0.564
accusative	acuzativ	0.198	0.755	0.482
accuse	acuza	0.133	0.752	0.500
accused	acuzat	0.130	0.670	0.420
accuser	acuzator	0.122	0.779	0.615
accusing	acuzare	0.156	0.745	0.324
accustomed	obișnuit	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetilenă	0.306	0.469	0.509
ache	durere	0.146	0.760	0.312
achieve	obține	0.816	0.545	0.843
achieved	realizat	0.896	0.519	0.775
achievement	realizare	0.896	0.808	0.759
aching	dureros	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	aciditate	0.156	0.663	0.360
acknowledge	recunoaște	0.786	0.370	0.661
acknowledged	recunoscut	0.714	0.443	0.765
acknowledgement	confirmare	0.819	0.539	0.830
acknowledgment	confirmare	0.796	0.528	0.777
acme	culme	0.408	0.435	0.375
acne	acnee	0.167	0.474	0.308
acorn	ghindă	0.448	0.198	0.192
acoustic	acustic	0.542	0.462	0.536
acoustics	acustică	0.611	0.330	0.509
acquaint	cunoștință	0.646	0.491	0.639
acquaintance	cunoștință	0.656	0.290	0.670
acquainted	cunoscut	0.906	0.358	0.632
acquiescence	asentiment	0.542	0.480	0.554
acquire	dobândi	0.833	0.468	0.700
acquiring	dobândirea	0.735	0.510	0.817
acquisition	achiziţie	0.698	0.509	0.736
acquisitions	achiziții	0.773	0.660	0.790
acquit	achita	0.583	0.571	0.611
acquittal	achitare	0.760	0.497	0.700
acre	acru	0.583	0.387	0.423
acreage	suprafața cultivată	0.741	0.450	0.528
acres	acri	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acril	0.582	0.279	0.420
act	act	0.656	0.704	0.735
acting	actorie	0.698	0.643	0.500
action	acțiune	0.760	0.898	0.802
action figure	figura de acțiune	0.615	0.774	0.611
actionable	atacabil	0.673	0.702	0.613
activate	Activati	0.764	0.650	0.806
activation	activarea	0.781	0.800	0.754
active	activ	0.847	0.730	0.731
activist	activist	0.531	0.653	0.877
activity	activitate	0.701	0.660	0.807
actor	actor	0.653	0.561	0.629
actress	actriţă	0.633	0.556	0.596
actual	real	0.729	0.400	0.716
actuality	actualitate	0.750	0.464	0.600
actuary	actuar	0.510	0.404	0.491
acuity	acuitate	0.469	0.378	0.741
acumen	pătrundere	0.564	0.660	0.679
acupuncture	acupunctura	0.531	0.324	0.549
acute	acut	0.427	0.652	0.534
acutely	acut	0.417	0.543	0.491
ad	anunț	0.521	0.705	0.558
adage	zicală	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	adapta	0.740	0.355	0.551
adaptable	adaptabil	0.735	0.423	0.641
adaptation	adaptare	0.663	0.365	0.609
add	adăuga	0.728	0.490	0.554
added	adăugat	0.562	0.405	0.509
addendum	addenda	0.392	0.370	0.418
adder	sumator	0.388	0.461	0.588
addict	vicios	0.075	0.696	0.327
addicted	dependent	0.156	0.712	0.483
addiction	dependenta	0.180	0.806	0.420
addictive	dependență	0.302	0.683	0.472
addition	plus	0.562	0.373	0.471
additional	adiţional	0.673	0.462	0.526
additive	aditiv	0.561	0.633	0.691
address	adresa	0.650	0.327	0.567
addressee	destinatar	0.622	0.382	0.538
addresses	adrese	0.510	0.354	0.450
adept	expert	0.594	0.539	0.789
adequacy	adecvarea	0.615	0.435	0.702
adequate	adecvat	0.854	0.264	0.705
adhere	adera	0.633	0.339	0.554
adherence	aderare	0.760	0.307	0.630
adherent	aderent	0.561	0.385	0.555
adhering	aderare	0.612	0.561	0.537
adhesion	adeziune	0.521	0.445	0.586
adhesive	adeziv	0.604	0.350	0.413
adieu	Adio	0.250	0.471	0.342
adipose	adipos	0.333	0.350	0.391
adjacency	adiacență	0.365	0.417	0.375
adjacent	adiacent	0.645	0.276	0.536
adjective	adjectiv	0.570	0.316	0.569
adjoining	învecinat	0.520	0.400	0.393
adjourn	suspenda	0.385	0.456	0.475
adjournment	amânare	0.438	0.510	0.370
