Word	Russian-ru	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	трубкозуб	0.427	0.490	0.437
aback	сзади	0.385	0.407	0.288
abacus	счеты	0.510	0.276	0.485
abalone	морское ушко	0.500	0.480	0.412
abandon	отказаться от	0.052	0.519	0.245
abandoned	заброшенный	0.046	0.481	0.130
abandonment	оставление	0.128	0.430	0.202
abashed	сконфуженный	0.177	0.644	0.307
abate	утихать	0.255	0.696	0.604
abatement	снижение	0.388	0.338	0.336
abba	авва	0.562	0.500	0.480
abbey	аббатство	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	сокращать	0.531	0.375	0.330
abbreviation	сокращение	0.469	0.306	0.345
abdomen	брюшная полость	0.469	0.462	0.471
abdominal	абдоминальный	0.490	0.456	0.445
abduct	похищать	0.173	0.720	0.615
abduction	отведение	0.062	0.990	0.673
aberrant	отклоняющийся	0.146	0.765	0.431
aberration	аберрация	0.125	0.816	0.417
abeyance	латентность	0.330	0.510	0.292
abhor	питать отвращение	0.125	0.602	0.349
abhorrence	омерзение	0.167	0.684	0.420
abhorrent	отвратительный	0.229	0.750	0.474
abide	соблюдать	0.635	0.354	0.705
abiding	неизменный	0.796	0.327	0.750
ability	способность	0.875	0.510	0.816
abject	униженный	0.354	0.590	0.417
ablation	абляция	0.418	0.500	0.500
ablaze	пылать	0.240	0.847	0.525
able	в состоянии	0.786	0.500	0.810
abnormal	ненормальный	0.137	0.604	0.309
abnormality	ненормальность	0.092	0.655	0.383
aboard	на борту	0.698	0.284	0.481
abode	местопребывание	0.620	0.302	0.500
abolish	упразднять	0.448	0.615	0.529
abolition	отмена	0.323	0.690	0.529
abominable	отвратительный	0.120	0.731	0.482
abominate	питать отвращение	0.198	0.788	0.366
abomination	мерзость	0.078	0.755	0.518
aboriginal	аборигенный	0.448	0.427	0.542
abort	выкинуть	0.153	0.686	0.429
abortion	аборт	0.082	0.770	0.283
abortive	абортивный	0.090	0.776	0.280
abound	изобиловать	0.704	0.490	0.681
abovementioned	вышеупомянутый	0.541	0.298	0.509
abracadabra	абракадабра	0.673	0.632	0.434
abrasion	истирание	0.406	0.592	0.441
abrasive	абразивный	0.392	0.610	0.593
abreast	в ряд	0.635	0.380	0.519
abroad	за границу	0.677	0.596	0.561
abrogate	упразднять	0.327	0.510	0.594
abrupt	крутой	0.271	0.819	0.545
abruptly	резко	0.250	0.808	0.556
abscess	абсцесс	0.154	0.451	0.349
absence	отсутствие	0.153	0.235	0.266
absent	нет на месте	0.177	0.221	0.116
absentee	отсутствующий	0.235	0.330	0.279
absenteeism	абсентеизм	0.404	0.273	0.357
absinthe	абсент	0.481	0.510	0.462
absolute	абсолютный	0.526	0.510	0.827
absolution	отпущение грехов	0.715	0.500	0.664
absolve	освобождать	0.684	0.449	0.660
absorb	абсорбировать	0.469	0.558	0.670
absorbed	поглощенный	0.490	0.471	0.519
absorbent	абсорбирующий	0.552	0.394	0.718
absorbing	поглощающий	0.490	0.490	0.578
absorption	поглощение	0.609	0.422	0.446
abstain	воздерживаться	0.385	0.385	0.427
abstention	воздержанность	0.271	0.264	0.509
abstinence	абстиненция	0.260	0.392	0.429
abstract	Абстрактные	0.438	0.292	0.444
abstraction	абстракция	0.469	0.439	0.525
absurd	абсурд	0.188	0.656	0.284
absurdity	нелепость	0.115	0.528	0.227
abundance	изобилие	0.812	0.690	0.852
abundant	обильный	0.958	0.590	0.760
abuse	злоупотребление	0.071	0.873	0.469
abused	злоупотребляли	0.021	0.874	0.235
abusive	оскорбительный	0.125	0.903	0.567
abutment	устой	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	бездонный	0.250	0.710	0.598
abyss	бездна	0.353	0.725	0.296
academic	академический	0.781	0.420	0.812
academy	академия	0.704	0.473	0.792
accede	присоединяться	0.698	0.510	0.537
accelerant	ускоритель	0.643	0.844	0.802
accelerate	ускорять	0.615	0.902	0.759
accelerated	ускоренный	0.610	0.812	0.682
acceleration	ускорение	0.704	0.905	0.843
accelerator	ускоритель	0.593	0.830	0.812
accent	акцент	0.598	0.357	0.509
accentuate	акцентировать	0.673	0.556	0.667
accept	принимать	0.847	0.286	0.565
acceptable	приемлемо	0.812	0.286	0.583
acceptance	принятие	0.833	0.287	0.755
acceptances	акцепты	0.847	0.413	0.648
access	доступ	0.714	0.472	0.567
accessible	доступной	0.796	0.410	0.645
accession	присоединение	0.612	0.383	0.636
accessory	аксессуар	0.562	0.292	0.445
accident	авария	0.125	0.908	0.336
accidental	случайный	0.319	0.784	0.307
accidentally	случайно	0.333	0.741	0.333
acclaim	шумное приветствие	0.562	0.809	0.718
accolade	акколада	0.688	0.591	0.775
accommodate	вмещать	0.844	0.375	0.566
accommodation	жилье	0.817	0.415	0.587
accompaniment	сопровождение	0.740	0.479	0.695
accompany	сопровождать	0.833	0.406	0.585
accompanying	сопровождая	0.787	0.460	0.582
accomplice	соучастник	0.408	0.580	0.510
accomplish	выполнять	0.929	0.673	0.816
accomplished	осуществляется	0.870	0.520	0.798
accomplishment	достижение	0.917	0.694	0.888
accord	согласие	0.898	0.264	0.382
accordance	соответствие	0.659	0.349	0.600
accordion	аккордеон	0.604	0.490	0.361
account	Счет	0.531	0.347	0.472
accountability	подотчетность	0.755	0.537	0.833
accountable	подотчетный	0.709	0.282	0.777
accountant	бухгалтер	0.625	0.450	0.639
accounting	учет	0.552	0.390	0.677
accounts	Счета	0.592	0.340	0.471
accredited	аккредитованный	0.669	0.479	0.768
accretion	срастание	0.448	0.519	0.672
accrue	доставаться	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	скапливаться	0.573	0.536	0.607
accumulation	накопление	0.479	0.527	0.600
accuracy	точность	0.604	0.481	0.802
accurate	точный	0.743	0.360	0.737
accursed	проклятый	0.135	0.745	0.345
accusation	обвинение	0.073	0.718	0.564
accusative	винительный	0.198	0.755	0.482
accuse	обвинять	0.133	0.752	0.500
accused	обвиняемый	0.130	0.670	0.420
accuser	обвинитель	0.122	0.779	0.615
accusing	обвинение	0.156	0.745	0.324
accustomed	привыкший	0.542	0.365	0.441
ace	туз	0.643	0.481	0.546
acetic	уксусный	0.333	0.420	0.519
acetylene	ацетилен	0.306	0.469	0.509
ache	боль	0.146	0.760	0.312
achieve	достигать	0.816	0.545	0.843
achieved	достигнутый	0.896	0.519	0.775
achievement	достижение	0.896	0.808	0.759
aching	болящий	0.053	0.880	0.348
achy	больной	0.167	0.840	0.373
acid	кислота	0.265	0.642	0.566
acidity	кислотность	0.156	0.663	0.360
acknowledge	признавать	0.786	0.370	0.661
acknowledged	признанный	0.714	0.443	0.765
acknowledgement	подтверждение	0.819	0.539	0.830
acknowledgment	подтверждение	0.796	0.528	0.777
acme	кульминация	0.408	0.435	0.375
acne	акне	0.167	0.474	0.308
acorn	желудь	0.448	0.198	0.192
acoustic	акустическое	0.542	0.462	0.536
acoustics	акустика	0.611	0.330	0.509
acquaint	знакомить	0.646	0.491	0.639
acquaintance	знакомство	0.656	0.290	0.670
acquainted	знакомый	0.906	0.358	0.632
acquiescence	уступчивость	0.542	0.480	0.554
acquire	приобретать	0.833	0.468	0.700
acquiring	приобретение	0.735	0.510	0.817
acquisition	получение	0.698	0.509	0.736
acquisitions	приобретения	0.773	0.660	0.790
acquit	оправдать	0.583	0.571	0.611
acquittal	оправдание	0.760	0.497	0.700
acre	акр	0.583	0.387	0.423
acreage	площадь	0.741	0.450	0.528
acres	акра	0.510	0.363	0.500
acrobat	акробат	0.708	0.828	0.602
acrylic	акрил	0.582	0.279	0.420
act	акт	0.656	0.704	0.735
acting	действующий	0.698	0.643	0.500
action	действие	0.760	0.898	0.802
action figure	фигура действия	0.615	0.774	0.611
actionable	действенные	0.673	0.702	0.613
activate	активировать	0.764	0.650	0.806
activation	активация	0.781	0.800	0.754
active	активный	0.847	0.730	0.731
activist	активист	0.531	0.653	0.877
activity	Мероприятия	0.701	0.660	0.807
actor	актер	0.653	0.561	0.629
actress	актриса	0.633	0.556	0.596
actual	фактический	0.729	0.400	0.716
actuality	действительность	0.750	0.464	0.600
actuary	актуарий	0.510	0.404	0.491
acuity	острота	0.469	0.378	0.741
acumen	сообразительность	0.564	0.660	0.679
acupuncture	иглоукалывание	0.531	0.324	0.549
acute	острый	0.427	0.652	0.534
acutely	остро	0.417	0.543	0.491
ad	объявление	0.521	0.705	0.558
adage	изречение	0.517	0.415	0.566
adamant	непреклонный	0.344	0.529	0.575
adapt	адаптироваться	0.740	0.355	0.551
adaptable	адаптируются	0.735	0.423	0.641
adaptation	приспособление	0.663	0.365	0.609
add	Добавить	0.728	0.490	0.554
added	добавленной	0.562	0.405	0.509
addendum	добавление	0.392	0.370	0.418
adder	сумматор	0.388	0.461	0.588
addict	наркоман	0.075	0.696	0.327
addicted	склонный	0.156	0.712	0.483
addiction	зависимость	0.180	0.806	0.420
addictive	привыкание	0.302	0.683	0.472
addition	прибавление	0.562	0.373	0.471
additional	дополнительный	0.673	0.462	0.526
additive	присадка	0.561	0.633	0.691
address	адрес	0.650	0.327	0.567
addressee	адресат	0.622	0.382	0.538
addresses	адреса	0.510	0.354	0.450
adept	искусный	0.594	0.539	0.789
adequacy	достаточность	0.615	0.435	0.702
adequate	адекватный	0.854	0.264	0.705
adhere	придерживаться	0.633	0.339	0.554
adherence	соблюдение	0.760	0.307	0.630
adherent	приверженец	0.561	0.385	0.555
adhering	придерживаясь	0.612	0.561	0.537
adhesion	адгезия	0.521	0.445	0.586
adhesive	клей	0.604	0.350	0.413
adieu	прощайте	0.250	0.471	0.342
adipose	жировой	0.333	0.350	0.391
adjacency	смежность	0.365	0.417	0.375
