Word	Serbian-sr	Valence	Arousal	Dominance
aaaaaaah	ааааааах	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	аардварк	0.427	0.490	0.437
aback	абацк	0.385	0.407	0.288
abacus	абакус	0.510	0.276	0.485
abalone	абалоне	0.500	0.480	0.412
abandon	напустити	0.052	0.519	0.245
abandoned	напуштен	0.046	0.481	0.130
abandonment	напуштање	0.128	0.430	0.202
abashed	убрзано	0.177	0.644	0.307
abate	умањи	0.255	0.696	0.604
abatement	смањење	0.388	0.338	0.336
abba	абба	0.562	0.500	0.480
abbey	аббеи	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	Скраћени	0.531	0.375	0.330
abbreviation	скраћеница	0.469	0.306	0.345
abdomen	стомак	0.469	0.462	0.471
abdominal	абдоминална	0.490	0.456	0.445
abduct	абдуцт	0.173	0.720	0.615
abduction	отмица	0.062	0.990	0.673
aberrant	аберрант	0.146	0.765	0.431
aberration	аберратион	0.125	0.816	0.417
abeyance	абеианце	0.330	0.510	0.292
abhor	узнемири се	0.125	0.602	0.349
abhorrence	аборенција	0.167	0.684	0.420
abhorrent	одвратан	0.229	0.750	0.474
abide	поштовати	0.635	0.354	0.705
abiding	поштовање	0.796	0.327	0.750
ability	способност	0.875	0.510	0.816
abject	абјецт	0.354	0.590	0.417
ablation	аблација	0.418	0.500	0.500
ablaze	пламен	0.240	0.847	0.525
able	у могуцности	0.786	0.500	0.810
abnormal	абнормално	0.137	0.604	0.309
abnormality	абнормалност	0.092	0.655	0.383
aboard	на броду	0.698	0.284	0.481
abode	пребивалиште	0.620	0.302	0.500
abolish	укинути	0.448	0.615	0.529
abolition	укидања	0.323	0.690	0.529
abominable	гнусно	0.120	0.731	0.482
abominate	абоминате	0.198	0.788	0.366
abomination	абоминатион	0.078	0.755	0.518
aboriginal	Аборигинал	0.448	0.427	0.542
abort	прекид	0.153	0.686	0.429
abortion	абортус	0.082	0.770	0.283
abortive	абортивно	0.090	0.776	0.280
abound	обилује	0.704	0.490	0.681
abovementioned	Горе поменути	0.541	0.298	0.509
abracadabra	абрацадабра	0.673	0.632	0.434
abrasion	абразија	0.406	0.592	0.441
abrasive	абразивни	0.392	0.610	0.593
abreast	ускоро	0.635	0.380	0.519
abroad	иностранство	0.677	0.596	0.561
abrogate	укинути	0.327	0.510	0.594
abrupt	нагло	0.271	0.819	0.545
abruptly	изненада	0.250	0.808	0.556
abscess	апсцеса	0.154	0.451	0.349
absence	одсуство	0.153	0.235	0.266
absent	одсутан	0.177	0.221	0.116
absentee	одсутан	0.235	0.330	0.279
absenteeism	одсуствовање	0.404	0.273	0.357
absinthe	абсинтхе	0.481	0.510	0.462
absolute	апсолутно	0.526	0.510	0.827
absolution	абсолутион	0.715	0.500	0.664
absolve	ослободи	0.684	0.449	0.660
absorb	апсорбовати	0.469	0.558	0.670
absorbed	апсорбован	0.490	0.471	0.519
absorbent	апсорбент	0.552	0.394	0.718
absorbing	апсорбују	0.490	0.490	0.578
absorption	апсорпција	0.609	0.422	0.446
abstain	апстинирати	0.385	0.385	0.427
abstention	апстиненцију	0.271	0.264	0.509
abstinence	апстиненција	0.260	0.392	0.429
abstract	апстрактан	0.438	0.292	0.444
abstraction	одвајање	0.469	0.439	0.525
absurd	апсурдно	0.188	0.656	0.284
absurdity	апсурдност	0.115	0.528	0.227
abundance	заступљеност	0.812	0.690	0.852
abundant	обиљем	0.958	0.590	0.760
abuse	злоупотреба	0.071	0.873	0.469
abused	злоупотребљава	0.021	0.874	0.235
abusive	увредљив	0.125	0.903	0.567
abutment	абутмент	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	неспретно	0.250	0.710	0.598
abyss	абисс	0.353	0.725	0.296
academic	академски	0.781	0.420	0.812
academy	академија	0.704	0.473	0.792
accede	пристани	0.698	0.510	0.537
accelerant	акцелерант	0.643	0.844	0.802
accelerate	убрзати	0.615	0.902	0.759
accelerated	убрзано	0.610	0.812	0.682
acceleration	убрзање	0.704	0.905	0.843
accelerator	акцелератор	0.593	0.830	0.812
accent	акценат	0.598	0.357	0.509
accentuate	нагласити	0.673	0.556	0.667
accept	прихватити	0.847	0.286	0.565
acceptable	прихватљив	0.812	0.286	0.583
acceptance	прихватање	0.833	0.287	0.755
acceptances	прихватања	0.847	0.413	0.648
access	приступ	0.714	0.472	0.567
accessible	приступачан	0.796	0.410	0.645
accession	приступање	0.612	0.383	0.636
accessory	додатак	0.562	0.292	0.445
accident	несрећа	0.125	0.908	0.336
accidental	случајно	0.319	0.784	0.307
accidentally	случајно	0.333	0.741	0.333
acclaim	признајем	0.562	0.809	0.718
accolade	признање	0.688	0.591	0.775
accommodate	прилагодити се	0.844	0.375	0.566
accommodation	смештај	0.817	0.415	0.587
accompaniment	пратња	0.740	0.479	0.695
accompany	пратите	0.833	0.406	0.585
accompanying	пратећи	0.787	0.460	0.582
accomplice	саучесник	0.408	0.580	0.510
accomplish	остварити	0.929	0.673	0.816
accomplished	остварено	0.870	0.520	0.798
accomplishment	достигнуће	0.917	0.694	0.888
accord	споразум	0.898	0.264	0.382
accordance	сагласност	0.659	0.349	0.600
accordion	хармоника	0.604	0.490	0.361
account	рачун	0.531	0.347	0.472
accountability	одговорност	0.755	0.537	0.833
accountable	одговорни	0.709	0.282	0.777
accountant	рачуновођа	0.625	0.450	0.639
accounting	рачуноводство	0.552	0.390	0.677
accounts	рачуне	0.592	0.340	0.471
accredited	акредитован	0.669	0.479	0.768
accretion	аццретион	0.448	0.519	0.672
accrue	аццруе	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	акумулирати	0.573	0.536	0.607
accumulation	акумулација	0.479	0.527	0.600
accuracy	тачност	0.604	0.481	0.802
accurate	тачан	0.743	0.360	0.737
accursed	проклет	0.135	0.745	0.345
accusation	оптужба	0.073	0.718	0.564
accusative	акузатив	0.198	0.755	0.482
accuse	оптужује	0.133	0.752	0.500
accused	оптужени	0.130	0.670	0.420
accuser	оптужилац	0.122	0.779	0.615
accusing	оптужујући	0.156	0.745	0.324
accustomed	навикли	0.542	0.365	0.441
ace	аце	0.643	0.481	0.546
acetic	ацетиц	0.333	0.420	0.519
acetylene	ацетилен	0.306	0.469	0.509
ache	боли	0.146	0.760	0.312
achieve	постићи	0.816	0.545	0.843
achieved	постићи	0.896	0.519	0.775
achievement	достигнуће	0.896	0.808	0.759
aching	боли	0.053	0.880	0.348
achy	ацхи	0.167	0.840	0.373
acid	киселина	0.265	0.642	0.566
acidity	киселост	0.156	0.663	0.360
acknowledge	признати	0.786	0.370	0.661
acknowledged	признао	0.714	0.443	0.765
acknowledgement	признање	0.819	0.539	0.830
acknowledgment	признање	0.796	0.528	0.777
acme	ацме	0.408	0.435	0.375
acne	бубуљице	0.167	0.474	0.308
acorn	ацорн	0.448	0.198	0.192
acoustic	акустични	0.542	0.462	0.536
acoustics	акустика	0.611	0.330	0.509
acquaint	упознајте	0.646	0.491	0.639
acquaintance	познаник	0.656	0.290	0.670
acquainted	упознати	0.906	0.358	0.632
acquiescence	прихватање	0.542	0.480	0.554
acquire	стећи	0.833	0.468	0.700
