Word	Sinhala (Sinhalese)-si	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	පල්ලිය	0.427	0.490	0.437
aback	අවාසනාවන්ත මෙන්ය	0.385	0.407	0.288
abacus	අවපීඩනය	0.510	0.276	0.485
abalone	අම්බලන්තොට	0.500	0.480	0.412
abandon	අතහැර දමන්න	0.052	0.519	0.245
abandoned	අත්හැර දමා ඇත	0.046	0.481	0.130
abandonment	අත්හැර දැමීම	0.128	0.430	0.202
abashed	නැමී ඇත	0.177	0.644	0.307
abate	පහව ය	0.255	0.696	0.604
abatement	අවම කිරීම	0.388	0.338	0.336
abba	අබා	0.562	0.500	0.480
abbey	අබීදි	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	සංක්ෂිප්තව පවතී	0.531	0.375	0.330
abbreviation	කෙටි යෙදුමකි	0.469	0.306	0.345
abdomen	උදරය	0.469	0.462	0.471
abdominal	උදරයි	0.490	0.456	0.445
abduct	පැහැරගෙන ගොස් තිබේ	0.173	0.720	0.615
abduction	පැහැර ගැනීම	0.062	0.990	0.673
aberrant	අසරණයි	0.146	0.765	0.431
aberration	විකාරයකි	0.125	0.816	0.417
abeyance	නොසලකා හැරීමකි	0.330	0.510	0.292
abhor	පිළිකුල්	0.125	0.602	0.349
abhorrence	කැළඹී ඇත	0.167	0.684	0.420
abhorrent	පිළිකුල් සහගතය	0.229	0.750	0.474
abide	නොසිටිනු ඇත	0.635	0.354	0.705
abiding	අනුකම්පා විරහිතයි	0.796	0.327	0.750
ability	හැකියාව	0.875	0.510	0.816
abject	ආගන්තුක ය	0.354	0.590	0.417
ablation	උච්චාවචනය	0.418	0.500	0.500
ablaze	ගිනි අවුලුවා	0.240	0.847	0.525
able	පුළුවන්	0.786	0.500	0.810
abnormal	අසාමාන්ය ය	0.137	0.604	0.309
abnormality	අසාමාන්යතාව	0.092	0.655	0.383
aboard	පිටත් වෙයි	0.698	0.284	0.481
abode	වාසය කළහ	0.620	0.302	0.500
abolish	ඉවත් කරනවා	0.448	0.615	0.529
abolition	අහෝසි කිරීමයි	0.323	0.690	0.529
abominable	පිළිකුල් සහගතය	0.120	0.731	0.482
abominate	පිළිකුල්	0.198	0.788	0.366
abomination	පිළිකුලකි	0.078	0.755	0.518
aboriginal	ආදිවාසී	0.448	0.427	0.542
abort	අහෝසි කරන්න	0.153	0.686	0.429
abortion	ගබ්සා කිරීම	0.082	0.770	0.283
abortive	අබ්බාස්	0.090	0.776	0.280
abound	බහුලයි	0.704	0.490	0.681
abovementioned	ඉහතින් සදහන් කර ඇත	0.541	0.298	0.509
abracadabra	අබ්රකාදාබ්රා	0.673	0.632	0.434
abrasion	පාචනය	0.406	0.592	0.441
abrasive	උල්ෙල්ඛ	0.392	0.610	0.593
abreast	නැරැඹීම	0.635	0.380	0.519
abroad	විදේශගතව සිටී	0.677	0.596	0.561
abrogate	අහෝසි කරන්න	0.327	0.510	0.594
abrupt	හදිසියේ	0.271	0.819	0.545
abruptly	හදිසියේම	0.250	0.808	0.556
abscess	පෙරට වඩා	0.154	0.451	0.349
absence	නොපැමිණෙයි	0.153	0.235	0.266
absent	නොපැමිණෙයි	0.177	0.221	0.116
absentee	නොපැමිණීමයි	0.235	0.330	0.279
absenteeism	නොපැමිණෙයි	0.404	0.273	0.357
absinthe	නොපැමිණෙයි	0.481	0.510	0.462
absolute	නිරපේක්ෂ	0.526	0.510	0.827
absolution	විවාදය	0.715	0.500	0.664
absolve	නිරපරාදේ	0.684	0.449	0.660
absorb	අවශෝෂණය කරති	0.469	0.558	0.670
absorbed	අවශෝෂණය කර ඇත	0.490	0.471	0.519
absorbent	අවෙශෝෂකයක්	0.552	0.394	0.718
absorbing	අවෙශෝෂණය කර ඇත	0.490	0.490	0.578
absorption	අවශෝෂණය	0.609	0.422	0.446
abstain	වැළකී සිටියහ	0.385	0.385	0.427
abstention	වැලකී සිටීමයි	0.271	0.264	0.509
abstinence	වැළකී සිටීමයි	0.260	0.392	0.429
abstract	වියුක්ත	0.438	0.292	0.444
abstraction	වියුක්ත කිරීමයි	0.469	0.439	0.525
absurd	විකාරයකි	0.188	0.656	0.284
absurdity	අභූතයකි	0.115	0.528	0.227
abundance	බහුලත්වය	0.812	0.690	0.852
abundant	බහුලයි	0.958	0.590	0.760
abuse	අපයෙදුම්	0.071	0.873	0.469
abused	අපයෝජනය	0.021	0.874	0.235
abusive	අපවාදාත්මකය	0.125	0.903	0.567
abutment	උබුන්ටු	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	ප්රබලයි	0.250	0.710	0.598
abyss	අගාධයකි	0.353	0.725	0.296
academic	ශාස්ත්රාලිකයෙක්	0.781	0.420	0.812
academy	ඇකඩමිය	0.704	0.473	0.792
accede	අනුචිතය	0.698	0.510	0.537
accelerant	ත්වරණය	0.643	0.844	0.802
accelerate	වේගවත් වේ	0.615	0.902	0.759
accelerated	වේගවත් විය	0.610	0.812	0.682
acceleration	ත්වරණය	0.704	0.905	0.843
accelerator	ත්වරකය	0.593	0.830	0.812
accent	අවධාරණය කරයි	0.598	0.357	0.509
accentuate	අවධාරණය කරයි	0.673	0.556	0.667
accept	පිළිගන්නවා	0.847	0.286	0.565
acceptable	පිළිගත හැකිය	0.812	0.286	0.583
acceptance	පිළිගැනීමයි	0.833	0.287	0.755
acceptances	පිළිගැනීමයි	0.847	0.413	0.648
access	ප්රවේශ	0.714	0.472	0.567
accessible	ප්රවේශ විය හැකිය	0.796	0.410	0.645
accession	පිවිසීමයි	0.612	0.383	0.636
accessory	උපාංගයකි	0.562	0.292	0.445
accident	අනතුරක්	0.125	0.908	0.336
accidental	අහම්බයක්	0.319	0.784	0.307
accidentally	අහම්බෙන්	0.333	0.741	0.333
acclaim	ගෞරවයට පාත්රවිය	0.562	0.809	0.718
accolade	සම්මානයට පාත්ර විය	0.688	0.591	0.775
accommodate	නවාතැන්	0.844	0.375	0.566
accommodation	නවාතැන්	0.817	0.415	0.587
accompaniment	සහායකයා	0.740	0.479	0.695
accompany	සමග ය	0.833	0.406	0.585
accompanying	කැටුව යන	0.787	0.460	0.582
accomplice	සහකාරියකි	0.408	0.580	0.510
accomplish	ඉටු කරන්න	0.929	0.673	0.816
accomplished	ඉෂ්ට විය	0.870	0.520	0.798
accomplishment	ඉටු	0.917	0.694	0.888
accord	එකඟතාවය	0.898	0.264	0.382
accordance	අනුකූල වේ	0.659	0.349	0.600
accordion	සූචිය	0.604	0.490	0.361
account	ගිණුම	0.531	0.347	0.472
accountability	වගකීමයි	0.755	0.537	0.833
accountable	ගණන් දිය යුතුය	0.709	0.282	0.777
accountant	ගණකාධිවරයෙක්	0.625	0.450	0.639
accounting	ගිණුම්කරණය	0.552	0.390	0.677
accounts	ගිණුම්	0.592	0.340	0.471
accredited	ප්රතීතනය කර ඇත	0.669	0.479	0.768
accretion	අක්රිය වීම	0.448	0.519	0.672
accrue	ලැබෙනු ඇත	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	එකතු විය යුතුය	0.573	0.536	0.607
accumulation	සමුච්චයනයයි	0.479	0.527	0.600
accuracy	නිරවද්යතාව	0.604	0.481	0.802
accurate	නිවැරදි	0.743	0.360	0.737
accursed	සාප ලද්දෙකි	0.135	0.745	0.345
accusation	චෝදනාවකි	0.073	0.718	0.564
accusative	දෝෂාරෝපණය කර තිබේ	0.198	0.755	0.482
accuse	චෝදනා කරයි	0.133	0.752	0.500
accused	චෝදනා කළේය	0.130	0.670	0.420
accuser	චෝදනා කරති	0.122	0.779	0.615
accusing	චෝදනා කරයි	0.156	0.745	0.324
accustomed	පුරුදුව සිටියහ	0.542	0.365	0.441
ace	Ace	0.643	0.481	0.546
acetic	ඇසිටික්	0.333	0.420	0.519
acetylene	ඇසිටිලීන්	0.306	0.469	0.509
ache	කණගාටුදායකයි	0.146	0.760	0.312
achieve	සාක්ෂාත් කර ගන්න	0.816	0.545	0.843
achieved	අත්පත් කරගත්හ	0.896	0.519	0.775
achievement	ජයග්රහණයකි	0.896	0.808	0.759
aching	කැක්කුම	0.053	0.880	0.348
achy	අඳුරේ	0.167	0.840	0.373
acid	අම්ලය	0.265	0.642	0.566
acidity	ආම්ලිකතාවය	0.156	0.663	0.360
acknowledge	පිළිගන්නවා	0.786	0.370	0.661
acknowledged	පිලිගෙන ඇත	0.714	0.443	0.765
acknowledgement	පිළිගැනීමයි	0.819	0.539	0.830
acknowledgment	පිළිගැනීමයි	0.796	0.528	0.777
acme	අම්මේ	0.408	0.435	0.375
acne	කුරුලෑ	0.167	0.474	0.308
acorn	අක්මා	0.448	0.198	0.192
acoustic	අති ධ්වනි	0.542	0.462	0.536
acoustics	ධ්වනි විද්යාව	0.611	0.330	0.509
acquaint	හඳුනමි	0.646	0.491	0.639
acquaintance	අඳුනන කෙනෙක්	0.656	0.290	0.670
acquainted	දැන හඳුනමි	0.906	0.358	0.632
acquiescence	එකඟ නොවූහ	0.542	0.480	0.554
acquire	අත්පත් කර ගන්න	0.833	0.468	0.700
acquiring	අත්පත් කර ගනී	0.735	0.510	0.817
acquisition	අත්පත් කර ගැනීමයි	0.698	0.509	0.736
acquisitions	අත්පත් කර ගැනීමයි	0.773	0.660	0.790
acquit	නිදොස් කිරීම	0.583	0.571	0.611
acquittal	නිදොස් කිරීම	0.760	0.497	0.700
acre	අක්කරයකි	0.583	0.387	0.423
acreage	අක්කර ප්රමාණයයි	0.741	0.450	0.528
acres	අක්කර	0.510	0.363	0.500
acrobat	ඇක්රොබට්	0.708	0.828	0.602
acrylic	ඇක්රිලික්	0.582	0.279	0.420
act	පනත	0.656	0.704	0.735
