Word	Tagalog (Filipino)-tl	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abako	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	abandunahin	0.052	0.519	0.245
abandoned	inabandunang	0.046	0.481	0.130
abandonment	pag-abanduna	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	pagbabawas	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	paikliin	0.531	0.375	0.330
abbreviation	pagpapaikli	0.469	0.306	0.345
abdomen	tiyan	0.469	0.462	0.471
abdominal	tiyan	0.490	0.456	0.445
abduct	pagdukot	0.173	0.720	0.615
abduction	pagdukot	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	pagkaligaw	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	pagkapoot	0.125	0.602	0.349
abhorrence	pagkagalit	0.167	0.684	0.420
abhorrent	kasuklam-suklam	0.229	0.750	0.474
abide	sumunod ka	0.635	0.354	0.705
abiding	tapat	0.796	0.327	0.750
ability	kakayahan	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	naglalagablab	0.240	0.847	0.525
able	magagawang	0.786	0.500	0.810
abnormal	abnormal	0.137	0.604	0.309
abnormality	abnormality	0.092	0.655	0.383
aboard	sakay	0.698	0.284	0.481
abode	tirahan	0.620	0.302	0.500
abolish	buwagin	0.448	0.615	0.529
abolition	abolisyon	0.323	0.690	0.529
abominable	kasuklam-suklam	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	pagkasuklam	0.078	0.755	0.518
aboriginal	katutubo	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	pagpapalaglag	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	lumakas	0.704	0.490	0.681
abovementioned	sa mga nasabi	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	nakasasakit	0.392	0.610	0.593
abreast	magkatabi	0.635	0.380	0.519
abroad	sa ibang bansa	0.677	0.596	0.561
abrogate	buwagin	0.327	0.510	0.594
abrupt	biglang	0.271	0.819	0.545
abruptly	biglang	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	kawalan	0.153	0.235	0.266
absent	wala	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	pagliban	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	ganap	0.526	0.510	0.827
absolution	pagpapawalang bisa	0.715	0.500	0.664
absolve	magpawalang-sala	0.684	0.449	0.660
absorb	hithitin	0.469	0.558	0.670
absorbed	hinihigop	0.490	0.471	0.519
absorbent	sumisipsip	0.552	0.394	0.718
absorbing	sumisipsip	0.490	0.490	0.578
absorption	pagsipsip	0.609	0.422	0.446
abstain	abstain	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	pangilin	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	walang katotohanan	0.188	0.656	0.284
absurdity	kahangalan	0.115	0.528	0.227
abundance	kasaganaan	0.812	0.690	0.852
abundant	masagana	0.958	0.590	0.760
abuse	abuso	0.071	0.873	0.469
abused	inabuso	0.021	0.874	0.235
abusive	mapang-abuso	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	kalaliman	0.353	0.725	0.296
academic	akademiko	0.781	0.420	0.812
academy	akademya	0.704	0.473	0.792
accede	sumang-ayon	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	mapabilis	0.615	0.902	0.759
accelerated	pinabilis	0.610	0.812	0.682
acceleration	pagpabilis	0.704	0.905	0.843
accelerator	aselerador	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	magpatingkad	0.673	0.556	0.667
accept	tanggapin	0.847	0.286	0.565
acceptable	katanggap-tanggap	0.812	0.286	0.583
acceptance	pagtanggap	0.833	0.287	0.755
acceptances	mga pagtanggap	0.847	0.413	0.648
access	access	0.714	0.472	0.567
accessible	mapupuntahan	0.796	0.410	0.645
accession	pag-akyat	0.612	0.383	0.636
accessory	accessory	0.562	0.292	0.445
accident	aksidente	0.125	0.908	0.336
accidental	hindi sinasadya	0.319	0.784	0.307
accidentally	aksidente	0.333	0.741	0.333
acclaim	pagbubunyi	0.562	0.809	0.718
accolade	parangalan	0.688	0.591	0.775
accommodate	tumanggap	0.844	0.375	0.566
accommodation	tirahan	0.817	0.415	0.587
accompaniment	saliw	0.740	0.479	0.695
accompany	kasama	0.833	0.406	0.585
accompanying	sinasamahan	0.787	0.460	0.582
accomplice	kasabwat	0.408	0.580	0.510
accomplish	tuparin	0.929	0.673	0.816
accomplished	natapos na	0.870	0.520	0.798
accomplishment	katuparan	0.917	0.694	0.888
accord	kasunduan	0.898	0.264	0.382
accordance	alinsunod	0.659	0.349	0.600
accordion	akurdyon	0.604	0.490	0.361
account	account	0.531	0.347	0.472
accountability	pananagutan	0.755	0.537	0.833
accountable	nananagot	0.709	0.282	0.777
accountant	accountant	0.625	0.450	0.639
accounting	accounting	0.552	0.390	0.677
accounts	mga account	0.592	0.340	0.471
accredited	pinaniwalaan	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	mag-ipon nang	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	maipon	0.573	0.536	0.607
accumulation	akumulasyon	0.479	0.527	0.600
accuracy	katumpakan	0.604	0.481	0.802
accurate	tumpak	0.743	0.360	0.737
accursed	isinumpa	0.135	0.745	0.345
accusation	akusasyon	0.073	0.718	0.564
accusative	accusative	0.198	0.755	0.482
accuse	akusahan	0.133	0.752	0.500
accused	inakusahan	0.130	0.670	0.420
accuser	akusador	0.122	0.779	0.615
accusing	akusasyon	0.156	0.745	0.324
accustomed	sanay	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	sakit	0.146	0.760	0.312
achieve	makamit	0.816	0.545	0.843
achieved	nakamit	0.896	0.519	0.775
achievement	tagumpay	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	kaasiman	0.156	0.663	0.360
acknowledge	kilalanin	0.786	0.370	0.661
acknowledged	kinikilala	0.714	0.443	0.765
acknowledgement	pagkilala	0.819	0.539	0.830
acknowledgment	pagkilala	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	ipakilala	0.646	0.491	0.639
acquaintance	kakilala	0.656	0.290	0.670
acquainted	pamilyar	0.906	0.358	0.632
acquiescence	pagsang-ayon	0.542	0.480	0.554
acquire	makuha	0.833	0.468	0.700
acquiring	pagkuha	0.735	0.510	0.817
acquisition	pagkuha	0.698	0.509	0.736
acquisitions	mga pagkuha	0.773	0.660	0.790
acquit	magpatawad	0.583	0.571	0.611
acquittal	magpatawad	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	ektarya	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	kumilos	0.656	0.704	0.735
acting	kumikilos	0.698	0.643	0.500
action	aksyon	0.760	0.898	0.802
action figure	Laruan	0.615	0.774	0.611
actionable	naaaksyunan	0.673	0.702	0.613
activate	buhayin	0.764	0.650	0.806
activation	activation	0.781	0.800	0.754
active	aktibo	0.847	0.730	0.731
activist	aktibista	0.531	0.653	0.877
activity	aktibidad	0.701	0.660	0.807
actor	aktor	0.653	0.561	0.629
actress	artista	0.633	0.556	0.596
actual	aktwal na	0.729	0.400	0.716
actuality	katunayan	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	katalinuhan	0.469	0.378	0.741
acumen	katalinuhan	0.564	0.660	0.679
acupuncture	Acupuncture	0.531	0.324	0.549
acute	talamak	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	Ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	matatag	0.344	0.529	0.575
adapt	iangkop	0.740	0.355	0.551
adaptable	madaling ibagay	0.735	0.423	0.641
adaptation	pagbagay	0.663	0.365	0.609
add	idagdag	0.728	0.490	0.554
added	idinagdag	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	adik	0.075	0.696	0.327
addicted	gumon	0.156	0.712	0.483
addiction	pagkagumon	0.180	0.806	0.420
addictive	nakakahumaling	0.302	0.683	0.472
addition	karagdagan	0.562	0.373	0.471
additional	karagdagang	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	address	0.650	0.327	0.567
addressee	addressee	0.622	0.382	0.538
addresses	mga address	0.510	0.354	0.450
adept	sanay	0.594	0.539	0.789
adequacy	kasapatan	0.615	0.435	0.702
adequate	sapat na	0.854	0.264	0.705
adhere	sumunod	0.633	0.339	0.554
adherence	pagsunod	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
