Word	Ukrainian-uk	Valence	Arousal	Dominance
aaaaaaah	аааааааа	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	арадварк	0.427	0.490	0.437
aback	огидно	0.385	0.407	0.288
abacus	абак	0.510	0.276	0.485
abalone	вуса	0.500	0.480	0.412
abandon	відмовитися	0.052	0.519	0.245
abandoned	покинутий	0.046	0.481	0.130
abandonment	залишення	0.128	0.430	0.202
abashed	набридло	0.177	0.644	0.307
abate	зменшувати	0.255	0.696	0.604
abatement	зменшення	0.388	0.338	0.336
abba	абба	0.562	0.500	0.480
abbey	абатство	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	скоротити	0.531	0.375	0.330
abbreviation	абревіатура	0.469	0.306	0.345
abdomen	черевце	0.469	0.462	0.471
abdominal	черевна порожнина	0.490	0.456	0.445
abduct	викрадають	0.173	0.720	0.615
abduction	викрадення	0.062	0.990	0.673
aberrant	анодний	0.146	0.765	0.431
aberration	аберація	0.125	0.816	0.417
abeyance	припинення	0.330	0.510	0.292
abhor	лякайся	0.125	0.602	0.349
abhorrence	відчайдушність	0.167	0.684	0.420
abhorrent	відчайдушний	0.229	0.750	0.474
abide	дотримуйся	0.635	0.354	0.705
abiding	що зберігається	0.796	0.327	0.750
ability	здібності	0.875	0.510	0.816
abject	абсурдний	0.354	0.590	0.417
ablation	абляція	0.418	0.500	0.500
ablaze	запалювати	0.240	0.847	0.525
able	здатний	0.786	0.500	0.810
abnormal	ненормальний	0.137	0.604	0.309
abnormality	аномалії	0.092	0.655	0.383
aboard	на борту	0.698	0.284	0.481
abode	проживання	0.620	0.302	0.500
abolish	скасувати	0.448	0.615	0.529
abolition	скасування	0.323	0.690	0.529
abominable	мерзенний	0.120	0.731	0.482
abominate	мерзость	0.198	0.788	0.366
abomination	гидота	0.078	0.755	0.518
aboriginal	абориген	0.448	0.427	0.542
abort	скасувати	0.153	0.686	0.429
abortion	аборт	0.082	0.770	0.283
abortive	непридатний	0.090	0.776	0.280
abound	багато	0.704	0.490	0.681
abovementioned	вищезазначений	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	знос	0.406	0.592	0.441
abrasive	абразивний	0.392	0.610	0.593
abreast	у всьому	0.635	0.380	0.519
abroad	за кордоном	0.677	0.596	0.561
abrogate	скасувати	0.327	0.510	0.594
abrupt	різко	0.271	0.819	0.545
abruptly	різко	0.250	0.808	0.556
abscess	абсцес	0.154	0.451	0.349
absence	відсутність	0.153	0.235	0.266
absent	відсутній	0.177	0.221	0.116
absentee	відступок	0.235	0.330	0.279
absenteeism	прогулянки	0.404	0.273	0.357
absinthe	абсент	0.481	0.510	0.462
absolute	абсолютний	0.526	0.510	0.827
absolution	розпуста	0.715	0.500	0.664
absolve	звільнити	0.684	0.449	0.660
absorb	поглинати	0.469	0.558	0.670
absorbed	поглинається	0.490	0.471	0.519
absorbent	абсорбуючий	0.552	0.394	0.718
absorbing	поглинаючи	0.490	0.490	0.578
absorption	поглинання	0.609	0.422	0.446
abstain	утриматися	0.385	0.385	0.427
abstention	утримання	0.271	0.264	0.509
abstinence	стриманість	0.260	0.392	0.429
abstract	абстрактний	0.438	0.292	0.444
abstraction	абстракція	0.469	0.439	0.525
absurd	абсурдний	0.188	0.656	0.284
absurdity	абсурдність	0.115	0.528	0.227
abundance	достаток	0.812	0.690	0.852
abundant	рясний	0.958	0.590	0.760
abuse	зловживання	0.071	0.873	0.469
abused	зловживали	0.021	0.874	0.235
abusive	зловмисне	0.125	0.903	0.567
abutment	абатмент	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	жахливий	0.250	0.710	0.598
abyss	безодня	0.353	0.725	0.296
academic	академічний	0.781	0.420	0.812
academy	академія	0.704	0.473	0.792
accede	приєднатися	0.698	0.510	0.537
accelerant	прискорювач	0.643	0.844	0.802
accelerate	прискорити	0.615	0.902	0.759
accelerated	прискорений	0.610	0.812	0.682
acceleration	прискорення	0.704	0.905	0.843
accelerator	прискорювач	0.593	0.830	0.812
accent	акцент	0.598	0.357	0.509
accentuate	підкреслити	0.673	0.556	0.667
accept	приймати	0.847	0.286	0.565
acceptable	прийнятний	0.812	0.286	0.583
acceptance	прийом	0.833	0.287	0.755
acceptances	акцепти	0.847	0.413	0.648
access	доступ	0.714	0.472	0.567
accessible	доступний	0.796	0.410	0.645
accession	приєднання	0.612	0.383	0.636
accessory	аксесуар	0.562	0.292	0.445
accident	аварія	0.125	0.908	0.336
accidental	випадковий	0.319	0.784	0.307
accidentally	випадково	0.333	0.741	0.333
acclaim	визнати	0.562	0.809	0.718
accolade	нагорода	0.688	0.591	0.775
accommodate	розмістити	0.844	0.375	0.566
accommodation	житло	0.817	0.415	0.587
accompaniment	супровід	0.740	0.479	0.695
accompany	супроводжувати	0.833	0.406	0.585
accompanying	супроводжуючий	0.787	0.460	0.582
accomplice	співучасник	0.408	0.580	0.510
accomplish	виконати	0.929	0.673	0.816
accomplished	виконаний	0.870	0.520	0.798
accomplishment	досягнення	0.917	0.694	0.888
accord	згода	0.898	0.264	0.382
accordance	відповідність	0.659	0.349	0.600
accordion	гармошка	0.604	0.490	0.361
account	рахунок	0.531	0.347	0.472
accountability	підзвітність	0.755	0.537	0.833
accountable	підзвітний	0.709	0.282	0.777
accountant	бухгалтер	0.625	0.450	0.639
accounting	бухгалтерський облік	0.552	0.390	0.677
accounts	рахунки	0.592	0.340	0.471
accredited	акредитований	0.669	0.479	0.768
accretion	посилення	0.448	0.519	0.672
accrue	накопичувати	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	накопичуються	0.573	0.536	0.607
accumulation	накопичення	0.479	0.527	0.600
accuracy	точність	0.604	0.481	0.802
accurate	точний	0.743	0.360	0.737
accursed	проклятий	0.135	0.745	0.345
accusation	звинувачення	0.073	0.718	0.564
accusative	обвинувальний	0.198	0.755	0.482
accuse	звинуватити	0.133	0.752	0.500
accused	обвинувачений	0.130	0.670	0.420
accuser	обвинувачений	0.122	0.779	0.615
accusing	звинувачують	0.156	0.745	0.324
accustomed	звик	0.542	0.365	0.441
ace	туз	0.643	0.481	0.546
acetic	оцтова	0.333	0.420	0.519
acetylene	ацетилен	0.306	0.469	0.509
ache	болить	0.146	0.760	0.312
achieve	домогтися	0.816	0.545	0.843
achieved	досягнуто	0.896	0.519	0.775
achievement	досягнення	0.896	0.808	0.759
aching	болить	0.053	0.880	0.348
achy	ахій	0.167	0.840	0.373
acid	кислота	0.265	0.642	0.566
acidity	кислотність	0.156	0.663	0.360
acknowledge	визнати	0.786	0.370	0.661
acknowledged	визнано	0.714	0.443	0.765
acknowledgement	підтвердження	0.819	0.539	0.830
acknowledgment	підтвердження	0.796	0.528	0.777
acme	око	0.408	0.435	0.375
acne	вугри	0.167	0.474	0.308
acorn	жолудь	0.448	0.198	0.192
acoustic	акустичний	0.542	0.462	0.536
acoustics	акустика	0.611	0.330	0.509
acquaint	знайомий	0.646	0.491	0.639
acquaintance	знайомство	0.656	0.290	0.670
acquainted	знайомий	0.906	0.358	0.632
acquiescence	згоду	0.542	0.480	0.554
acquire	придбати	0.833	0.468	0.700
acquiring	придбання	0.735	0.510	0.817
acquisition	придбання	0.698	0.509	0.736
acquisitions	придбання	0.773	0.660	0.790
acquit	виправдати	0.583	0.571	0.611
acquittal	виправдання	0.760	0.497	0.700
acre	акр	0.583	0.387	0.423
acreage	земельна ділянка	0.741	0.450	0.528
acres	акрів	0.510	0.363	0.500
acrobat	акробат	0.708	0.828	0.602
acrylic	акрил	0.582	0.279	0.420
act	діяти	0.656	0.704	0.735
acting	діючи	0.698	0.643	0.500
action	дія	0.760	0.898	0.802
action figure	дія фігура	0.615	0.774	0.611
actionable	справний	0.673	0.702	0.613
activate	активувати	0.764	0.650	0.806
activation	активація	0.781	0.800	0.754
active	активний	0.847	0.730	0.731
activist	активіст	0.531	0.653	0.877
activity	діяльність	0.701	0.660	0.807
actor	актор	0.653	0.561	0.629
actress	актриса	0.633	0.556	0.596
actual	фактичний	0.729	0.400	0.716
actuality	дійсність	0.750	0.464	0.600
actuary	актуарій	0.510	0.404	0.491
acuity	гострота	0.469	0.378	0.741
acumen	спритність	0.564	0.660	0.679
acupuncture	акупунктура	0.531	0.324	0.549
acute	гострий	0.427	0.652	0.534
acutely	гостро	0.417	0.543	0.491
ad	реклама	0.521	0.705	0.558
adage	приказка	0.517	0.415	0.566
adamant	адамант	0.344	0.529	0.575
adapt	адаптуватися	0.740	0.355	0.551
adaptable	адаптований	0.735	0.423	0.641
adaptation	адаптація	0.663	0.365	0.609
add	додати	0.728	0.490	0.554
added	додано	0.562	0.405	0.509
addendum	додаток	0.392	0.370	0.418
adder	суматор	0.388	0.461	0.588
addict	наркоман	0.075	0.696	0.327
addicted	залежність	0.156	0.712	0.483
addiction	наркоманія	0.180	0.806	0.420
addictive	звикання	0.302	0.683	0.472
addition	Крім того	0.562	0.373	0.471
additional	додатковий	0.673	0.462	0.526
additive	добавки	0.561	0.633	0.691
address	адреса	0.650	0.327	0.567
addressee	адресат	0.622	0.382	0.538
addresses	адреси	0.510	0.354	0.450
adept	адепт	0.594	0.539	0.789
adequacy	адекватність	0.615	0.435	0.702
adequate	адекватний	0.854	0.264	0.705
adhere	дотримуватися	0.633	0.339	0.554
adherence	прихильність	0.760	0.307	0.630
adherent	прихильник	0.561	0.385	0.555
adhering	дотримуватися	0.612	0.561	0.537
adhesion	зчеплення	0.521	0.445	0.586
adhesive	клей	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	жирна	0.333	0.350	0.391
adjacency	сусідство	0.365	0.417	0.375
adjacent	сусідні	0.645	0.276	0.536
adjective	прикметник	0.570	0.316	0.569
adjoining	примикає	0.520	0.400	0.393
adjourn	відкласти	0.385	0.456	0.475
adjournment	відкладення	0.438	0.510	0.370
adjudicate	вирішувати	0.559	0.520	0.683
adjudication	судовий процес	0.551	0.462	0.691
adjunct	ад'юнкт	0.459	0.440	0.426
adjust	налаштувати	0.647	0.327	0.638
adjuster	регулятор	0.510	0.540	0.760
adjustment	коригування	0.590	0.520	0.661
adjuvant	ад'ювант	0.510	0.500	0.456
admin	адміністратор	0.688	0.420	0.854
administer	адмініструвати	0.635	0.425	0.860
administration	адміністрація	0.625	0.404	0.786
administrative	адміністративний	0.542	0.415	0.579
administrator	адміністратор	0.538	0.480	0.902
admirable	чудовий	0.929	0.600	0.870
admiral	адмірал	0.844	0.490	0.847
admiralty	адміралтейство	0.594	0.547	0.733
admiration	захоплення	0.969	0.583	0.726
admire	помилуватися	0.867	0.692	0.704
admired	захоплювався	0.917	0.560	0.815
admirer	шанувальник	0.796	0.720	0.650
admiring	захоплюючись	0.867	0.578	0.629
admissibility	допустимість	0.802	0.580	0.602
admissible	допустимий	0.780	0.528	0.642
admission	вхід	0.802	0.415	0.732
admit	визнати	0.538	0.423	0.667
admittance	допуск	0.690	0.451	0.598
admitted	зізнався	0.720	0.490	0.767
admitting	допускаючи	0.620	0.500	0.546
admixture	домішка	0.450	0.375	0.438
admonition	застереження	0.357	0.606	0.455
ado	дівчина	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	юнацький вік	0.487	0.694	0.444
adolescent	підліток	0.781	0.680	0.509
adopt	приймати	0.694	0.612	0.701
adoption	усиновлення	0.625	0.566	0.589
adoptive	прийомний	0.531	0.469	0.520
adorable	чарівний	0.969	0.519	0.457
adoration	обожнювання	0.885	0.699	0.708
adore	обожнюй	0.854	0.438	0.657
adoring	кохання	0.885	0.620	0.717
adorn	прикрашати	0.910	0.424	0.482
adornment	прикраса	0.918	0.373	0.377
adrenalin	адреналін	0.865	0.920	0.786
adrenaline	адреналін	0.765	0.965	0.825
adrift	приплив	0.398	0.486	0.230
adult	дорослий	0.815	0.491	0.787
adulterated	підроблений	0.188	0.865	0.370
adulterer	перелюбник	0.229	0.814	0.407
adultery	перелюбство	0.120	0.922	0.510
adulthood	дорослішання	0.541	0.454	0.652
advance	заздалегідь	0.673	0.472	0.858
advanced	просунутий	0.844	0.623	0.797
advancement	просування	0.776	0.650	0.839
advancing	просування	0.929	0.608	0.812
advantage	перевага	0.917	0.548	0.859
advantageous	вигідніше	0.837	0.640	0.789
advent	прихід	0.665	0.560	0.627
adventure	пригода	0.917	0.857	0.710
adventurer	авантюрист	0.781	0.839	0.868
adventures	пригоди	0.812	0.764	0.749
adventurous	пригодницький	0.969	0.898	0.722
adversary	супротивник	0.349	0.777	0.457
adverse	несприятливий	0.323	0.610	0.385
adversity	несприятливість	0.276	0.760	0.538
advertise	рекламувати	0.500	0.529	0.580
advertisement	реклама	0.600	0.566	0.539
advertising	реклама	0.622	0.608	0.632
adverts	реклами	0.551	0.500	0.595
advice	поради	0.698	0.408	0.688
advisable	бажано	0.867	0.480	0.510
advise	раджу	0.760	0.393	0.705
advised	порадив	0.823	0.330	0.509
advisement	порада	0.698	0.235	0.655
adviser	радник	0.745	0.362	0.705
advisor	радник	0.646	0.350	0.689
advisory	консультативний	0.656	0.429	0.633
advocacy	адвокація	0.500	0.646	0.731
advocate	адвокат	0.551	0.530	0.818
aegis	едіс	0.490	0.439	0.462
aeration	аерація	0.550	0.500	0.433
aerial	антена	0.615	0.461	0.463
aerobics	аеробіка	0.708	0.771	0.627
aerodrome	аеродром	0.541	0.740	0.678
aerodynamic	аеродинамічний	0.561	0.724	0.728
aerodynamics	аеродинаміка	0.590	0.663	0.722
aeronautics	аеронавтика	0.551	0.633	0.688
aeroplane	літак	0.714	0.642	0.644
aerospace	аерокосмія	0.643	0.520	0.779
aesthetic	естетичний	0.708	0.442	0.526
aesthetics	естетика	0.847	0.327	0.549
aetiology	етіологія	0.480	0.398	0.615
afar	здалеку	0.396	0.373	0.358
affable	привітний	0.704	0.380	0.452
affair	справа	0.520	0.459	0.657
affect	впливати	0.458	0.569	0.578
affecting	впливає	0.350	0.574	0.394
affection	любов	0.898	0.559	0.696
affectionate	лагідний	0.949	0.422	0.550
affections	прихильності	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	аффидевит	0.469	0.584	0.526
affiliated	афілійований	0.673	0.519	0.535
affiliation	приналежність	0.615	0.594	0.500
affinity	спорідненість	0.800	0.500	0.537
affirm	підтвердити	0.745	0.509	0.731
affirmation	твердження	0.750	0.500	0.689
affirmative	позитивний	0.854	0.589	0.816
affirmatively	позитивно	0.908	0.500	0.811
affix	прикріпити	0.438	0.335	0.411
afflict	страждає	0.302	0.555	0.293
afflicted	страждає	0.271	0.500	0.167
affliction	скорбота	0.294	0.635	0.392
affluence	багатство	0.663	0.618	0.722
affluent	заможний	0.756	0.388	0.477
afford	дозволити собі	0.571	0.580	0.575
affordable	доступний	0.840	0.398	0.493
affront	ображати	0.327	0.740	0.547
affronted	затриманий	0.385	0.750	0.527
afield	на околицях	0.594	0.370	0.373
afire	вогонь	0.367	0.904	0.675
afloat	на плаву	0.602	0.427	0.444
afore	до цього	0.500	0.337	0.382
aforementioned	вищезгадане	0.490	0.316	0.408
aforesaid	вищесказане	0.531	0.358	0.478
afraid	боїться	0.010	0.775	0.245
afresh	знову	0.643	0.521	0.480
african	африканець	0.490	0.423	0.555
aft	на кормі	0.480	0.417	0.518
afterlife	загробна життя	0.571	0.567	0.568
aftermath	наслідки	0.312	0.449	0.444
afternoon	вдень	0.533	0.388	0.339
aftershave	після гоління	0.406	0.384	0.415
aftertaste	післясмак	0.354	0.362	0.455
afterthought	на думку	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	агапе	0.612	0.529	0.464
agate	агат	0.540	0.377	0.483
age	вік	0.561	0.226	0.498
aged	у віці	0.135	0.365	0.236
agency	агентство	0.460	0.296	0.583
agenda	порядок денний	0.531	0.296	0.553
agent	агента	0.480	0.439	0.755
