Word	Uzbek-uz	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	shafqatsiz	0.385	0.407	0.288
abacus	abakus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	tark eting	0.052	0.519	0.245
abandoned	tark etildi	0.046	0.481	0.130
abandonment	tark etish	0.128	0.430	0.202
abashed	g'azablandi	0.177	0.644	0.307
abate	qisqartirish	0.255	0.696	0.604
abatement	qisqartirish	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	qisqartiring	0.531	0.375	0.330
abbreviation	qisqartirish	0.469	0.306	0.345
abdomen	qorin bo'shlig'i	0.469	0.462	0.471
abdominal	qorin bo'shlig'i	0.490	0.456	0.445
abduct	o'g'rilik	0.173	0.720	0.615
abduction	o'g'rilik	0.062	0.990	0.673
aberrant	achinarli	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	Abhor	0.125	0.602	0.349
abhorrence	yomonlik	0.167	0.684	0.420
abhorrent	jirkanch	0.229	0.750	0.474
abide	davom eting	0.635	0.354	0.705
abiding	doimiy	0.796	0.327	0.750
ability	qobiliyat	0.875	0.510	0.816
abject	noqulaylik	0.354	0.590	0.417
ablation	ablasyon	0.418	0.500	0.500
ablaze	yong'in	0.240	0.847	0.525
able	qodir	0.786	0.500	0.810
abnormal	anormal	0.137	0.604	0.309
abnormality	anormallik	0.092	0.655	0.383
aboard	kemada	0.698	0.284	0.481
abode	turar joy	0.620	0.302	0.500
abolish	bekor qilish	0.448	0.615	0.529
abolition	bekor qilish	0.323	0.690	0.529
abominable	jirkanch	0.120	0.731	0.482
abominate	jirkanch	0.198	0.788	0.366
abomination	jirkanish	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	bekor qilish	0.153	0.686	0.429
abortion	abort qilish	0.082	0.770	0.283
abortive	bekor qilish	0.090	0.776	0.280
abound	mo'l-ko'l	0.704	0.490	0.681
abovementioned	yuqorida aytib o'tilgan	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	aşınma	0.406	0.592	0.441
abrasive	aşındırıcıdır	0.392	0.610	0.593
abreast	takrorlang	0.635	0.380	0.519
abroad	chet elda	0.677	0.596	0.561
abrogate	bekor qilish	0.327	0.510	0.594
abrupt	keskin	0.271	0.819	0.545
abruptly	to'satdan	0.250	0.808	0.556
abscess	xo'ppoz	0.154	0.451	0.349
absence	yo'qligi	0.153	0.235	0.266
absent	yo'q	0.177	0.221	0.116
absentee	yo'qolgan	0.235	0.330	0.279
absenteeism	yo'qotish	0.404	0.273	0.357
absinthe	absinte	0.481	0.510	0.462
absolute	mutlaq	0.526	0.510	0.827
absolution	yo'qotish	0.715	0.500	0.664
absolve	befoyda	0.684	0.449	0.660
absorb	so'rilishi	0.469	0.558	0.670
absorbed	so'riladi	0.490	0.471	0.519
absorbent	changni yutish	0.552	0.394	0.718
absorbing	changni yutish	0.490	0.490	0.578
absorption	emilim	0.609	0.422	0.446
abstain	Qochin	0.385	0.385	0.427
abstention	qasd qilish	0.271	0.264	0.509
abstinence	chidamsiz	0.260	0.392	0.429
abstract	mavhum	0.438	0.292	0.444
abstraction	ajralish	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	bema'nilik	0.115	0.528	0.227
abundance	mo'l-ko'lchilik	0.812	0.690	0.852
abundant	mo'l	0.958	0.590	0.760
abuse	suiste'mol qilish	0.071	0.873	0.469
abused	suiiste'mol qilingan	0.021	0.874	0.235
abusive	tajovuzkor	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	tubsiz	0.250	0.710	0.598
abyss	tubsizlik	0.353	0.725	0.296
academic	akademik	0.781	0.420	0.812
academy	akademiya	0.704	0.473	0.792
accede	qo'shilish	0.698	0.510	0.537
accelerant	tezlashtiruvchi	0.643	0.844	0.802
accelerate	tezlashtirish	0.615	0.902	0.759
accelerated	tezlashdi	0.610	0.812	0.682
acceleration	tezlashtirish	0.704	0.905	0.843
accelerator	tezlashtiruvchi	0.593	0.830	0.812
accent	aks	0.598	0.357	0.509
accentuate	diqqat qilish	0.673	0.556	0.667
accept	qabul qiling	0.847	0.286	0.565
acceptable	qabul qilinadi	0.812	0.286	0.583
acceptance	qabul qilish	0.833	0.287	0.755
acceptances	qabul qilish	0.847	0.413	0.648
access	kirish	0.714	0.472	0.567
accessible	foydalanish mumkin	0.796	0.410	0.645
accession	ishtirok etish	0.612	0.383	0.636
accessory	aksessuar	0.562	0.292	0.445
accident	voqea sodir bo'lgan	0.125	0.908	0.336
accidental	tasodifiy	0.319	0.784	0.307
accidentally	tasodifan	0.333	0.741	0.333
acclaim	mashhurlik	0.562	0.809	0.718
accolade	taqdir	0.688	0.591	0.775
accommodate	joylashtirish	0.844	0.375	0.566
accommodation	turar joy	0.817	0.415	0.587
accompaniment	qo'shiq	0.740	0.479	0.695
accompany	bilan birga keladi	0.833	0.406	0.585
accompanying	bilan birga	0.787	0.460	0.582
accomplice	sherigi	0.408	0.580	0.510
accomplish	bajaring	0.929	0.673	0.816
accomplished	amalga oshdi	0.870	0.520	0.798
accomplishment	erishish	0.917	0.694	0.888
accord	akkord	0.898	0.264	0.382
accordance	muvofiq	0.659	0.349	0.600
accordion	akkordeon	0.604	0.490	0.361
account	hisob qaydnomasi	0.531	0.347	0.472
accountability	hisobdorlik	0.755	0.537	0.833
accountable	javobgar	0.709	0.282	0.777
accountant	buxgalter	0.625	0.450	0.639
accounting	buxgalterlik	0.552	0.390	0.677
accounts	hisoblar	0.592	0.340	0.471
accredited	akkreditatsiyadan o'tgan	0.669	0.479	0.768
accretion	o'sishi	0.448	0.519	0.672
accrue	to'lash	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	biriktiriladi	0.573	0.536	0.607
accumulation	to'plash	0.479	0.527	0.600
accuracy	aniqlik	0.604	0.481	0.802
accurate	aniq	0.743	0.360	0.737
accursed	la'natlangan	0.135	0.745	0.345
accusation	ayblov	0.073	0.718	0.564
accusative	aybdor	0.198	0.755	0.482
accuse	ayblash	0.133	0.752	0.500
accused	ayblanuvchi	0.130	0.670	0.420
accuser	ayblovchiga	0.122	0.779	0.615
accusing	ayblashmoqda	0.156	0.745	0.324
accustomed	odat tusiga kirgan	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	sirkalik	0.333	0.420	0.519
acetylene	asetilen	0.306	0.469	0.509
ache	og'riq	0.146	0.760	0.312
achieve	erishish	0.816	0.545	0.843
achieved	erishildi	0.896	0.519	0.775
achievement	muvaffaqiyat	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	kislota	0.265	0.642	0.566
acidity	kislota	0.156	0.663	0.360
acknowledge	tan oling	0.786	0.370	0.661
acknowledged	tan oldi	0.714	0.443	0.765
acknowledgement	tan olish	0.819	0.539	0.830
acknowledgment	tan olish	0.796	0.528	0.777
acme	akme	0.408	0.435	0.375
acne	akne	0.167	0.474	0.308
acorn	chiriyotgan	0.448	0.198	0.192
acoustic	akustik	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	tanishing	0.646	0.491	0.639
acquaintance	tanishlar	0.656	0.290	0.670
acquainted	tanishdi	0.906	0.358	0.632
acquiescence	qabul qilish	0.542	0.480	0.554
acquire	sotib olish	0.833	0.468	0.700
acquiring	sotib olish	0.735	0.510	0.817
acquisition	sotib olish	0.698	0.509	0.736
acquisitions	sotib olish	0.773	0.660	0.790
acquit	oqlash	0.583	0.571	0.611
acquittal	oqlash	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	er maydoni	0.741	0.450	0.528
acres	erlar	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akril	0.582	0.279	0.420
act	harakat qiling	0.656	0.704	0.735
acting	harakat qilish	0.698	0.643	0.500
action	harakatlar	0.760	0.898	0.802
action figure	harakatlar soni	0.615	0.774	0.611
actionable	ta'sirchan	0.673	0.702	0.613
activate	faollashtirish	0.764	0.650	0.806
activation	aktivlashtirish	0.781	0.800	0.754
active	faol	0.847	0.730	0.731
activist	faol	0.531	0.653	0.877
activity	faoliyati	0.701	0.660	0.807
actor	aktyor	0.653	0.561	0.629
actress	aktrisa	0.633	0.556	0.596
actual	haqiqiy	0.729	0.400	0.716
actuality	dolzarbligi	0.750	0.464	0.600
actuary	aktuar	0.510	0.404	0.491
acuity	keskinlik	0.469	0.378	0.741
acumen	shafqatsizlik	0.564	0.660	0.679
acupuncture	akupunktur	0.531	0.324	0.549
acute	o'tkir	0.427	0.652	0.534
acutely	keskin ravishda	0.417	0.543	0.491
ad	reklama	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	nomaqbul	0.344	0.529	0.575
adapt	moslashish	0.740	0.355	0.551
adaptable	moslashuvchan	0.735	0.423	0.641
adaptation	moslashtirish	0.663	0.365	0.609
add	qo'shing	0.728	0.490	0.554
added	qo'shib qo'ydi	0.562	0.405	0.509
addendum	qo'shimcha	0.392	0.370	0.418
adder	terib	0.388	0.461	0.588
addict	qo'shiqchi	0.075	0.696	0.327
addicted	qaram	0.156	0.712	0.483
addiction	giyohvandlik	0.180	0.806	0.420
addictive	qo'shadi	0.302	0.683	0.472
addition	qo'shimcha	0.562	0.373	0.471
additional	qo'shimcha	0.673	0.462	0.526
additive	hissa moddasi	0.561	0.633	0.691
address	manzili	0.650	0.327	0.567
