Word	Zulu-zu	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	i-aardvark	0.427	0.490	0.437
aback	back	0.385	0.407	0.288
abacus	Abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	shiya	0.052	0.519	0.245
abandoned	ishiyiwe	0.046	0.481	0.130
abandonment	ukushiya	0.128	0.430	0.202
abashed	bahlushwa	0.177	0.644	0.307
abate	phumula	0.255	0.696	0.604
abatement	ukubethelwa	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	isifinyezo	0.531	0.375	0.330
abbreviation	isifinyezo	0.469	0.306	0.345
abdomen	isisu	0.469	0.462	0.471
abdominal	isisu	0.490	0.456	0.445
abduct	ukuthatha	0.173	0.720	0.615
abduction	ukuthunjwa	0.062	0.990	0.673
aberrant	i-aberrant	0.146	0.765	0.431
aberration	ukuhlukumezeka	0.125	0.816	0.417
abeyance	ukuzinza	0.330	0.510	0.292
abhor	nyansi	0.125	0.602	0.349
abhorrence	ukuzonda	0.167	0.684	0.420
abhorrent	ukuzonda	0.229	0.750	0.474
abide	uhlale	0.635	0.354	0.705
abiding	ukuhlala	0.796	0.327	0.750
ability	ikhono	0.875	0.510	0.816
abject	ukuhlukunyezwa	0.354	0.590	0.417
ablation	ukuphumula	0.418	0.500	0.500
ablaze	vula	0.240	0.847	0.525
able	uyakwazi	0.786	0.500	0.810
abnormal	okungavamile	0.137	0.604	0.309
abnormality	ukungavamile	0.092	0.655	0.383
aboard	ungene	0.698	0.284	0.481
abode	uhlala	0.620	0.302	0.500
abolish	ukuqeda	0.448	0.615	0.529
abolition	ukuqeda	0.323	0.690	0.529
abominable	ezinengekayo	0.120	0.731	0.482
abominate	kuyamshaya	0.198	0.788	0.366
abomination	inengiso	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	ukuphumula	0.153	0.686	0.429
abortion	ukukhipha isisu	0.082	0.770	0.283
abortive	ukukhipha	0.090	0.776	0.280
abound	iningi	0.704	0.490	0.681
abovementioned	ngenhla	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	ukuhlukunyezwa	0.406	0.592	0.441
abrasive	ukuhlukumezeka	0.392	0.610	0.593
abreast	okulinganiselwe	0.635	0.380	0.519
abroad	phesheya	0.677	0.596	0.561
abrogate	ukuxoshwa	0.327	0.510	0.594
abrupt	ngokuphazamiseka	0.271	0.819	0.545
abruptly	ngokungazelelwe	0.250	0.808	0.556
abscess	i-abscess	0.154	0.451	0.349
absence	ukungabi khona	0.153	0.235	0.266
absent	engekho	0.177	0.221	0.116
absentee	engekho	0.235	0.330	0.279
absenteeism	ukungabikho	0.404	0.273	0.357
absinthe	i-absinthe	0.481	0.510	0.462
absolute	ngokuphelele	0.526	0.510	0.827
absolution	ukungabi namuntu	0.715	0.500	0.664
absolve	qeda	0.684	0.449	0.660
absorb	ubambe	0.469	0.558	0.670
absorbed	umunwe	0.490	0.471	0.519
absorbent	i-absorbent	0.552	0.394	0.718
absorbing	uyangenisa	0.490	0.490	0.578
absorption	ukumuncwa	0.609	0.422	0.446
abstain	hlala	0.385	0.385	0.427
abstention	ukungahlali	0.271	0.264	0.509
abstinence	ukuzithiba	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	kungenangqondo	0.188	0.656	0.284
absurdity	ukungabi nalutho	0.115	0.528	0.227
abundance	inqwaba	0.812	0.690	0.852
abundant	eningi	0.958	0.590	0.760
abuse	ukuhlukunyezwa	0.071	0.873	0.469
abused	behlukunyezwa	0.021	0.874	0.235
abusive	ukuhlukunyezwa	0.125	0.903	0.567
abutment	isithandwa	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	i-abysmal	0.250	0.710	0.598
abyss	ilasha	0.353	0.725	0.296
academic	isikole	0.781	0.420	0.812
academy	isikole	0.704	0.473	0.792
accede	vumela	0.698	0.510	0.537
accelerant	ukusheshisa	0.643	0.844	0.802
accelerate	ukusheshisa	0.615	0.902	0.759
accelerated	isheshayo	0.610	0.812	0.682
acceleration	ukusheshisa	0.704	0.905	0.843
accelerator	i-accelerator	0.593	0.830	0.812
accent	ukugxila	0.598	0.357	0.509
accentuate	i-accentuate	0.673	0.556	0.667
accept	yamukela	0.847	0.286	0.565
acceptable	yamukelekile	0.812	0.286	0.583
acceptance	ukwamukelwa	0.833	0.287	0.755
acceptances	ukwamukelwa	0.847	0.413	0.648
access	ukufinyelela	0.714	0.472	0.567
accessible	kufinyeleleka	0.796	0.410	0.645
accession	ukungenelela	0.612	0.383	0.636
accessory	izinsiza	0.562	0.292	0.445
accident	ingozi	0.125	0.908	0.336
accidental	ngengozi	0.319	0.784	0.307
accidentally	ngengozi	0.333	0.741	0.333
acclaim	udumo	0.562	0.809	0.718
accolade	ukuphoqa	0.688	0.591	0.775
accommodate	ukuhlala	0.844	0.375	0.566
accommodation	indawo yokuhlala	0.817	0.415	0.587
accompaniment	ukuhambisana	0.740	0.479	0.695
accompany	hamba	0.833	0.406	0.585
accompanying	ehambisana	0.787	0.460	0.582
accomplice	i-accomplice	0.408	0.580	0.510
accomplish	finyelela	0.929	0.673	0.816
accomplished	kufeziwe	0.870	0.520	0.798
accomplishment	ukufeza	0.917	0.694	0.888
accord	ngokuvumelana	0.898	0.264	0.382
accordance	ngokuhambisana	0.659	0.349	0.600
accordion	i-accordion	0.604	0.490	0.361
account	i-akhawunti	0.531	0.347	0.472
accountability	ukuphendula	0.755	0.537	0.833
accountable	ukuphendula	0.709	0.282	0.777
accountant	i-akhawunti	0.625	0.450	0.639
accounting	ukubalwa kwezimali	0.552	0.390	0.677
accounts	ama-akhawunti	0.592	0.340	0.471
accredited	kuvunyelwe	0.669	0.479	0.768
accretion	ukuvunywa	0.448	0.519	0.672
accrue	yanda	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	qoqa	0.573	0.536	0.607
accumulation	ukuqoqwa	0.479	0.527	0.600
accuracy	ukunemba	0.604	0.481	0.802
accurate	inembile	0.743	0.360	0.737
accursed	iqalekisiwe	0.135	0.745	0.345
accusation	icala	0.073	0.718	0.564
accusative	icala	0.198	0.755	0.482
accuse	icala	0.133	0.752	0.500
accused	umsolwa	0.130	0.670	0.420
accuser	ummangali	0.122	0.779	0.615
accusing	icala	0.156	0.745	0.324
accustomed	bejwayele	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	i-acetylene	0.306	0.469	0.509
ache	ukuphumula	0.146	0.760	0.312
achieve	ukufeza	0.816	0.545	0.843
achieved	kufinyeleleke	0.896	0.519	0.775
achievement	ukufeza	0.896	0.808	0.759
aching	ukucindezeleka	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	i-asidi	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	vuma	0.786	0.370	0.661
acknowledged	kuvunyelwe	0.714	0.443	0.765
acknowledgement	ukuvuma	0.819	0.539	0.830
acknowledgment	ukuvuma	0.796	0.528	0.777
acme	i-acme	0.408	0.435	0.375
acne	i-acne	0.167	0.474	0.308
acorn	i-acorn	0.448	0.198	0.192
acoustic	i-acoustic	0.542	0.462	0.536
acoustics	ama-acoustics	0.611	0.330	0.509
acquaint	wazi	0.646	0.491	0.639
acquaintance	ukujwayela	0.656	0.290	0.670
acquainted	azijwayele	0.906	0.358	0.632
acquiescence	i-acquiescence	0.542	0.480	0.554
acquire	thola	0.833	0.468	0.700
acquiring	ukuzuza	0.735	0.510	0.817
acquisition	ukuthenga	0.698	0.509	0.736
acquisitions	ukuthenga	0.773	0.660	0.790
acquit	thola	0.583	0.571	0.611
acquittal	ukulahlwa	0.760	0.497	0.700
acre	i-acre	0.583	0.387	0.423
acreage	i-acreage	0.741	0.450	0.528
acres	amahektare	0.510	0.363	0.500
acrobat	i-acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	yenza	0.656	0.704	0.735
acting	esebenza	0.698	0.643	0.500
action	isenzo	0.760	0.898	0.802
action figure	isibalo sesenzo	0.615	0.774	0.611
actionable	iyasebenza	0.673	0.702	0.613
activate	sebenzisa	0.764	0.650	0.806
activation	ukusebenza	0.781	0.800	0.754
active	esebenzayo	0.847	0.730	0.731
activist	isishoshovu	0.531	0.653	0.877
activity	umsebenzi	0.701	0.660	0.807
actor	umlingisi	0.653	0.561	0.629
actress	umlingisi	0.633	0.556	0.596
actual	okwangempela	0.729	0.400	0.716
actuality	okwamanje	0.750	0.464	0.600
actuary	i-actuary	0.510	0.404	0.491
acuity	ubuqili	0.469	0.378	0.741
acumen	i-acumen	0.564	0.660	0.679
acupuncture	i-acupuncture	0.531	0.324	0.549
acute	i-acute	0.427	0.652	0.534
acutely	kahle	0.417	0.543	0.491
ad	isikhangiso	0.521	0.705	0.558
adage	isikhangiso	0.517	0.415	0.566
adamant	enamandla	0.344	0.529	0.575
adapt	ukuvumelanisa	0.740	0.355	0.551
adaptable	ukuvumelanisa	0.735	0.423	0.641
adaptation	ukujwayela	0.663	0.365	0.609
add	engeza	0.728	0.490	0.554
added	ungeze	0.562	0.405	0.509
addendum	isithasiselo	0.392	0.370	0.418
adder	isitha	0.388	0.461	0.588
addict	umlutha	0.075	0.696	0.327
addicted	umlutha	0.156	0.712	0.483
addiction	umlutha	0.180	0.806	0.420
addictive	umlutha	0.302	0.683	0.472
addition	ukwengeza	0.562	0.373	0.471
additional	eyengeziwe	0.673	0.462	0.526
