Word	Afrikaans-af	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	uit die veld geslaan	0.385	0.407	0.288
abacus	abakus	0.510	0.276	0.485
abalone	perlemoen	0.500	0.480	0.412
abandon	verlaat	0.052	0.519	0.245
abandoned	verlate	0.046	0.481	0.130
abandonment	verlating	0.128	0.430	0.202
abashed	aangegryp	0.177	0.644	0.307
abate	bedaar	0.255	0.696	0.604
abatement	vermindering	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	abdy	0.580	0.367	0.444
abbot	abt	0.427	0.321	0.483
abbreviate	afkort	0.531	0.375	0.330
abbreviation	afkorting	0.469	0.306	0.345
abdomen	buik	0.469	0.462	0.471
abdominal	abdominale	0.490	0.456	0.445
abduct	ontvoer	0.173	0.720	0.615
abduction	ontvoering	0.062	0.990	0.673
aberrant	afwykende	0.146	0.765	0.431
aberration	afwyking	0.125	0.816	0.417
abeyance	tydelike opschorting	0.330	0.510	0.292
abhor	afsku	0.125	0.602	0.349
abhorrence	weersin	0.167	0.684	0.420
abhorrent	gruwelike	0.229	0.750	0.474
abide	bly	0.635	0.354	0.705
abiding	Abiding	0.796	0.327	0.750
ability	vermoë	0.875	0.510	0.816
abject	volslae	0.354	0.590	0.417
ablation	ablasie	0.418	0.500	0.500
ablaze	brand	0.240	0.847	0.525
able	staat	0.786	0.500	0.810
abnormal	abnormale	0.137	0.604	0.309
abnormality	abnormaliteit	0.092	0.655	0.383
aboard	aanboord	0.698	0.284	0.481
abode	woning	0.620	0.302	0.500
abolish	af te skaf	0.448	0.615	0.529
abolition	afskaffing	0.323	0.690	0.529
abominable	gruwelike	0.120	0.731	0.482
abominate	verfoeien	0.198	0.788	0.366
abomination	gruwel	0.078	0.755	0.518
aboriginal	Aboriginal	0.448	0.427	0.542
abort	aborteer	0.153	0.686	0.429
abortion	aborsie	0.082	0.770	0.283
abortive	mislukte	0.090	0.776	0.280
abound	oorvloed	0.704	0.490	0.681
abovementioned	bogenoemde	0.541	0.298	0.509
abracadabra	wartaal	0.673	0.632	0.434
abrasion	skuur	0.406	0.592	0.441
abrasive	skuur	0.392	0.610	0.593
abreast	hoogte	0.635	0.380	0.519
abroad	buiteland	0.677	0.596	0.561
abrogate	bowe	0.327	0.510	0.594
abrupt	skielike	0.271	0.819	0.545
abruptly	skielik	0.250	0.808	0.556
abscess	abses	0.154	0.451	0.349
absence	afwesigheid	0.153	0.235	0.266
absent	afwesig	0.177	0.221	0.116
absentee	afwesige	0.235	0.330	0.279
absenteeism	afwesigheid	0.404	0.273	0.357
absinthe	Helfrich	0.481	0.510	0.462
absolute	absolute	0.526	0.510	0.827
absolution	absolusie	0.715	0.500	0.664
absolve	onthef	0.684	0.449	0.660
absorb	absorbeer	0.469	0.558	0.670
absorbed	geabsorbeer	0.490	0.471	0.519
absorbent	absorberende	0.552	0.394	0.718
absorbing	absorbeer	0.490	0.490	0.578
absorption	absorpsie	0.609	0.422	0.446
abstain	onthou	0.385	0.385	0.427
abstention	onthouding	0.271	0.264	0.509
abstinence	onthouding	0.260	0.392	0.429
abstract	abstrakte	0.438	0.292	0.444
abstraction	onttrekking	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurditeit	0.115	0.528	0.227
abundance	oorvloed	0.812	0.690	0.852
abundant	oorvloedige	0.958	0.590	0.760
abuse	misbruik	0.071	0.873	0.469
abused	misbruik	0.021	0.874	0.235
abusive	beledigende	0.125	0.903	0.567
abutment	anker	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	onpeilbaar	0.250	0.710	0.598
abyss	afgrond	0.353	0.725	0.296
academic	akademiese	0.781	0.420	0.812
academy	Akademie	0.704	0.473	0.792
accede	tree	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	versnel	0.615	0.902	0.759
accelerated	versnelde	0.610	0.812	0.682
acceleration	versnelling	0.704	0.905	0.843
accelerator	versneller	0.593	0.830	0.812
accent	aksent	0.598	0.357	0.509
accentuate	beklemtoon	0.673	0.556	0.667
accept	aanvaar	0.847	0.286	0.565
acceptable	aanvaarbaar	0.812	0.286	0.583
acceptance	aanvaarding	0.833	0.287	0.755
acceptances	aanvaardings	0.847	0.413	0.648
access	toegang	0.714	0.472	0.567
accessible	toeganklik	0.796	0.410	0.645
accession	toetreding	0.612	0.383	0.636
accessory	bykomstigheid	0.562	0.292	0.445
accident	ongeluk	0.125	0.908	0.336
accidental	toevallige	0.319	0.784	0.307
accidentally	ongeluk	0.333	0.741	0.333
acclaim	lof	0.562	0.809	0.718
accolade	toekenning	0.688	0.591	0.775
accommodate	akkommodeer	0.844	0.375	0.566
accommodation	akkommodasie	0.817	0.415	0.587
accompaniment	begeleiding	0.740	0.479	0.695
accompany	vergesel	0.833	0.406	0.585
accompanying	begeleidende	0.787	0.460	0.582
accomplice	medepligtige	0.408	0.580	0.510
accomplish	bereik	0.929	0.673	0.816
accomplished	tot stand gebring	0.870	0.520	0.798
accomplishment	vervulling	0.917	0.694	0.888
accord	beweging	0.898	0.264	0.382
accordance	ooreenstemming	0.659	0.349	0.600
accordion	trekklavier	0.604	0.490	0.361
account	rekening	0.531	0.347	0.472
accountability	aanspreeklikheid	0.755	0.537	0.833
accountable	aanspreeklik	0.709	0.282	0.777
accountant	rekenmeester	0.625	0.450	0.639
accounting	Rekeningkunde	0.552	0.390	0.677
accounts	rekeninge	0.592	0.340	0.471
accredited	geakkrediteerde	0.669	0.479	0.768
accretion	aanwas	0.448	0.519	0.672
accrue	toeval	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	versamel	0.573	0.536	0.607
accumulation	opeenhoping	0.479	0.527	0.600
accuracy	akkuraatheid	0.604	0.481	0.802
accurate	akkurate	0.743	0.360	0.737
accursed	vervloekte	0.135	0.745	0.345
accusation	beskuldiging	0.073	0.718	0.564
accusative	akkusatief	0.198	0.755	0.482
accuse	beskuldig	0.133	0.752	0.500
accused	beskuldigde	0.130	0.670	0.420
accuser	aanklaer	0.122	0.779	0.615
accusing	beskuldig	0.156	0.745	0.324
accustomed	gewoond	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	asynsuur	0.333	0.420	0.519
acetylene	asetileen	0.306	0.469	0.509
ache	pyn	0.146	0.760	0.312
achieve	bereik	0.816	0.545	0.843
achieved	bereik	0.896	0.519	0.775
achievement	prestasie	0.896	0.808	0.759
aching	seer	0.053	0.880	0.348
achy	Achy	0.167	0.840	0.373
acid	suur	0.265	0.642	0.566
acidity	suur	0.156	0.663	0.360
acknowledge	erken	0.786	0.370	0.661
acknowledged	erken	0.714	0.443	0.765
acknowledgement	erkenning	0.819	0.539	0.830
acknowledgment	erkenning	0.796	0.528	0.777
acme	toppunt	0.408	0.435	0.375
acne	aknee	0.167	0.474	0.308
acorn	akker	0.448	0.198	0.192
acoustic	akoestiese	0.542	0.462	0.536
acoustics	akoestiek	0.611	0.330	0.509
acquaint	vergewis	0.646	0.491	0.639
acquaintance	kennismaking	0.656	0.290	0.670
acquainted	vertroud	0.906	0.358	0.632
acquiescence	berusting	0.542	0.480	0.554
acquire	verkry	0.833	0.468	0.700
acquiring	verkryging	0.735	0.510	0.817
acquisition	verkryging	0.698	0.509	0.736
acquisitions	aanwinste	0.773	0.660	0.790
acquit	vryspreek	0.583	0.571	0.611
acquittal	vryspraak	0.760	0.497	0.700
acre	akker	0.583	0.387	0.423
acreage	oppervlakte	0.741	0.450	0.528
acres	akker	0.510	0.363	0.500
acrobat	akrobaat	0.708	0.828	0.602
acrylic	akriel	0.582	0.279	0.420
act	daad	0.656	0.704	0.735
acting	Waarnemende	0.698	0.643	0.500
action	aksie	0.760	0.898	0.802
action figure	aksie figuur	0.615	0.774	0.611
actionable	aksie	0.673	0.702	0.613
activate	aktiveer	0.764	0.650	0.806
activation	aktivering	0.781	0.800	0.754
active	aktiewe	0.847	0.730	0.731
activist	aktivis	0.531	0.653	0.877
activity	aktiwiteit	0.701	0.660	0.807
actor	akteur	0.653	0.561	0.629
actress	aktrise	0.633	0.556	0.596
actual	werklike	0.729	0.400	0.716
actuality	aktualiteitsprogram	0.750	0.464	0.600
actuary	aktuaris	0.510	0.404	0.491
acuity	skerpte	0.469	0.378	0.741
acumen	vernuf	0.564	0.660	0.679
acupuncture	akupunktuur	0.531	0.324	0.549
acute	akute	0.427	0.652	0.534
acutely	deeglik	0.417	0.543	0.491
ad	advertensie	0.521	0.705	0.558
adage	spreekwoord	0.517	0.415	0.566
adamant	vasbeslote	0.344	0.529	0.575
adapt	aanpas	0.740	0.355	0.551
adaptable	aanpasbaar	0.735	0.423	0.641
adaptation	aanpassing	0.663	0.365	0.609
add	voeg	0.728	0.490	0.554
added	bygevoeg	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	verslaafde	0.075	0.696	0.327
addicted	verslaaf	0.156	0.712	0.483
addiction	verslawing	0.180	0.806	0.420
addictive	verslawende	0.302	0.683	0.472
addition	Daarbenewens	0.562	0.373	0.471
additional	addisionele	0.673	0.462	0.526
additive	toevoeging	0.561	0.633	0.691
address	adres	0.650	0.327	0.567
addressee	geadresseerde	0.622	0.382	0.538
addresses	adresse	0.510	0.354	0.450
adept	meesters	0.594	0.539	0.789
adequacy	toereikendheid	0.615	0.435	0.702
adequate	voldoende	0.854	0.264	0.705
adhere	voldoen	0.633	0.339	0.554
adherence	nakoming	0.760	0.307	0.630
adherent	aanhanger	0.561	0.385	0.555
adhering	voldoening	0.612	0.561	0.537
adhesion	adhesie	0.521	0.445	0.586
