Word	Amharic-am	Valence	Arousal	Dominance
aaaaaaah	yeaaaaahah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	ተጭኗል	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	አኳል	0.500	0.480	0.412
abandon	ውጣ	0.052	0.519	0.245
abandoned	ተትቷል	0.046	0.481	0.130
abandonment	ማቋረጥ	0.128	0.430	0.202
abashed	ተሰቅሏል	0.177	0.644	0.307
abate	አጥፋ	0.255	0.696	0.604
abatement	መበስበስ	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	ቤተ-ክርስቲያን	0.580	0.367	0.444
abbot	አቡኝ	0.427	0.321	0.483
abbreviate	አህጽሮት	0.531	0.375	0.330
abbreviation	አህጽሮተ ቃል	0.469	0.306	0.345
abdomen	ሆድ	0.469	0.462	0.471
abdominal	ሆዱ	0.490	0.456	0.445
abduct	ጠለፋ	0.173	0.720	0.615
abduction	ጠለፋ	0.062	0.990	0.673
aberrant	ያልተለመደ	0.146	0.765	0.431
aberration	ማቃለጥ	0.125	0.816	0.417
abeyance	ድንገተኛ	0.330	0.510	0.292
abhor	ጸያፍ	0.125	0.602	0.349
abhorrence	መጸጸት	0.167	0.684	0.420
abhorrent	አስጸያፊ	0.229	0.750	0.474
abide	ቀጥል	0.635	0.354	0.705
abiding	በመታገሥ	0.796	0.327	0.750
ability	ችሎታ	0.875	0.510	0.816
abject	ጥፋተኛ	0.354	0.590	0.417
ablation	ማባረር	0.418	0.500	0.500
ablaze	እሳቱ	0.240	0.847	0.525
able	ችሎታ	0.786	0.500	0.810
abnormal	ያልተለመደ	0.137	0.604	0.309
abnormality	ያልተለመደው	0.092	0.655	0.383
aboard	ወደቤት	0.698	0.284	0.481
abode	መኖሪያ	0.620	0.302	0.500
abolish	አጠፋ	0.448	0.615	0.529
abolition	ማጥፋት	0.323	0.690	0.529
abominable	አስጸያፊ	0.120	0.731	0.482
abominate	አጸያፊ	0.198	0.788	0.366
abomination	አስጸያፊ	0.078	0.755	0.518
aboriginal	አዉሮጅናል	0.448	0.427	0.542
abort	አጥፋ	0.153	0.686	0.429
abortion	ፅንስ ማስወረድ	0.082	0.770	0.283
abortive	ውርጃ	0.090	0.776	0.280
abound	የተትረፈረፈ	0.704	0.490	0.681
abovementioned	ከላይ የተጠቀሰው	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	አረፋ	0.406	0.592	0.441
abrasive	አጥፊ	0.392	0.610	0.593
abreast	አከባቢ	0.635	0.380	0.519
abroad	በውጭ አገር	0.677	0.596	0.561
abrogate	መሻር	0.327	0.510	0.594
abrupt	ድንገተኛ	0.271	0.819	0.545
abruptly	በድንገት	0.250	0.808	0.556
abscess	እብጠት	0.154	0.451	0.349
absence	አለመኖር	0.153	0.235	0.266
absent	የለም	0.177	0.221	0.116
absentee	ያለፈ	0.235	0.330	0.279
absenteeism	ያለፈቃድ	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	ፍጹም	0.526	0.510	0.827
absolution	ነፃነት	0.715	0.500	0.664
absolve	ነፃ	0.684	0.449	0.660
absorb	ተቀባ	0.469	0.558	0.670
absorbed	ተሸክሟል	0.490	0.471	0.519
