Word	Cebuano-ceb	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abako	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	biyaan	0.052	0.519	0.245
abandoned	gibiyaan	0.046	0.481	0.130
abandonment	abandonment	0.128	0.430	0.202
abashed	nanglipaghong	0.177	0.644	0.307
abate	pagpaubos	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	abbot	0.427	0.321	0.483
abbreviate	pag-abbreviate	0.531	0.375	0.330
abbreviation	minubo	0.469	0.306	0.345
abdomen	tiyan	0.469	0.462	0.471
abdominal	tiyan	0.490	0.456	0.445
abduct	pagdakop	0.173	0.720	0.615
abduction	pagdagit	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	kasilag	0.125	0.602	0.349
abhorrence	pagdumot	0.167	0.684	0.420
abhorrent	kasilag	0.229	0.750	0.474
abide	magpabilin	0.635	0.354	0.705
abiding	magpabilin	0.796	0.327	0.750
ability	abilidad	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	ablaze	0.240	0.847	0.525
able	makahimo	0.786	0.500	0.810
abnormal	abnormal	0.137	0.604	0.309
abnormality	abnormality	0.092	0.655	0.383
aboard	sakay	0.698	0.284	0.481
abode	nagpuyo	0.620	0.302	0.500
abolish	pagwagtang	0.448	0.615	0.529
abolition	pagwagtang	0.323	0.690	0.529
abominable	dulumtanan	0.120	0.731	0.482
abominate	Kahadlok	0.198	0.788	0.366
abomination	dulumtanan	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	aborsyon	0.082	0.770	0.283
abortive	aborton	0.090	0.776	0.280
abound	dagaya	0.704	0.490	0.681
abovementioned	awhag	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	abay	0.635	0.380	0.519
abroad	sa gawas	0.677	0.596	0.561
abrogate	bungkag	0.327	0.510	0.594
abrupt	kalit	0.271	0.819	0.545
abruptly	kalit lang	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	pagkawala	0.153	0.235	0.266
absent	wala	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	absenteeism	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	hingpit	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	hingpit	0.684	0.449	0.660
absorb	sipyata	0.469	0.558	0.670
absorbed	masuhop	0.490	0.471	0.519
absorbent	pagsuyop	0.552	0.394	0.718
absorbing	pagsabwag	0.490	0.490	0.578
absorption	pagsuyup	0.609	0.422	0.446
abstain	paglikay	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	pagdumili	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	dili makatarunganon	0.115	0.528	0.227
abundance	kabuhong	0.812	0.690	0.852
abundant	abunda	0.958	0.590	0.760
abuse	abuso	0.071	0.873	0.469
abused	giabusohan	0.021	0.874	0.235
abusive	abusado	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	dili maayo	0.250	0.710	0.598
abyss	kahiladman	0.353	0.725	0.296
academic	academic	0.781	0.420	0.812
academy	academy	0.704	0.473	0.792
accede	pagsugot	0.698	0.510	0.537
accelerant	paspas	0.643	0.844	0.802
accelerate	palihug	0.615	0.902	0.759
accelerated	paspas	0.610	0.812	0.682
acceleration	pagpadali	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	pagpasabut	0.673	0.556	0.667
accept	pagdawat	0.847	0.286	0.565
acceptable	madawat	0.812	0.286	0.583
acceptance	pagdawat	0.833	0.287	0.755
acceptances	pagdawat	0.847	0.413	0.648
access	access	0.714	0.472	0.567
accessible	accessible	0.796	0.410	0.645
accession	accession	0.612	0.383	0.636
accessory	accessory	0.562	0.292	0.445
accident	aksidente	0.125	0.908	0.336
accidental	aksidente	0.319	0.784	0.307
accidentally	sa aksidente	0.333	0.741	0.333
acclaim	pasidunggan	0.562	0.809	0.718
accolade	pasidungog	0.688	0.591	0.775
accommodate	pag-accommodate	0.844	0.375	0.566
accommodation	accommodation	0.817	0.415	0.587
accompaniment	duyog	0.740	0.479	0.695
accompany	nagauban	0.833	0.406	0.585
accompanying	nag-uban	0.787	0.460	0.582
accomplice	kakonsabo	0.408	0.580	0.510
accomplish	matuman	0.929	0.673	0.816
accomplished	natapos	0.870	0.520	0.798
accomplishment	kalampusan	0.917	0.694	0.888
accord	uyon	0.898	0.264	0.382
accordance	uyon	0.659	0.349	0.600
accordion	akusasyon	0.604	0.490	0.361
account	account	0.531	0.347	0.472
accountability	pagkamay tulubagon	0.755	0.537	0.833
accountable	may tulubagon	0.709	0.282	0.777
accountant	accountant	0.625	0.450	0.639
accounting	accounting	0.552	0.390	0.677
accounts	mga asoy	0.592	0.340	0.471
accredited	accredited	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	makaipon	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	makaipon	0.573	0.536	0.607
accumulation	pagtipon	0.479	0.527	0.600
accuracy	katarungan	0.604	0.481	0.802
accurate	tukma	0.743	0.360	0.737
accursed	tinunglo	0.135	0.745	0.345
accusation	akusasyon	0.073	0.718	0.564
accusative	akusado	0.198	0.755	0.482
accuse	akusar	0.133	0.752	0.500
accused	akusado	0.130	0.670	0.420
accuser	akusado	0.122	0.779	0.615
accusing	akusar	0.156	0.745	0.324
accustomed	naanad na	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	sakit	0.146	0.760	0.312
achieve	pagkab-ot	0.816	0.545	0.843
achieved	nakab-ot	0.896	0.519	0.775
achievement	kalampusan	0.896	0.808	0.759
aching	sakit	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	moila	0.786	0.370	0.661
acknowledged	giila	0.714	0.443	0.765
acknowledgement	pag-ila	0.819	0.539	0.830
acknowledgment	pag-ila	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	pagpahibalo	0.646	0.491	0.639
acquaintance	kaila	0.656	0.290	0.670
acquainted	pamilyar	0.906	0.358	0.632
acquiescence	pag-uyon	0.542	0.480	0.554
acquire	makuha	0.833	0.468	0.700
acquiring	pagbaton	0.735	0.510	0.817
acquisition	pag-angkon	0.698	0.509	0.736
acquisitions	pag-angkon	0.773	0.660	0.790
acquit	pagpagawas	0.583	0.571	0.611
acquittal	pagbayad	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	molihok	0.656	0.704	0.735
acting	naglihok	0.698	0.643	0.500
action	aksyon	0.760	0.898	0.802
action figure	aksyon nga numero	0.615	0.774	0.611
actionable	mahimo nga buhaton	0.673	0.702	0.613
activate	aktibo	0.764	0.650	0.806
activation	pagpaaktibo	0.781	0.800	0.754
active	aktibo	0.847	0.730	0.731
activist	aktibista	0.531	0.653	0.877
activity	kalihokan	0.701	0.660	0.807
actor	aktor	0.653	0.561	0.629
actress	aktres	0.633	0.556	0.596
actual	tinuod	0.729	0.400	0.716
actuality	pagkatinuod	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	katin-awan	0.469	0.378	0.741
acumen	kahibalo	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	mahait	0.427	0.652	0.534
acutely	husto nga	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	mopahiangay	0.740	0.355	0.551
adaptable	mapailin-ilinon	0.735	0.423	0.641
adaptation	pagpahiangay	0.663	0.365	0.609
add	Dugang pa	0.728	0.490	0.554
added	dugang pa	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	adik	0.075	0.696	0.327
addicted	adik	0.156	0.712	0.483
addiction	pagkaadik	0.180	0.806	0.420
addictive	makaadik	0.302	0.683	0.472
addition	Dugang pa	0.562	0.373	0.471
additional	dugang pa	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	adres	0.650	0.327	0.567
addressee	pagtawag	0.622	0.382	0.538
addresses	mga pakigpulong	0.510	0.354	0.450
adept	maayo	0.594	0.539	0.789
adequacy	katakus	0.615	0.435	0.702
adequate	igo	0.854	0.264	0.705
adhere	sundon	0.633	0.339	0.554
adherence	pagsunod	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
adhesion	pagpilit	0.521	0.445	0.586
adhesive	patapot	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
