Word	Corsican-co	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	abbandunà	0.052	0.519	0.245
abandoned	abbandunata	0.046	0.481	0.130
abandonment	abbandunamentu	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbazia	0.580	0.367	0.444
abbot	abbati	0.427	0.321	0.483
abbreviate	abbità	0.531	0.375	0.330
abbreviation	abbreviazione	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	abduct	0.173	0.720	0.615
abduction	abduction	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	cuscenza	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	abumineghju	0.229	0.750	0.474
abide	aghjustate	0.635	0.354	0.705
abiding	abiding	0.796	0.327	0.750
ability	abilità	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	flussu	0.240	0.847	0.525
able	capaci	0.786	0.500	0.810
abnormal	anormali	0.137	0.604	0.309
abnormality	anormalità	0.092	0.655	0.383
aboard	a bordo	0.698	0.284	0.481
abode	residu	0.620	0.302	0.500
abolish	abulisce	0.448	0.615	0.529
abolition	abulizioni	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	aborigine	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	abbortu	0.082	0.770	0.283
abortive	abortivu	0.090	0.776	0.280
abound	abbastanza	0.704	0.490	0.681
abovementioned	supra	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasione	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	amici	0.635	0.380	0.519
abroad	stranieru	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	abruptly	0.250	0.808	0.556
abscess	abscissu	0.154	0.451	0.349
absence	assenza	0.153	0.235	0.266
absent	assenza	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	'absentismu	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	assolutu	0.526	0.510	0.827
absolution	assulzione	0.715	0.500	0.664
absolve	assorviri	0.684	0.449	0.660
absorb	assòrbinu	0.469	0.558	0.670
absorbed	assurbutu	0.490	0.471	0.519
absorbent	assorbenti	0.552	0.394	0.718
absorbing	assoriscenu	0.490	0.490	0.578
absorption	assicuranza	0.609	0.422	0.446
abstain	astènesi	0.385	0.385	0.427
abstention	'astèntzia	0.271	0.264	0.509
abstinence	'astinenza	0.260	0.392	0.429
abstract	astrattu	0.438	0.292	0.444
abstraction	l 'estrazzioni	0.469	0.439	0.525
absurd	assurdu	0.188	0.656	0.284
absurdity	assurdu	0.115	0.528	0.227
abundance	abbundanza	0.812	0.690	0.852
abundant	abundanti	0.958	0.590	0.760
abuse	abusu	0.071	0.873	0.469
abused	abusatu	0.021	0.874	0.235
abusive	abusive	0.125	0.903	0.567
abutment	pattu	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abissu	0.353	0.725	0.296
academic	accadèmicu	0.781	0.420	0.812
academy	accademia	0.704	0.473	0.792
accede	accede	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	accelerà	0.615	0.902	0.759
accelerated	accelerata	0.610	0.812	0.682
acceleration	accilità	0.704	0.905	0.843
accelerator	accélémerer	0.593	0.830	0.812
accent	accentu	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	accetta	0.847	0.286	0.565
acceptable	accettabbli	0.812	0.286	0.583
acceptance	accettazione	0.833	0.287	0.755
acceptances	accettazione	0.847	0.413	0.648
access	accessu	0.714	0.472	0.567
accessible	accessibile	0.796	0.410	0.645
accession	accissioni	0.612	0.383	0.636
accessory	accessoriu	0.562	0.292	0.445
accident	accident	0.125	0.908	0.336
accidental	accidintali	0.319	0.784	0.307
accidentally	accidintali	0.333	0.741	0.333
acclaim	appruvazioni	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	accuncià	0.844	0.375	0.566
accommodation	alloghju	0.817	0.415	0.587
accompaniment	accumpagnamentu	0.740	0.479	0.695
accompany	accumpagnà	0.833	0.406	0.585
accompanying	accumpagnamentu	0.787	0.460	0.582
accomplice	cumpiacente	0.408	0.580	0.510
accomplish	capisce	0.929	0.673	0.816
accomplished	esse realizatu	0.870	0.520	0.798
accomplishment	successu	0.917	0.694	0.888
accord	accordu	0.898	0.264	0.382
accordance	cunfurmità	0.659	0.349	0.600
accordion	accordione	0.604	0.490	0.361
account	contu	0.531	0.347	0.472
accountability	accountability	0.755	0.537	0.833
accountable	rende cuntu	0.709	0.282	0.777
accountant	accountant	0.625	0.450	0.639
accounting	cuntalli	0.552	0.390	0.677
accounts	cunti	0.592	0.340	0.471
accredited	accreditata	0.669	0.479	0.768
accretion	accrezione	0.448	0.519	0.672
accrue	accrue	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	accumminate	0.573	0.536	0.607
accumulation	accumulation	0.479	0.527	0.600
accuracy	precisione	0.604	0.481	0.802
accurate	precisa	0.743	0.360	0.737
accursed	accictavanu	0.135	0.745	0.345
accusation	accusazioni	0.073	0.718	0.564
accusative	accusative	0.198	0.755	0.482
accuse	accusallu	0.133	0.752	0.500
accused	accusatu	0.130	0.670	0.420
accuser	accusatore	0.122	0.779	0.615
accusing	accusannu	0.156	0.745	0.324
accustomed	abbituatu	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acìticu	0.333	0.420	0.519
acetylene	acitileni	0.306	0.469	0.509
ache	duluri	0.146	0.760	0.312
achieve	ghjunghje	0.816	0.545	0.843
achieved	uttene	0.896	0.519	0.775
achievement	successu	0.896	0.808	0.759
aching	avellu	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acìticu	0.265	0.642	0.566
acidity	acidità	0.156	0.663	0.360
acknowledge	ricunnosce	0.786	0.370	0.661
acknowledged	ricunnisciute	0.714	0.443	0.765
acknowledgement	ricunniscenza	0.819	0.539	0.830
acknowledgment	ricunniscenza	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	ghjanda	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acustiche	0.611	0.330	0.509
acquaint	acquaint	0.646	0.491	0.639
acquaintance	cunnuscenza	0.656	0.290	0.670
acquainted	cunnosci	0.906	0.358	0.632
acquiescence	acquisteria	0.542	0.480	0.554
acquire	acquistà	0.833	0.468	0.700
acquiring	acquistà	0.735	0.510	0.817
acquisition	acquistata	0.698	0.509	0.736
acquisitions	accusazioni	0.773	0.660	0.790
acquit	acquazione	0.583	0.571	0.611
acquittal	acquazione	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	aghja	0.741	0.450	0.528
acres	ettari	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrilica	0.582	0.279	0.420
act	attu	0.656	0.704	0.735
acting	agisce	0.698	0.643	0.500
action	action	0.760	0.898	0.802
action figure	figura di azioni	0.615	0.774	0.611
actionable	azzione	0.673	0.702	0.613
activate	attivate	0.764	0.650	0.806
activation	attivazione	0.781	0.800	0.754
active	attivu	0.847	0.730	0.731
activist	attivista	0.531	0.653	0.877
activity	attività	0.701	0.660	0.807
actor	attore	0.653	0.561	0.629
actress	attrice	0.633	0.556	0.596
actual	verità	0.729	0.400	0.716
actuality	a verità	0.750	0.464	0.600
actuary	attaru	0.510	0.404	0.491
acuity	agisce	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	aguda	0.427	0.652	0.534
acutely	aghjettivu	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	daveru	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	adattà	0.740	0.355	0.551
adaptable	adattabile	0.735	0.423	0.641
adaptation	adattazione	0.663	0.365	0.609
add	aghjunghje	0.728	0.490	0.554
added	agghiunciu	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	addictu	0.075	0.696	0.327
addicted	addicted	0.156	0.712	0.483
addiction	addiction	0.180	0.806	0.420
addictive	addictive	0.302	0.683	0.472
addition	aghjuntu	0.562	0.373	0.471
additional	supplementu	0.673	0.462	0.526
additive	additivu	0.561	0.633	0.691
address	indirizzu	0.650	0.327	0.567
addressee	destinatariu	0.622	0.382	0.538
addresses	indirizzi	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	adequate adequate	0.615	0.435	0.702
adequate	adattate	0.854	0.264	0.705
adhere	aderiscenu	0.633	0.339	0.554
adherence	aderenza	0.760	0.307	0.630
adherent	aderenti	0.561	0.385	0.555
adhering	aderenti	0.612	0.561	0.537
adhesion	aderenza	0.521	0.445	0.586
adhesive	adhesive	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	adiacenti	0.645	0.276	0.536
