Word	Finnish-fi	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	maasika	0.427	0.490	0.437
aback	taaksepäin	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	merikorva	0.500	0.480	0.412
abandon	luopua	0.052	0.519	0.245
abandoned	hylätty	0.046	0.481	0.130
abandonment	hylkääminen	0.128	0.430	0.202
abashed	hämillään	0.177	0.644	0.307
abate	tyyntyä	0.255	0.696	0.604
abatement	vähennys	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	luostarikirkko	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	lyhentää	0.531	0.375	0.330
abbreviation	lyhenne	0.469	0.306	0.345
abdomen	vatsa	0.469	0.462	0.471
abdominal	vatsan-	0.490	0.456	0.445
abduct	ryöstää	0.173	0.720	0.615
abduction	sieppaus	0.062	0.990	0.673
aberrant	poikkeuksellinen	0.146	0.765	0.431
aberration	poikkeama	0.125	0.816	0.417
abeyance	ratkaisun viipyminen	0.330	0.510	0.292
abhor	inhota	0.125	0.602	0.349
abhorrence	kammo	0.167	0.684	0.420
abhorrent	vastenmielinen	0.229	0.750	0.474
abide	asua	0.635	0.354	0.705
abiding	Abiding	0.796	0.327	0.750
ability	kyky	0.875	0.510	0.816
abject	viheliäinen	0.354	0.590	0.417
ablation	ablaatio	0.418	0.500	0.500
ablaze	ilmiliekeissä	0.240	0.847	0.525
able	pystyä	0.786	0.500	0.810
abnormal	poikkeava	0.137	0.604	0.309
abnormality	poikkeavuus	0.092	0.655	0.383
aboard	laivaan	0.698	0.284	0.481
abode	asunto	0.620	0.302	0.500
abolish	poistaa	0.448	0.615	0.529
abolition	poistaminen	0.323	0.690	0.529
abominable	iljettävä	0.120	0.731	0.482
abominate	inhota	0.198	0.788	0.366
abomination	inhottavuus	0.078	0.755	0.518
aboriginal	alku-	0.448	0.427	0.542
abort	keskeyttää	0.153	0.686	0.429
abortion	abortti	0.082	0.770	0.283
abortive	epäonnistunut	0.090	0.776	0.280
abound	runsaasti	0.704	0.490	0.681
abovementioned	yllämainittu	0.541	0.298	0.509
abracadabra	simsalabim	0.673	0.632	0.434
abrasion	hiertymä	0.406	0.592	0.441
abrasive	hiova	0.392	0.610	0.593
abreast	rinnakkain	0.635	0.380	0.519
abroad	ulkomailla	0.677	0.596	0.561
abrogate	kumota	0.327	0.510	0.594
abrupt	äkillinen	0.271	0.819	0.545
abruptly	yhtäkkiä	0.250	0.808	0.556
abscess	paise	0.154	0.451	0.349
absence	poissaolo	0.153	0.235	0.266
absent	poissa	0.177	0.221	0.116
absentee	poissaolija	0.235	0.330	0.279
absenteeism	poissaolot	0.404	0.273	0.357
absinthe	absintti	0.481	0.510	0.462
absolute	absoluuttinen	0.526	0.510	0.827
absolution	synninpäästö	0.715	0.500	0.664
absolve	antaa synninpäästö	0.684	0.449	0.660
absorb	omaksua	0.469	0.558	0.670
absorbed	imeytyy	0.490	0.471	0.519
absorbent	imukykyinen	0.552	0.394	0.718
absorbing	imevää	0.490	0.490	0.578
absorption	imeytyminen	0.609	0.422	0.446
abstain	pidättyä	0.385	0.385	0.427
abstention	tyhjää	0.271	0.264	0.509
abstinence	pidättyvyys	0.260	0.392	0.429
abstract	abstrakti	0.438	0.292	0.444
abstraction	abstraktio	0.469	0.439	0.525
absurd	järjetön	0.188	0.656	0.284
absurdity	järjettömyys	0.115	0.528	0.227
abundance	yltäkylläisyys	0.812	0.690	0.852
abundant	runsas	0.958	0.590	0.760
abuse	väärinkäyttö	0.071	0.873	0.469
abused	väärin	0.021	0.874	0.235
abusive	loukkaava	0.125	0.903	0.567
abutment	rajoittuminen	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	pohjaton	0.250	0.710	0.598
abyss	syvyys	0.353	0.725	0.296
academic	akateeminen	0.781	0.420	0.812
academy	akatemia	0.704	0.473	0.792
accede	liittymään	0.698	0.510	0.537
accelerant	kiihdyttimen	0.643	0.844	0.802
accelerate	kiihdyttää	0.615	0.902	0.759
accelerated	kiihtyi	0.610	0.812	0.682
acceleration	kiihtyvyys	0.704	0.905	0.843
accelerator	kiihdytin	0.593	0.830	0.812
accent	aksentti	0.598	0.357	0.509
accentuate	painottaa	0.673	0.556	0.667
accept	hyväksyä	0.847	0.286	0.565
acceptable	hyväksyttävä	0.812	0.286	0.583
acceptance	hyväksyminen	0.833	0.287	0.755
acceptances	hyväksynnät	0.847	0.413	0.648
access	pääsy	0.714	0.472	0.567
accessible	saatavilla	0.796	0.410	0.645
accession	liittymistä	0.612	0.383	0.636
accessory	lisävaruste	0.562	0.292	0.445
accident	onnettomuus	0.125	0.908	0.336
accidental	satunnainen	0.319	0.784	0.307
accidentally	vahingossa	0.333	0.741	0.333
acclaim	tervehtiä suosionhuudoin	0.562	0.809	0.718
accolade	kunnianosoitus	0.688	0.591	0.775
accommodate	majoittaa	0.844	0.375	0.566
accommodation	majoitus	0.817	0.415	0.587
accompaniment	säestys	0.740	0.479	0.695
accompany	seurata	0.833	0.406	0.585
accompanying	mukana	0.787	0.460	0.582
accomplice	rikoskumppani	0.408	0.580	0.510
accomplish	suorittaa	0.929	0.673	0.816
accomplished	aikaan	0.870	0.520	0.798
accomplishment	suoritus	0.917	0.694	0.888
accord	sopimus	0.898	0.264	0.382
accordance	mukaisesti	0.659	0.349	0.600
accordion	harmonikka	0.604	0.490	0.361
account	tili	0.531	0.347	0.472
accountability	vastuullisuutta	0.755	0.537	0.833
accountable	vastuussa	0.709	0.282	0.777
accountant	kirjanpitäjä	0.625	0.450	0.639
accounting	kirjanpito	0.552	0.390	0.677
accounts	tilit	0.592	0.340	0.471
accredited	valtuutettu	0.669	0.479	0.768
accretion	vesijättö	0.448	0.519	0.672
accrue	kertyä	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	kerätä	0.573	0.536	0.607
accumulation	kertymä	0.479	0.527	0.600
accuracy	tarkkuus	0.604	0.481	0.802
accurate	tarkka	0.743	0.360	0.737
accursed	kirottu	0.135	0.745	0.345
accusation	syytös	0.073	0.718	0.564
accusative	akkusatiivi	0.198	0.755	0.482
accuse	moittia	0.133	0.752	0.500
accused	syytetty	0.130	0.670	0.420
accuser	syyttäjä	0.122	0.779	0.615
accusing	syyttäen	0.156	0.745	0.324
accustomed	tottunut	0.542	0.365	0.441
ace	ässä	0.643	0.481	0.546
acetic	etikka-	0.333	0.420	0.519
acetylene	asetyleeni	0.306	0.469	0.509
ache	särky	0.146	0.760	0.312
achieve	saavuttaa	0.816	0.545	0.843
achieved	saavutettu	0.896	0.519	0.775
achievement	saavutus	0.896	0.808	0.759
aching	kipeä	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	happo	0.265	0.642	0.566
acidity	happamuus	0.156	0.663	0.360
acknowledge	tunnustaa	0.786	0.370	0.661
acknowledged	tunnustettu	0.714	0.443	0.765
acknowledgement	tunnustus	0.819	0.539	0.830
acknowledgment	tunnustus	0.796	0.528	0.777
acme	huippukohta	0.408	0.435	0.375
acne	finni	0.167	0.474	0.308
acorn	tammenterho	0.448	0.198	0.192
acoustic	akustinen	0.542	0.462	0.536
acoustics	akustiikka	0.611	0.330	0.509
acquaint	tutustuttaa	0.646	0.491	0.639
acquaintance	tuttavuus	0.656	0.290	0.670
acquainted	tutustunut	0.906	0.358	0.632
acquiescence	suostumus	0.542	0.480	0.554
acquire	hankkia	0.833	0.468	0.700
acquiring	hankkiminen	0.735	0.510	0.817
acquisition	hankinta	0.698	0.509	0.736
acquisitions	yritysostot	0.773	0.660	0.790
acquit	vapauttaa	0.583	0.571	0.611
acquittal	vapauttava tuomio	0.760	0.497	0.700
acre	eekkeri	0.583	0.387	0.423
acreage	pinta-ala	0.741	0.450	0.528
acres	eekkeriä	0.510	0.363	0.500
acrobat	akrobaatti	0.708	0.828	0.602
acrylic	akryyli-	0.582	0.279	0.420
act	toimia	0.656	0.704	0.735
acting	näytteleminen	0.698	0.643	0.500
action	toiminta	0.760	0.898	0.802
action figure	toimintahahmo	0.615	0.774	0.611
actionable	kannekelpoinen	0.673	0.702	0.613
activate	aktivoida	0.764	0.650	0.806
activation	aktivointi	0.781	0.800	0.754
active	aktiivinen	0.847	0.730	0.731
activist	aktivisti	0.531	0.653	0.877
activity	aktiviteetti	0.701	0.660	0.807
actor	näyttelijä	0.653	0.561	0.629
actress	näyttelijä	0.633	0.556	0.596
actual	todellinen	0.729	0.400	0.716
actuality	todellisuus	0.750	0.464	0.600
actuary	aktuaari	0.510	0.404	0.491
acuity	terävyys	0.469	0.378	0.741
acumen	terävyys	0.564	0.660	0.679
acupuncture	akupunktio	0.531	0.324	0.549
acute	akuutti	0.427	0.652	0.534
acutely	akuutisti	0.417	0.543	0.491
ad	ilmoitus	0.521	0.705	0.558
adage	sananparsi	0.517	0.415	0.566
adamant	järkkymätön	0.344	0.529	0.575
adapt	sopeuttaa	0.740	0.355	0.551
adaptable	mukautuva	0.735	0.423	0.641
adaptation	sovittaminen	0.663	0.365	0.609
add	lisätä	0.728	0.490	0.554
added	lisättyä	0.562	0.405	0.509
addendum	lisäys	0.392	0.370	0.418
adder	kyykäärme	0.388	0.461	0.588
addict	addikti	0.075	0.696	0.327
addicted	riippuvainen	0.156	0.712	0.483
addiction	riippuvuus	0.180	0.806	0.420
addictive	riippuvuutta aiheuttava	0.302	0.683	0.472
addition	lisäys	0.562	0.373	0.471
additional	lisä-	0.673	0.462	0.526
additive	lisäaine	0.561	0.633	0.691
address	osoite	0.650	0.327	0.567
addressee	vastaanottaja	0.622	0.382	0.538
addresses	osoitteet	0.510	0.354	0.450
