Word	Frisian-fy	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	ôfbrekke	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	fergees	0.052	0.519	0.245
abandoned	ferlitten	0.046	0.481	0.130
abandonment	ferplichting	0.128	0.430	0.202
abashed	oanstutsen	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	ôfkoarting	0.531	0.375	0.330
abbreviation	ôfkoarting	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	abdominaal	0.490	0.456	0.445
abduct	ôfwike	0.173	0.720	0.615
abduction	abduction	0.062	0.990	0.673
aberrant	oantrune	0.146	0.765	0.431
aberration	Aberration	0.125	0.816	0.417
abeyance	ôfwêzich	0.330	0.510	0.292
abhor	ôfhinklik	0.125	0.602	0.349
abhorrence	ôfhinklikheid	0.167	0.684	0.420
abhorrent	ôfbrekke	0.229	0.750	0.474
abide	bliuwend	0.635	0.354	0.705
abiding	ôfhinklik	0.796	0.327	0.750
ability	fermogen	0.875	0.510	0.816
abject	ôfwike	0.354	0.590	0.417
ablation	ablaasje	0.418	0.500	0.500
ablaze	ôfbrekke	0.240	0.847	0.525
able	kinne	0.786	0.500	0.810
abnormal	abnormaal	0.137	0.604	0.309
abnormality	ôfnormaliteit	0.092	0.655	0.383
aboard	oanbieding	0.698	0.284	0.481
abode	wenje	0.620	0.302	0.500
abolish	ôfskaffe	0.448	0.615	0.529
abolition	abolition	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	abominaasje	0.078	0.755	0.518
aboriginal	ôfwike	0.448	0.427	0.542
abort	ôfbrekke	0.153	0.686	0.429
abortion	aborting	0.082	0.770	0.283
abortive	abortyf	0.090	0.776	0.280
abound	folle	0.704	0.490	0.681
abovementioned	niisneamd	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	no	0.635	0.380	0.519
abroad	bûtenlân	0.677	0.596	0.561
abrogate	ôfbrekke	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	abrupt	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	ôfwêzigens	0.153	0.235	0.266
absent	ôfwêzich	0.177	0.221	0.116
absentee	ôfwêzich	0.235	0.330	0.279
absenteeism	fermogen	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	absolút	0.526	0.510	0.827
absolution	oplossing	0.715	0.500	0.664
absolve	absolv	0.684	0.449	0.660
absorb	absorbearje	0.469	0.558	0.670
absorbed	absorbed	0.490	0.471	0.519
absorbent	absorbearjend	0.552	0.394	0.718
absorbing	absorpt	0.490	0.490	0.578
absorption	absorption	0.609	0.422	0.446
abstain	fêststelle	0.385	0.385	0.427
abstention	ôfhinklikens	0.271	0.264	0.509
abstinence	ôfstimming	0.260	0.392	0.429
abstract	abstrakt	0.438	0.292	0.444
abstraction	abstraksje	0.469	0.439	0.525
absurd	ûnsinnich	0.188	0.656	0.284
absurdity	absurditeit	0.115	0.528	0.227
abundance	oerfloed	0.812	0.690	0.852
abundant	oerfloedich	0.958	0.590	0.760
abuse	misbrûk	0.071	0.873	0.469
abused	misbrûkt	0.021	0.874	0.235
abusive	misledigje	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	akademysk	0.781	0.420	0.812
academy	akademy	0.704	0.473	0.792
accede	besykje	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	ferheegje	0.615	0.902	0.759
accelerated	begeliede	0.610	0.812	0.682
acceleration	fersnelling	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	aksint	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	oannimme	0.847	0.286	0.565
acceptable	oannimlik	0.812	0.286	0.583
acceptance	akseptaasje	0.833	0.287	0.755
acceptances	akseptearjen	0.847	0.413	0.648
access	tagong	0.714	0.472	0.567
accessible	tagonklik	0.796	0.410	0.645
accession	gearkomst	0.612	0.383	0.636
accessory	aksjes	0.562	0.292	0.445
accident	ûngelok	0.125	0.908	0.336
accidental	tafallich	0.319	0.784	0.307
accidentally	tafallich	0.333	0.741	0.333
acclaim	akseptearje	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	akkomodaasje	0.844	0.375	0.566
accommodation	akkommodaasje	0.817	0.415	0.587
accompaniment	begeliede	0.740	0.479	0.695
accompany	begeliede	0.833	0.406	0.585
accompanying	begeliede	0.787	0.460	0.582
accomplice	Komôf	0.408	0.580	0.510
accomplish	akseptearje	0.929	0.673	0.816
accomplished	foltôge	0.870	0.520	0.798
accomplishment	prestaasje	0.917	0.694	0.888
accord	akkoart	0.898	0.264	0.382
accordance	oerienkomst	0.659	0.349	0.600
accordion	akkordeon	0.604	0.490	0.361
account	rekken	0.531	0.347	0.472
accountability	ferantwurdlikens	0.755	0.537	0.833
accountable	ferantwurdelik	0.709	0.282	0.777
accountant	akkountant	0.625	0.450	0.639
accounting	kontrôle	0.552	0.390	0.677
accounts	akkounts	0.592	0.340	0.471
accredited	akseptearre	0.669	0.479	0.768
accretion	akkrêft	0.448	0.519	0.672
accrue	accrue	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	sammelje	0.573	0.536	0.607
accumulation	akkumulation	0.479	0.527	0.600
accuracy	krektens	0.604	0.481	0.802
accurate	krekt	0.743	0.360	0.737
accursed	ferflokt	0.135	0.745	0.345
accusation	beskuldiging	0.073	0.718	0.564
accusative	Akkusatyf	0.198	0.755	0.482
accuse	akseptearje	0.133	0.752	0.500
accused	beskuldige	0.130	0.670	0.420
accuser	accuser	0.122	0.779	0.615
accusing	beswier	0.156	0.745	0.324
accustomed	geweldich	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	ache	0.146	0.760	0.312
achieve	berikke	0.816	0.545	0.843
achieved	berikke	0.896	0.519	0.775
achievement	berikken	0.896	0.808	0.759
aching	earm	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	sulver	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	erkenne	0.786	0.370	0.661
acknowledged	erkend	0.714	0.443	0.765
acknowledgement	erkenning	0.819	0.539	0.830
acknowledgment	erkenning	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	jeugdpûkels	0.167	0.474	0.308
acorn	ikel	0.448	0.198	0.192
acoustic	akoestysk	0.542	0.462	0.536
acoustics	akoestyk	0.611	0.330	0.509
acquaint	kenneth	0.646	0.491	0.639
acquaintance	ferieniging	0.656	0.290	0.670
acquainted	kenniste	0.906	0.358	0.632
acquiescence	ferieniging	0.542	0.480	0.554
acquire	te krijen	0.833	0.468	0.700
acquiring	te krijen	0.735	0.510	0.817
acquisition	oanwinst	0.698	0.509	0.736
acquisitions	akwisynten	0.773	0.660	0.790
acquit	besykje	0.583	0.571	0.611
acquittal	frijwilligers	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	hûske	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acryl	0.582	0.279	0.420
act	handeling	0.656	0.704	0.735
acting	hannelje	0.698	0.643	0.500
action	aksje	0.760	0.898	0.802
action figure	aksjefiguer	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	aktivearje	0.764	0.650	0.806
activation	aktivaasje	0.781	0.800	0.754
active	aktyf	0.847	0.730	0.731
activist	aktivist	0.531	0.653	0.877
activity	aktiviteit	0.701	0.660	0.807
actor	toanielspiler	0.653	0.561	0.629
actress	toanielspylster	0.633	0.556	0.596
actual	feitlik	0.729	0.400	0.716
actuality	realiteit	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	akupunktur	0.531	0.324	0.549
acute	acute	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	Ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	oanpasse	0.740	0.355	0.551
adaptable	oanpasber	0.735	0.423	0.641
adaptation	oanpassing	0.663	0.365	0.609
add	add	0.728	0.490	0.554
added	tafoege	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	geweldig	0.075	0.696	0.327
addicted	ferwûne	0.156	0.712	0.483
addiction	ferslaving	0.180	0.806	0.420
addictive	geweldig	0.302	0.683	0.472
addition	oanfolling	0.562	0.373	0.471
additional	oanfoljend	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	adres	0.650	0.327	0.567
addressee	adres	0.622	0.382	0.538
addresses	adressen	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	adequacy	0.615	0.435	0.702
adequate	adequate	0.854	0.264	0.705
adhere	harkje	0.633	0.339	0.554
adherence	ferhâlding	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	oanhâldend	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
