Word	German-de	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Erdferkel	0.427	0.490	0.437
aback	verblüfft	0.385	0.407	0.288
abacus	Abakus	0.510	0.276	0.485
abalone	Abalone	0.500	0.480	0.412
abandon	verlassen	0.052	0.519	0.245
abandoned	verlassen	0.046	0.481	0.130
abandonment	Aufgabe	0.128	0.430	0.202
abashed	beschämt	0.177	0.644	0.307
abate	ablassen	0.255	0.696	0.604
abatement	Minderung	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	Abtei	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abkürzen	0.531	0.375	0.330
abbreviation	Abkürzung	0.469	0.306	0.345
abdomen	Abdomen	0.469	0.462	0.471
abdominal	Bauchmuskel	0.490	0.456	0.445
abduct	entführen	0.173	0.720	0.615
abduction	Entführung	0.062	0.990	0.673
aberrant	abwegig	0.146	0.765	0.431
aberration	Abweichung	0.125	0.816	0.417
abeyance	schwebend	0.330	0.510	0.292
abhor	verabscheuen	0.125	0.602	0.349
abhorrence	Abscheu	0.167	0.684	0.420
abhorrent	abscheulich	0.229	0.750	0.474
abide	bleib	0.635	0.354	0.705
abiding	bleibend	0.796	0.327	0.750
ability	Fähigkeit	0.875	0.510	0.816
abject	erbärmlich	0.354	0.590	0.417
ablation	Ablation	0.418	0.500	0.500
ablaze	in Flammen	0.240	0.847	0.525
able	fähig	0.786	0.500	0.810
abnormal	abnormal	0.137	0.604	0.309
abnormality	Anomalie	0.092	0.655	0.383
aboard	an Bord	0.698	0.284	0.481
abode	Aufenthalt	0.620	0.302	0.500
abolish	abschaffen	0.448	0.615	0.529
abolition	Abschaffung	0.323	0.690	0.529
abominable	abscheulich	0.120	0.731	0.482
abominate	verabscheuen	0.198	0.788	0.366
abomination	Gräuel	0.078	0.755	0.518
aboriginal	Ureinwohner	0.448	0.427	0.542
abort	abbrechen	0.153	0.686	0.429
abortion	Abtreibung	0.082	0.770	0.283
abortive	fehlgeschlagen	0.090	0.776	0.280
abound	im Überfluss	0.704	0.490	0.681
abovementioned	oben erwähnt	0.541	0.298	0.509
abracadabra	Abrakadabra	0.673	0.632	0.434
abrasion	Abrieb	0.406	0.592	0.441
abrasive	Schleifmittel	0.392	0.610	0.593
abreast	nebeneinander	0.635	0.380	0.519
abroad	im Ausland	0.677	0.596	0.561
abrogate	aufheben	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	plötzlich	0.250	0.808	0.556
abscess	Abszess	0.154	0.451	0.349
absence	Abwesenheit	0.153	0.235	0.266
absent	abwesend	0.177	0.221	0.116
absentee	Abwesenheit	0.235	0.330	0.279
absenteeism	Fehlzeiten	0.404	0.273	0.357
absinthe	Absinth	0.481	0.510	0.462
absolute	absolut	0.526	0.510	0.827
absolution	Absolution	0.715	0.500	0.664
absolve	entbinden	0.684	0.449	0.660
absorb	absorbieren	0.469	0.558	0.670
absorbed	absorbiert	0.490	0.471	0.519
absorbent	absorbierend	0.552	0.394	0.718
absorbing	absorbierend	0.490	0.490	0.578
absorption	Absorption	0.609	0.422	0.446
abstain	verzichten	0.385	0.385	0.427
abstention	Enthaltung	0.271	0.264	0.509
abstinence	Abstinenz	0.260	0.392	0.429
abstract	abstrakt	0.438	0.292	0.444
abstraction	Abstraktion	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	Absurdität	0.115	0.528	0.227
abundance	Fülle	0.812	0.690	0.852
abundant	reichlich	0.958	0.590	0.760
abuse	Missbrauch	0.071	0.873	0.469
abused	missbraucht	0.021	0.874	0.235
abusive	missbräuchlich	0.125	0.903	0.567
abutment	Widerlager	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	miserabel	0.250	0.710	0.598
abyss	Abgrund	0.353	0.725	0.296
academic	akademisch	0.781	0.420	0.812
academy	Akademie	0.704	0.473	0.792
accede	beitreten	0.698	0.510	0.537
accelerant	Beschleuniger	0.643	0.844	0.802
accelerate	beschleunigen	0.615	0.902	0.759
accelerated	beschleunigt	0.610	0.812	0.682
acceleration	Beschleunigung	0.704	0.905	0.843
accelerator	Beschleuniger	0.593	0.830	0.812
accent	Akzent	0.598	0.357	0.509
accentuate	akzentuieren	0.673	0.556	0.667
accept	akzeptieren	0.847	0.286	0.565
acceptable	akzeptabel	0.812	0.286	0.583
acceptance	Annahme	0.833	0.287	0.755
acceptances	Annahmen	0.847	0.413	0.648
access	Zugriff	0.714	0.472	0.567
accessible	zugänglich	0.796	0.410	0.645
accession	Beitritt	0.612	0.383	0.636
accessory	Zubehörteil	0.562	0.292	0.445
accident	Unfall	0.125	0.908	0.336
accidental	zufällig	0.319	0.784	0.307
accidentally	zufällig	0.333	0.741	0.333
acclaim	Anerkennung	0.562	0.809	0.718
accolade	Akkolade	0.688	0.591	0.775
accommodate	unterbringen	0.844	0.375	0.566
accommodation	Unterkunft	0.817	0.415	0.587
accompaniment	Begleitung	0.740	0.479	0.695
accompany	begleiten	0.833	0.406	0.585
accompanying	Begleitet	0.787	0.460	0.582
accomplice	Komplize	0.408	0.580	0.510
accomplish	erreichen	0.929	0.673	0.816
accomplished	erreicht	0.870	0.520	0.798
accomplishment	Leistung	0.917	0.694	0.888
accord	Übereinstimmung	0.898	0.264	0.382
accordance	Übereinstimmung	0.659	0.349	0.600
accordion	Akkordeon	0.604	0.490	0.361
account	Konto	0.531	0.347	0.472
accountability	Rechenschaftspflicht	0.755	0.537	0.833
accountable	verantwortlich	0.709	0.282	0.777
accountant	Buchhalter	0.625	0.450	0.639
accounting	Buchhaltung	0.552	0.390	0.677
accounts	Konten	0.592	0.340	0.471
accredited	akkreditiert	0.669	0.479	0.768
accretion	Akkretion	0.448	0.519	0.672
accrue	anfallen	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	akkumulieren	0.573	0.536	0.607
accumulation	Akkumulation	0.479	0.527	0.600
accuracy	Richtigkeit	0.604	0.481	0.802
accurate	genau	0.743	0.360	0.737
accursed	verflucht	0.135	0.745	0.345
accusation	Anklage	0.073	0.718	0.564
accusative	Akkusativ	0.198	0.755	0.482
accuse	beschuldigen	0.133	0.752	0.500
accused	Angeklagte	0.130	0.670	0.420
accuser	Ankläger	0.122	0.779	0.615
accusing	beschuldigt	0.156	0.745	0.324
accustomed	gewohnt	0.542	0.365	0.441
ace	As	0.643	0.481	0.546
acetic	Essigsäure	0.333	0.420	0.519
acetylene	Acetylen	0.306	0.469	0.509
ache	schmerzen	0.146	0.760	0.312
achieve	leisten	0.816	0.545	0.843
achieved	erreicht	0.896	0.519	0.775
achievement	Leistung	0.896	0.808	0.759
aching	Schmerz	0.053	0.880	0.348
achy	schmerzhaft	0.167	0.840	0.373
acid	Acid	0.265	0.642	0.566
acidity	Säure	0.156	0.663	0.360
acknowledge	bestätigen	0.786	0.370	0.661
acknowledged	anerkannt	0.714	0.443	0.765
acknowledgement	Wissen	0.819	0.539	0.830
acknowledgment	Wissen	0.796	0.528	0.777
acme	Gipfel	0.408	0.435	0.375
acne	Akne	0.167	0.474	0.308
acorn	Eichel	0.448	0.198	0.192
acoustic	akustisch	0.542	0.462	0.536
acoustics	Akustik	0.611	0.330	0.509
acquaint	bekannt machen	0.646	0.491	0.639
acquaintance	Bekanntschaft	0.656	0.290	0.670
acquainted	bekannt	0.906	0.358	0.632
acquiescence	Einwilligung	0.542	0.480	0.554
acquire	erwerben	0.833	0.468	0.700
acquiring	erwerben	0.735	0.510	0.817
acquisition	Erwerb	0.698	0.509	0.736
acquisitions	Akquisitionen	0.773	0.660	0.790
acquit	freisprechen	0.583	0.571	0.611
acquittal	Freispruch	0.760	0.497	0.700
acre	Acre	0.583	0.387	0.423
acreage	Anbaufläche	0.741	0.450	0.528
acres	Morgen	0.510	0.363	0.500
acrobat	Akrobat	0.708	0.828	0.602
acrylic	Acryl-	0.582	0.279	0.420
act	Handlung	0.656	0.704	0.735
acting	Schauspielkunst	0.698	0.643	0.500
action	Aktion	0.760	0.898	0.802
action figure	Action Figur	0.615	0.774	0.611
actionable	umsetzbar	0.673	0.702	0.613
activate	aktivieren Sie	0.764	0.650	0.806
activation	Aktivierung	0.781	0.800	0.754
active	aktiv	0.847	0.730	0.731
activist	Aktivist	0.531	0.653	0.877
activity	Aktivität	0.701	0.660	0.807
actor	Darsteller	0.653	0.561	0.629
actress	Darstellerin	0.633	0.556	0.596
actual	tatsächlich	0.729	0.400	0.716
actuality	Wirklichkeit	0.750	0.464	0.600
actuary	Aktuar	0.510	0.404	0.491
acuity	Schärfe	0.469	0.378	0.741
acumen	Scharfsinn	0.564	0.660	0.679
acupuncture	Akupunktur	0.531	0.324	0.549
acute	akut	0.427	0.652	0.534
acutely	akut	0.417	0.543	0.491
ad	Anzeige	0.521	0.705	0.558
adage	Sprichwort	0.517	0.415	0.566
adamant	unnachgiebig	0.344	0.529	0.575
adapt	anpassen	0.740	0.355	0.551
adaptable	anpassungsfähig	0.735	0.423	0.641
adaptation	Anpassung	0.663	0.365	0.609
add	hinzufügen	0.728	0.490	0.554
added	hinzugefügt	0.562	0.405	0.509
addendum	Nachtrag	0.392	0.370	0.418
adder	Addierer	0.388	0.461	0.588
addict	Süchtiger	0.075	0.696	0.327
addicted	süchtig	0.156	0.712	0.483
addiction	Sucht	0.180	0.806	0.420
addictive	süchtig machend	0.302	0.683	0.472
addition	Zusatz	0.562	0.373	0.471
additional	zusätzlich	0.673	0.462	0.526
additive	Zusatzstoff	0.561	0.633	0.691
address	Adresse	0.650	0.327	0.567
addressee	Adressat	0.622	0.382	0.538
addresses	Adressen	0.510	0.354	0.450
adept	geschickt	0.594	0.539	0.789
