Word	Haitian Creole-ht	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	natirèl	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	abandone	0.052	0.519	0.245
abandoned	abandone	0.046	0.481	0.130
abandonment	abandon	0.128	0.430	0.202
abashed	abbade	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	Abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abreje	0.531	0.375	0.330
abbreviation	abrevyasyon	0.469	0.306	0.345
abdomen	vant	0.469	0.462	0.471
abdominal	nan vant	0.490	0.456	0.445
abduct	kidnape	0.173	0.720	0.615
abduction	anlèvman	0.062	0.990	0.673
aberrant	anòmal	0.146	0.765	0.431
aberration	Aberration	0.125	0.816	0.417
abeyance	absans	0.330	0.510	0.292
abhor	dezòd	0.125	0.602	0.349
abhorrence	abominasyon	0.167	0.684	0.420
abhorrent	abondan	0.229	0.750	0.474
abide	rete	0.635	0.354	0.705
abiding	respekte	0.796	0.327	0.750
ability	kapasite	0.875	0.510	0.816
abject	abi	0.354	0.590	0.417
ablation	ablasyon	0.418	0.500	0.500
ablaze	dife	0.240	0.847	0.525
able	kapab	0.786	0.500	0.810
abnormal	nòmal	0.137	0.604	0.309
abnormality	anòmal	0.092	0.655	0.383
aboard	abò	0.698	0.284	0.481
abode	rete	0.620	0.302	0.500
abolish	aboli	0.448	0.615	0.529
abolition	abolisyon	0.323	0.690	0.529
abominable	abominab	0.120	0.731	0.482
abominate	abominab	0.198	0.788	0.366
abomination	abominasyon	0.078	0.755	0.518
aboriginal	Aborijèn	0.448	0.427	0.542
abort	abò	0.153	0.686	0.429
abortion	avòtman	0.082	0.770	0.283
abortive	avètisman	0.090	0.776	0.280
abound	gen anpil	0.704	0.490	0.681
abovementioned	Reyaksyon	0.541	0.298	0.509
abracadabra	abrakadabra	0.673	0.632	0.434
abrasion	fwotman	0.406	0.592	0.441
abrasive	abrazif	0.392	0.610	0.593
abreast	okouran	0.635	0.380	0.519
abroad	aletranje	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	brid sou kou	0.271	0.819	0.545
abruptly	sibitman	0.250	0.808	0.556
abscess	absè	0.154	0.451	0.349
absence	absans	0.153	0.235	0.266
absent	absan	0.177	0.221	0.116
absentee	absan	0.235	0.330	0.279
absenteeism	absans	0.404	0.273	0.357
absinthe	Absentee	0.481	0.510	0.462
absolute	absoli	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	absòbe	0.684	0.449	0.660
absorb	absòbe	0.469	0.558	0.670
absorbed	absòbe	0.490	0.471	0.519
absorbent	absòbe	0.552	0.394	0.718
absorbing	absòbe	0.490	0.490	0.578
absorption	absòpsyon	0.609	0.422	0.446
abstain	konsakre	0.385	0.385	0.427
abstention	refansyon	0.271	0.264	0.509
abstinence	Abstinans	0.260	0.392	0.429
abstract	abstrè	0.438	0.292	0.444
abstraction	abstraksyon	0.469	0.439	0.525
absurd	absid	0.188	0.656	0.284
absurdity	absurdite	0.115	0.528	0.227
abundance	abondans	0.812	0.690	0.852
abundant	abondan	0.958	0.590	0.760
abuse	abi	0.071	0.873	0.469
abused	abize	0.021	0.874	0.235
abusive	abizif	0.125	0.903	0.567
abutment	abutman	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	malè	0.250	0.710	0.598
abyss	gwo twou san fon	0.353	0.725	0.296
academic	akademik	0.781	0.420	0.812
academy	akademi	0.704	0.473	0.792
accede	akote	0.698	0.510	0.537
accelerant	akseleratè	0.643	0.844	0.802
accelerate	akselere	0.615	0.902	0.759
accelerated	akselere	0.610	0.812	0.682
acceleration	akselerasyon	0.704	0.905	0.843
accelerator	akseleratè	0.593	0.830	0.812
accent	aksan	0.598	0.357	0.509
accentuate	aksantué	0.673	0.556	0.667
accept	aksepte	0.847	0.286	0.565
acceptable	akseptab	0.812	0.286	0.583
acceptance	aksepte	0.833	0.287	0.755
acceptances	aksepte	0.847	0.413	0.648
access	aksè	0.714	0.472	0.567
accessible	aksesib	0.796	0.410	0.645
accession	asansyon	0.612	0.383	0.636
accessory	akseswar	0.562	0.292	0.445
accident	aksidan	0.125	0.908	0.336
accidental	aksidan	0.319	0.784	0.307
accidentally	aksidantèlman	0.333	0.741	0.333
acclaim	aklame	0.562	0.809	0.718
accolade	akolad	0.688	0.591	0.775
accommodate	akomode	0.844	0.375	0.566
accommodation	aranjman	0.817	0.415	0.587
accompaniment	akonpayman	0.740	0.479	0.695
accompany	akonpanye	0.833	0.406	0.585
accompanying	akonpaye	0.787	0.460	0.582
accomplice	konplis	0.408	0.580	0.510
accomplish	akonpli	0.929	0.673	0.816
accomplished	akonpli	0.870	0.520	0.798
accomplishment	akonplisman	0.917	0.694	0.888
accord	akò	0.898	0.264	0.382
accordance	dapre	0.659	0.349	0.600
accordion	akòdeyon	0.604	0.490	0.361
account	kont	0.531	0.347	0.472
accountability	responsabilite	0.755	0.537	0.833
accountable	responsab	0.709	0.282	0.777
accountant	kontab	0.625	0.450	0.639
accounting	kontablite	0.552	0.390	0.677
accounts	kont	0.592	0.340	0.471
accredited	akredite	0.669	0.479	0.768
accretion	Aksyon	0.448	0.519	0.672
accrue	akimile	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	akimile	0.573	0.536	0.607
accumulation	akimilasyon	0.479	0.527	0.600
accuracy	presizyon	0.604	0.481	0.802
accurate	egzat	0.743	0.360	0.737
accursed	madichon	0.135	0.745	0.345
accusation	akizasyon	0.073	0.718	0.564
accusative	Aksyon	0.198	0.755	0.482
accuse	akize	0.133	0.752	0.500
accused	akize	0.130	0.670	0.420
accuser	akize	0.122	0.779	0.615
accusing	akize	0.156	0.745	0.324
accustomed	abitye	0.542	0.365	0.441
ace	Ace	0.643	0.481	0.546
acetic	Acetic	0.333	0.420	0.519
acetylene	asetilèn	0.306	0.469	0.509
ache	fè mal	0.146	0.760	0.312
achieve	reyalize	0.816	0.545	0.843
achieved	reyalize	0.896	0.519	0.775
achievement	siksè	0.896	0.808	0.759
aching	douloureux	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	asid	0.265	0.642	0.566
acidity	asidite	0.156	0.663	0.360
acknowledge	rekonèt	0.786	0.370	0.661
acknowledged	rekonèt	0.714	0.443	0.765
acknowledgement	rekonesans	0.819	0.539	0.830
acknowledgment	rekonesans	0.796	0.528	0.777
acme	Akme	0.408	0.435	0.375
acne	akne	0.167	0.474	0.308
acorn	glase	0.448	0.198	0.192
acoustic	akoustik	0.542	0.462	0.536
acoustics	akoustik	0.611	0.330	0.509
acquaint	konnen	0.646	0.491	0.639
acquaintance	zanmi	0.656	0.290	0.670
acquainted	konnen	0.906	0.358	0.632
acquiescence	akeri	0.542	0.480	0.554
acquire	jwenn	0.833	0.468	0.700
acquiring	akeri	0.735	0.510	0.817
acquisition	akizisyon	0.698	0.509	0.736
acquisitions	akizisyon	0.773	0.660	0.790
acquit	achte	0.583	0.571	0.611
acquittal	Aksè	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	sipèfisi	0.741	0.450	0.528
acres	kawo tè	0.510	0.363	0.500
acrobat	Acrobat	0.708	0.828	0.602
acrylic	Acrylic	0.582	0.279	0.420
act	aji	0.656	0.704	0.735
acting	aji	0.698	0.643	0.500
action	aksyon	0.760	0.898	0.802
action figure	aksyon figi	0.615	0.774	0.611
actionable	aksyonèl	0.673	0.702	0.613
activate	aktive	0.764	0.650	0.806
activation	aktivasyon	0.781	0.800	0.754
active	aktif	0.847	0.730	0.731
activist	aktivis	0.531	0.653	0.877
activity	aktivite	0.701	0.660	0.807
actor	aktè	0.653	0.561	0.629
actress	aktris	0.633	0.556	0.596
actual	aktyèl	0.729	0.400	0.716
actuality	Reyalite	0.750	0.464	0.600
actuary	aktuèl	0.510	0.404	0.491
acuity	akwite	0.469	0.378	0.741
acumen	akim	0.564	0.660	0.679
acupuncture	akuponktur	0.531	0.324	0.549
acute	egi	0.427	0.652	0.534
acutely	aktyèlman	0.417	0.543	0.491
ad	anons	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	detèmine	0.344	0.529	0.575
adapt	adapte	0.740	0.355	0.551
adaptable	adaptab	0.735	0.423	0.641
adaptation	adaptasyon	0.663	0.365	0.609
add	ajoute	0.728	0.490	0.554
added	te ajoute	0.562	0.405	0.509
addendum	ajoute	0.392	0.370	0.418
adder	adisyone	0.388	0.461	0.588
addict	adikte	0.075	0.696	0.327
addicted	dejwe	0.156	0.712	0.483
addiction	Dejwe	0.180	0.806	0.420
addictive	depandans	0.302	0.683	0.472
addition	adisyon	0.562	0.373	0.471
additional	plis	0.673	0.462	0.526
additive	aditif	0.561	0.633	0.691
address	adrès	0.650	0.327	0.567
addressee	adrese	0.622	0.382	0.538
addresses	adrès	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	konpetans	0.615	0.435	0.702
adequate	adekwat	0.854	0.264	0.705
adhere	adhere	0.633	0.339	0.554
adherence	aderans	0.760	0.307	0.630
adherent	aderan	0.561	0.385	0.555
adhering	konfòme	0.612	0.561	0.537
adhesion	adezyon	0.521	0.445	0.586
adhesive	adezif	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipoz	0.333	0.350	0.391
adjacency	adjasans	0.365	0.417	0.375
adjacent	adjasan	0.645	0.276	0.536
adjective	Adjektif	0.570	0.316	0.569
adjoining	vwazin	0.520	0.400	0.393
