Word	Hawaiian-haw	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	a hope	0.385	0.407	0.288
abacus	ke kumu	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	haʻalele	0.052	0.519	0.245
abandoned	haʻaleleʻia	0.046	0.481	0.130
abandonment	ka haʻalele	0.128	0.430	0.202
abashed	hoʻohaʻahaʻaʻia	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	hoʻopau	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	hoʻopau	0.531	0.375	0.330
abbreviation	hoʻopiʻi	0.469	0.306	0.345
abdomen	ka'ōpū	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	laweʻia	0.173	0.720	0.615
abduction	laweʻia	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	hoʻohaʻahaʻa	0.125	0.816	0.417
abeyance	e hana	0.330	0.510	0.292
abhor	hoʻowahāwahā	0.125	0.602	0.349
abhorrence	hoʻopailua	0.167	0.684	0.420
abhorrent	hoʻopailua	0.229	0.750	0.474
abide	e noho	0.635	0.354	0.705
abiding	e noho ana	0.796	0.327	0.750
ability	hiki	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	hoʻopau	0.418	0.500	0.500
ablaze	hoʻopailua	0.240	0.847	0.525
able	hiki	0.786	0.500	0.810
abnormal	ʻanoʻino	0.137	0.604	0.309
abnormality	hewaʻole	0.092	0.655	0.383
aboard	ka moku	0.698	0.284	0.481
abode	noho	0.620	0.302	0.500
abolish	hoʻopauʻia	0.448	0.615	0.529
abolition	hoʻopau	0.323	0.690	0.529
abominable	mea hoʻopailua	0.120	0.731	0.482
abominate	hoʻowahāwahā	0.198	0.788	0.366
abomination	ino	0.078	0.755	0.518
aboriginal	nā haole	0.448	0.427	0.542
abort	hele	0.153	0.686	0.429
abortion	hāpai i ka'ōpū	0.082	0.770	0.283
abortive	hoʻopunipuni	0.090	0.776	0.280
abound	nui	0.704	0.490	0.681
abovementioned	luna i oleloia	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	hoʻopau	0.392	0.610	0.593
abreast	kūlana	0.635	0.380	0.519
abroad	ma waho	0.677	0.596	0.561
abrogate	hoʻopauʻia	0.327	0.510	0.594
abrupt	ua palaha	0.271	0.819	0.545
abruptly	me ka haʻalulu	0.250	0.808	0.556
abscess	kūleʻa	0.154	0.451	0.349
absence	ka hala	0.153	0.235	0.266
absent	nele	0.177	0.221	0.116
absentee	ke kali nei	0.235	0.330	0.279
absenteeism	ka hope	0.404	0.273	0.357
absinthe	ka absinthe	0.481	0.510	0.462
absolute	paʻa	0.526	0.510	0.827
absolution	haʻalele	0.715	0.500	0.664
absolve	e pale	0.684	0.449	0.660
absorb	hoʻopau	0.469	0.558	0.670
absorbed	makemake	0.490	0.471	0.519
absorbent	ua pale	0.552	0.394	0.718
absorbing	hōʻawe	0.490	0.490	0.578
absorption	ka hopena	0.609	0.422	0.446
abstain	abstain	0.385	0.385	0.427
abstention	hoʻopakele	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	kūlana	0.438	0.292	0.444
abstraction	kūʻokoʻa	0.469	0.439	0.525
absurd	kuhihewa	0.188	0.656	0.284
absurdity	ʻoiaʻiʻo	0.115	0.528	0.227
abundance	nui	0.812	0.690	0.852
abundant	nui	0.958	0.590	0.760
abuse	hoʻomāinoino	0.071	0.873	0.469
abused	hoʻohana hoʻomāinoinoʻia	0.021	0.874	0.235
abusive	hewa	0.125	0.903	0.567
abutment	hoʻopūkā	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	pīhoihoi	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	kula	0.781	0.420	0.812
academy	kulanui	0.704	0.473	0.792
accede	kūleʻa	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	e hoʻonui	0.615	0.902	0.759
accelerated	hoʻonuiʻia	0.610	0.812	0.682
acceleration	ka piʻi	0.704	0.905	0.843
accelerator	ka holomua	0.593	0.830	0.812
accent	ka leo	0.598	0.357	0.509
accentuate	hoʻonani	0.673	0.556	0.667
accept	eʻae	0.847	0.286	0.565
acceptable	ʻoluʻolu	0.812	0.286	0.583
acceptance	'āpono	0.833	0.287	0.755
acceptances	nāʻae	0.847	0.413	0.648
access	kahe	0.714	0.472	0.567
accessible	hiki ke hiki	0.796	0.410	0.645
accession	ke kākoʻo	0.612	0.383	0.636
accessory	mea hoʻohana	0.562	0.292	0.445
accident	pilikia	0.125	0.908	0.336
accidental	pilikia	0.319	0.784	0.307
accidentally	me kaʻikeʻole	0.333	0.741	0.333
acclaim	ke oli	0.562	0.809	0.718
accolade	hoʻolaha	0.688	0.591	0.775
accommodate	hoʻokipa	0.844	0.375	0.566
accommodation	hale noho	0.817	0.415	0.587
accompaniment	ka pāʻani	0.740	0.479	0.695
accompany	e hele pū	0.833	0.406	0.585
accompanying	hele pū me ia	0.787	0.460	0.582
accomplice	hana	0.408	0.580	0.510
accomplish	hoʻopau	0.929	0.673	0.816
accomplished	ua hoʻokōʻia	0.870	0.520	0.798
accomplishment	ka holomua	0.917	0.694	0.888
accord	ʻae	0.898	0.264	0.382
accordance	e like me	0.659	0.349	0.600
accordion	hui	0.604	0.490	0.361
account	pūnaeke	0.531	0.347	0.472
accountability	ka pono	0.755	0.537	0.833
accountable	pono e kūpono	0.709	0.282	0.777
accountant	ka mea loilo	0.625	0.450	0.639
accounting	ʻike helu	0.552	0.390	0.677
accounts	nā moʻolelo	0.592	0.340	0.471
accredited	ʻikeʻia	0.669	0.479	0.768
accretion	kūleʻa	0.448	0.519	0.672
accrue	hoʻonui	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	hōʻiliʻili	0.573	0.536	0.607
accumulation	ka hoʻonuiʻana	0.479	0.527	0.600
accuracy	pololei	0.604	0.481	0.802
accurate	pololei	0.743	0.360	0.737
accursed	e hōʻinoʻia	0.135	0.745	0.345
accusation	hewa	0.073	0.718	0.564
accusative	hewa	0.198	0.755	0.482
accuse	hoopii	0.133	0.752	0.500
accused	hoopii	0.130	0.670	0.420
accuser	ka mea hoʻopiʻi	0.122	0.779	0.615
accusing	e hoopii ana	0.156	0.745	0.324
accustomed	ʻikeʻia	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	'Apene	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	maʻi	0.146	0.760	0.312
achieve	hoʻokō	0.816	0.545	0.843
achieved	i loaʻa	0.896	0.519	0.775
achievement	ka hopena	0.896	0.808	0.759
aching	ke kaumaha	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	waikawa	0.265	0.642	0.566
acidity	ka momona	0.156	0.663	0.360
acknowledge	ʻike	0.786	0.370	0.661
acknowledged	ʻikeʻia	0.714	0.443	0.765
acknowledgement	ʻike	0.819	0.539	0.830
acknowledgment	ʻike	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	ʻene	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	ʻike	0.646	0.491	0.639
acquaintance	ʻike	0.656	0.290	0.670
acquainted	ʻike	0.906	0.358	0.632
acquiescence	ʻike	0.542	0.480	0.554
acquire	loaʻa	0.833	0.468	0.700
acquiring	loaʻa	0.735	0.510	0.817
acquisition	loaʻa	0.698	0.509	0.736
acquisitions	nā kūʻai	0.773	0.660	0.790
acquit	ʻike	0.583	0.571	0.611
acquittal	hoʻopakele	0.760	0.497	0.700
acre	eka	0.583	0.387	0.423
acreage	pākuʻi	0.741	0.450	0.528
acres	eka	0.510	0.363	0.500
acrobat	hoʻopiʻi	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	hana	0.656	0.704	0.735
acting	hana	0.698	0.643	0.500
action	hana	0.760	0.898	0.802
action figure	ka helu hana	0.615	0.774	0.611
actionable	wikiwiki	0.673	0.702	0.613
activate	hoʻopauʻia	0.764	0.650	0.806
activation	ho'āʻoʻia	0.781	0.800	0.754
active	paʻa	0.847	0.730	0.731
activist	ka mea hana	0.531	0.653	0.877
activity	hana	0.701	0.660	0.807
actor	ka mea hana	0.653	0.561	0.629
actress	ka mea hana	0.633	0.556	0.596
actual	ʻoiaʻiʻo	0.729	0.400	0.716
actuality	ʻoiaʻiʻo	0.750	0.464	0.600
actuary	ka pilikino	0.510	0.404	0.491
acuity	hale	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	nui	0.427	0.652	0.534
acutely	ʻoiai	0.417	0.543	0.491
ad	hoʻolaha	0.521	0.705	0.558
adage	'ōlelo	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	hoʻoponopono	0.740	0.355	0.551
adaptable	hiki ke loli	0.735	0.423	0.641
adaptation	hoʻoponopono	0.663	0.365	0.609
add	hoʻohui	0.728	0.490	0.554
added	hoʻopauʻia	0.562	0.405	0.509
addendum	hoʻopau hou	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	pili kīʻaha	0.075	0.696	0.327
addicted	hoʻopauʻia	0.156	0.712	0.483
addiction	hoʻopau	0.180	0.806	0.420
addictive	hoʻopiʻi	0.302	0.683	0.472
addition	hoʻopau	0.562	0.373	0.471
