Word	Irish-ga	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	tréigthe	0.052	0.519	0.245
abandoned	tréigthe	0.046	0.481	0.130
abandonment	tréigean	0.128	0.430	0.202
abashed	briseadh	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	laghdaithe	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abreviate	0.531	0.375	0.330
abbreviation	giorrúchán	0.469	0.306	0.345
abdomen	bolg	0.469	0.462	0.471
abdominal	bhoilg	0.490	0.456	0.445
abduct	fuadach	0.173	0.720	0.615
abduction	fuadach	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	éirí as	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	cloí	0.635	0.354	0.705
abiding	ag luí	0.796	0.327	0.750
ability	cumas	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	ablaze	0.240	0.847	0.525
able	in ann	0.786	0.500	0.810
abnormal	neamhghnácha	0.137	0.604	0.309
abnormality	neamhghnácha	0.092	0.655	0.383
aboard	ar bord	0.698	0.284	0.481
abode	cónaí	0.620	0.302	0.500
abolish	díothú	0.448	0.615	0.529
abolition	díothú	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominable	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	dúshlánach	0.448	0.427	0.542
abort	maolú	0.153	0.686	0.429
abortion	ginmhilleadh	0.082	0.770	0.283
abortive	géarmhíochaine	0.090	0.776	0.280
abound	go leor	0.704	0.490	0.681
abovementioned	thuasluaite	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	scríobach	0.392	0.610	0.593
abreast	ar an eolas	0.635	0.380	0.519
abroad	thar lear	0.677	0.596	0.561
abrogate	aisghabháil	0.327	0.510	0.594
abrupt	bruscair	0.271	0.819	0.545
abruptly	go tobann	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	easpa	0.153	0.235	0.266
absent	as láthair	0.177	0.221	0.116
absentee	neamhláithreach	0.235	0.330	0.279
absenteeism	neamhláithreacht	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	iomlán	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	urscaoileadh	0.684	0.449	0.660
absorb	ionsú	0.469	0.558	0.670
absorbed	ionsú	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	ag ionsú	0.490	0.490	0.578
absorption	ionsú	0.609	0.422	0.446
abstain	staonadh	0.385	0.385	0.427
abstention	geal	0.271	0.264	0.509
abstinence	staonadh	0.260	0.392	0.429
abstract	teibí	0.438	0.292	0.444
abstraction	tarraingthe	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurdity	0.115	0.528	0.227
abundance	raidhse	0.812	0.690	0.852
abundant	flúirseach	0.958	0.590	0.760
abuse	mí-úsáid	0.071	0.873	0.469
abused	mí-úsáid	0.021	0.874	0.235
abusive	maoltach	0.125	0.903	0.567
abutment	cleachtas	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	acadúil	0.781	0.420	0.812
academy	Acadamh	0.704	0.473	0.792
accede	aontú	0.698	0.510	0.537
accelerant	luasghéarú	0.643	0.844	0.802
accelerate	dlús a chur	0.615	0.902	0.759
accelerated	luathaithe	0.610	0.812	0.682
acceleration	luasghéarú	0.704	0.905	0.843
accelerator	luasaire	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	glacadh leis	0.847	0.286	0.565
acceptable	inghlactha	0.812	0.286	0.583
acceptance	glacadh	0.833	0.287	0.755
acceptances	glactha	0.847	0.413	0.648
access	rochtain	0.714	0.472	0.567
accessible	inrochtana	0.796	0.410	0.645
accession	aontachas	0.612	0.383	0.636
accessory	cúlpháirtí	0.562	0.292	0.445
accident	timpiste	0.125	0.908	0.336
accidental	timpiste	0.319	0.784	0.307
accidentally	de thaisme	0.333	0.741	0.333
acclaim	moladh	0.562	0.809	0.718
accolade	aclaíocht	0.688	0.591	0.775
accommodate	freastal ort	0.844	0.375	0.566
accommodation	cóiríocht	0.817	0.415	0.587
accompaniment	tionlacan	0.740	0.479	0.695
accompany	gabháil leis	0.833	0.406	0.585
accompanying	in éineacht le	0.787	0.460	0.582
accomplice	comhchomhairle	0.408	0.580	0.510
accomplish	accomplish	0.929	0.673	0.816
accomplished	i gcrích	0.870	0.520	0.798
accomplishment	hIodáile	0.917	0.694	0.888
accord	de réir	0.898	0.264	0.382
accordance	gcomhréir	0.659	0.349	0.600
accordion	cairdín	0.604	0.490	0.361
account	cuntas	0.531	0.347	0.472
accountability	cuntasacht	0.755	0.537	0.833
accountable	cuntasach	0.709	0.282	0.777
accountant	cuntasóir	0.625	0.450	0.639
accounting	cuntasaíochta	0.552	0.390	0.677
accounts	cuntais	0.592	0.340	0.471
accredited	creidiúnaithe	0.669	0.479	0.768
accretion	creidiúnú	0.448	0.519	0.672
accrue	fabhraigh	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	charnadh	0.573	0.536	0.607
accumulation	carnadh	0.479	0.527	0.600
accuracy	cruinneas	0.604	0.481	0.802
accurate	cruinn	0.743	0.360	0.737
accursed	scamallach	0.135	0.745	0.345
accusation	líomhaintí	0.073	0.718	0.564
accusative	accusative	0.198	0.755	0.482
accuse	chosc	0.133	0.752	0.500
accused	cúisí	0.130	0.670	0.420
accuser	accuser	0.122	0.779	0.615
accusing	accusing	0.156	0.745	0.324
accustomed	i dtaithí	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	aicéiteach	0.333	0.420	0.519
acetylene	acetiléin	0.306	0.469	0.509
ache	pian	0.146	0.760	0.312
achieve	a bhaint amach	0.816	0.545	0.843
achieved	bainte amach	0.896	0.519	0.775
achievement	gnóthachtáil	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	aigéad	0.265	0.642	0.566
acidity	aigéadacht	0.156	0.663	0.360
acknowledge	admháil	0.786	0.370	0.661
acknowledged	admhaíodh	0.714	0.443	0.765
acknowledgement	admháil	0.819	0.539	0.830
acknowledgment	admháil	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	fuaimiúil	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	aithne	0.646	0.491	0.639
acquaintance	aithne	0.656	0.290	0.670
acquainted	eolas	0.906	0.358	0.632
acquiescence	dífháil	0.542	0.480	0.554
acquire	a fháil	0.833	0.468	0.700
acquiring	a fháil	0.735	0.510	0.817
acquisition	fála	0.698	0.509	0.736
acquisitions	éadálacha	0.773	0.660	0.790
acquit	scaoileadh	0.583	0.571	0.611
acquittal	scaoileadh	0.760	0.497	0.700
acre	acra	0.583	0.387	0.423
acreage	acra	0.741	0.450	0.528
acres	acra	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	aicrileach	0.582	0.279	0.420
act	gníomhú	0.656	0.704	0.735
acting	ag gníomhú di	0.698	0.643	0.500
action	gníomh	0.760	0.898	0.802
action figure	figiúr gníomhaíochta	0.615	0.774	0.611
actionable	gníomhú	0.673	0.702	0.613
activate	gníomhachtaigh	0.764	0.650	0.806
activation	gníomhachtú	0.781	0.800	0.754
active	gníomhach	0.847	0.730	0.731
activist	gníomhaí	0.531	0.653	0.877
activity	gníomhaíocht	0.701	0.660	0.807
actor	aisteoir	0.653	0.561	0.629
actress	aisteoir	0.633	0.556	0.596
actual	iarbhír	0.729	0.400	0.716
actuality	iarbhír	0.750	0.464	0.600
actuary	achtúire	0.510	0.404	0.491
acuity	géilleadh	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	géarmhíochaine	0.427	0.652	0.534
acutely	go mór	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	oiriúnú	0.740	0.355	0.551
adaptable	inoiriúnaithe	0.735	0.423	0.641
adaptation	oiriúnú	0.663	0.365	0.609
add	cuir	0.728	0.490	0.554
added	curtha leis	0.562	0.405	0.509
addendum	aguisín	0.392	0.370	0.418
adder	bréagán	0.388	0.461	0.588
addict	addict	0.075	0.696	0.327
addicted	toghlach	0.156	0.712	0.483
addiction	andúil	0.180	0.806	0.420
addictive	andúileach	0.302	0.683	0.472
addition	Chomh maith leis sin	0.562	0.373	0.471
additional	breise	0.673	0.462	0.526
additive	breiseán	0.561	0.633	0.691
address	seoladh	0.650	0.327	0.567
addressee	seolaí	0.622	0.382	0.538
addresses	seoltaí	0.510	0.354	0.450
adept	oiriúnach	0.594	0.539	0.789
adequacy	leordhóthanacht	0.615	0.435	0.702
adequate	leordhóthanach	0.854	0.264	0.705
adhere	cloí	0.633	0.339	0.554
adherence	cloí	0.760	0.307	0.630
adherent	leanbh	0.561	0.385	0.555
