Word	Japanese-ja	Valence	Arousal	Dominance
aaaaaaah	アアアアアア	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	アードバーク	0.427	0.490	0.437
aback	荒れ狂う	0.385	0.407	0.288
abacus	そろばん	0.510	0.276	0.485
abalone	アワビ	0.500	0.480	0.412
abandon	放棄する	0.052	0.519	0.245
abandoned	放棄された	0.046	0.481	0.130
abandonment	放棄	0.128	0.430	0.202
abashed	突進した	0.177	0.644	0.307
abate	衰える	0.255	0.696	0.604
abatement	緩和	0.388	0.338	0.336
abba	アバ	0.562	0.500	0.480
abbey	修道院	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	省略する	0.531	0.375	0.330
abbreviation	略語	0.469	0.306	0.345
abdomen	腹部	0.469	0.462	0.471
abdominal	腹部	0.490	0.456	0.445
abduct	拉致	0.173	0.720	0.615
abduction	拉致	0.062	0.990	0.673
aberrant	異常な	0.146	0.765	0.431
aberration	収差	0.125	0.816	0.417
abeyance	停止	0.330	0.510	0.292
abhor	嫌う	0.125	0.602	0.349
abhorrence	憎悪	0.167	0.684	0.420
abhorrent	忌まわしい	0.229	0.750	0.474
abide	〜に従う	0.635	0.354	0.705
abiding	遵守する	0.796	0.327	0.750
ability	能力	0.875	0.510	0.816
abject	暴力	0.354	0.590	0.417
ablation	アブレーション	0.418	0.500	0.500
ablaze	燃える	0.240	0.847	0.525
able	できる	0.786	0.500	0.810
abnormal	異常な	0.137	0.604	0.309
abnormality	異常	0.092	0.655	0.383
aboard	乗っている	0.698	0.284	0.481
abode	住む	0.620	0.302	0.500
abolish	廃止する	0.448	0.615	0.529
abolition	廃止	0.323	0.690	0.529
abominable	忌み嫌う	0.120	0.731	0.482
abominate	憎む	0.198	0.788	0.366
abomination	嫌悪	0.078	0.755	0.518
aboriginal	先住民族	0.448	0.427	0.542
abort	アボート	0.153	0.686	0.429
abortion	中絶	0.082	0.770	0.283
abortive	不完全な	0.090	0.776	0.280
abound	たくさん	0.704	0.490	0.681
abovementioned	上記の	0.541	0.298	0.509
abracadabra	アブラカダブラ	0.673	0.632	0.434
abrasion	摩耗	0.406	0.592	0.441
abrasive	研磨材	0.392	0.610	0.593
abreast	並んで	0.635	0.380	0.519
abroad	海外	0.677	0.596	0.561
abrogate	廃止する	0.327	0.510	0.594
abrupt	突然の	0.271	0.819	0.545
abruptly	突然	0.250	0.808	0.556
abscess	膿瘍	0.154	0.451	0.349
absence	不在	0.153	0.235	0.266
absent	不在	0.177	0.221	0.116
absentee	不在者	0.235	0.330	0.279
absenteeism	欠勤	0.404	0.273	0.357
absinthe	アブサン	0.481	0.510	0.462
absolute	絶対の	0.526	0.510	0.827
absolution	赦免	0.715	0.500	0.664
absolve	放棄する	0.684	0.449	0.660
absorb	吸収します	0.469	0.558	0.670
absorbed	吸収された	0.490	0.471	0.519
absorbent	吸収剤	0.552	0.394	0.718
absorbing	吸収する	0.490	0.490	0.578
absorption	吸収	0.609	0.422	0.446
abstain	棄権する	0.385	0.385	0.427
abstention	棄権	0.271	0.264	0.509
abstinence	禁欲	0.260	0.392	0.429
abstract	抽象	0.438	0.292	0.444
abstraction	抽象化	0.469	0.439	0.525
absurd	不条理な	0.188	0.656	0.284
absurdity	不条理	0.115	0.528	0.227
abundance	豊富	0.812	0.690	0.852
abundant	豊富	0.958	0.590	0.760
abuse	乱用	0.071	0.873	0.469
abused	虐待された	0.021	0.874	0.235
abusive	虐待	0.125	0.903	0.567
abutment	アバットメント	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	深刻な	0.250	0.710	0.598
abyss	深淵	0.353	0.725	0.296
academic	アカデミック	0.781	0.420	0.812
academy	アカデミー	0.704	0.473	0.792
accede	合意	0.698	0.510	0.537
accelerant	促進剤	0.643	0.844	0.802
accelerate	加速する	0.615	0.902	0.759
accelerated	加速された	0.610	0.812	0.682
acceleration	加速度	0.704	0.905	0.843
accelerator	アクセル	0.593	0.830	0.812
accent	アクセント	0.598	0.357	0.509
accentuate	強調する	0.673	0.556	0.667
accept	受け入れる	0.847	0.286	0.565
acceptable	許容可能な	0.812	0.286	0.583
acceptance	受け入れ	0.833	0.287	0.755
acceptances	受諾	0.847	0.413	0.648
access	アクセス	0.714	0.472	0.567
accessible	アクセス可能な	0.796	0.410	0.645
accession	加盟	0.612	0.383	0.636
accessory	アクセサリー	0.562	0.292	0.445
