Word	Kazakh-kk	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	шапалақ	0.385	0.407	0.288
abacus	абакус	0.510	0.276	0.485
abalone	абалон	0.500	0.480	0.412
abandon	бас тарт	0.052	0.519	0.245
abandoned	тасталған	0.046	0.481	0.130
abandonment	бас тарту	0.128	0.430	0.202
abashed	абзал	0.177	0.644	0.307
abate	азайтыңыз	0.255	0.696	0.604
abatement	қысқарту	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	Аббей	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	қысқартылған	0.531	0.375	0.330
abbreviation	аббревиатура	0.469	0.306	0.345
abdomen	іш	0.469	0.462	0.471
abdominal	ішек	0.490	0.456	0.445
abduct	ұрлау	0.173	0.720	0.615
abduction	ұрлау	0.062	0.990	0.673
aberrant	аберрант	0.146	0.765	0.431
aberration	аберрация	0.125	0.816	0.417
abeyance	абайла	0.330	0.510	0.292
abhor	жек көріңіз	0.125	0.602	0.349
abhorrence	жексұрындық	0.167	0.684	0.420
abhorrent	жексұрын	0.229	0.750	0.474
abide	сақтаңыз	0.635	0.354	0.705
abiding	ұстанатын	0.796	0.327	0.750
ability	қабілеті	0.875	0.510	0.816
abject	сәтсіздік	0.354	0.590	0.417
ablation	абляция	0.418	0.500	0.500
ablaze	жалған	0.240	0.847	0.525
able	қабілетті	0.786	0.500	0.810
abnormal	қалыпты емес	0.137	0.604	0.309
abnormality	ауытқушылық	0.092	0.655	0.383
aboard	бортында	0.698	0.284	0.481
abode	тұру	0.620	0.302	0.500
abolish	жою	0.448	0.615	0.529
abolition	жою	0.323	0.690	0.529
abominable	ұятсыз	0.120	0.731	0.482
abominate	ұятсыз	0.198	0.788	0.366
abomination	жындыру	0.078	0.755	0.518
aboriginal	байырғы	0.448	0.427	0.542
abort	тоқтату	0.153	0.686	0.429
abortion	түсік тастау	0.082	0.770	0.283
abortive	аборт	0.090	0.776	0.280
abound	мол	0.704	0.490	0.681
abovementioned	жоғарыда көрсетілген	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	абразивті	0.406	0.592	0.441
abrasive	абразивті	0.392	0.610	0.593
abreast	жақсырақ	0.635	0.380	0.519
abroad	шетелде	0.677	0.596	0.561
abrogate	жою	0.327	0.510	0.594
abrupt	күрт	0.271	0.819	0.545
abruptly	кенеттен	0.250	0.808	0.556
abscess	абсцесс	0.154	0.451	0.349
absence	болмауы	0.153	0.235	0.266
absent	жоқ	0.177	0.221	0.116
absentee	сырттай	0.235	0.330	0.279
absenteeism	жоқтығы	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	абсолютті	0.526	0.510	0.827
absolution	абсолютті	0.715	0.500	0.664
absolve	абсолютті	0.684	0.449	0.660
absorb	жұтып	0.469	0.558	0.670
absorbed	жұтып қойды	0.490	0.471	0.519
absorbent	абсорбент	0.552	0.394	0.718
absorbing	жұту	0.490	0.490	0.578
absorption	жұту	0.609	0.422	0.446
abstain	қалыс қалмаңыз	0.385	0.385	0.427
abstention	қалыс қалмау	0.271	0.264	0.509
abstinence	абстиненция	0.260	0.392	0.429
abstract	дерексіз	0.438	0.292	0.444
abstraction	абстракция	0.469	0.439	0.525
absurd	абсурд	0.188	0.656	0.284
absurdity	абсурдтық	0.115	0.528	0.227
abundance	молшылық	0.812	0.690	0.852
abundant	мол	0.958	0.590	0.760
abuse	теріс пайдалану	0.071	0.873	0.469
abused	теріс пайдаланған	0.021	0.874	0.235
abusive	қорлаушы	0.125	0.903	0.567
abutment	абаттандыру	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	қараңғылық	0.250	0.710	0.598
abyss	шыңырау	0.353	0.725	0.296
academic	академиялық	0.781	0.420	0.812
academy	академия	0.704	0.473	0.792
accede	қосылуға	0.698	0.510	0.537
accelerant	жылдамдатқыш	0.643	0.844	0.802
accelerate	тездету	0.615	0.902	0.759
accelerated	жеделдетілген	0.610	0.812	0.682
acceleration	жеделдету	0.704	0.905	0.843
accelerator	үдеткіш	0.593	0.830	0.812
accent	екпін	0.598	0.357	0.509
accentuate	назар аударыңыз	0.673	0.556	0.667
accept	қабылдау	0.847	0.286	0.565
acceptable	қолайлы	0.812	0.286	0.583
acceptance	қабылдау	0.833	0.287	0.755
acceptances	қабылдау	0.847	0.413	0.648
access	қол жеткізу	0.714	0.472	0.567
accessible	қол жетімді	0.796	0.410	0.645
accession	қосылу	0.612	0.383	0.636
accessory	аксессуарлар	0.562	0.292	0.445
accident	апат	0.125	0.908	0.336
accidental	кездейсоқтық	0.319	0.784	0.307
accidentally	кездейсоқ емес	0.333	0.741	0.333
acclaim	мақтану	0.562	0.809	0.718
accolade	аккредиттеу	0.688	0.591	0.775
accommodate	орналастыру	0.844	0.375	0.566
accommodation	тұру	0.817	0.415	0.587
accompaniment	сүйемелдеу	0.740	0.479	0.695
accompany	жүреді	0.833	0.406	0.585
accompanying	сүйемелдеу	0.787	0.460	0.582
accomplice	серіктес	0.408	0.580	0.510
accomplish	орындаңыз	0.929	0.673	0.816
accomplished	орындады	0.870	0.520	0.798
accomplishment	жетістік	0.917	0.694	0.888
accord	келісім	0.898	0.264	0.382
accordance	сәйкес	0.659	0.349	0.600
accordion	аккордеон	0.604	0.490	0.361
account	есептік жазба	0.531	0.347	0.472
accountability	есеп берушілік	0.755	0.537	0.833
accountable	есеп беруші	0.709	0.282	0.777
accountant	есепші	0.625	0.450	0.639
accounting	бухгалтерлік есеп	0.552	0.390	0.677
accounts	шоттар	0.592	0.340	0.471
accredited	аккредиттелген	0.669	0.479	0.768
accretion	аккреция	0.448	0.519	0.672
accrue	жиналады	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	жинақталады	0.573	0.536	0.607
accumulation	жинақтау	0.479	0.527	0.600
accuracy	дәлдігі	0.604	0.481	0.802
accurate	дәл	0.743	0.360	0.737
accursed	қарғыс	0.135	0.745	0.345
accusation	айыптау	0.073	0.718	0.564
accusative	айыптаушы	0.198	0.755	0.482
accuse	айыптау	0.133	0.752	0.500
accused	айыпталушы	0.130	0.670	0.420
accuser	айыптаушы	0.122	0.779	0.615
accusing	айыптау	0.156	0.745	0.324
accustomed	үйренді	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	сірке суы	0.333	0.420	0.519
acetylene	ацетилен	0.306	0.469	0.509
ache	ауырсыну	0.146	0.760	0.312
achieve	жету	0.816	0.545	0.843
achieved	қол жеткізілді	0.896	0.519	0.775
achievement	жетістік	0.896	0.808	0.759
aching	ащы	0.053	0.880	0.348
achy	ащы	0.167	0.840	0.373
acid	қышқыл	0.265	0.642	0.566
acidity	қышқылдығы	0.156	0.663	0.360
acknowledge	мойындау	0.786	0.370	0.661
acknowledged	мойындады	0.714	0.443	0.765
acknowledgement	тану	0.819	0.539	0.830
acknowledgment	тану	0.796	0.528	0.777
acme	акме	0.408	0.435	0.375
acne	безеу	0.167	0.474	0.308
acorn	пияз	0.448	0.198	0.192
acoustic	акустикалық	0.542	0.462	0.536
acoustics	акустика	0.611	0.330	0.509
acquaint	таныстырыңыз	0.646	0.491	0.639
acquaintance	танысу	0.656	0.290	0.670
acquainted	танысты	0.906	0.358	0.632
acquiescence	келісу	0.542	0.480	0.554
acquire	сатып алу	0.833	0.468	0.700
acquiring	сатып алу	0.735	0.510	0.817
acquisition	сатып алу	0.698	0.509	0.736
acquisitions	сатып алу	0.773	0.660	0.790
acquit	ақтау	0.583	0.571	0.611
acquittal	ақтау	0.760	0.497	0.700
acre	акр	0.583	0.387	0.423
acreage	алаңы	0.741	0.450	0.528
acres	акр	0.510	0.363	0.500
acrobat	акробат	0.708	0.828	0.602
acrylic	акрил	0.582	0.279	0.420
act	әрекет	0.656	0.704	0.735
acting	әрекет ету	0.698	0.643	0.500
action	әрекет	0.760	0.898	0.802
action figure	әрекет фигурасы	0.615	0.774	0.611
actionable	әрекет етуі мүмкін	0.673	0.702	0.613
activate	белсендіру	0.764	0.650	0.806
activation	белсендіру	0.781	0.800	0.754
active	белсенді	0.847	0.730	0.731
activist	белсенді	0.531	0.653	0.877
activity	белсенділік	0.701	0.660	0.807
actor	актер	0.653	0.561	0.629
actress	актриса	0.633	0.556	0.596
actual	нақты	0.729	0.400	0.716
actuality	өзектілігі	0.750	0.464	0.600
actuary	актуарий	0.510	0.404	0.491
acuity	өткірлігі	0.469	0.378	0.741
acumen	ақырын	0.564	0.660	0.679
acupuncture	Акупунктура	0.531	0.324	0.549
acute	өткір	0.427	0.652	0.534
acutely	өткір	0.417	0.543	0.491
ad	хабарландыру	0.521	0.705	0.558
adage	адалдық	0.517	0.415	0.566
adamant	еріксіз	0.344	0.529	0.575
adapt	бейімделу	0.740	0.355	0.551
adaptable	бейімделгіш	0.735	0.423	0.641
adaptation	бейімделу	0.663	0.365	0.609
add	қосу	0.728	0.490	0.554
added	қосылды	0.562	0.405	0.509
addendum	қосымша	0.392	0.370	0.418
adder	ұстаушы	0.388	0.461	0.588
addict	тәуелді адам	0.075	0.696	0.327
addicted	тәуелді	0.156	0.712	0.483
addiction	тәуелділік	0.180	0.806	0.420
addictive	тәуелділік	0.302	0.683	0.472
addition	қосу	0.562	0.373	0.471
additional	Қосымша	0.673	0.462	0.526
additive	қоспа	0.561	0.633	0.691
address	мекен-жайы	0.650	0.327	0.567
addressee	адресат	0.622	0.382	0.538
addresses	мекен-жайлары	0.510	0.354	0.450
adept	шебер	0.594	0.539	0.789
adequacy	жеткіліктілік	0.615	0.435	0.702
adequate	жеткілікті	0.854	0.264	0.705
