Word	Luxembourgish-lb	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	erbäermlech sinn	0.385	0.407	0.288
abacus	Abaco	0.510	0.276	0.485
abalone	Abalone	0.500	0.480	0.412
abandon	opzeginn	0.052	0.519	0.245
abandoned	verloossen	0.046	0.481	0.130
abandonment	Opruff	0.128	0.430	0.202
abashed	Trikot	0.177	0.644	0.307
abate	ze schwätzen	0.255	0.696	0.604
abatement	Verréngerung	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	Abtei	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	Ofkiirzung	0.531	0.375	0.330
abbreviation	Ofkierzung	0.469	0.306	0.345
abdomen	Bauch	0.469	0.462	0.471
abdominal	Bauch	0.490	0.456	0.445
abduct	entfalen	0.173	0.720	0.615
abduction	entlooss	0.062	0.990	0.673
aberrant	iwwerflësseg	0.146	0.765	0.431
aberration	Aberratioun	0.125	0.816	0.417
abeyance	bliwwen	0.330	0.510	0.292
abhor	genug	0.125	0.602	0.349
abhorrence	Aborrence	0.167	0.684	0.420
abhorrent	ongënschteg sinn	0.229	0.750	0.474
abide	bleiwe kann	0.635	0.354	0.705
abiding	bleift	0.796	0.327	0.750
ability	Fäegkeet	0.875	0.510	0.816
abject	abezuelen	0.354	0.590	0.417
ablation	Ablation	0.418	0.500	0.500
ablaze	Äerdbiewen	0.240	0.847	0.525
able	fäeg sinn	0.786	0.500	0.810
abnormal	anormal	0.137	0.604	0.309
abnormality	Anomalie	0.092	0.655	0.383
aboard	onopfëllen	0.698	0.284	0.481
abode	wunnen	0.620	0.302	0.500
abolish	ofschafen	0.448	0.615	0.529
abolition	Ofschaaffung	0.323	0.690	0.529
abominable	onberechenbar	0.120	0.731	0.482
abominate	Abominat	0.198	0.788	0.366
abomination	Abominatioun	0.078	0.755	0.518
aboriginal	ursprénglech	0.448	0.427	0.542
abort	ofbriechen	0.153	0.686	0.429
abortion	Ofdreiwung	0.082	0.770	0.283
abortive	ofgebrach	0.090	0.776	0.280
abound	eriwwer	0.704	0.490	0.681
abovementioned	ugesat gëtt	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	ofwaarden	0.406	0.592	0.441
abrasive	rau	0.392	0.610	0.593
abreast	mateneen	0.635	0.380	0.519
abroad	am Ausland	0.677	0.596	0.561
abrogate	ofzesetzen	0.327	0.510	0.594
abrupt	esoueng brutal	0.271	0.819	0.545
abruptly	schloofen	0.250	0.808	0.556
abscess	Abszess	0.154	0.451	0.349
absence	Fannt	0.153	0.235	0.266
absent	net ofginn	0.177	0.221	0.116
absentee	Avantage	0.235	0.330	0.279
absenteeism	Falen	0.404	0.273	0.357
absinthe	Absinth	0.481	0.510	0.462
absolute	absolutt sinn	0.526	0.510	0.827
absolution	'Absolutioun	0.715	0.500	0.664
absolve	ausgoen	0.684	0.449	0.660
absorb	absorbéieren	0.469	0.558	0.670
absorbed	absorbéiert sinn	0.490	0.471	0.519
absorbent	absorbéiere sinn	0.552	0.394	0.718
absorbing	absorbéieren	0.490	0.490	0.578
absorption	Absorptioun	0.609	0.422	0.446
abstain	ze abstanen	0.385	0.385	0.427
abstention	Enthalung	0.271	0.264	0.509
abstinence	Abstinenz	0.260	0.392	0.429
abstract	abstrakt	0.438	0.292	0.444
abstraction	Abstraktioun	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	Absurdecht	0.115	0.528	0.227
abundance	gefloss ass	0.812	0.690	0.852
abundant	reich	0.958	0.590	0.760
abuse	Mëssbrauch	0.071	0.873	0.469
abused	mëssbraucht gëtt	0.021	0.874	0.235
abusive	erbäigezunn	0.125	0.903	0.567
abutment	erwaart	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	onheemlech	0.250	0.710	0.598
abyss	Abéierungsplang	0.353	0.725	0.296
academic	akademesch	0.781	0.420	0.812
academy	Futtballschoul	0.704	0.473	0.792
accede	uginn	0.698	0.510	0.537
accelerant	accelerant sinn	0.643	0.844	0.802
accelerate	beschleunegen	0.615	0.902	0.759
accelerated	beschleunegt ginn	0.610	0.812	0.682
acceleration	beschleunegen	0.704	0.905	0.843
accelerator	Beschleuniger	0.593	0.830	0.812
accent	Akzent	0.598	0.357	0.509
accentuate	ze ginn	0.673	0.556	0.667
accept	akzeptéieren	0.847	0.286	0.565
acceptable	akzeptabel ass	0.812	0.286	0.583
acceptance	Akzeptanz	0.833	0.287	0.755
acceptances	Akzeptatioun	0.847	0.413	0.648
access	Zougang	0.714	0.472	0.567
accessible	accessibel sinn	0.796	0.410	0.645
accession	Bäitrëtt	0.612	0.383	0.636
accessory	Accessoir	0.562	0.292	0.445
accident	Accident	0.125	0.908	0.336
accidental	zoufälleg	0.319	0.784	0.307
accidentally	zoufälleg	0.333	0.741	0.333
acclaim	uginn	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	aménagéieren	0.844	0.375	0.566
accommodation	Ënnerkonft	0.817	0.415	0.587
accompaniment	Begleedung	0.740	0.479	0.695
accompany	begleeden	0.833	0.406	0.585
accompanying	begleeden	0.787	0.460	0.582
accomplice	Komplott	0.408	0.580	0.510
accomplish	erreechen	0.929	0.673	0.816
accomplished	erfëllt	0.870	0.520	0.798
accomplishment	erreechen	0.917	0.694	0.888
accord	Accord	0.898	0.264	0.382
accordance	konform	0.659	0.349	0.600
accordion	Akkordeon	0.604	0.490	0.361
account	Kont	0.531	0.347	0.472
accountability	Rechenschaftspflicht	0.755	0.537	0.833
accountable	verantwortlech	0.709	0.282	0.777
accountant	Comptabel	0.625	0.450	0.639
accounting	Comptabilitéit	0.552	0.390	0.677
accounts	Konten	0.592	0.340	0.471
accredited	accredited	0.669	0.479	0.768
accretion	Accretioun	0.448	0.519	0.672
accrue	zousätzlech	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	akkumuléieren	0.573	0.536	0.607
accumulation	akkumuléieren	0.479	0.527	0.600
accuracy	Genauegkeet	0.604	0.481	0.802
accurate	genee sinn	0.743	0.360	0.737
accursed	verfloss wier	0.135	0.745	0.345
accusation	Beschuldigung	0.073	0.718	0.564
accusative	Akkusativ	0.198	0.755	0.482
accuse	zouzedrécken	0.133	0.752	0.500
accused	beschëllegt	0.130	0.670	0.420
accuser	Accuser	0.122	0.779	0.615
accusing	kierpert	0.156	0.745	0.324
accustomed	gewinnt sinn	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	opgeriicht	0.333	0.420	0.519
acetylene	Acetylen	0.306	0.469	0.509
ache	Schëlleren	0.146	0.760	0.312
achieve	ze erreechen	0.816	0.545	0.843
achieved	erreecht gëtt	0.896	0.519	0.775
achievement	Leeschtung	0.896	0.808	0.759
aching	Schued	0.053	0.880	0.348
achy	achi	0.167	0.840	0.373
acid	Sauer	0.265	0.642	0.566
acidity	Aciditéit	0.156	0.663	0.360
acknowledge	unzeerkennen	0.786	0.370	0.661
acknowledged	unerkannt	0.714	0.443	0.765
acknowledgement	Unerkennung	0.819	0.539	0.830
acknowledgment	Unerkennung	0.796	0.528	0.777
acme	Akme	0.408	0.435	0.375
acne	Akne	0.167	0.474	0.308
acorn	Ecke	0.448	0.198	0.192
acoustic	akustesch sinn	0.542	0.462	0.536
acoustics	Akustik	0.611	0.330	0.509
acquaint	kennen	0.646	0.491	0.639
acquaintance	Bekannten	0.656	0.290	0.670
acquainted	lieweg ginn	0.906	0.358	0.632
acquiescence	erfëllt	0.542	0.480	0.554
acquire	ze kréien	0.833	0.468	0.700
acquiring	Kaf huelen	0.735	0.510	0.817
acquisition	Acquisitioun	0.698	0.509	0.736
acquisitions	Acquisitioune	0.773	0.660	0.790
acquit	ze kréien	0.583	0.571	0.611
acquittal	erakommen	0.760	0.497	0.700
acre	Hektar	0.583	0.387	0.423
acreage	Héichplateau	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	Akrobat	0.708	0.828	0.602
acrylic	Acryl	0.582	0.279	0.420
act	handelen	0.656	0.704	0.735
acting	ze handelen	0.698	0.643	0.500
action	Aktioun	0.760	0.898	0.802
action figure	Aktioun	0.615	0.774	0.611
actionable	ze machbar	0.673	0.702	0.613
activate	aktivéieren	0.764	0.650	0.806
activation	Aktivatioun	0.781	0.800	0.754
active	aktiv	0.847	0.730	0.731
activist	aktiv war	0.531	0.653	0.877
activity	Aktivitéit	0.701	0.660	0.807
actor	Schauspiller	0.653	0.561	0.629
actress	Schauspillerin	0.633	0.556	0.596
actual	iwwerhaapt	0.729	0.400	0.716
actuality	Realitéit	0.750	0.464	0.600
actuary	ageriicht	0.510	0.404	0.491
acuity	Akut	0.469	0.378	0.741
acumen	Akomenter	0.564	0.660	0.679
acupuncture	Akupunktur	0.531	0.324	0.549
acute	akut	0.427	0.652	0.534
acutely	akut	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	Adage	0.517	0.415	0.566
adamant	bedéngt	0.344	0.529	0.575
adapt	adaptéieren	0.740	0.355	0.551
adaptable	adaptéierbar sinn	0.735	0.423	0.641
adaptation	Adaptatioun	0.663	0.365	0.609
add	dobäisetzen	0.728	0.490	0.554
added	derbäi	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	Adder	0.388	0.461	0.588
addict	Sucht	0.075	0.696	0.327
addicted	süchteg sinn	0.156	0.712	0.483
addiction	Sucht	0.180	0.806	0.420
addictive	Sucht	0.302	0.683	0.472
addition	zousätzlech	0.562	0.373	0.471
additional	zousätzlech	0.673	0.462	0.526
additive	Zousatz	0.561	0.633	0.691
address	Adress	0.650	0.327	0.567
