Word	Macedonian-mk	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	абакус	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	напушти	0.052	0.519	0.245
abandoned	напуштени	0.046	0.481	0.130
abandonment	напуштање	0.128	0.430	0.202
abashed	порасна	0.177	0.644	0.307
abate	пониски	0.255	0.696	0.604
abatement	намалување	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	опатија	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	скратена	0.531	0.375	0.330
abbreviation	кратенка	0.469	0.306	0.345
abdomen	абдомен	0.469	0.462	0.471
abdominal	абдоминална	0.490	0.456	0.445
abduct	киднапирање	0.173	0.720	0.615
abduction	киднапирање	0.062	0.990	0.673
aberrant	несоодветно	0.146	0.765	0.431
aberration	аберација	0.125	0.816	0.417
abeyance	непослушност	0.330	0.510	0.292
abhor	одвратам	0.125	0.602	0.349
abhorrence	одвратност	0.167	0.684	0.420
abhorrent	одвратни	0.229	0.750	0.474
abide	се придржуваат	0.635	0.354	0.705
abiding	почитувани	0.796	0.327	0.750
ability	способност	0.875	0.510	0.816
abject	абјект	0.354	0.590	0.417
ablation	аблација	0.418	0.500	0.500
ablaze	запали	0.240	0.847	0.525
able	способен	0.786	0.500	0.810
abnormal	абнормални	0.137	0.604	0.309
abnormality	абнормалност	0.092	0.655	0.383
aboard	во странство	0.698	0.284	0.481
abode	живеам	0.620	0.302	0.500
abolish	укинување	0.448	0.615	0.529
abolition	укинување	0.323	0.690	0.529
abominable	одвратни	0.120	0.731	0.482
abominate	абонираат	0.198	0.788	0.366
abomination	мерзост	0.078	0.755	0.518
aboriginal	абориџини	0.448	0.427	0.542
abort	прекине	0.153	0.686	0.429
abortion	абортус	0.082	0.770	0.283
abortive	неуспешен	0.090	0.776	0.280
abound	изобилува	0.704	0.490	0.681
abovementioned	погоре	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	абразија	0.406	0.592	0.441
abrasive	абразивни	0.392	0.610	0.593
abreast	чекор напред	0.635	0.380	0.519
abroad	во странство	0.677	0.596	0.561
abrogate	укинување	0.327	0.510	0.594
abrupt	нагло	0.271	0.819	0.545
abruptly	нагло	0.250	0.808	0.556
abscess	апсцес	0.154	0.451	0.349
absence	отсуство	0.153	0.235	0.266
absent	отсутен	0.177	0.221	0.116
absentee	отсутен	0.235	0.330	0.279
absenteeism	отсуство од работа	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	апсолутно	0.526	0.510	0.827
absolution	отпуштање	0.715	0.500	0.664
absolve	ослободи	0.684	0.449	0.660
absorb	апсорбира	0.469	0.558	0.670
absorbed	апсорбира	0.490	0.471	0.519
absorbent	абсорбента	0.552	0.394	0.718
absorbing	апсорбира	0.490	0.490	0.578
absorption	апсорпција	0.609	0.422	0.446
abstain	апстинираат	0.385	0.385	0.427
abstention	воздржаност	0.271	0.264	0.509
abstinence	апстиненција	0.260	0.392	0.429
abstract	апстракт	0.438	0.292	0.444
abstraction	апстракција	0.469	0.439	0.525
absurd	апсурдно	0.188	0.656	0.284
absurdity	апсурдност	0.115	0.528	0.227
abundance	изобилство	0.812	0.690	0.852
abundant	изобилство	0.958	0.590	0.760
abuse	злоупотреба	0.071	0.873	0.469
abused	злоупотребувани	0.021	0.874	0.235
abusive	навредлив	0.125	0.903	0.567
abutment	абатмент	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	бездна	0.250	0.710	0.598
abyss	бездната	0.353	0.725	0.296
academic	академски	0.781	0.420	0.812
academy	академија	0.704	0.473	0.792
accede	пристапи	0.698	0.510	0.537
accelerant	забрзувач	0.643	0.844	0.802
accelerate	забрза	0.615	0.902	0.759
accelerated	забрзана	0.610	0.812	0.682
acceleration	забрзување	0.704	0.905	0.843
accelerator	акцелератор	0.593	0.830	0.812
accent	акцент	0.598	0.357	0.509
accentuate	истакнуваат	0.673	0.556	0.667
accept	прифати	0.847	0.286	0.565
acceptable	прифатливо	0.812	0.286	0.583
acceptance	прифаќање	0.833	0.287	0.755
acceptances	прифаќања	0.847	0.413	0.648
access	пристап	0.714	0.472	0.567
accessible	достапни	0.796	0.410	0.645
accession	пристапување	0.612	0.383	0.636
accessory	додаток	0.562	0.292	0.445
accident	несреќа	0.125	0.908	0.336
accidental	случајно	0.319	0.784	0.307
accidentally	случајно	0.333	0.741	0.333
acclaim	признание	0.562	0.809	0.718
accolade	признание	0.688	0.591	0.775
accommodate	се приспособат	0.844	0.375	0.566
accommodation	сместување	0.817	0.415	0.587
accompaniment	придружба	0.740	0.479	0.695
accompany	придружува	0.833	0.406	0.585
accompanying	придружува	0.787	0.460	0.582
accomplice	соучесник	0.408	0.580	0.510
accomplish	оствари	0.929	0.673	0.816
accomplished	остварен	0.870	0.520	0.798
accomplishment	достигнување	0.917	0.694	0.888
accord	договор	0.898	0.264	0.382
accordance	согласност	0.659	0.349	0.600
accordion	хармоника	0.604	0.490	0.361
account	сметка	0.531	0.347	0.472
accountability	одговорност	0.755	0.537	0.833
accountable	одговорна	0.709	0.282	0.777
accountant	сметководител	0.625	0.450	0.639
accounting	сметководство	0.552	0.390	0.677
accounts	сметки	0.592	0.340	0.471
accredited	акредитирани	0.669	0.479	0.768
accretion	аккреција	0.448	0.519	0.672
accrue	натрупвам	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	акумулира	0.573	0.536	0.607
accumulation	акумулација	0.479	0.527	0.600
accuracy	точност	0.604	0.481	0.802
accurate	точен	0.743	0.360	0.737
accursed	проклети	0.135	0.745	0.345
accusation	обвинение	0.073	0.718	0.564
accusative	акузативен	0.198	0.755	0.482
accuse	обвини	0.133	0.752	0.500
accused	обвинети	0.130	0.670	0.420
accuser	обвинител	0.122	0.779	0.615
accusing	обвинувајќи	0.156	0.745	0.324
accustomed	навикнати	0.542	0.365	0.441
ace	кец	0.643	0.481	0.546
acetic	оцет	0.333	0.420	0.519
acetylene	ацетилен	0.306	0.469	0.509
ache	болка	0.146	0.760	0.312
achieve	постигне	0.816	0.545	0.843
achieved	постигне	0.896	0.519	0.775
achievement	достигнување	0.896	0.808	0.759
aching	болки	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	киселина	0.265	0.642	0.566
acidity	киселост	0.156	0.663	0.360
acknowledge	признае	0.786	0.370	0.661
acknowledged	признати	0.714	0.443	0.765
acknowledgement	признание	0.819	0.539	0.830
acknowledgment	признание	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	акни	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	акустичен	0.542	0.462	0.536
acoustics	акустика	0.611	0.330	0.509
acquaint	запознајте	0.646	0.491	0.639
acquaintance	познаник	0.656	0.290	0.670
acquainted	запознаени	0.906	0.358	0.632
acquiescence	согласување	0.542	0.480	0.554
acquire	стекне	0.833	0.468	0.700
acquiring	стекнување	0.735	0.510	0.817
acquisition	стекнување	0.698	0.509	0.736
acquisitions	превземања	0.773	0.660	0.790
acquit	ослободи	0.583	0.571	0.611
acquittal	ослободување	0.760	0.497	0.700
acre	акр	0.583	0.387	0.423
acreage	површина	0.741	0.450	0.528
acres	хектари	0.510	0.363	0.500
acrobat	акробат	0.708	0.828	0.602
acrylic	акрилик	0.582	0.279	0.420
act	чин	0.656	0.704	0.735
acting	дејствување	0.698	0.643	0.500
action	акција	0.760	0.898	0.802
action figure	акција фигура	0.615	0.774	0.611
actionable	актуелен	0.673	0.702	0.613
activate	активирај	0.764	0.650	0.806
activation	активирање	0.781	0.800	0.754
active	активен	0.847	0.730	0.731
activist	активист	0.531	0.653	0.877
activity	активност	0.701	0.660	0.807
actor	актер	0.653	0.561	0.629
actress	актерка	0.633	0.556	0.596
actual	вистински	0.729	0.400	0.716
actuality	актуелност	0.750	0.464	0.600
actuary	актуар	0.510	0.404	0.491
acuity	острина	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	акупунктура	0.531	0.324	0.549
acute	акутен	0.427	0.652	0.534
acutely	акутно	0.417	0.543	0.491
ad	реклама	0.521	0.705	0.558
adage	поговорка	0.517	0.415	0.566
adamant	непопустлив	0.344	0.529	0.575
adapt	адаптирај се	0.740	0.355	0.551
adaptable	адаптибилен	0.735	0.423	0.641
adaptation	адаптација	0.663	0.365	0.609
add	додадете	0.728	0.490	0.554
added	додадена	0.562	0.405	0.509
addendum	додаток	0.392	0.370	0.418
adder	седерот	0.388	0.461	0.588
addict	зависник	0.075	0.696	0.327
addicted	зависник	0.156	0.712	0.483
addiction	зависност	0.180	0.806	0.420
addictive	зависност	0.302	0.683	0.472
addition	Покрај тоа	0.562	0.373	0.471
additional	дополнителни	0.673	0.462	0.526
additive	додаток	0.561	0.633	0.691
address	адреса	0.650	0.327	0.567
addressee	примач	0.622	0.382	0.538
addresses	адреси	0.510	0.354	0.450
adept	адепт	0.594	0.539	0.789
adequacy	адекватноста	0.615	0.435	0.702
adequate	соодветен	0.854	0.264	0.705
adhere	се придржуваат	0.633	0.339	0.554
adherence	придржување	0.760	0.307	0.630
adherent	приврзаник	0.561	0.385	0.555
adhering	придржувајќи се	0.612	0.561	0.537
adhesion	адхезија	0.521	0.445	0.586
adhesive	лепило	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	маснотии	0.333	0.350	0.391
adjacency	соседство	0.365	0.417	0.375
adjacent	соседните	0.645	0.276	0.536
adjective	придавка	0.570	0.316	0.569
adjoining	соседство	0.520	0.400	0.393
