Word	Marathi-mr	Valence	Arousal	Dominance
aaaaaaah	अहाअआह	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	अर्डवर्कर	0.427	0.490	0.437
aback	मागे	0.385	0.407	0.288
abacus	अॅकॅकस	0.510	0.276	0.485
abalone	शिरोबिंदू	0.500	0.480	0.412
abandon	त्याग	0.052	0.519	0.245
abandoned	बेबंद	0.046	0.481	0.130
abandonment	विरक्ती	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	कमी करा	0.255	0.696	0.604
abatement	कमी होणे	0.388	0.338	0.336
abba	अब्बा	0.562	0.500	0.480
abbey	मठ	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	संक्षिप्त करा	0.531	0.375	0.330
abbreviation	संक्षेप	0.469	0.306	0.345
abdomen	उदर	0.469	0.462	0.471
abdominal	उदरपोकळी	0.490	0.456	0.445
abduct	अपहरण करणे	0.173	0.720	0.615
abduction	अपहरण	0.062	0.990	0.673
aberrant	राजन	0.146	0.765	0.431
aberration	विचलन	0.125	0.816	0.417
abeyance	स्थगिती	0.330	0.510	0.292
abhor	तिरस्कार करणे	0.125	0.602	0.349
abhorrence	तिरस्कार	0.167	0.684	0.420
abhorrent	घृणास्पद	0.229	0.750	0.474
abide	पालन ​​करा	0.635	0.354	0.705
abiding	पालन ​​करणारा	0.796	0.327	0.750
ability	क्षमता	0.875	0.510	0.816
abject	बेपर्वा	0.354	0.590	0.417
ablation	प्रतिबंध	0.418	0.500	0.500
ablaze	ज्वलंत	0.240	0.847	0.525
able	सक्षम	0.786	0.500	0.810
abnormal	असामान्य	0.137	0.604	0.309
abnormality	विकृती	0.092	0.655	0.383
aboard	जहाजात	0.698	0.284	0.481
abode	निवासस्थान	0.620	0.302	0.500
abolish	रद्द	0.448	0.615	0.529
abolition	उन्मूलन	0.323	0.690	0.529
abominable	तिरस्करणीय	0.120	0.731	0.482
abominate	घृणास्पद	0.198	0.788	0.366
abomination	घृणा	0.078	0.755	0.518
aboriginal	आदिवासी	0.448	0.427	0.542
abort	निरस्त करा	0.153	0.686	0.429
abortion	गर्भपात	0.082	0.770	0.283
abortive	निष्फळ	0.090	0.776	0.280
abound	वैपुल्य	0.704	0.490	0.681
abovementioned	वर उल्लेख केल्याप्रमाणे	0.541	0.298	0.509
abracadabra	अब्रकडाब्रा	0.673	0.632	0.434
abrasion	ओरखडा	0.406	0.592	0.441
abrasive	अपघर्षक	0.392	0.610	0.593
abreast	बरोबरीने	0.635	0.380	0.519
abroad	परदेशात	0.677	0.596	0.561
abrogate	रद्द करा	0.327	0.510	0.594
abrupt	आकस्मिक	0.271	0.819	0.545
abruptly	एकाएकी	0.250	0.808	0.556
abscess	गळू	0.154	0.451	0.349
absence	अनुपस्थिती	0.153	0.235	0.266
absent	अनुपस्थित	0.177	0.221	0.116
absentee	अनुपस्थित	0.235	0.330	0.279
absenteeism	अनुपस्थिती	0.404	0.273	0.357
absinthe	अर्कांथि	0.481	0.510	0.462
absolute	परिपूर्ण	0.526	0.510	0.827
absolution	क्षमादान	0.715	0.500	0.664
absolve	मुक्त करणे	0.684	0.449	0.660
absorb	शोषणे	0.469	0.558	0.670
absorbed	गढून गेलेला	0.490	0.471	0.519
absorbent	शोषक	0.552	0.394	0.718
absorbing	चित्तवेधक	0.490	0.490	0.578
absorption	शोषण	0.609	0.422	0.446
abstain	दूर राहणे	0.385	0.385	0.427
abstention	स्थानांतर	0.271	0.264	0.509
abstinence	मदिरा	0.260	0.392	0.429
abstract	गोषवारा	0.438	0.292	0.444
abstraction	शून्यमनस्कता	0.469	0.439	0.525
absurd	हास्यास्पद	0.188	0.656	0.284
absurdity	विचित्रपणा	0.115	0.528	0.227
abundance	भरपूर प्रमाणात असणे	0.812	0.690	0.852
abundant	मुबलक	0.958	0.590	0.760
abuse	दुरुपयोग	0.071	0.873	0.469
abused	गैरवापर	0.021	0.874	0.235
abusive	अपमानास्पद	0.125	0.903	0.567
abutment	जागा	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	फारच थोडे	0.250	0.710	0.598
abyss	तळही दिसणार नाही असे खोल विवर	0.353	0.725	0.296
