Word	Nepali-ne	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	रौतहट	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	त्याग्नुहोस्	0.052	0.519	0.245
abandoned	त्याग्यो	0.046	0.481	0.130
abandonment	त्याग	0.128	0.430	0.202
abashed	दुर्घटना भयो	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	संक्षिप्त	0.531	0.375	0.330
abbreviation	संक्षिप्त	0.469	0.306	0.345
abdomen	पेट	0.469	0.462	0.471
abdominal	पेट	0.490	0.456	0.445
abduct	अपहरण	0.173	0.720	0.615
abduction	अपहरण	0.062	0.990	0.673
aberrant	अलविदा	0.146	0.765	0.431
aberration	विघटन	0.125	0.816	0.417
abeyance	प्रशोधन	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	उत्तेजना	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	रहनुहोस्	0.635	0.354	0.705
abiding	पालन ​​गर्दै	0.796	0.327	0.750
ability	क्षमता	0.875	0.510	0.816
abject	रद्द गर्नुहोस्	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	ablaze	0.240	0.847	0.525
able	सक्षम	0.786	0.500	0.810
abnormal	असामान्य	0.137	0.604	0.309
abnormality	abnormality	0.092	0.655	0.383
aboard	सवार	0.698	0.284	0.481
abode	निवास	0.620	0.302	0.500
abolish	समाप्त गर्न्	0.448	0.615	0.529
abolition	उन्मूलन	0.323	0.690	0.529
abominable	घृणात्मक	0.120	0.731	0.482
abominate	घृणा गर्नुहोस्	0.198	0.788	0.366
abomination	घृणा	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	गर्भपात	0.082	0.770	0.283
abortive	अपमानजनक	0.090	0.776	0.280
abound	प्रशस्त	0.704	0.490	0.681
abovementioned	माथि उल्लेखित	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	घर्षण	0.406	0.592	0.441
abrasive	घर्षण	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	विदेशमा	0.677	0.596	0.561
abrogate	रद्द गर्नुहोस्	0.327	0.510	0.594
abrupt	अचानक	0.271	0.819	0.545
abruptly	अचानक	0.250	0.808	0.556
abscess	अनुपस्थिति	0.154	0.451	0.349
absence	अनुपस्थिति	0.153	0.235	0.266
absent	अनुपस्थित	0.177	0.221	0.116
absentee	अनुपस्थित	0.235	0.330	0.279
absenteeism	अनुपस्थिति	0.404	0.273	0.357
absinthe	अनुपस्थित	0.481	0.510	0.462
absolute	पूर्ण	0.526	0.510	0.827
absolution	अवरोध	0.715	0.500	0.664
absolve	पूर्ण	0.684	0.449	0.660
absorb	अवशोषित	0.469	0.558	0.670
absorbed	अवशोषित	0.490	0.471	0.519
absorbent	अवशोषण	0.552	0.394	0.718
absorbing	अवशोषित	0.490	0.490	0.578
absorption	अवशोषण	0.609	0.422	0.446
abstain	abstain	0.385	0.385	0.427
abstention	अव्यवस्था	0.271	0.264	0.509
abstinence	सहनशीलता	0.260	0.392	0.429
abstract	सार	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	बेवास्ता	0.188	0.656	0.284
absurdity	बेवास्ता	0.115	0.528	0.227
abundance	बहुतायत	0.812	0.690	0.852
abundant	प्रचुर मात्रामा	0.958	0.590	0.760
abuse	दुरुपयोग	0.071	0.873	0.469
abused	दुर्व्यवहार	0.021	0.874	0.235
abusive	अपमानजनक	0.125	0.903	0.567
abutment	अपमान	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	शैक्षणिक	0.781	0.420	0.812
academy	अकादमी	0.704	0.473	0.792
accede	बिस्तृत	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	छिटो	0.615	0.902	0.759
accelerated	त्वरित	0.610	0.812	0.682
acceleration	त्वरण	0.704	0.905	0.843
accelerator	गतिवर्ती	0.593	0.830	0.812
accent	उच्चारण	0.598	0.357	0.509
accentuate	उच्चारण गर्नुहोस्	0.673	0.556	0.667
accept	स्वीकार गर्नुहोस्	0.847	0.286	0.565
acceptable	स्वीकार्य	0.812	0.286	0.583
acceptance	स्वीकृति	0.833	0.287	0.755
acceptances	स्वीकृति	0.847	0.413	0.648
access	पहुँच	0.714	0.472	0.567
accessible	पहुँचयोग्य	0.796	0.410	0.645
accession	पहुँच	0.612	0.383	0.636
accessory	सहायक	0.562	0.292	0.445
accident	दुर्घटना	0.125	0.908	0.336
accidental	आकस्मिक	0.319	0.784	0.307
accidentally	गल्ती	0.333	0.741	0.333
acclaim	acclaim	0.562	0.809	0.718
accolade	उकालो	0.688	0.591	0.775
accommodate	समायोजन गर्नुहोस्	0.844	0.375	0.566
accommodation	आवास	0.817	0.415	0.587
accompaniment	संगै	0.740	0.479	0.695
accompany	साथ	0.833	0.406	0.585
accompanying	साथमा रहेका	0.787	0.460	0.582
accomplice	सहयोगी	0.408	0.580	0.510
accomplish	पूरा	0.929	0.673	0.816
accomplished	पूरा भयो	0.870	0.520	0.798
accomplishment	उपलब्धि	0.917	0.694	0.888
accord	सम्झौता	0.898	0.264	0.382
accordance	अनुसार	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	खाता	0.531	0.347	0.472
accountability	जवाबदेही	0.755	0.537	0.833
accountable	उत्तरदायी	0.709	0.282	0.777
accountant	अकाउन्टेंट	0.625	0.450	0.639
accounting	लेखांकन	0.552	0.390	0.677
accounts	खाताहरू	0.592	0.340	0.471
accredited	मान्यता प्राप्त	0.669	0.479	0.768
accretion	संवेदना	0.448	0.519	0.672
accrue	accrue	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	संचित	0.573	0.536	0.607
accumulation	संचय	0.479	0.527	0.600
accuracy	शुद्धता	0.604	0.481	0.802
accurate	सही	0.743	0.360	0.737
accursed	दुर्घटना भयो	0.135	0.745	0.345
accusation	आरोप	0.073	0.718	0.564
accusative	दोषी	0.198	0.755	0.482
accuse	दोष लगाउनुहोस्	0.133	0.752	0.500
accused	आरोप लगाए	0.130	0.670	0.420
accuser	दोषी	0.122	0.779	0.615
accusing	दोषी	0.156	0.745	0.324
accustomed	आदी	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	एसिटिक	0.333	0.420	0.519
acetylene	एसिटिलीन	0.306	0.469	0.509
ache	अनुहार	0.146	0.760	0.312
achieve	प्राप्त गर्नुहोस्	0.816	0.545	0.843
achieved	पाएको	0.896	0.519	0.775
achievement	उपलब्धि	0.896	0.808	0.759
aching	दुखाइ	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	एसिड	0.265	0.642	0.566
acidity	अम्लता	0.156	0.663	0.360
acknowledge	स्वीकार गर्नुहोस्	0.786	0.370	0.661
acknowledged	स्वीकार गरियो	0.714	0.443	0.765
acknowledgement	स्वीकृति	0.819	0.539	0.830
acknowledgment	स्वीकृति	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	मुँहासे	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	ध्वनिक	0.542	0.462	0.536
acoustics	ध्वनिक	0.611	0.330	0.509
acquaint	परिचित	0.646	0.491	0.639
acquaintance	परिचित	0.656	0.290	0.670
acquainted	परिचित	0.906	0.358	0.632
acquiescence	आशीर्वाद	0.542	0.480	0.554
acquire	प्राप्त गर्नुहोस्	0.833	0.468	0.700
acquiring	प्राप्त गर्दै	0.735	0.510	0.817
acquisition	अधिग्रहण	0.698	0.509	0.736
acquisitions	अधिग्रहण	0.773	0.660	0.790
acquit	अधिग्रहण गर्नुहोस्	0.583	0.571	0.611
acquittal	अधिग्रहण	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	ऐक्रेलिक	0.582	0.279	0.420
act	अधिनियम	0.656	0.704	0.735
acting	अभिनय	0.698	0.643	0.500
action	action	0.760	0.898	0.802
action figure	कार्य संख्या	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	सक्रिय गर्नुहोस्	0.764	0.650	0.806
activation	सक्रियता	0.781	0.800	0.754
active	सक्रिय	0.847	0.730	0.731
activist	कार्यकर्ता	0.531	0.653	0.877
activity	गतिविधि	0.701	0.660	0.807
actor	अभिनेता	0.653	0.561	0.629
actress	अभिनेत्री	0.633	0.556	0.596
actual	वास्तविक	0.729	0.400	0.716
actuality	वास्तविकता	0.750	0.464	0.600
actuary	अभिनय	0.510	0.404	0.491
acuity	एकता	0.469	0.378	0.741
acumen	एक्यूमन	0.564	0.660	0.679
acupuncture	एक्यूपंक्चर	0.531	0.324	0.549
acute	तीव्र	0.427	0.652	0.534
acutely	तीव्रता	0.417	0.543	0.491
ad	विज्ञापन	0.521	0.705	0.558
adage	मनन	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	अनुकूल	0.740	0.355	0.551
adaptable	अनुकूलन	0.735	0.423	0.641
adaptation	अनुकूलन	0.663	0.365	0.609
add	जोड्नुहोस्	0.728	0.490	0.554
added	थप गरियो	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	एडडर	0.388	0.461	0.588
