Word	Pashto-ps	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	ژغورل	0.427	0.490	0.437
aback	ناڅاپه	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	ابلون	0.500	0.480	0.412
abandon	پرېښودل	0.052	0.519	0.245
abandoned	پرېښودل شوی	0.046	0.481	0.130
abandonment	پرېښودل	0.128	0.430	0.202
abashed	وتښتیدل	0.177	0.644	0.307
abate	خوندیتوب	0.255	0.696	0.604
abatement	تاوان	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	ابی	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	لنډیز	0.531	0.375	0.330
abbreviation	لنډیز	0.469	0.306	0.345
abdomen	پيښې	0.469	0.462	0.471
abdominal	پوټکي	0.490	0.456	0.445
abduct	تښتول	0.173	0.720	0.615
abduction	اختطاف	0.062	0.990	0.673
aberrant	الوتونکو	0.146	0.765	0.431
aberration	تاوان	0.125	0.816	0.417
abeyance	پاتې کیدل	0.330	0.510	0.292
abhor	خوره	0.125	0.602	0.349
abhorrence	بښنه	0.167	0.684	0.420
abhorrent	خوندور	0.229	0.750	0.474
abide	ژوندی	0.635	0.354	0.705
abiding	ژغورل	0.796	0.327	0.750
ability	وړتیا	0.875	0.510	0.816
abject	غصب	0.354	0.590	0.417
ablation	تښتول	0.418	0.500	0.500
ablaze	سترګو	0.240	0.847	0.525
able	وړ	0.786	0.500	0.810
abnormal	غیر معمولي	0.137	0.604	0.309
abnormality	نا امني	0.092	0.655	0.383
aboard	ساتل	0.698	0.284	0.481
abode	ځای	0.620	0.302	0.500
abolish	ړنګول	0.448	0.615	0.529
abolition	اختطاف	0.323	0.690	0.529
abominable	ناڅاپه	0.120	0.731	0.482
abominate	زیانمن کړئ	0.198	0.788	0.366
abomination	ککړتيا	0.078	0.755	0.518
aboriginal	اصلي	0.448	0.427	0.542
abort	ځورول	0.153	0.686	0.429
abortion	سقط	0.082	0.770	0.283
abortive	بدبختی	0.090	0.776	0.280
abound	ډوب	0.704	0.490	0.681
abovementioned	پورته یاد شوي دي	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	تاوان	0.406	0.592	0.441
abrasive	ککړتیا	0.392	0.610	0.593
abreast	بډایټ	0.635	0.380	0.519
abroad	بهر	0.677	0.596	0.561
abrogate	لغوه	0.327	0.510	0.594
abrupt	ناڅاپه	0.271	0.819	0.545
abruptly	ناڅاپه	0.250	0.808	0.556
abscess	استثنا	0.154	0.451	0.349
absence	نشتوالى	0.153	0.235	0.266
absent	غیر حاضر	0.177	0.221	0.116
absentee	غیر حاضر	0.235	0.330	0.279
absenteeism	ناپوهۍ	0.404	0.273	0.357
absinthe	غیر حاضر	0.481	0.510	0.462
absolute	مطلق	0.526	0.510	0.827
absolution	ناڅاپه	0.715	0.500	0.664
absolve	مطلق	0.684	0.449	0.660
absorb	جذب کول	0.469	0.558	0.670
absorbed	جذب شوی	0.490	0.471	0.519
absorbent	جذب	0.552	0.394	0.718
absorbing	جذب کول	0.490	0.490	0.578
absorption	جذب	0.609	0.422	0.446
abstain	خلاصون	0.385	0.385	0.427
abstention	خساره	0.271	0.264	0.509
abstinence	ناڅاپه	0.260	0.392	0.429
abstract	لنډیز	0.438	0.292	0.444
abstraction	بندیز	0.469	0.439	0.525
absurd	ناڅاپه	0.188	0.656	0.284
absurdity	ناڅاپه	0.115	0.528	0.227
abundance	کثرت	0.812	0.690	0.852
abundant	ډیر زیات	0.958	0.590	0.760
abuse	ناوړه ګټه اخیستنه	0.071	0.873	0.469
abused	ناوړه ګټه اخیستنه	0.021	0.874	0.235
abusive	ناوړه ګټه پورته کول	0.125	0.903	0.567
abutment	خوندیتوب	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	بې وزله	0.250	0.710	0.598
abyss	اوړه	0.353	0.725	0.296
academic	اکادمیک	0.781	0.420	0.812
academy	اکادمۍ	0.704	0.473	0.792
accede	اعتراف	0.698	0.510	0.537
accelerant	چټک	0.643	0.844	0.802
accelerate	چټک کړئ	0.615	0.902	0.759
accelerated	چټک شوی	0.610	0.812	0.682
acceleration	سرعت	0.704	0.905	0.843
accelerator	چټکونکی	0.593	0.830	0.812
accent	تلفات	0.598	0.357	0.509
accentuate	تلفات	0.673	0.556	0.667
accept	منل	0.847	0.286	0.565
acceptable	منلو وړ	0.812	0.286	0.583
acceptance	منل	0.833	0.287	0.755
acceptances	منل	0.847	0.413	0.648
access	لاس رسی	0.714	0.472	0.567
accessible	لاس رسی	0.796	0.410	0.645
accession	لاس رسی	0.612	0.383	0.636
accessory	لاس رسی	0.562	0.292	0.445
accident	حادثه	0.125	0.908	0.336
accidental	ناڅاپه	0.319	0.784	0.307
accidentally	په ناڅاپه توګه	0.333	0.741	0.333
acclaim	تعریف	0.562	0.809	0.718
accolade	مستند	0.688	0.591	0.775
accommodate	ځای پر ځای کول	0.844	0.375	0.566
accommodation	استوګنې	0.817	0.415	0.587
accompaniment	ملګرتیا	0.740	0.479	0.695
accompany	سره	0.833	0.406	0.585
accompanying	ملګري	0.787	0.460	0.582
accomplice	ملګري	0.408	0.580	0.510
accomplish	ترسره کول	0.929	0.673	0.816
accomplished	بشپړ شوی	0.870	0.520	0.798
accomplishment	لاسته راوړنه	0.917	0.694	0.888
accord	تړون	0.898	0.264	0.382
accordance	تعهد	0.659	0.349	0.600
accordion	تړون	0.604	0.490	0.361
account	ګڼون	0.531	0.347	0.472
accountability	احتساب	0.755	0.537	0.833
accountable	ځواب ورکوونکی	0.709	0.282	0.777
accountant	محاسبې	0.625	0.450	0.639
accounting	محاسبه	0.552	0.390	0.677
accounts	حسابونه	0.592	0.340	0.471
accredited	باورلیک شوی	0.669	0.479	0.768
accretion	اعتراف	0.448	0.519	0.672
accrue	اعتراف	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	جمع کول	0.573	0.536	0.607
accumulation	راغونډول	0.479	0.527	0.600
accuracy	سمه	0.604	0.481	0.802
accurate	سمه ده	0.743	0.360	0.737
accursed	تکرار شوی	0.135	0.745	0.345
accusation	تورونه	0.073	0.718	0.564
accusative	تورونه	0.198	0.755	0.482
accuse	تورونه	0.133	0.752	0.500
accused	تورن دی	0.130	0.670	0.420
accuser	تورونه	0.122	0.779	0.615
accusing	تورونه	0.156	0.745	0.324
accustomed	عادي	0.542	0.365	0.441
ace	Ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	اکټیلین	0.306	0.469	0.509
ache	درد	0.146	0.760	0.312
achieve	ترلاسه کول	0.816	0.545	0.843
achieved	ترلاسه شوی	0.896	0.519	0.775
achievement	لاسته راوړنه	0.896	0.808	0.759
aching	درد	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	اسيد	0.265	0.642	0.566
acidity	استعداد	0.156	0.663	0.360
acknowledge	منل	0.786	0.370	0.661
acknowledged	منل شوی	0.714	0.443	0.765
acknowledgement	منل	0.819	0.539	0.830
acknowledgment	منل	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	مڼه	0.167	0.474	0.308
acorn	کښت	0.448	0.198	0.192
acoustic	صوتيک	0.542	0.462	0.536
acoustics	صوتي	0.611	0.330	0.509
acquaint	پوهیږي	0.646	0.491	0.639
acquaintance	واقف	0.656	0.290	0.670
acquainted	پوهیدل	0.906	0.358	0.632
acquiescence	لیوالتیا	0.542	0.480	0.554
acquire	ترلاسه کول	0.833	0.468	0.700
acquiring	ترلاسه کول	0.735	0.510	0.817
acquisition	استمالک	0.698	0.509	0.736
acquisitions	لاسته راوړنې	0.773	0.660	0.790
acquit	ترلاسه کول	0.583	0.571	0.611
acquittal	اختلال	0.760	0.497	0.700
acre	اکري	0.583	0.387	0.423
acreage	اکریج	0.741	0.450	0.528
acres	جریبه	0.510	0.363	0.500
acrobat	اکروب	0.708	0.828	0.602
acrylic	اکیلیک	0.582	0.279	0.420
act	عمل وکړئ	0.656	0.704	0.735
acting	عمل کوي	0.698	0.643	0.500
action	عمل	0.760	0.898	0.802
action figure	د عمل انځور	0.615	0.774	0.611
actionable	عمل وړ	0.673	0.702	0.613
activate	فعال کړئ	0.764	0.650	0.806
activation	فعالیت	0.781	0.800	0.754
active	فعال	0.847	0.730	0.731
activist	فعاله	0.531	0.653	0.877
activity	فعالیت	0.701	0.660	0.807
actor	اداکار	0.653	0.561	0.629
actress	اداکار	0.633	0.556	0.596
actual	حقیقي	0.729	0.400	0.716
actuality	حقیقت	0.750	0.464	0.600
actuary	عمل	0.510	0.404	0.491
acuity	یووالی	0.469	0.378	0.741
acumen	اکسیجن	0.564	0.660	0.679
acupuncture	اکپونیکچر	0.531	0.324	0.549
acute	حاد	0.427	0.652	0.534
acutely	په چټکۍ سره	0.417	0.543	0.491
ad	اعلان	0.521	0.705	0.558
adage	منډه	0.517	0.415	0.566
adamant	مننه	0.344	0.529	0.575
adapt	تطابق	0.740	0.355	0.551
adaptable	تطبیق وړ	0.735	0.423	0.641
adaptation	تطابق	0.663	0.365	0.609
add	اضافه کړئ	0.728	0.490	0.554
added	اضافه شوه	0.562	0.405	0.509
addendum	اضافه کول	0.392	0.370	0.418
adder	کڅوړی	0.388	0.461	0.588
addict	روږدي	0.075	0.696	0.327
addicted	روږدي	0.156	0.712	0.483
addiction	روږدي	0.180	0.806	0.420
addictive	روږدي	0.302	0.683	0.472
addition	اضافه کول	0.562	0.373	0.471
additional	اضافي	0.673	0.462	0.526
additive	اضافه کول	0.561	0.633	0.691
address	پته	0.650	0.327	0.567
addressee	پته	0.622	0.382	0.538
addresses	پته	0.510	0.354	0.450
