Word	Samoan-sm	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	o se mea e leai	0.385	0.407	0.288
abacus	faʻailoga	0.510	0.276	0.485
abalone	vailaʻau	0.500	0.480	0.412
abandon	lafoaia	0.052	0.519	0.245
abandoned	tuulafoaiina	0.046	0.481	0.130
abandonment	lafoaia	0.128	0.430	0.202
abashed	faalumaina	0.177	0.644	0.307
abate	faʻasologa	0.255	0.696	0.604
abatement	faʻaaogaina	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	otooto	0.531	0.375	0.330
abbreviation	otootoga	0.469	0.306	0.345
abdomen	manava	0.469	0.462	0.471
abdominal	afaina	0.490	0.456	0.445
abduct	faoa	0.173	0.720	0.615
abduction	aveeseina	0.062	0.990	0.673
aberrant	valea	0.146	0.765	0.431
aberration	faʻaleagaina	0.125	0.816	0.417
abeyance	faʻailoga	0.330	0.510	0.292
abhor	inoino	0.125	0.602	0.349
abhorrence	inoino	0.167	0.684	0.420
abhorrent	inoino	0.229	0.750	0.474
abide	tausisia	0.635	0.354	0.705
abiding	tausisia	0.796	0.327	0.750
ability	tomai	0.875	0.510	0.816
abject	faalumaina	0.354	0.590	0.417
ablation	faʻasologa	0.418	0.500	0.500
ablaze	sasaa	0.240	0.847	0.525
able	mafai	0.786	0.500	0.810
abnormal	lē masani	0.137	0.604	0.309
abnormality	mea le lelei	0.092	0.655	0.383
aboard	uta	0.698	0.284	0.481
abode	nofo	0.620	0.302	0.500
abolish	soloia	0.448	0.615	0.529
abolition	solo	0.323	0.690	0.529
abominable	inosia	0.120	0.731	0.482
abominate	inoino	0.198	0.788	0.366
abomination	mea inosia	0.078	0.755	0.518
aboriginal	Aboriginal	0.448	0.427	0.542
abort	afaina	0.153	0.686	0.429
abortion	faapaʻu pepe	0.082	0.770	0.283
abortive	faʻailoga	0.090	0.776	0.280
abound	tele	0.704	0.490	0.681
abovementioned	ua taua i luga	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	faʻasalaga	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	togi	0.635	0.380	0.519
abroad	i fafo	0.677	0.596	0.561
abrogate	solo	0.327	0.510	0.594
abrupt	faanatinati	0.271	0.819	0.545
abruptly	faʻafuaseʻi	0.250	0.808	0.556
abscess	fao	0.154	0.451	0.349
absence	toesea	0.153	0.235	0.266
absent	toesea	0.177	0.221	0.116
absentee	leai	0.235	0.330	0.279
absenteeism	toesea	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	saʻo	0.526	0.510	0.827
absolution	toesea	0.715	0.500	0.664
absolve	saʻo	0.684	0.449	0.660
absorb	toso	0.469	0.558	0.670
absorbed	faʻaleleia	0.490	0.471	0.519
absorbent	sosolo	0.552	0.394	0.718
absorbing	gauaʻi	0.490	0.490	0.578
absorption	avega	0.609	0.422	0.446
abstain	aloese	0.385	0.385	0.427
abstention	taofi	0.271	0.264	0.509
abstinence	faʻasalaga	0.260	0.392	0.429
abstract	faʻapitoa	0.438	0.292	0.444
abstraction	faʻaaogaina	0.469	0.439	0.525
absurd	valea	0.188	0.656	0.284
absurdity	valea	0.115	0.528	0.227
abundance	tele	0.812	0.690	0.852
abundant	tele	0.958	0.590	0.760
abuse	faʻaleagaina	0.071	0.873	0.469
abused	sauaina	0.021	0.874	0.235
abusive	faʻasaunoa	0.125	0.903	0.567
abutment	faʻapipiʻi	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	leaga	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	aʻoga	0.781	0.420	0.812
academy	aʻoga	0.704	0.473	0.792
accede	faʻatautaia	0.698	0.510	0.537
accelerant	saoasaoa	0.643	0.844	0.802
accelerate	faatelevave	0.615	0.902	0.759
accelerated	faʻateleina	0.610	0.812	0.682
acceleration	saoasaoa	0.704	0.905	0.843
accelerator	osofaʻiga	0.593	0.830	0.812
accent	leo	0.598	0.357	0.509
accentuate	faʻailoa	0.673	0.556	0.667
accept	talia	0.847	0.286	0.565
acceptable	taliaina	0.812	0.286	0.583
acceptance	talia	0.833	0.287	0.755
acceptances	taliaina	0.847	0.413	0.648
access	avanoa	0.714	0.472	0.567
accessible	avanoa	0.796	0.410	0.645
accession	faʻatasi	0.612	0.383	0.636
accessory	avanoa	0.562	0.292	0.445
accident	faalavelave	0.125	0.908	0.336
accidental	faʻafuaseʻi	0.319	0.784	0.307
accidentally	faʻafuaseʻi	0.333	0.741	0.333
acclaim	alalaga	0.562	0.809	0.718
accolade	faʻaola	0.688	0.591	0.775
accommodate	nofo ai	0.844	0.375	0.566
accommodation	fale nofo	0.817	0.415	0.587
accompaniment	taʻavale	0.740	0.479	0.695
accompany	ō faʻatasi	0.833	0.406	0.585
accompanying	faʻatasi	0.787	0.460	0.582
accomplice	tagata faʻapitoa	0.408	0.580	0.510
accomplish	ausia	0.929	0.673	0.816
accomplished	ausia	0.870	0.520	0.798
accomplishment	ausia	0.917	0.694	0.888
accord	tutusa	0.898	0.264	0.382
accordance	tusa ai	0.659	0.349	0.600
accordion	tutusa	0.604	0.490	0.361
account	teugatupe	0.531	0.347	0.472
accountability	tali atu	0.755	0.537	0.833
accountable	tali atu	0.709	0.282	0.777
accountant	tausitusi	0.625	0.450	0.639
accounting	tala faʻatusi	0.552	0.390	0.677
accounts	tala	0.592	0.340	0.471
accredited	faʻatagaina	0.669	0.479	0.768
accretion	faʻamanuiaina	0.448	0.519	0.672
accrue	faʻateleina	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	faaputuputu	0.573	0.536	0.607
accumulation	faaputuputu	0.479	0.527	0.600
accuracy	saʻo	0.604	0.481	0.802
accurate	saʻo	0.743	0.360	0.737
accursed	faʻasalaina	0.135	0.745	0.345
accusation	tuuaiga	0.073	0.718	0.564
accusative	tuuai	0.198	0.755	0.482
accuse	molia	0.133	0.752	0.500
accused	tuuaia	0.130	0.670	0.420
accuser	tagata molia	0.122	0.779	0.615
accusing	molia	0.156	0.745	0.324
accustomed	masani	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	vailaau	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	maʻi	0.146	0.760	0.312
achieve	ausia	0.816	0.545	0.843
achieved	ausia	0.896	0.519	0.775
achievement	ausia	0.896	0.808	0.759
aching	mafatia	0.053	0.880	0.348
achy	au	0.167	0.840	0.373
acid	gaʻo	0.265	0.642	0.566
acidity	malosi	0.156	0.663	0.360
acknowledge	faailoa	0.786	0.370	0.661
acknowledged	faailoaina	0.714	0.443	0.765
acknowledgement	faʻaaloalo	0.819	0.539	0.830
acknowledgment	faʻaaloalo	0.796	0.528	0.777
acme	faʻamalosi	0.408	0.435	0.375
acne	siama	0.167	0.474	0.308
acorn	moa	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	masani	0.646	0.491	0.639
acquaintance	masani	0.656	0.290	0.670
acquainted	masani	0.906	0.358	0.632
acquiescence	faʻamaoniga	0.542	0.480	0.554
acquire	maua	0.833	0.468	0.700
acquiring	mauaina	0.735	0.510	0.817
acquisition	mauaina	0.698	0.509	0.736
acquisitions	faʻatau	0.773	0.660	0.790
acquit	faʻamaonia	0.583	0.571	0.611
acquittal	faʻasao	0.760	0.497	0.700
acre	eka	0.583	0.387	0.423
acreage	fanua	0.741	0.450	0.528
acres	eka	0.510	0.363	0.500
acrobat	faʻataʻitaʻiga	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	galue	0.656	0.704	0.735
acting	galue	0.698	0.643	0.500
action	taga	0.760	0.898	0.802
action figure	fua faʻatatau	0.615	0.774	0.611
actionable	faʻataʻitaʻi	0.673	0.702	0.613
activate	faʻaagaoioia	0.764	0.650	0.806
activation	faatoaagaina	0.781	0.800	0.754
active	malosi	0.847	0.730	0.731
activist	tagata gaoioi	0.531	0.653	0.877
activity	gaoioiga	0.701	0.660	0.807
actor	tagata fai taga	0.653	0.561	0.629
actress	tagata fai pese	0.633	0.556	0.596
actual	moni	0.729	0.400	0.716
actuality	moni	0.750	0.464	0.600
actuary	tagata poto faapitoa i mea tau tupe	0.510	0.404	0.491
acuity	fanua	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	aute	0.427	0.652	0.534
acutely	matua	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	taufaaleaga	0.517	0.415	0.566
adamant	mataʻutia	0.344	0.529	0.575
adapt	fetuunai	0.740	0.355	0.551
adaptable	fetuunai	0.735	0.423	0.641
adaptation	fetuunaiga	0.663	0.365	0.609
add	faʻaopoopo	0.728	0.490	0.554
added	faaopoopo	0.562	0.405	0.509
addendum	faʻaopoopoga	0.392	0.370	0.418
adder	mea faʻapipiʻi	0.388	0.461	0.588
addict	vaisu	0.075	0.696	0.327
addicted	vaisu	0.156	0.712	0.483
addiction	vaisu	0.180	0.806	0.420
addictive	vaisu	0.302	0.683	0.472
addition	faʻaopoopoga	0.562	0.373	0.471
additional	faʻaopoopoga	0.673	0.462	0.526
additive	faʻaopoopoga	0.561	0.633	0.691
address	tuatusi	0.650	0.327	0.567
addressee	tagata faʻatau	0.622	0.382	0.538
addresses	tuatusi	0.510	0.354	0.450
adept	tagata atamai	0.594	0.539	0.789
adequacy	le lava	0.615	0.435	0.702
adequate	lava	0.854	0.264	0.705
adhere	tausisia	0.633	0.339	0.554
