Word	Slovak-sk	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Aardvark	0.427	0.490	0.437
aback	prekvapený	0.385	0.407	0.288
abacus	počítadlo	0.510	0.276	0.485
abalone	useň	0.500	0.480	0.412
abandon	opustiť	0.052	0.519	0.245
abandoned	opustený	0.046	0.481	0.130
abandonment	opustenie	0.128	0.430	0.202
abashed	v rozpakoch	0.177	0.644	0.307
abate	zmenšiť	0.255	0.696	0.604
abatement	zníženie	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	opátstva	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	skrátiť	0.531	0.375	0.330
abbreviation	skratka	0.469	0.306	0.345
abdomen	brucho	0.469	0.462	0.471
abdominal	brušnej	0.490	0.456	0.445
abduct	uniesť	0.173	0.720	0.615
abduction	únos	0.062	0.990	0.673
aberrant	nenormálne	0.146	0.765	0.431
aberration	odchýlka	0.125	0.816	0.417
abeyance	suspenzie	0.330	0.510	0.292
abhor	hroziť sa	0.125	0.602	0.349
abhorrence	opovrhnutie	0.167	0.684	0.420
abhorrent	odporný	0.229	0.750	0.474
abide	dodržať	0.635	0.354	0.705
abiding	rešpektujúci	0.796	0.327	0.750
ability	schopnosť	0.875	0.510	0.816
abject	ponížený	0.354	0.590	0.417
ablation	odstránenie	0.418	0.500	0.500
ablaze	horiace	0.240	0.847	0.525
able	schopný	0.786	0.500	0.810
abnormal	abnormálne	0.137	0.604	0.309
abnormality	anomálie	0.092	0.655	0.383
aboard	na palube	0.698	0.284	0.481
abode	príbytok	0.620	0.302	0.500
abolish	zrušiť	0.448	0.615	0.529
abolition	zrušenie	0.323	0.690	0.529
abominable	odporný	0.120	0.731	0.482
abominate	hnusiť	0.198	0.788	0.366
abomination	ohavnosť	0.078	0.755	0.518
aboriginal	domorodý	0.448	0.427	0.542
abort	prerušiť	0.153	0.686	0.429
abortion	potrat	0.082	0.770	0.283
abortive	nevydarený	0.090	0.776	0.280
abound	oplývať	0.704	0.490	0.681
abovementioned	vyššie spomínané	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	odreniny	0.406	0.592	0.441
abrasive	brusivo	0.392	0.610	0.593
abreast	bok po boku	0.635	0.380	0.519
abroad	v zahraničí	0.677	0.596	0.561
abrogate	zrušiť	0.327	0.510	0.594
abrupt	náhly	0.271	0.819	0.545
abruptly	stroho	0.250	0.808	0.556
abscess	absces	0.154	0.451	0.349
absence	neprítomnosť	0.153	0.235	0.266
absent	neprítomný	0.177	0.221	0.116
absentee	absentér	0.235	0.330	0.279
absenteeism	absentérstvo	0.404	0.273	0.357
absinthe	absint	0.481	0.510	0.462
absolute	absolútny	0.526	0.510	0.827
absolution	oslobodenie	0.715	0.500	0.664
absolve	oslobodiť viny	0.684	0.449	0.660
absorb	absorbovať	0.469	0.558	0.670
absorbed	vstrebáva	0.490	0.471	0.519
absorbent	absorbujúce	0.552	0.394	0.718
absorbing	pútavý	0.490	0.490	0.578
absorption	vstrebávanie	0.609	0.422	0.446
abstain	abstinovať	0.385	0.385	0.427
abstention	zdržanie sa	0.271	0.264	0.509
abstinence	abstinencie	0.260	0.392	0.429
abstract	abstraktné	0.438	0.292	0.444
abstraction	abstrakcie	0.469	0.439	0.525
absurd	absurdné	0.188	0.656	0.284
absurdity	nezmyselnosť	0.115	0.528	0.227
abundance	hojnosť	0.812	0.690	0.852
abundant	hojný	0.958	0.590	0.760
abuse	zneužívanie	0.071	0.873	0.469
abused	zneužila	0.021	0.874	0.235
abusive	hrubý	0.125	0.903	0.567
abutment	podpera	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	priepastný	0.250	0.710	0.598
abyss	priepasť	0.353	0.725	0.296
academic	akademický	0.781	0.420	0.812
academy	akadémie	0.704	0.473	0.792
accede	pristúpiť	0.698	0.510	0.537
accelerant	akcelerátor	0.643	0.844	0.802
accelerate	urýchliť	0.615	0.902	0.759
accelerated	zrýchlený	0.610	0.812	0.682
acceleration	akcelerácia	0.704	0.905	0.843
accelerator	urýchľovač	0.593	0.830	0.812
accent	prízvuk	0.598	0.357	0.509
accentuate	zdôrazniť	0.673	0.556	0.667
accept	súhlasiť	0.847	0.286	0.565
acceptable	prijateľný	0.812	0.286	0.583
acceptance	prijatie	0.833	0.287	0.755
acceptances	akceptáciou	0.847	0.413	0.648
access	prístup	0.714	0.472	0.567
accessible	prístupný	0.796	0.410	0.645
accession	nastúpenie	0.612	0.383	0.636
accessory	prídavný	0.562	0.292	0.445
accident	nehoda	0.125	0.908	0.336
accidental	náhodný	0.319	0.784	0.307
accidentally	náhodou	0.333	0.741	0.333
acclaim	pozdravovat	0.562	0.809	0.718
accolade	vyznamenanie	0.688	0.591	0.775
accommodate	ubytovať	0.844	0.375	0.566
accommodation	ubytovanie	0.817	0.415	0.587
accompaniment	sprievod	0.740	0.479	0.695
accompany	sprevádzať	0.833	0.406	0.585
accompanying	sprevádzajúci	0.787	0.460	0.582
accomplice	spolupáchateľa	0.408	0.580	0.510
accomplish	dokončiť	0.929	0.673	0.816
accomplished	dokonalý	0.870	0.520	0.798
accomplishment	dosiahnutie	0.917	0.694	0.888
accord	dohoda	0.898	0.264	0.382
accordance	zhoda	0.659	0.349	0.600
accordion	akordeón	0.604	0.490	0.361
account	účet	0.531	0.347	0.472
accountability	zodpovednosť	0.755	0.537	0.833
accountable	zodpovedný	0.709	0.282	0.777
accountant	účtovný	0.625	0.450	0.639
accounting	účtovníctva	0.552	0.390	0.677
accounts	účty	0.592	0.340	0.471
accredited	akreditovaný	0.669	0.479	0.768
accretion	narastania	0.448	0.519	0.672
accrue	narastať	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	akumulovať	0.573	0.536	0.607
accumulation	akumulácia	0.479	0.527	0.600
accuracy	presnosť	0.604	0.481	0.802
accurate	presný	0.743	0.360	0.737
accursed	prekliaty	0.135	0.745	0.345
accusation	obvinenie	0.073	0.718	0.564
accusative	akuzatív	0.198	0.755	0.482
accuse	obviniť	0.133	0.752	0.500
accused	obžalovaný	0.130	0.670	0.420
accuser	žalobca	0.122	0.779	0.615
accusing	vyčítavo	0.156	0.745	0.324
accustomed	zvyknutý	0.542	0.365	0.441
ace	eso	0.643	0.481	0.546
acetic	octová	0.333	0.420	0.519
acetylene	acetylén	0.306	0.469	0.509
ache	bolenie	0.146	0.760	0.312
achieve	dosiahnuť	0.816	0.545	0.843
achieved	dosiahnuté	0.896	0.519	0.775
achievement	úspech	0.896	0.808	0.759
aching	bolestivý	0.053	0.880	0.348
achy	boľavý	0.167	0.840	0.373
acid	kyselina	0.265	0.642	0.566
acidity	kyslosť	0.156	0.663	0.360
acknowledge	potvrdiť	0.786	0.370	0.661
acknowledged	uznala	0.714	0.443	0.765
acknowledgement	poďakovanie	0.819	0.539	0.830
acknowledgment	poďakovanie	0.796	0.528	0.777
acme	vrchol	0.408	0.435	0.375
acne	akné	0.167	0.474	0.308
acorn	žaluď	0.448	0.198	0.192
acoustic	akustický	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	zoznámiť	0.646	0.491	0.639
acquaintance	známosť	0.656	0.290	0.670
acquainted	oboznameny	0.906	0.358	0.632
acquiescence	súhlas	0.542	0.480	0.554
acquire	nadobudnúť	0.833	0.468	0.700
acquiring	získavanie	0.735	0.510	0.817
acquisition	získavanie	0.698	0.509	0.736
acquisitions	akvizície	0.773	0.660	0.790
acquit	oslobodiť viny	0.583	0.571	0.611
acquittal	oslobodenie	0.760	0.497	0.700
acre	aker	0.583	0.387	0.423
acreage	výmera	0.741	0.450	0.528
acres	akrov	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akryl	0.582	0.279	0.420
act	akt	0.656	0.704	0.735
acting	herectvo	0.698	0.643	0.500
action	akčné	0.760	0.898	0.802
action figure	akčná figúrka	0.615	0.774	0.611
actionable	hodnotný	0.673	0.702	0.613
activate	Aktivovať	0.764	0.650	0.806
activation	aktivácia	0.781	0.800	0.754
active	aktívny	0.847	0.730	0.731
activist	aktivista	0.531	0.653	0.877
activity	aktivita	0.701	0.660	0.807
actor	herec	0.653	0.561	0.629
actress	herečka	0.633	0.556	0.596
actual	skutočný	0.729	0.400	0.716
actuality	skutočnosť	0.750	0.464	0.600
actuary	poistný matematik	0.510	0.404	0.491
acuity	ostrosť	0.469	0.378	0.741
acumen	prezieravosť	0.564	0.660	0.679
acupuncture	akupunktúra	0.531	0.324	0.549
acute	akútna	0.427	0.652	0.534
acutely	akútne	0.417	0.543	0.491
ad	reklama	0.521	0.705	0.558
adage	príslovie	0.517	0.415	0.566
adamant	neoblomný	0.344	0.529	0.575
adapt	prispôsobiť	0.740	0.355	0.551
adaptable	prispôsobivý	0.735	0.423	0.641
adaptation	adaptácia	0.663	0.365	0.609
add	pridať	0.728	0.490	0.554
added	pridaný	0.562	0.405	0.509
addendum	dodatky	0.392	0.370	0.418
adder	zmija	0.388	0.461	0.588
addict	narkoman	0.075	0.696	0.327
addicted	závislý	0.156	0.712	0.483
addiction	závislosť	0.180	0.806	0.420
addictive	návykové	0.302	0.683	0.472
addition	pridanie	0.562	0.373	0.471
additional	dodatočný	0.673	0.462	0.526
additive	prísada	0.561	0.633	0.691
address	adresa	0.650	0.327	0.567
addressee	adresát	0.622	0.382	0.538
addresses	adresy	0.510	0.354	0.450
adept	zbehlý	0.594	0.539	0.789
adequacy	primeranosť	0.615	0.435	0.702
adequate	primeraný	0.854	0.264	0.705
adhere	držať	0.633	0.339	0.554
adherence	lipnutie	0.760	0.307	0.630
