Word	Slovenian-sl	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	Nadaljuj	0.385	0.407	0.288
abacus	abakus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	opusti	0.052	0.519	0.245
abandoned	opuščeni	0.046	0.481	0.130
abandonment	opustitev	0.128	0.430	0.202
abashed	strmoglavilo	0.177	0.644	0.307
abate	zmanjšati	0.255	0.696	0.604
abatement	zmanjšanje	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	opatij	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	okrajšava	0.531	0.375	0.330
abbreviation	okrajšava	0.469	0.306	0.345
abdomen	trebuh	0.469	0.462	0.471
abdominal	trebuh	0.490	0.456	0.445
abduct	ugrabiti	0.173	0.720	0.615
abduction	ugrabitev	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberacija	0.125	0.816	0.417
abeyance	opustitev	0.330	0.510	0.292
abhor	Odguba	0.125	0.602	0.349
abhorrence	aborstanca	0.167	0.684	0.420
abhorrent	Odvratno	0.229	0.750	0.474
abide	Ostani	0.635	0.354	0.705
abiding	Spoštovanje	0.796	0.327	0.750
ability	sposobnost	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablacija	0.418	0.500	0.500
ablaze	plamen	0.240	0.847	0.525
able	sposoben	0.786	0.500	0.810
abnormal	nenormalno	0.137	0.604	0.309
abnormality	nenormalnost	0.092	0.655	0.383
aboard	na krovu	0.698	0.284	0.481
abode	bivanje	0.620	0.302	0.500
abolish	ukiniti	0.448	0.615	0.529
abolition	ukinitev	0.323	0.690	0.529
abominable	gnusno	0.120	0.731	0.482
abominate	oporekati	0.198	0.788	0.366
abomination	gnusoba	0.078	0.755	0.518
aboriginal	Aboriginalna	0.448	0.427	0.542
abort	prekiniti	0.153	0.686	0.429
abortion	splav	0.082	0.770	0.283
abortive	neuspešna	0.090	0.776	0.280
abound	obilo	0.704	0.490	0.681
abovementioned	zgoraj omenjeno	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrazija	0.406	0.592	0.441
abrasive	abraziv	0.392	0.610	0.593
abreast	v korak	0.635	0.380	0.519
abroad	v tujini	0.677	0.596	0.561
abrogate	razveljaviti	0.327	0.510	0.594
abrupt	nenaden	0.271	0.819	0.545
abruptly	nenadoma	0.250	0.808	0.556
abscess	absces	0.154	0.451	0.349
absence	odsotnost	0.153	0.235	0.266
absent	odsoten	0.177	0.221	0.116
absentee	odsoten	0.235	0.330	0.279
absenteeism	odsotnost	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	absolutno	0.526	0.510	0.827
absolution	odsotnost	0.715	0.500	0.664
absolve	oprostite	0.684	0.449	0.660
absorb	absorbira	0.469	0.558	0.670
absorbed	absorbira	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	absorbira	0.490	0.490	0.578
absorption	absorpcija	0.609	0.422	0.446
abstain	vzdržati	0.385	0.385	0.427
abstention	vzdržani	0.271	0.264	0.509
abstinence	abstinenca	0.260	0.392	0.429
abstract	abstraktno	0.438	0.292	0.444
abstraction	abstrakcija	0.469	0.439	0.525
absurd	absurdno	0.188	0.656	0.284
absurdity	absurdnost	0.115	0.528	0.227
abundance	obilje	0.812	0.690	0.852
abundant	bogat	0.958	0.590	0.760
abuse	zlorabe	0.071	0.873	0.469
abused	zlorabljena	0.021	0.874	0.235
abusive	zloraba	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	ogorčen	0.250	0.710	0.598
abyss	brezno	0.353	0.725	0.296
academic	akademski	0.781	0.420	0.812
academy	akademija	0.704	0.473	0.792
accede	pristopi	0.698	0.510	0.537
accelerant	pospeševalec	0.643	0.844	0.802
accelerate	pospešiti	0.615	0.902	0.759
accelerated	pospešeno	0.610	0.812	0.682
acceleration	pospešek	0.704	0.905	0.843
accelerator	pospeševalec	0.593	0.830	0.812
accent	naglas	0.598	0.357	0.509
accentuate	poudariti	0.673	0.556	0.667
accept	sprejema	0.847	0.286	0.565
acceptable	sprejemljivo	0.812	0.286	0.583
acceptance	sprejem	0.833	0.287	0.755
acceptances	sprejema	0.847	0.413	0.648
access	dostop	0.714	0.472	0.567
accessible	dostopen	0.796	0.410	0.645
accession	pristop	0.612	0.383	0.636
accessory	dodatna oprema	0.562	0.292	0.445
accident	nesreča	0.125	0.908	0.336
accidental	slučajno	0.319	0.784	0.307
accidentally	slučajno	0.333	0.741	0.333
acclaim	priznanje	0.562	0.809	0.718
accolade	priznanje	0.688	0.591	0.775
accommodate	sprejemati	0.844	0.375	0.566
accommodation	nastanitev	0.817	0.415	0.587
accompaniment	spremstvo	0.740	0.479	0.695
accompany	spremljajte	0.833	0.406	0.585
accompanying	spremljajo	0.787	0.460	0.582
accomplice	sostorilec	0.408	0.580	0.510
accomplish	izpolniti	0.929	0.673	0.816
accomplished	doseženo	0.870	0.520	0.798
accomplishment	dosežek	0.917	0.694	0.888
accord	sporazum	0.898	0.264	0.382
accordance	skladnost	0.659	0.349	0.600
accordion	harmonika	0.604	0.490	0.361
account	račun	0.531	0.347	0.472
accountability	odgovornost	0.755	0.537	0.833
accountable	odgovoren	0.709	0.282	0.777
accountant	računovodja	0.625	0.450	0.639
accounting	računovodstvo	0.552	0.390	0.677
accounts	računov	0.592	0.340	0.471
accredited	akreditiran	0.669	0.479	0.768
accretion	povečanje	0.448	0.519	0.672
accrue	pridobiti	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	kopičijo	0.573	0.536	0.607
accumulation	kopičenje	0.479	0.527	0.600
accuracy	natančnost	0.604	0.481	0.802
accurate	natančno	0.743	0.360	0.737
accursed	preklet	0.135	0.745	0.345
accusation	obtožba	0.073	0.718	0.564
accusative	akuzativ	0.198	0.755	0.482
accuse	obtožiti	0.133	0.752	0.500
accused	obtožen	0.130	0.670	0.420
accuser	obtožilec	0.122	0.779	0.615
accusing	obtožujejo	0.156	0.745	0.324
accustomed	navajeni	0.542	0.365	0.441
ace	As	0.643	0.481	0.546
acetic	ocetek	0.333	0.420	0.519
acetylene	acetilen	0.306	0.469	0.509
ache	bolečina	0.146	0.760	0.312
achieve	doseči	0.816	0.545	0.843
achieved	doseženi	0.896	0.519	0.775
achievement	dosežek	0.896	0.808	0.759
aching	bolečine	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	kisline	0.265	0.642	0.566
acidity	kislost	0.156	0.663	0.360
acknowledge	potrdite	0.786	0.370	0.661
acknowledged	priznano	0.714	0.443	0.765
acknowledgement	potrditev	0.819	0.539	0.830
acknowledgment	potrditev	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	akne	0.167	0.474	0.308
acorn	želod	0.448	0.198	0.192
acoustic	akustično	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	seznaniti se	0.646	0.491	0.639
acquaintance	znanca	0.656	0.290	0.670
acquainted	spoznali	0.906	0.358	0.632
acquiescence	privolitev	0.542	0.480	0.554
acquire	pridobiti	0.833	0.468	0.700
acquiring	pridobivanje	0.735	0.510	0.817
acquisition	pridobitev	0.698	0.509	0.736
acquisitions	pridobitve	0.773	0.660	0.790
acquit	oprostiti	0.583	0.571	0.611
acquittal	oprostitev	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	površina	0.741	0.450	0.528
acres	hektarjev	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akril	0.582	0.279	0.420
act	ukrepati	0.656	0.704	0.735
acting	igrati	0.698	0.643	0.500
action	ukrepanje	0.760	0.898	0.802
action figure	Akcijska figura	0.615	0.774	0.611
actionable	dejanski	0.673	0.702	0.613
activate	aktivirajte	0.764	0.650	0.806
activation	aktiviranje	0.781	0.800	0.754
active	aktiven	0.847	0.730	0.731
activist	aktivist	0.531	0.653	0.877
activity	dejavnost	0.701	0.660	0.807
actor	igralec	0.653	0.561	0.629
actress	igralka	0.633	0.556	0.596
actual	dejansko	0.729	0.400	0.716
actuality	aktualnost	0.750	0.464	0.600
actuary	aktuar	0.510	0.404	0.491
acuity	ostrina	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	akupunktura	0.531	0.324	0.549
acute	akutni	0.427	0.652	0.534
acutely	akutno	0.417	0.543	0.491
ad	oglas	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	trdno	0.344	0.529	0.575
adapt	prilagoditi	0.740	0.355	0.551
adaptable	prilagodljiv	0.735	0.423	0.641
adaptation	prilagoditev	0.663	0.365	0.609
add	dodaj	0.728	0.490	0.554
added	dodano	0.562	0.405	0.509
addendum	dodatek	0.392	0.370	0.418
adder	seštevalnik	0.388	0.461	0.588
addict	odvisnik	0.075	0.696	0.327
addicted	odvisen	0.156	0.712	0.483
addiction	zasvojenost	0.180	0.806	0.420
addictive	zasvojenost	0.302	0.683	0.472
addition	Poleg tega	0.562	0.373	0.471
additional	dodatno	0.673	0.462	0.526
additive	aditiv	0.561	0.633	0.691
address	naslov	0.650	0.327	0.567
addressee	naslovnik	0.622	0.382	0.538
addresses	naslovi	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	ustreznost	0.615	0.435	0.702
adequate	primerno	0.854	0.264	0.705
adhere	drži	0.633	0.339	0.554
adherence	spoštovanje	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	držati se	0.612	0.561	0.537
adhesion	adhezija	0.521	0.445	0.586
