Word	Spanish-es	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	cerdo hormiguero	0.427	0.490	0.437
aback	detrás	0.385	0.407	0.288
abacus	ábaco	0.510	0.276	0.485
abalone	abulón	0.500	0.480	0.412
abandon	abandonar	0.052	0.519	0.245
abandoned	abandonado	0.046	0.481	0.130
abandonment	abandono	0.128	0.430	0.202
abashed	avergonzado	0.177	0.644	0.307
abate	disminuir	0.255	0.696	0.604
abatement	disminución	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	abadía	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abreviar	0.531	0.375	0.330
abbreviation	abreviatura	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	secuestrar	0.173	0.720	0.615
abduction	secuestro	0.062	0.990	0.673
aberrant	aberrante	0.146	0.765	0.431
aberration	aberración	0.125	0.816	0.417
abeyance	suspensión	0.330	0.510	0.292
abhor	aborrecer	0.125	0.602	0.349
abhorrence	aborrecimiento	0.167	0.684	0.420
abhorrent	aborrecible	0.229	0.750	0.474
abide	acatar	0.635	0.354	0.705
abiding	permanencia	0.796	0.327	0.750
ability	capacidad	0.875	0.510	0.816
abject	abyecto	0.354	0.590	0.417
ablation	ablación	0.418	0.500	0.500
ablaze	ardiendo	0.240	0.847	0.525
able	poder	0.786	0.500	0.810
abnormal	anormal	0.137	0.604	0.309
abnormality	anormalidad	0.092	0.655	0.383
aboard	a bordo	0.698	0.284	0.481
abode	morada	0.620	0.302	0.500
abolish	abolir	0.448	0.615	0.529
abolition	abolición	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominar	0.198	0.788	0.366
abomination	abominación	0.078	0.755	0.518
aboriginal	aborigen	0.448	0.427	0.542
abort	abortar	0.153	0.686	0.429
abortion	aborto	0.082	0.770	0.283
abortive	abortivo	0.090	0.776	0.280
abound	abundar	0.704	0.490	0.681
abovementioned	anteriormente mencionado	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasión	0.406	0.592	0.441
abrasive	abrasivo	0.392	0.610	0.593
abreast	de frente	0.635	0.380	0.519
abroad	en el extranjero	0.677	0.596	0.561
abrogate	abrogar	0.327	0.510	0.594
abrupt	abrupto	0.271	0.819	0.545
abruptly	abruptamente	0.250	0.808	0.556
abscess	absceso	0.154	0.451	0.349
absence	ausencia	0.153	0.235	0.266
absent	ausente	0.177	0.221	0.116
absentee	ausente	0.235	0.330	0.279
absenteeism	absentismo	0.404	0.273	0.357
absinthe	Ajenjo	0.481	0.510	0.462
absolute	absoluto	0.526	0.510	0.827
absolution	absolución	0.715	0.500	0.664
absolve	absolver	0.684	0.449	0.660
absorb	absorber	0.469	0.558	0.670
absorbed	absorbido	0.490	0.471	0.519
absorbent	absorbente	0.552	0.394	0.718
absorbing	absorbente	0.490	0.490	0.578
absorption	absorción	0.609	0.422	0.446
abstain	abstenerse	0.385	0.385	0.427
abstention	abstención	0.271	0.264	0.509
abstinence	abstinencia	0.260	0.392	0.429
abstract	abstracto	0.438	0.292	0.444
abstraction	abstracción	0.469	0.439	0.525
absurd	absurdo	0.188	0.656	0.284
absurdity	absurdo	0.115	0.528	0.227
abundance	abundancia	0.812	0.690	0.852
abundant	abundante	0.958	0.590	0.760
abuse	abuso	0.071	0.873	0.469
abused	abusado	0.021	0.874	0.235
abusive	abusivo	0.125	0.903	0.567
abutment	contrafuerte	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abismal	0.250	0.710	0.598
abyss	abismo	0.353	0.725	0.296
academic	académico	0.781	0.420	0.812
academy	academia	0.704	0.473	0.792
accede	acceder a	0.698	0.510	0.537
accelerant	acelerante	0.643	0.844	0.802
accelerate	acelerar	0.615	0.902	0.759
accelerated	acelerado	0.610	0.812	0.682
acceleration	aceleración	0.704	0.905	0.843
accelerator	acelerador	0.593	0.830	0.812
accent	acento	0.598	0.357	0.509
accentuate	acentuar	0.673	0.556	0.667
accept	aceptar	0.847	0.286	0.565
acceptable	aceptable	0.812	0.286	0.583
acceptance	aceptación	0.833	0.287	0.755
acceptances	aceptaciones	0.847	0.413	0.648
access	acceso	0.714	0.472	0.567
accessible	accesible	0.796	0.410	0.645
accession	adhesión	0.612	0.383	0.636
accessory	accesorio	0.562	0.292	0.445
accident	accidente	0.125	0.908	0.336
accidental	accidental	0.319	0.784	0.307
accidentally	accidentalmente	0.333	0.741	0.333
acclaim	aclamación	0.562	0.809	0.718
accolade	espaldarazo	0.688	0.591	0.775
accommodate	acomodar	0.844	0.375	0.566
accommodation	alojamiento	0.817	0.415	0.587
accompaniment	acompañamiento	0.740	0.479	0.695
accompany	acompañar	0.833	0.406	0.585
accompanying	acompañamiento	0.787	0.460	0.582
accomplice	cómplice	0.408	0.580	0.510
accomplish	realizar	0.929	0.673	0.816
accomplished	consumado	0.870	0.520	0.798
accomplishment	logro	0.917	0.694	0.888
accord	acuerdo	0.898	0.264	0.382
accordance	conformidad	0.659	0.349	0.600
accordion	acordeón	0.604	0.490	0.361
account	cuenta	0.531	0.347	0.472
accountability	responsabilidad	0.755	0.537	0.833
accountable	explicable	0.709	0.282	0.777
accountant	contador	0.625	0.450	0.639
accounting	contabilidad	0.552	0.390	0.677
accounts	cuentas	0.592	0.340	0.471
accredited	autorizado	0.669	0.479	0.768
accretion	acreción	0.448	0.519	0.672
accrue	acumularse	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	acumular	0.573	0.536	0.607
accumulation	acumulación	0.479	0.527	0.600
accuracy	exactitud	0.604	0.481	0.802
accurate	preciso	0.743	0.360	0.737
accursed	maldito	0.135	0.745	0.345
accusation	acusación	0.073	0.718	0.564
accusative	acusativo	0.198	0.755	0.482
accuse	acusar	0.133	0.752	0.500
accused	acusado	0.130	0.670	0.420
accuser	acusador	0.122	0.779	0.615
accusing	acusando	0.156	0.745	0.324
accustomed	acostumbrado	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	acético	0.333	0.420	0.519
acetylene	acetileno	0.306	0.469	0.509
ache	dolor	0.146	0.760	0.312
achieve	lograr	0.816	0.545	0.843
achieved	logrado	0.896	0.519	0.775
achievement	logro	0.896	0.808	0.759
aching	dolor	0.053	0.880	0.348
achy	doloroso	0.167	0.840	0.373
acid	ácido	0.265	0.642	0.566
acidity	acidez	0.156	0.663	0.360
acknowledge	reconocer	0.786	0.370	0.661
acknowledged	admitido	0.714	0.443	0.765
acknowledgement	reconocimiento	0.819	0.539	0.830
acknowledgment	reconocimiento	0.796	0.528	0.777
acme	cumbre	0.408	0.435	0.375
acne	acné	0.167	0.474	0.308
acorn	bellota	0.448	0.198	0.192
acoustic	acústico	0.542	0.462	0.536
acoustics	acústica	0.611	0.330	0.509
acquaint	familiarizar	0.646	0.491	0.639
acquaintance	conocido	0.656	0.290	0.670
acquainted	familiarizado	0.906	0.358	0.632
acquiescence	aquiescencia	0.542	0.480	0.554
acquire	adquirir	0.833	0.468	0.700
acquiring	adquisidor	0.735	0.510	0.817
acquisition	adquisición	0.698	0.509	0.736
acquisitions	adquisiciones	0.773	0.660	0.790
acquit	absolver	0.583	0.571	0.611
acquittal	absolución	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	superficie en acres	0.741	0.450	0.528
acres	hectáreas	0.510	0.363	0.500
acrobat	acróbata	0.708	0.828	0.602
acrylic	acrílico	0.582	0.279	0.420
act	acto	0.656	0.704	0.735
acting	interino	0.698	0.643	0.500
action	acción	0.760	0.898	0.802
action figure	Figura de acción	0.615	0.774	0.611
actionable	procesable	0.673	0.702	0.613
activate	activar	0.764	0.650	0.806
activation	activación	0.781	0.800	0.754
active	activo	0.847	0.730	0.731
activist	activista	0.531	0.653	0.877
activity	actividad	0.701	0.660	0.807
actor	actor	0.653	0.561	0.629
actress	Actriz	0.633	0.556	0.596
actual	real	0.729	0.400	0.716
actuality	realidad	0.750	0.464	0.600
actuary	actuario	0.510	0.404	0.491
acuity	agudeza	0.469	0.378	0.741
acumen	perspicacia	0.564	0.660	0.679
acupuncture	acupuntura	0.531	0.324	0.549
acute	agudo	0.427	0.652	0.534
acutely	extremadamente	0.417	0.543	0.491
ad	anuncio	0.521	0.705	0.558
adage	adagio	0.517	0.415	0.566
adamant	firme	0.344	0.529	0.575
adapt	adaptar	0.740	0.355	0.551
adaptable	adaptable	0.735	0.423	0.641
adaptation	adaptación	0.663	0.365	0.609
add	añadir	0.728	0.490	0.554
added	adicional	0.562	0.405	0.509
addendum	apéndice	0.392	0.370	0.418
adder	sumador	0.388	0.461	0.588
addict	adicto	0.075	0.696	0.327
addicted	fanático	0.156	0.712	0.483
addiction	adiccion	0.180	0.806	0.420
addictive	adictivo	0.302	0.683	0.472
addition	adición	0.562	0.373	0.471
additional	adicional	0.673	0.462	0.526
additive	aditivo	0.561	0.633	0.691
address	dirección	0.650	0.327	0.567
addressee	destinatario	0.622	0.382	0.538
addresses	direcciones	0.510	0.354	0.450
adept	adepto	0.594	0.539	0.789
adequacy	adecuación	0.615	0.435	0.702
adequate	adecuado	0.854	0.264	0.705
adhere	adherirse	0.633	0.339	0.554
adherence	adherencia	0.760	0.307	0.630
adherent	adherente	0.561	0.385	0.555
adhering	adhiriendo	0.612	0.561	0.537
adhesion	adhesión	0.521	0.445	0.586
adhesive	adhesivo	0.604	0.350	0.413
adieu	adiós	0.250	0.471	0.342
adipose	adiposo	0.333	0.350	0.391
adjacency	proximidad	0.365	0.417	0.375
adjacent	adyacente	0.645	0.276	0.536
adjective	adjetivo	0.570	0.316	0.569
