Word	Sundanese-su	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	ninggalkeun	0.052	0.519	0.245
abandoned	ditinggalkeun	0.046	0.481	0.130
abandonment	abandonment	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	Abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	nyingget	0.531	0.375	0.330
abbreviation	singgetan	0.469	0.306	0.345
abdomen	beuteung	0.469	0.462	0.471
abdominal	beuteung	0.490	0.456	0.445
abduct	nyulik	0.173	0.720	0.615
abduction	penculikan	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	abide	0.635	0.354	0.705
abiding	patuh	0.796	0.327	0.750
ability	kamampuhan	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	muntab-muntab	0.240	0.847	0.525
able	bisa	0.786	0.500	0.810
abnormal	teu biasa	0.137	0.604	0.309
abnormality	Abnormalitas	0.092	0.655	0.383
aboard	numpak	0.698	0.284	0.481
abode	abode	0.620	0.302	0.500
abolish	mupuskeun	0.448	0.615	0.529
abolition	abolition	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	kaluron	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	abound	0.704	0.490	0.681
abovementioned	abovementioned	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	luar nagari	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	kasar	0.271	0.819	0.545
abruptly	abruptly	0.250	0.808	0.556
abscess	bisul	0.154	0.451	0.349
absence	hal nu henteu datang	0.153	0.235	0.266
absent	absen	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	absenteeism	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	absolut	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	nyerep	0.469	0.558	0.670
absorbed	diserep	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	nyerep	0.490	0.490	0.578
absorption	diserep	0.609	0.422	0.446
abstain	teu mere sora	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	teu dahar	0.260	0.392	0.429
abstract	abstrak	0.438	0.292	0.444
abstraction	abstraksi	0.469	0.439	0.525
absurd	pimanaeun	0.188	0.656	0.284
absurdity	absurdity	0.115	0.528	0.227
abundance	kaayaan luber	0.812	0.690	0.852
abundant	loba pisan	0.958	0.590	0.760
abuse	nyiksa	0.071	0.873	0.469
abused	abused	0.021	0.874	0.235
abusive	kejam	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	jurang	0.353	0.725	0.296
academic	akademis	0.781	0.420	0.812
academy	akademi	0.704	0.473	0.792
accede	accede	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	ngagancangkeun	0.615	0.902	0.759
accelerated	gancangan	0.610	0.812	0.682
acceleration	gagancangan	0.704	0.905	0.843
accelerator	akselerator	0.593	0.830	0.812
accent	logat	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	narima	0.847	0.286	0.565
acceptable	bisa ditarima	0.812	0.286	0.583
acceptance	kaayaan katarima	0.833	0.287	0.755
acceptances	acceptances	0.847	0.413	0.648
access	jalan asup	0.714	0.472	0.567
accessible	bisa diasupan	0.796	0.410	0.645
accession	digentos	0.612	0.383	0.636
accessory	barang tambahan	0.562	0.292	0.445
accident	kacilakaan	0.125	0.908	0.336
accidental	kaleresan	0.319	0.784	0.307
accidentally	teu ngahaja	0.333	0.741	0.333
acclaim	acclaim	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	nampanan	0.844	0.375	0.566
accommodation	bantuan	0.817	0.415	0.587
accompaniment	iringan	0.740	0.479	0.695
accompany	marengan	0.833	0.406	0.585
accompanying	ngaréncangan	0.787	0.460	0.582
accomplice	antek	0.408	0.580	0.510
accomplish	ngabereskeun	0.929	0.673	0.816
accomplished	dilakonan	0.870	0.520	0.798
accomplishment	prestasi	0.917	0.694	0.888
accord	atos	0.898	0.264	0.382
accordance	luyu	0.659	0.349	0.600
accordion	akordion	0.604	0.490	0.361
account	rekening	0.531	0.347	0.472
accountability	akuntabilitas	0.755	0.537	0.833
accountable	tanggung jawab	0.709	0.282	0.777
accountant	akuntan	0.625	0.450	0.639
accounting	akuntansi	0.552	0.390	0.677
accounts	rekening	0.592	0.340	0.471
accredited	accredited	0.669	0.479	0.768
accretion	sÃkrÃsi	0.448	0.519	0.672
accrue	nambahan	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	ngumpulkeun	0.573	0.536	0.607
accumulation	pangumpulan	0.479	0.527	0.600
accuracy	katalitian	0.604	0.481	0.802
accurate	pas	0.743	0.360	0.737
accursed	accursed	0.135	0.745	0.345
accusation	tudingan	0.073	0.718	0.564
accusative	akusatip	0.198	0.755	0.482
accuse	nuding	0.133	0.752	0.500
accused	nu dituding	0.130	0.670	0.420
accuser	accuser	0.122	0.779	0.615
accusing	tuduh	0.156	0.745	0.324
accustomed	biasa	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	asétat	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	nyeri	0.146	0.760	0.312
achieve	ngahontal	0.816	0.545	0.843
achieved	kahontal	0.896	0.519	0.775
achievement	prestasi	0.896	0.808	0.759
aching	hemeng	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	asam	0.265	0.642	0.566
acidity	kaasaman	0.156	0.663	0.360
acknowledge	ngaku	0.786	0.370	0.661
acknowledged	dicaritakeun	0.714	0.443	0.765
acknowledgement	pangakuan	0.819	0.539	0.830
acknowledgment	pangakuan	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	jarawat	0.167	0.474	0.308
acorn	buahna tangkal ek	0.448	0.198	0.192
acoustic	akustik	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	ngenalkeun	0.646	0.491	0.639
acquaintance	kenalan	0.656	0.290	0.670
acquainted	acquainted	0.906	0.358	0.632
acquiescence	acquiescence	0.542	0.480	0.554
acquire	meunang	0.833	0.468	0.700
acquiring	acquiring	0.735	0.510	0.817
acquisition	hal nu dihasilkeun	0.698	0.509	0.736
acquisitions	acquisitions	0.773	0.660	0.790
acquit	ngabebaskeun	0.583	0.571	0.611
acquittal	ngajadikeun bebas	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	tukang akrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	kalakuan	0.656	0.704	0.735
acting	lakonan	0.698	0.643	0.500
action	aksi	0.760	0.898	0.802
action figure	inohong peta	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	ngaktipkeun	0.764	0.650	0.806
activation	aktivasina	0.781	0.800	0.754
active	aktip	0.847	0.730	0.731
activist	jelema nu ngahangkeutkeun	0.531	0.653	0.877
activity	kagiatan	0.701	0.660	0.807
actor	lalaki nu ngalalajoaneun	0.653	0.561	0.629
actress	awewe nu ngalalajoaneun	0.633	0.556	0.596
actual	saleresna	0.729	0.400	0.716
actuality	actuality	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	akupungtur	0.531	0.324	0.549
acute	genting	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	tetep	0.344	0.529	0.575
adapt	ngakurkeun	0.740	0.355	0.551
adaptable	bisa ngakurkeun	0.735	0.423	0.641
adaptation	adaptasi	0.663	0.365	0.609
add	nambah	0.728	0.490	0.554
added	ditambahkeun	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	panambah	0.388	0.461	0.588
addict	nu mikaresep pisan	0.075	0.696	0.327
addicted	addicted	0.156	0.712	0.483
addiction	mikaresep pisan	0.180	0.806	0.420
addictive	adiktif	0.302	0.683	0.472
addition	tambahan	0.562	0.373	0.471
additional	tambahan	0.673	0.462	0.526
additive	bahan tambahan	0.561	0.633	0.691
address	alamat	0.650	0.327	0.567
addressee	addressee	0.622	0.382	0.538
addresses	alamat	0.510	0.354	0.450
adept	mahér	0.594	0.539	0.789
adequacy	adequacy	0.615	0.435	0.702
adequate	cukup	0.854	0.264	0.705
adhere	taat	0.633	0.339	0.554
adherence	adherence	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
