Word	Swahili-sw	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	tamaa	0.385	0.407	0.288
abacus	Abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	kuacha	0.052	0.519	0.245
abandoned	kutelekezwa	0.046	0.481	0.130
abandonment	kuacha	0.128	0.430	0.202
abashed	kufadhaika	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	kulazimishwa	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	kifupi	0.531	0.375	0.330
abbreviation	abbreviation	0.469	0.306	0.345
abdomen	tumbo	0.469	0.462	0.471
abdominal	tumbo	0.490	0.456	0.445
abduct	kukamata	0.173	0.720	0.615
abduction	kukatwa	0.062	0.990	0.673
aberrant	kibali	0.146	0.765	0.431
aberration	uhamisho	0.125	0.816	0.417
abeyance	uasi	0.330	0.510	0.292
abhor	chukia	0.125	0.602	0.349
abhorrence	chuki	0.167	0.684	0.420
abhorrent	chuki	0.229	0.750	0.474
abide	Fuata	0.635	0.354	0.705
abiding	kuendelea	0.796	0.327	0.750
ability	uwezo	0.875	0.510	0.816
abject	inakabiliwa	0.354	0.590	0.417
ablation	upungufu	0.418	0.500	0.500
ablaze	tamaa	0.240	0.847	0.525
able	inaweza	0.786	0.500	0.810
abnormal	isiyo ya kawaida	0.137	0.604	0.309
abnormality	ukosefu wa kawaida	0.092	0.655	0.383
aboard	kuingia	0.698	0.284	0.481
abode	kukaa	0.620	0.302	0.500
abolish	kukomesha	0.448	0.615	0.529
abolition	kukomesha	0.323	0.690	0.529
abominable	ni machukizo	0.120	0.731	0.482
abominate	chuki	0.198	0.788	0.366
abomination	chukizo	0.078	0.755	0.518
aboriginal	asili ya asili	0.448	0.427	0.542
abort	kupuuza	0.153	0.686	0.429
abortion	utoaji mimba	0.082	0.770	0.283
abortive	utoaji mimba	0.090	0.776	0.280
abound	wingi	0.704	0.490	0.681
abovementioned	hapo juu	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	kupasuka	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	upendeleo	0.635	0.380	0.519
abroad	nje ya nchi	0.677	0.596	0.561
abrogate	kukataa	0.327	0.510	0.594
abrupt	ghafla	0.271	0.819	0.545
abruptly	ghafla	0.250	0.808	0.556
abscess	kisasi	0.154	0.451	0.349
absence	kutokuwepo	0.153	0.235	0.266
absent	haipo	0.177	0.221	0.116
absentee	kuondoka	0.235	0.330	0.279
absenteeism	kukosa	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	kabisa	0.526	0.510	0.827
absolution	upungufu	0.715	0.500	0.664
absolve	onyesha	0.684	0.449	0.660
absorb	pata	0.469	0.558	0.670
absorbed	kufyonzwa	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	kunyonya	0.490	0.490	0.578
absorption	ngozi	0.609	0.422	0.446
abstain	kuepuka	0.385	0.385	0.427
abstention	kujizuia	0.271	0.264	0.509
abstinence	kujizuia	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	kinyume	0.469	0.439	0.525
absurd	si ajabu	0.188	0.656	0.284
absurdity	upuuzi	0.115	0.528	0.227
abundance	wingi	0.812	0.690	0.852
abundant	wingi	0.958	0.590	0.760
abuse	unyanyasaji	0.071	0.873	0.469
abused	vibaya	0.021	0.874	0.235
abusive	vurugu	0.125	0.903	0.567
abutment	mshikamano	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	uharibifu	0.250	0.710	0.598
abyss	kuzimu	0.353	0.725	0.296
academic	kitaaluma	0.781	0.420	0.812
academy	chuo	0.704	0.473	0.792
accede	kuharakisha	0.698	0.510	0.537
accelerant	kuharakisha	0.643	0.844	0.802
accelerate	kuharakisha	0.615	0.902	0.759
accelerated	iliharakisha	0.610	0.812	0.682
acceleration	kasi	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	msisitizo	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	kukubali	0.847	0.286	0.565
acceptable	kukubalika	0.812	0.286	0.583
acceptance	kukubalika	0.833	0.287	0.755
acceptances	kukubalika	0.847	0.413	0.648
access	upatikanaji	0.714	0.472	0.567
accessible	kupatikana	0.796	0.410	0.645
accession	upatikanaji	0.612	0.383	0.636
accessory	vifaa	0.562	0.292	0.445
accident	ajali	0.125	0.908	0.336
accidental	ajali	0.319	0.784	0.307
accidentally	bahati mbaya	0.333	0.741	0.333
acclaim	sifa	0.562	0.809	0.718
accolade	kulazimisha	0.688	0.591	0.775
accommodate	pata	0.844	0.375	0.566
accommodation	malazi	0.817	0.415	0.587
accompaniment	kuambatana	0.740	0.479	0.695
accompany	kuongozana	0.833	0.406	0.585
accompanying	kuandamana	0.787	0.460	0.582
accomplice	accomplice	0.408	0.580	0.510
accomplish	fidia	0.929	0.673	0.816
accomplished	ilikamilishwa	0.870	0.520	0.798
accomplishment	ufanisi	0.917	0.694	0.888
accord	mkataba	0.898	0.264	0.382
accordance	kwa mujibu	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	akaunti	0.531	0.347	0.472
accountability	uwajibikaji	0.755	0.537	0.833
accountable	kuwajibika	0.709	0.282	0.777
accountant	mhasibu	0.625	0.450	0.639
accounting	uhasibu	0.552	0.390	0.677
accounts	akaunti	0.592	0.340	0.471
accredited	vibali	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	ongezea	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	kukusanya	0.573	0.536	0.607
accumulation	mkusanyiko	0.479	0.527	0.600
accuracy	usahihi	0.604	0.481	0.802
accurate	sahihi	0.743	0.360	0.737
accursed	alilaaniwa	0.135	0.745	0.345
accusation	mashtaka	0.073	0.718	0.564
accusative	mashtaka	0.198	0.755	0.482
accuse	kumshtaki	0.133	0.752	0.500
accused	mtuhumiwa	0.130	0.670	0.420
accuser	mshtakiwa	0.122	0.779	0.615
accusing	akashtaki	0.156	0.745	0.324
accustomed	wamezoea	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetiki	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	maumivu	0.146	0.760	0.312
achieve	kufikia	0.816	0.545	0.843
achieved	mafanikio	0.896	0.519	0.775
achievement	mafanikio	0.896	0.808	0.759
aching	kuumwa	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	asidi	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	Tambua	0.786	0.370	0.661
acknowledged	alikubali	0.714	0.443	0.765
acknowledgement	kukubali	0.819	0.539	0.830
acknowledgment	kukubali	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	Acne	0.167	0.474	0.308
acorn	pamba	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	kujua	0.646	0.491	0.639
acquaintance	marafiki	0.656	0.290	0.670
acquainted	kujua	0.906	0.358	0.632
acquiescence	upungufu	0.542	0.480	0.554
acquire	kupata	0.833	0.468	0.700
acquiring	kupata	0.735	0.510	0.817
acquisition	upatikanaji	0.698	0.509	0.736
acquisitions	upatikanaji	0.773	0.660	0.790
acquit	toa	0.583	0.571	0.611
acquittal	kuhukumiwa	0.760	0.497	0.700
acre	ekari	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	ekari	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	akriliki	0.582	0.279	0.420
act	tenda	0.656	0.704	0.735
acting	kaimu	0.698	0.643	0.500
action	hatua	0.760	0.898	0.802
action figure	takwimu ya hatua	0.615	0.774	0.611
actionable	inayoweza kutekelezwa	0.673	0.702	0.613
activate	kuamsha	0.764	0.650	0.806
activation	uanzishaji	0.781	0.800	0.754
active	kazi	0.847	0.730	0.731
activist	mwanaharakati	0.531	0.653	0.877
activity	shughuli	0.701	0.660	0.807
actor	mwigizaji	0.653	0.561	0.629
actress	mwigizaji	0.633	0.556	0.596
actual	halisi	0.729	0.400	0.716
actuality	hali halisi	0.750	0.464	0.600
actuary	mkataba	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumeni	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	papo hapo	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	tangazo	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	kukataa	0.344	0.529	0.575
adapt	toa	0.740	0.355	0.551
adaptable	yanaweza kubadilika	0.735	0.423	0.641
adaptation	mabadiliko	0.663	0.365	0.609
add	ongeza	0.728	0.490	0.554
added	aliongeza	0.562	0.405	0.509
addendum	nyongeza	0.392	0.370	0.418
adder	nyongeza	0.388	0.461	0.588
addict	addict	0.075	0.696	0.327
addicted	addicted	0.156	0.712	0.483
addiction	utata	0.180	0.806	0.420
addictive	addictive	0.302	0.683	0.472
addition	kuongeza	0.562	0.373	0.471
additional	ziada	0.673	0.462	0.526
additive	vyema	0.561	0.633	0.691
address	anwani	0.650	0.327	0.567
addressee	kijiji	0.622	0.382	0.538
addresses	anwani	0.510	0.354	0.450
adept	halali	0.594	0.539	0.789
adequacy	kutosheleza	0.615	0.435	0.702
adequate	kutosha	0.854	0.264	0.705
adhere	kuzingatia	0.633	0.339	0.554
adherence	kuzingatia	0.760	0.307	0.630
adherent	kuzingatia	0.561	0.385	0.555
