Word	Telugu-te	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Aardvark	0.427	0.490	0.437
aback	వెనక్కి	0.385	0.407	0.288
abacus	అబాకస్	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	పరిత్యజించిన	0.052	0.519	0.245
abandoned	రద్దు	0.046	0.481	0.130
abandonment	పరిత్యాగం	0.128	0.430	0.202
abashed	భంగపడ్డ	0.177	0.644	0.307
abate	తగ్గు	0.255	0.696	0.604
abatement	స్తంభన	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	అబ్బే	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	సంక్షిప్తంగా	0.531	0.375	0.330
abbreviation	సంక్షిప్త	0.469	0.306	0.345
abdomen	ఉదరం	0.469	0.462	0.471
abdominal	ఉదర	0.490	0.456	0.445
abduct	అపహరించిన	0.173	0.720	0.615
abduction	అపహరణ	0.062	0.990	0.673
aberrant	అస్వాభావికమైన	0.146	0.765	0.431
aberration	విశ్లేషణం	0.125	0.816	0.417
abeyance	నిలుపుదల	0.330	0.510	0.292
abhor	అసహాయపడు	0.125	0.602	0.349
abhorrence	అసహాయం	0.167	0.684	0.420
abhorrent	అసహ్యకరంగా	0.229	0.750	0.474
abide	కట్టుబడి	0.635	0.354	0.705
abiding	బధ్ధత	0.796	0.327	0.750
ability	సామర్థ్యాన్ని	0.875	0.510	0.816
abject	నికృష్ట	0.354	0.590	0.417
ablation	తొలగింపు	0.418	0.500	0.500
ablaze	మండుతూ	0.240	0.847	0.525
able	సామర్థ్యం	0.786	0.500	0.810
abnormal	అసాధారణ	0.137	0.604	0.309
abnormality	అసాధారణత	0.092	0.655	0.383
aboard	మీదికి	0.698	0.284	0.481
abode	నివాసం	0.620	0.302	0.500
abolish	రద్దు	0.448	0.615	0.529
abolition	రద్దయిన	0.323	0.690	0.529
abominable	హేయమైన	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	అసహ్యకరమైనది	0.078	0.755	0.518
aboriginal	ఆదిమ	0.448	0.427	0.542
abort	గర్భస్రావము	0.153	0.686	0.429
abortion	గర్భస్రావం	0.082	0.770	0.283
abortive	అకాల	0.090	0.776	0.280
abound	పుష్కలంగా	0.704	0.490	0.681
abovementioned	ఎగువ పేర్కొన్న	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	రాపిడి	0.406	0.592	0.441
abrasive	కరుకు	0.392	0.610	0.593
abreast	ఎదురుబొదురుగా	0.635	0.380	0.519
abroad	విదేశాల్లో	0.677	0.596	0.561
abrogate	రద్దుచేయాలని	0.327	0.510	0.594
abrupt	ఆకస్మిక	0.271	0.819	0.545
abruptly	అమాంతం	0.250	0.808	0.556
abscess	గడ్డల	0.154	0.451	0.349
absence	లేకపోవడం	0.153	0.235	0.266
absent	మతి	0.177	0.221	0.116
absentee	ఇతనికి	0.235	0.330	0.279
absenteeism	హాజరుకాని	0.404	0.273	0.357
absinthe	అబ్సింతే	0.481	0.510	0.462
absolute	సంపూర్ణ	0.526	0.510	0.827
absolution	విమోచనాన్ని	0.715	0.500	0.664
absolve	విమోచనం చెయ్యి	0.684	0.449	0.660
absorb	శోషించడానికి	0.469	0.558	0.670
absorbed	శోషిత	0.490	0.471	0.519
absorbent	ఇంకే	0.552	0.394	0.718
absorbing	శోషణ	0.490	0.490	0.578
absorption	శోషణ	0.609	0.422	0.446
abstain	దూరంగా	0.385	0.385	0.427
abstention	విముఖతను	0.271	0.264	0.509
abstinence	సంయమనాన్ని	0.260	0.392	0.429
abstract	నైరూప్య	0.438	0.292	0.444
abstraction	సంగ్రహణం	0.469	0.439	0.525
absurd	అసంబద్ధ	0.188	0.656	0.284
absurdity	అసంబద్ధత	0.115	0.528	0.227
abundance	సమృద్ధి	0.812	0.690	0.852
abundant	సమృద్ధిగా	0.958	0.590	0.760
abuse	తిట్టు	0.071	0.873	0.469
abused	తృప్తి	0.021	0.874	0.235
abusive	అసంబద్ధం	0.125	0.903	0.567
abutment	ఆసరా	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	అంతులేని	0.250	0.710	0.598
abyss	అగాధం	0.353	0.725	0.296
academic	విద్యా	0.781	0.420	0.812
academy	అకాడమీ	0.704	0.473	0.792
accede	మౌనంగా	0.698	0.510	0.537
accelerant	వేగవంతం	0.643	0.844	0.802
accelerate	వేగవంతం	0.615	0.902	0.759
accelerated	వేగవంతమైన	0.610	0.812	0.682
acceleration	త్వరణం	0.704	0.905	0.843
accelerator	యాక్సిలేటర్	0.593	0.830	0.812
accent	యాసను	0.598	0.357	0.509
accentuate	తగిన	0.673	0.556	0.667
accept	అంగీకరించాలి	0.847	0.286	0.565
acceptable	ఆమోదయోగ్యమైన	0.812	0.286	0.583
acceptance	అంగీకారం	0.833	0.287	0.755
acceptances	అంగీకారాలు	0.847	0.413	0.648
access	యాక్సెస్	0.714	0.472	0.567
accessible	అందుబాటులో	0.796	0.410	0.645
accession	పట్టాభిషేక	0.612	0.383	0.636
accessory	అనుబంధ	0.562	0.292	0.445
accident	ప్రమాదంలో	0.125	0.908	0.336
accidental	ప్రమాదవశాత్తు	0.319	0.784	0.307
accidentally	అనుకోకుండా	0.333	0.741	0.333
acclaim	ప్రశంసలు	0.562	0.809	0.718
accolade	పురస్కారం	0.688	0.591	0.775
accommodate	కల్పించేందుకు	0.844	0.375	0.566
accommodation	వసతి	0.817	0.415	0.587
accompaniment	సహవాయిద్యం	0.740	0.479	0.695
accompany	వెంబడించే	0.833	0.406	0.585
accompanying	జతగా	0.787	0.460	0.582
accomplice	తోడుదొంగ	0.408	0.580	0.510
accomplish	సాధనకు	0.929	0.673	0.816
accomplished	సాధించవచ్చు	0.870	0.520	0.798
accomplishment	సాఫల్యం	0.917	0.694	0.888
accord	ఒప్పందం	0.898	0.264	0.382
accordance	అనుగుణంగా	0.659	0.349	0.600
accordion	అకార్డియన్	0.604	0.490	0.361
account	ఖాతా	0.531	0.347	0.472
accountability	జవాబుదారీతనం	0.755	0.537	0.833
accountable	లెక్కింపుకు	0.709	0.282	0.777
accountant	అకౌంటెంట్	0.625	0.450	0.639
accounting	అకౌంటింగ్	0.552	0.390	0.677
accounts	ఖాతాల	0.592	0.340	0.471
accredited	గుర్తింపు పొందిన	0.669	0.479	0.768
accretion	అక్క్రీషణ్	0.448	0.519	0.672
accrue	వచ్చే	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	పేరుకుపోవడంతో	0.573	0.536	0.607
accumulation	చేరడం	0.479	0.527	0.600
accuracy	ఖచ్చితత్వాన్ని	0.604	0.481	0.802
accurate	కచ్చితమైన	0.743	0.360	0.737
accursed	శాపగ్రస్తుడైన	0.135	0.745	0.345
accusation	ఆరోపణ	0.073	0.718	0.564
accusative	నిందారోపణ	0.198	0.755	0.482
accuse	నిందిస్తారు	0.133	0.752	0.500
accused	ఆరోపణలు	0.130	0.670	0.420
accuser	ఫిర్యాది	0.122	0.779	0.615
accusing	నిందిస్తూ	0.156	0.745	0.324
accustomed	అభిమానం	0.542	0.365	0.441
ace	ఏస్	0.643	0.481	0.546
acetic	ఎసిటిక్	0.333	0.420	0.519
acetylene	ఎసిటిలీన్	0.306	0.469	0.509
ache	పోటు	0.146	0.760	0.312
achieve	సాధించడానికి	0.816	0.545	0.843
achieved	సాధించవచ్చు	0.896	0.519	0.775
achievement	ఘనకార్యం	0.896	0.808	0.759
aching	బాధాకరంగా	0.053	0.880	0.348
achy	అచి	0.167	0.840	0.373
acid	ఆమ్లము	0.265	0.642	0.566
acidity	ఆమ్లత్వం	0.156	0.663	0.360
acknowledge	గుర్తించి	0.786	0.370	0.661
acknowledged	తెలియజేసారు	0.714	0.443	0.765
acknowledgement	రసీదు	0.819	0.539	0.830
acknowledgment	రసీదు	0.796	0.528	0.777
acme	Acme	0.408	0.435	0.375
acne	మొటిమల	0.167	0.474	0.308
acorn	అకార్న్	0.448	0.198	0.192
acoustic	శబ్ద	0.542	0.462	0.536
acoustics	ధ్వని	0.611	0.330	0.509
acquaint	పరిచయం	0.646	0.491	0.639
acquaintance	పరిచయము	0.656	0.290	0.670
acquainted	పరిచయం	0.906	0.358	0.632
acquiescence	సమ్మతి	0.542	0.480	0.554
acquire	కొనుగోలు	0.833	0.468	0.700
acquiring	పొందిన	0.735	0.510	0.817
acquisition	సముపార్జన	0.698	0.509	0.736
acquisitions	సముపార్జనలు	0.773	0.660	0.790
acquit	వదలివేయడం	0.583	0.571	0.611
acquittal	నిర్దోషిగా	0.760	0.497	0.700
acre	ఎకరాల	0.583	0.387	0.423
acreage	విస్తీర్ణం	0.741	0.450	0.528
acres	ఎకరాల	0.510	0.363	0.500
acrobat	Acrobat	0.708	0.828	0.602
acrylic	యాక్రిలిక్	0.582	0.279	0.420
act	చట్టం	0.656	0.704	0.735
acting	నటన	0.698	0.643	0.500
action	చర్య	0.760	0.898	0.802
action figure	నటన రూపము	0.615	0.774	0.611
actionable	చర్య	0.673	0.702	0.613
activate	సక్రియం	0.764	0.650	0.806
activation	క్రియాశీలతను	0.781	0.800	0.754
active	క్రియాశీల	0.847	0.730	0.731
activist	కార్యకర్త	0.531	0.653	0.877
activity	కార్యకలాపాలు	0.701	0.660	0.807
actor	నటుడు	0.653	0.561	0.629
actress	నటి	0.633	0.556	0.596
actual	అసలు	0.729	0.400	0.716
actuality	నిజానికి	0.750	0.464	0.600
actuary	గణకుడు	0.510	0.404	0.491
acuity	తీక్షణత	0.469	0.378	0.741
acumen	చతురత	0.564	0.660	0.679
acupuncture	ఆక్యుపంక్చర్	0.531	0.324	0.549
