Word	Turkish-tr	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	yerdomuzu	0.427	0.490	0.437
aback	pupada	0.385	0.407	0.288
abacus	abaküs	0.510	0.276	0.485
abalone	deniz kulağı	0.500	0.480	0.412
abandon	terketmek	0.052	0.519	0.245
abandoned	terkedilmiş	0.046	0.481	0.130
abandonment	terk	0.128	0.430	0.202
abashed	yüzü kızarmış	0.177	0.644	0.307
abate	azaltmak	0.255	0.696	0.604
abatement	azaltma	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	manastır	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	kısaltmak	0.531	0.375	0.330
abbreviation	kısaltma	0.469	0.306	0.345
abdomen	karın	0.469	0.462	0.471
abdominal	karın	0.490	0.456	0.445
abduct	kaçırmak	0.173	0.720	0.615
abduction	kaçırma	0.062	0.990	0.673
aberrant	anormal	0.146	0.765	0.431
aberration	aberasyon	0.125	0.816	0.417
abeyance	askıda	0.330	0.510	0.292
abhor	iğrenmek	0.125	0.602	0.349
abhorrence	nefret	0.167	0.684	0.420
abhorrent	iğrenç	0.229	0.750	0.474
abide	uymak	0.635	0.354	0.705
abiding	bitmez tükenmez	0.796	0.327	0.750
ability	kabiliyet	0.875	0.510	0.816
abject	sefil	0.354	0.590	0.417
ablation	ablasyon	0.418	0.500	0.500
ablaze	alev alev	0.240	0.847	0.525
able	yapabilmek	0.786	0.500	0.810
abnormal	Anormal	0.137	0.604	0.309
abnormality	anormallik	0.092	0.655	0.383
aboard	gemiye	0.698	0.284	0.481
abode	ikametgâh	0.620	0.302	0.500
abolish	ortadan kaldırmak	0.448	0.615	0.529
abolition	kaldırma	0.323	0.690	0.529
abominable	iğrenç	0.120	0.731	0.482
abominate	tiksinmek	0.198	0.788	0.366
abomination	nefret	0.078	0.755	0.518
aboriginal	yerli	0.448	0.427	0.542
abort	iptal etmek	0.153	0.686	0.429
abortion	kürtaj	0.082	0.770	0.283
abortive	prematüre	0.090	0.776	0.280
abound	bol	0.704	0.490	0.681
abovementioned	Yukarıda sözü edilen	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	aşınma	0.406	0.592	0.441
abrasive	aşındırıcı	0.392	0.610	0.593
abreast	yan yana	0.635	0.380	0.519
abroad	yurt dışı	0.677	0.596	0.561
abrogate	iptal	0.327	0.510	0.594
abrupt	ani	0.271	0.819	0.545
abruptly	aniden	0.250	0.808	0.556
abscess	apse	0.154	0.451	0.349
absence	yokluk	0.153	0.235	0.266
absent	yok	0.177	0.221	0.116
absentee	gelmeyen kimse	0.235	0.330	0.279
absenteeism	devamsızlık	0.404	0.273	0.357
absinthe	pelin	0.481	0.510	0.462
absolute	kesin	0.526	0.510	0.827
absolution	günahların bağışlanması	0.715	0.500	0.664
absolve	affetmek	0.684	0.449	0.660
absorb	emmek	0.469	0.558	0.670
absorbed	emilir	0.490	0.471	0.519
absorbent	emici	0.552	0.394	0.718
absorbing	emici	0.490	0.490	0.578
absorption	emme	0.609	0.422	0.446
abstain	kaçınmak	0.385	0.385	0.427
abstention	kaçınma	0.271	0.264	0.509
abstinence	kaçınma	0.260	0.392	0.429
abstract	soyut	0.438	0.292	0.444
abstraction	soyutlama	0.469	0.439	0.525
absurd	saçma	0.188	0.656	0.284
absurdity	anlamsızlık	0.115	0.528	0.227
abundance	bolluk	0.812	0.690	0.852
abundant	bol	0.958	0.590	0.760
abuse	taciz	0.071	0.873	0.469
abused	istismar	0.021	0.874	0.235
abusive	küfürlü	0.125	0.903	0.567
abutment	dayanak	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	dipsiz	0.250	0.710	0.598
abyss	Uçurum	0.353	0.725	0.296
academic	akademik	0.781	0.420	0.812
academy	akademi	0.704	0.473	0.792
accede	razı olmak	0.698	0.510	0.537
accelerant	hızlandıran	0.643	0.844	0.802
accelerate	hızlandırmak	0.615	0.902	0.759
accelerated	hızlandırılmış	0.610	0.812	0.682
acceleration	hızlanma	0.704	0.905	0.843
accelerator	hızlandırıcı	0.593	0.830	0.812
accent	Aksan	0.598	0.357	0.509
accentuate	vurgulamak	0.673	0.556	0.667
accept	kabul etmek	0.847	0.286	0.565
acceptable	kabul edilebilir	0.812	0.286	0.583
acceptance	kabul	0.833	0.287	0.755
acceptances	kabuller	0.847	0.413	0.648
access	erişim	0.714	0.472	0.567
accessible	ulaşılabilir	0.796	0.410	0.645
accession	katılım	0.612	0.383	0.636
accessory	aksesuar	0.562	0.292	0.445
accident	kaza	0.125	0.908	0.336
accidental	tesadüfi	0.319	0.784	0.307
accidentally	kazara	0.333	0.741	0.333
acclaim	alkış	0.562	0.809	0.718
accolade	rabıta	0.688	0.591	0.775
accommodate	Karşılamak	0.844	0.375	0.566
accommodation	Konaklama	0.817	0.415	0.587
accompaniment	eşlik	0.740	0.479	0.695
accompany	eşlik etmek	0.833	0.406	0.585
accompanying	Eşlik eden	0.787	0.460	0.582
accomplice	suç ortağı	0.408	0.580	0.510
accomplish	başarmak	0.929	0.673	0.816
accomplished	başarılı	0.870	0.520	0.798
accomplishment	başarı	0.917	0.694	0.888
accord	anlaşma	0.898	0.264	0.382
accordance	uyum	0.659	0.349	0.600
accordion	akordeon	0.604	0.490	0.361
account	hesap	0.531	0.347	0.472
accountability	Hesap verebilirlik	0.755	0.537	0.833
accountable	sorumlu	0.709	0.282	0.777
accountant	Muhasebeci	0.625	0.450	0.639
accounting	muhasebe	0.552	0.390	0.677
accounts	hesapları	0.592	0.340	0.471
accredited	resmen tanınmış	0.669	0.479	0.768
accretion	büyüme	0.448	0.519	0.672
accrue	tahakkuk	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	biriktirmek	0.573	0.536	0.607
accumulation	birikim	0.479	0.527	0.600
accuracy	doğruluk	0.604	0.481	0.802
accurate	doğru	0.743	0.360	0.737
accursed	lanetli	0.135	0.745	0.345
accusation	suçlama	0.073	0.718	0.564
accusative	ismin -i hali	0.198	0.755	0.482
accuse	suçlamak	0.133	0.752	0.500
accused	sanık	0.130	0.670	0.420
accuser	suçlayan kimse	0.122	0.779	0.615
accusing	itham	0.156	0.745	0.324
accustomed	alışık	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	asetik	0.333	0.420	0.519
acetylene	asetilen	0.306	0.469	0.509
ache	ağrı	0.146	0.760	0.312
achieve	başarmak	0.816	0.545	0.843
achieved	elde	0.896	0.519	0.775
achievement	başarı	0.896	0.808	0.759
aching	ağrıyan	0.053	0.880	0.348
achy	ağrılı	0.167	0.840	0.373
acid	asit	0.265	0.642	0.566
acidity	asidite	0.156	0.663	0.360
acknowledge	kabul	0.786	0.370	0.661
acknowledged	tanınan	0.714	0.443	0.765
acknowledgement	alındı	0.819	0.539	0.830
acknowledgment	alındı	0.796	0.528	0.777
acme	doruk	0.408	0.435	0.375
acne	akne	0.167	0.474	0.308
acorn	meşe palamudu	0.448	0.198	0.192
acoustic	akustik	0.542	0.462	0.536
acoustics	akustik	0.611	0.330	0.509
acquaint	tanıtmak	0.646	0.491	0.639
acquaintance	tanıdık	0.656	0.290	0.670
acquainted	tanışık	0.906	0.358	0.632
acquiescence	uysallık	0.542	0.480	0.554
acquire	kazanmak	0.833	0.468	0.700
acquiring	edinme	0.735	0.510	0.817
acquisition	edinme	0.698	0.509	0.736
acquisitions	devralmalar	0.773	0.660	0.790
acquit	aklamak	0.583	0.571	0.611
acquittal	beraat	0.760	0.497	0.700
acre	dönümlük	0.583	0.387	0.423
acreage	yüzölçümü	0.741	0.450	0.528
acres	dönüm	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akrilik	0.582	0.279	0.420
act	davranmak	0.656	0.704	0.735
acting	oyunculuk	0.698	0.643	0.500
action	aksiyon	0.760	0.898	0.802
action figure	aksiyon figürü	0.615	0.774	0.611
actionable	dava edilebilir	0.673	0.702	0.613
activate	etkinleştirmek	0.764	0.650	0.806
activation	etkinleştirme	0.781	0.800	0.754
active	aktif	0.847	0.730	0.731
activist	eylemci	0.531	0.653	0.877
activity	aktivite	0.701	0.660	0.807
actor	aktör	0.653	0.561	0.629
actress	aktris	0.633	0.556	0.596
actual	gerçek	0.729	0.400	0.716
actuality	aktüalite	0.750	0.464	0.600
actuary	aktüer	0.510	0.404	0.491
acuity	keskinlik	0.469	0.378	0.741
acumen	sezgi	0.564	0.660	0.679
acupuncture	akupunktur	0.531	0.324	0.549
acute	akut	0.427	0.652	0.534
acutely	akut	0.417	0.543	0.491
ad	ilan	0.521	0.705	0.558
adage	atasözü	0.517	0.415	0.566
adamant	sert	0.344	0.529	0.575
adapt	uyarlamak	0.740	0.355	0.551
adaptable	uyarlanabilir	0.735	0.423	0.641
adaptation	adaptasyon	0.663	0.365	0.609
add	eklemek	0.728	0.490	0.554
added	katma	0.562	0.405	0.509
addendum	ek	0.392	0.370	0.418
adder	engerek	0.388	0.461	0.588
addict	tiryaki	0.075	0.696	0.327
addicted	bağımlı	0.156	0.712	0.483
addiction	bağımlılık	0.180	0.806	0.420
addictive	bağımlılık yapan	0.302	0.683	0.472
addition	ilave	0.562	0.373	0.471
additional	ek	0.673	0.462	0.526
additive	katkı	0.561	0.633	0.691
address	adres	0.650	0.327	0.567
addressee	alıcı	0.622	0.382	0.538
addresses	adresler	0.510	0.354	0.450
adept	usta	0.594	0.539	0.789
adequacy	yeterlik	0.615	0.435	0.702
adequate	yeterli	0.854	0.264	0.705
adhere	yapışmak	0.633	0.339	0.554
adherence	bağlılık	0.760	0.307	0.630
adherent	yapışık	0.561	0.385	0.555
