Word	Vietnamese-vi	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	kinh ngạc	0.385	0.407	0.288
abacus	bàn tính	0.510	0.276	0.485
abalone	bào ngư	0.500	0.480	0.412
abandon	từ bỏ	0.052	0.519	0.245
abandoned	bị bỏ rơi	0.046	0.481	0.130
abandonment	bỏ rơi	0.128	0.430	0.202
abashed	bừa bãi	0.177	0.644	0.307
abate	giảm giá	0.255	0.696	0.604
abatement	giảm giá	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	tu viện	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	viết tắt	0.531	0.375	0.330
abbreviation	viết tắt	0.469	0.306	0.345
abdomen	bụng	0.469	0.462	0.471
abdominal	bụng	0.490	0.456	0.445
abduct	bắt cóc	0.173	0.720	0.615
abduction	bắt cóc	0.062	0.990	0.673
aberrant	sai lầm	0.146	0.765	0.431
aberration	quang sai	0.125	0.816	0.417
abeyance	không tuân thủ	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	sự ghê tởm	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	chịu đựng	0.635	0.354	0.705
abiding	tuân thủ	0.796	0.327	0.750
ability	có khả năng	0.875	0.510	0.816
abject	từ chối	0.354	0.590	0.417
ablation	sự cắt bỏ	0.418	0.500	0.500
ablaze	bốc cháy	0.240	0.847	0.525
able	có thể	0.786	0.500	0.810
abnormal	khác thường	0.137	0.604	0.309
abnormality	bất thường	0.092	0.655	0.383
aboard	cái bảng	0.698	0.284	0.481
abode	nơi ở	0.620	0.302	0.500
abolish	bỏ	0.448	0.615	0.529
abolition	bãi bỏ	0.323	0.690	0.529
abominable	đáng ghét	0.120	0.731	0.482
abominate	ghê tởm	0.198	0.788	0.366
abomination	sự ghê tởm	0.078	0.755	0.518
aboriginal	thổ dân	0.448	0.427	0.542
abort	hủy bỏ	0.153	0.686	0.429
abortion	sự phá thai	0.082	0.770	0.283
abortive	phá thai	0.090	0.776	0.280
abound	rất nhiều	0.704	0.490	0.681
abovementioned	nói trên	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	mài mòn	0.406	0.592	0.441
abrasive	mài mòn	0.392	0.610	0.593
abreast	ngang nhau	0.635	0.380	0.519
abroad	ở nước ngoài	0.677	0.596	0.561
abrogate	bãi bỏ	0.327	0.510	0.594
abrupt	đột ngột	0.271	0.819	0.545
abruptly	đột ngột	0.250	0.808	0.556
abscess	áp xe	0.154	0.451	0.349
absence	vắng mặt	0.153	0.235	0.266
absent	vắng mặt	0.177	0.221	0.116
absentee	vắng mặt	0.235	0.330	0.279
absenteeism	vắng mặt	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	tuyệt đối	0.526	0.510	0.827
absolution	sự giải thể	0.715	0.500	0.664
absolve	tha thứ	0.684	0.449	0.660
absorb	hấp thụ	0.469	0.558	0.670
absorbed	hấp thu	0.490	0.471	0.519
absorbent	thấm hút	0.552	0.394	0.718
absorbing	hấp thụ	0.490	0.490	0.578
absorption	sự hấp thụ	0.609	0.422	0.446
abstain	kiêng	0.385	0.385	0.427
abstention	sự kiêng cử	0.271	0.264	0.509
abstinence	kiêng cử	0.260	0.392	0.429
abstract	trừu tượng	0.438	0.292	0.444
abstraction	sự trừu tượng	0.469	0.439	0.525
absurd	vô lý	0.188	0.656	0.284
absurdity	vô lý	0.115	0.528	0.227
abundance	sự phong phú	0.812	0.690	0.852
abundant	dồi dào	0.958	0.590	0.760
abuse	sự lạm dụng	0.071	0.873	0.469
abused	bị lạm dụng	0.021	0.874	0.235
abusive	lạm dụng	0.125	0.903	0.567
abutment	trụ cầu	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	thất bại	0.250	0.710	0.598
abyss	vực sâu	0.353	0.725	0.296
academic	học tập	0.781	0.420	0.812
academy	học viện	0.704	0.473	0.792
accede	gia nhập	0.698	0.510	0.537
accelerant	gia tốc	0.643	0.844	0.802
accelerate	tăng tốc	0.615	0.902	0.759
accelerated	tăng tốc	0.610	0.812	0.682
acceleration	sự tăng tốc	0.704	0.905	0.843
accelerator	máy gia tốc	0.593	0.830	0.812
accent	giọng	0.598	0.357	0.509
accentuate	làm nổi bật	0.673	0.556	0.667
accept	Chấp nhận	0.847	0.286	0.565
acceptable	có thể chấp nhận	0.812	0.286	0.583
acceptance	chấp thuận	0.833	0.287	0.755
acceptances	sự chấp nhận	0.847	0.413	0.648
access	truy cập	0.714	0.472	0.567
accessible	có thể truy cập	0.796	0.410	0.645
accession	gia nhập	0.612	0.383	0.636
accessory	phụ kiện	0.562	0.292	0.445
accident	Tai nạn	0.125	0.908	0.336
accidental	tình cờ	0.319	0.784	0.307
accidentally	vô tình	0.333	0.741	0.333
acclaim	hoan hô	0.562	0.809	0.718
accolade	công nhận	0.688	0.591	0.775
accommodate	chứa	0.844	0.375	0.566
accommodation	chỗ ở	0.817	0.415	0.587
accompaniment	đệm	0.740	0.479	0.695
accompany	đi cùng	0.833	0.406	0.585
accompanying	đi cùng	0.787	0.460	0.582
accomplice	đồng lõa	0.408	0.580	0.510
accomplish	hoàn thành	0.929	0.673	0.816
accomplished	hoàn thành	0.870	0.520	0.798
accomplishment	hoàn thành	0.917	0.694	0.888
accord	phù hợp	0.898	0.264	0.382
accordance	phù hợp	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	tài khoản	0.531	0.347	0.472
accountability	trách nhiệm giải trình	0.755	0.537	0.833
accountable	có trách nhiệm	0.709	0.282	0.777
accountant	viên kế toán	0.625	0.450	0.639
accounting	kế toán	0.552	0.390	0.677
accounts	tài khoản	0.592	0.340	0.471
accredited	được công nhận	0.669	0.479	0.768
accretion	bồi đắp	0.448	0.519	0.672
accrue	tích lũy	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	tích trữ	0.573	0.536	0.607
accumulation	sự tích lũy	0.479	0.527	0.600
accuracy	độ chính xác	0.604	0.481	0.802
accurate	chính xác	0.743	0.360	0.737
accursed	bị buộc tội	0.135	0.745	0.345
accusation	tố cáo	0.073	0.718	0.564
accusative	tố cáo	0.198	0.755	0.482
accuse	cáo buộc	0.133	0.752	0.500
accused	bị cáo	0.130	0.670	0.420
accuser	người tố cáo	0.122	0.779	0.615
accusing	cáo buộc	0.156	0.745	0.324
accustomed	quen thuộc	0.542	0.365	0.441
ace	át chủ	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	axetylen	0.306	0.469	0.509
ache	đau nhức	0.146	0.760	0.312
achieve	Hoàn thành	0.816	0.545	0.843
achieved	đạt được	0.896	0.519	0.775
achievement	thành tích	0.896	0.808	0.759
aching	đau nhức	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	axit	0.265	0.642	0.566
acidity	tính axit	0.156	0.663	0.360
acknowledge	công nhận	0.786	0.370	0.661
acknowledged	thừa nhận	0.714	0.443	0.765
acknowledgement	nhìn nhận	0.819	0.539	0.830
acknowledgment	nhìn nhận	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	mụn trứng cá	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	âm thanh	0.542	0.462	0.536
acoustics	âm học	0.611	0.330	0.509
acquaint	làm quen	0.646	0.491	0.639
acquaintance	người quen	0.656	0.290	0.670
acquainted	hiểu biết	0.906	0.358	0.632
acquiescence	sự tán thành	0.542	0.480	0.554
acquire	có được, thu được	0.833	0.468	0.700
acquiring	mua lại	0.735	0.510	0.817
acquisition	mua lại	0.698	0.509	0.736
acquisitions	mua lại	0.773	0.660	0.790
acquit	tha bổng	0.583	0.571	0.611
acquittal	tha bổng	0.760	0.497	0.700
acre	mẫu Anh	0.583	0.387	0.423
acreage	diện tích	0.741	0.450	0.528
acres	mẫu Anh	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	hành động	0.656	0.704	0.735
acting	diễn xuất	0.698	0.643	0.500
action	hoạt động	0.760	0.898	0.802
action figure	hành động hình	0.615	0.774	0.611
actionable	có thể hành động	0.673	0.702	0.613
activate	kích hoạt	0.764	0.650	0.806
activation	kích hoạt	0.781	0.800	0.754
active	hoạt động	0.847	0.730	0.731
activist	nhà hoạt động	0.531	0.653	0.877
activity	Hoạt động	0.701	0.660	0.807
actor	diễn viên	0.653	0.561	0.629
actress	nữ diễn viên	0.633	0.556	0.596
actual	thực tế	0.729	0.400	0.716
actuality	thực tế	0.750	0.464	0.600
actuary	nhà thơ	0.510	0.404	0.491
acuity	trái cây	0.469	0.378	0.741
acumen	sự nhạy bén	0.564	0.660	0.679
acupuncture	châm cứu	0.531	0.324	0.549
acute	nhọn	0.427	0.652	0.534
acutely	sâu sắc	0.417	0.543	0.491
ad	quảng cáo	0.521	0.705	0.558
adage	câu ngạn ngữ	0.517	0.415	0.566
adamant	kiên quyết	0.344	0.529	0.575
adapt	phỏng theo	0.740	0.355	0.551
adaptable	thích nghi	0.735	0.423	0.641
adaptation	sự thích nghi	0.663	0.365	0.609
add	thêm vào	0.728	0.490	0.554
added	thêm	0.562	0.405	0.509
addendum	phụ lục	0.392	0.370	0.418
adder	người bổ sung	0.388	0.461	0.588
addict	con nghiện	0.075	0.696	0.327
addicted	nghiện	0.156	0.712	0.483
addiction	nghiện	0.180	0.806	0.420
addictive	gây nghiện	0.302	0.683	0.472
addition	thêm vào	0.562	0.373	0.471
additional	bổ sung	0.673	0.462	0.526
additive	phụ gia	0.561	0.633	0.691
