Word	Yoruba-yo	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	kọ silẹ	0.052	0.519	0.245
abandoned	abandoned	0.046	0.481	0.130
abandonment	abandonment	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	Opopona	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abbreviate	0.531	0.375	0.330
abbreviation	abbreviation	0.469	0.306	0.345
abdomen	ikun	0.469	0.462	0.471
abdominal	inu	0.490	0.456	0.445
abduct	fifa	0.173	0.720	0.615
abduction	ifasilẹ	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abe	0.330	0.510	0.292
abhor	korira	0.125	0.602	0.349
abhorrence	ẹgan	0.167	0.684	0.420
abhorrent	aboruru	0.229	0.750	0.474
abide	duro	0.635	0.354	0.705
abiding	gbigbe	0.796	0.327	0.750
ability	agbara	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	pa	0.240	0.847	0.525
able	anfani	0.786	0.500	0.810
abnormal	ohun ajeji	0.137	0.604	0.309
abnormality	ohun ajeji	0.092	0.655	0.383
aboard	ọkọ oju omi	0.698	0.284	0.481
abode	ibugbe	0.620	0.302	0.500
abolish	pa	0.448	0.615	0.529
abolition	abolition	0.323	0.690	0.529
abominable	ohun irira	0.120	0.731	0.482
abominate	olododo	0.198	0.788	0.366
abomination	irira	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	iṣẹyun	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	pọ	0.704	0.490	0.681
abovementioned	loke	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	odi	0.677	0.596	0.561
abrogate	pa	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	abruptly	0.250	0.808	0.556
abscess	Abscess	0.154	0.451	0.349
absence	isanwo	0.153	0.235	0.266
absent	ko si	0.177	0.221	0.116
absentee	ko si	0.235	0.330	0.279
absenteeism	isinigbagbo	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	idiyele	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	daakọ	0.684	0.449	0.660
absorb	fa	0.469	0.558	0.670
absorbed	o gba	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	absorbing	0.490	0.490	0.578
absorption	absorption	0.609	0.422	0.446
abstain	abstain	0.385	0.385	0.427
abstention	idaduro	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	akọle	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	aipe	0.188	0.656	0.284
absurdity	absurdity	0.115	0.528	0.227
abundance	ọpọlọpọ	0.812	0.690	0.852
abundant	lọpọlọpọ	0.958	0.590	0.760
abuse	abuse	0.071	0.873	0.469
abused	ipalara	0.021	0.874	0.235
abusive	ipalara	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	ẹkọ	0.781	0.420	0.812
academy	ile ẹkọ	0.704	0.473	0.792
accede	gbawọn	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	mu yarayara	0.615	0.902	0.759
accelerated	onikiakia	0.610	0.812	0.682
acceleration	isare	0.704	0.905	0.843
accelerator	oluṣeto	0.593	0.830	0.812
accent	ohun	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	gba	0.847	0.286	0.565
acceptable	itẹwọgba	0.812	0.286	0.583
acceptance	gbigba	0.833	0.287	0.755
acceptances	awọn gbigba wọle	0.847	0.413	0.648
access	wiwọle	0.714	0.472	0.567
accessible	wiwọle	0.796	0.410	0.645
accession	gbigba wọle	0.612	0.383	0.636
accessory	ẹya ẹrọ	0.562	0.292	0.445
accident	ijamba	0.125	0.908	0.336
accidental	lairotẹlẹ	0.319	0.784	0.307
accidentally	lairotẹlẹ	0.333	0.741	0.333
acclaim	sọ	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	gba	0.844	0.375	0.566
accommodation	ibugbe	0.817	0.415	0.587
accompaniment	igbasilẹ	0.740	0.479	0.695
accompany	tẹle-tẹle	0.833	0.406	0.585
accompanying	tẹle pẹlu	0.787	0.460	0.582
accomplice	Aṣeyọri	0.408	0.580	0.510
accomplish	ṣe iṣe	0.929	0.673	0.816
accomplished	ti pari	0.870	0.520	0.798
accomplishment	iṣẹ-ṣiṣe	0.917	0.694	0.888
accord	Idahun	0.898	0.264	0.382
accordance	ibamu	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	iroyin	0.531	0.347	0.472
accountability	ijẹrisi	0.755	0.537	0.833
accountable	ṣe idajọ	0.709	0.282	0.777
accountant	Oniṣiro	0.625	0.450	0.639
accounting	iṣiro	0.552	0.390	0.677
accounts	awọn iroyin	0.592	0.340	0.471
accredited	ti o gba	0.669	0.479	0.768
accretion	ifarahan	0.448	0.519	0.672
accrue	pọ sii	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	kojọpọ	0.573	0.536	0.607
accumulation	ikojọpọ	0.479	0.527	0.600
accuracy	didara	0.604	0.481	0.802
accurate	deede	0.743	0.360	0.737
accursed	ẹni ifibu	0.135	0.745	0.345
accusation	ẹsun	0.073	0.718	0.564
accusative	olufisun	0.198	0.755	0.482
accuse	ẹsùn	0.133	0.752	0.500
accused	onimo	0.130	0.670	0.420
accuser	olufisun	0.122	0.779	0.615
accusing	sùn	0.156	0.745	0.324
accustomed	saba	0.542	0.365	0.441
ace	bẹbẹ	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	ache	0.146	0.760	0.312
achieve	ṣe aṣeyọri	0.816	0.545	0.843
achieved	ti ṣe	0.896	0.519	0.775
achievement	aṣeyọri	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	gbawọ	0.786	0.370	0.661
acknowledged	ti gba	0.714	0.443	0.765
acknowledgement	acknowledgment	0.819	0.539	0.830
acknowledgment	acknowledgment	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	irorẹ	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	akosile	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	awọn olùmọ	0.646	0.491	0.639
acquaintance	ojulumọ	0.656	0.290	0.670
acquainted	faramọ	0.906	0.358	0.632
acquiescence	igbasilẹ	0.542	0.480	0.554
acquire	gba	0.833	0.468	0.700
acquiring	ra	0.735	0.510	0.817
acquisition	akomora	0.698	0.509	0.736
acquisitions	awọn ohun ini	0.773	0.660	0.790
acquit	ti gba	0.583	0.571	0.611
acquittal	idasile	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	adreage	0.741	0.450	0.528
acres	awon eka	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	akiriliki	0.582	0.279	0.420
act	sise	0.656	0.704	0.735
acting	anesitetiki	0.698	0.643	0.500
action	iṣẹ	0.760	0.898	0.802
action figure	oluṣe iṣẹ	0.615	0.774	0.611
actionable	ti o ṣeeṣe	0.673	0.702	0.613
activate	mu ṣiṣẹ	0.764	0.650	0.806
activation	ti fi si ibere	0.781	0.800	0.754
active	lọwọ	0.847	0.730	0.731
activist	alagbọọ	0.531	0.653	0.877
activity	iṣẹ	0.701	0.660	0.807
actor	olukopa	0.653	0.561	0.629
actress	oṣere	0.633	0.556	0.596
actual	gangan	0.729	0.400	0.716
actuality	gangan	0.750	0.464	0.600
actuary	arufin	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	nla	0.427	0.652	0.534
acutely	nitõtọ	0.417	0.543	0.491
ad	ipolongo	0.521	0.705	0.558
adage	ọran	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	muṣe	0.740	0.355	0.551
adaptable	adaptable	0.735	0.423	0.641
adaptation	iyipada	0.663	0.365	0.609
add	fi kun	0.728	0.490	0.554
added	fi kun	0.562	0.405	0.509
addendum	afikun afẹfẹ	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	okudun	0.075	0.696	0.327
addicted	mowonlara	0.156	0.712	0.483
addiction	afẹsodi	0.180	0.806	0.420
addictive	addictive	0.302	0.683	0.472
addition	afikun	0.562	0.373	0.471
additional	afikun	0.673	0.462	0.526
additive	imuduro	0.561	0.633	0.691
address	adirẹsi	0.650	0.327	0.567
addressee	idasile	0.622	0.382	0.538
addresses	adirẹsi	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	adequacy	0.615	0.435	0.702
adequate	deedee	0.854	0.264	0.705
adhere	tẹle	0.633	0.339	0.554
adherence	adherence	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
