"label","text","googleScore","VADER"
"Negative","when the time comes for all to know it will be to late",0.1,0
"Neutral","@princessofportk The first are a pair of devil horns, and the second look like a pair of cat or feline like ears",0.1,-0.103
"Neutral","I gotta feeling they partlishly took it off fomr MIB anime ep form the american unless they took that one off from it, but the story is really different.",-0.3,0.064
"Positive","As we look at ways to be relevant, here is a good video perspective to consider (in order to avoid :) )",0.7,0.572
"Neutral","Not a lot of ""removing"" going on here... bucket teeth removal maybe.",-0.3,0
"Neutral","I love looking at old gravestones",0.5,0.572
"Neutral","@qingian they represent HK. but considering how their last names are spelled, i think they are from China. they don't get to represent China because they're not as good as Ma Long, Zhang Jike and Xu XIn.",-0.2,-0.478
"Neutral","@Invaderkibachan2 xD Okay! Um, I finished, but the whole thing is only about nine seconds, so I feel like it'd be a waste to upload something so short as a video. Would it be possible for me to e-mail the file to you? Or upload it somewhere, and messa",0,0.47
"Neutral","so THATS why they always tell you to wear a helmet; i always thought the concept of damaging the head via falling off a bike was very unlikely",-0.7,-0.599
"Neutral","Haha at 4:00 Alex looks so frustrated at whoever is opening the door.",-0.1,-0.176
"Neutral","I got an ocarina just to play this song. And now, i must learn it on flute.",0.4,0.34
"Positive","Pastor Morgan brought a powerful encouraging word to us in that service. I really enjoyed her. To GOD be the Glory!!!",0.6,0.952
"Negative","if that was supposed to rhyme, it didn't",-0.7,0
"Positive","Absolutely awesome!! Impressive.",0.9,0.861
"Neutral","hahaha ''stinker''",-0.3,0.273
"Neutral","kya baat hai! too sick!!",-0.2,-0.634
"Neutral","I was waiting for tomorrow but i called today and they already have it since a few days. I am from Argentina (South America) i really dont know how it works i think they dont respect release dates. Next time i go i will make sure to ask and send you guys a voice mail.",-0.1,-0.098
"Neutral","st. johns goes HARD! illmac! also check out this artist named Vinnie Dewayne.",0,-0.405
"Neutral","Yeah, because a minute and a half definitely equals 30 sec.",-0.1,0.599
"Neutral","great guy but this wasnt a special video lets be honest",-0.3,0.626
"Negative","Yea..the Senior CIA analyst during Saddam's Era is definitely not a credible source. He's the last person who should be commenting on Iraq. Anyways... I'm done with this argument. Good Day sir.",0.2,0.477
"Neutral","Do anyone know if thats Jim Ryan in the background?",-0.1,0
"Positive","yes i agree i had an 07 ego then switched to angel a1 and a kid at my local field had one and it shot smoother than my a1 wich i belive was about 40% smoother than my ego now aday's all guns $ 300 and over will do 20bps out of the box its just how you like the feel of it thats why i went angel beacuse i love the way they feel,",0,0.898
"Positive","loved the video joey it was awesome :O",0.6,0.822
"Neutral","@ChibiChanColors actually she reminds me of yuki from the melancholy of haruhi suzumiya.",0.4,-0.44
"Positive","this is such a high quality game i cannot believe it. it is a lot greater than mw1. ive only just attained the 2nd prestige ! i'm so delighted. got the game only yesterday evening from mw2forfreeYinfo (replace Y with . ) but im undoubtedly annihilating most people!",0.4,0.562
"Positive","epic song fo sho",0.6,0
"Neutral","it sounds a bit like starn",0.2,0.361
"Positive","Awesome song Danger Danger rocks",0.7,-0.402
"Positive","This is my favorite song. He told me it's about his guitar.",0.5,0.459
"Positive","reminds me of some of the old timers up here in the hills! awesome!",0.8,0.689
"Positive","Hahahhahaha I did that same thing with my smog eyesalhadow! I put myself on a project ""hit pan"" like for a month I had to use only certian eyeshadows like ud's smog. I used it literally everyday in september and I got so obsessed like when am I going to hit pan it's been forever!! :P so anyways I totally feel ya and basically were both crazy. :)",0.1,0.706
"Positive","i just love him.... a looooooooot..... he's the ideal one...",0.7,0.822
"Positive","YOU ARE MOST WELCOME.... and if you have any questions, I am here to help.",0.4,0.816
"Positive","infinite possibilities, thanks for postingone love :)",0.9,0.878
"Positive","i love this!!!! way better then the original :D",0.6,0.931
"Neutral","it's ""phenomenon"" by thousand foot krutch",0.2,0
"Negative","Jeez I was starting to think you wouldn't post up my tage >.> lol thanks But I'm not in the description :O",-0.2,0.366
"Positive","Ian gillan is the best........",0.6,0.637
"Neutral","looks like we're not guna see kenpachi 4 a couple more episodes",-0.5,0.361
