screenName	party
andreaskirstein	AL
bergerwthur	AL
MaeniJ	AL
WalterAngst	AL
asba_j	BDP
beining_bdp	BDP
BernhardGuhl	BDP
BoschettiSteen	BDP
charlespiguet	BDP
Enea_Martinelli	BDP
fa_b_au	BDP
hubertackermann	BDP
jangnaegi	BDP
lorenzhess	BDP
l_thurnherr	BDP
LukasWopmann	BDP
maberner	BDP
marcel_erhard	BDP
markusdietschi	BDP
martinkrumm	BDP
MichaelMerkli	BDP
mschielly	BDP
nataschawinkler	BDP
ninahaasjbdp	BDP
ninazosso	BDP
patrickcaminada	BDP
philipkohli	BDP
phtschopp	BDP
rolandweiner	BDP
sandraborgeaud	BDP
Schneiter	BDP
scoutsky	BDP
tiziana_lei	BDP
virginieheyer	BDP
Aebischer_FR	CVP
alicecroce	CVP
anaisgirardin	CVP
AOZ86	CVP
ARotzetter	CVP
avaida10	CVP
barazzoneg	CVP
BinderMarianne	CVP
blaisefasel	CVP
BucherRalf	CVP
bulliardmarbach	CVP
bwertli	CVP
ChantalDON	CVP
Ch_Lohr	CVP
daphinoff	CVP
DdeBuman	CVP
doutazjp	CVP
dtschuempi	CVP
epprene	CVP
fabienpeiry	CVP
fregazzi	CVP
gerhardpfister	CVP
Glenn_Steiger	CVP
guymettan	CVP
Handyverkaufer	CVP
jonashufschmid	CVP
karinemarti2950	CVP
Katzenstrecker	CVP
konradhaedener	CVP
ljelmini	CVP
M8Werner	CVP
MarcoRomanoPPD	CVP
martinschwegler	CVP
mederiton	CVP
mfpj	CVP
musikdorf_ernen	CVP
nadiaswiss	CVP
nmy1986	CVP
ottilia_scherer	CVP
pascalsieber	CVP
piccoliadriano	CVP
pierreportmann	CVP
pmbregy	CVP
Sandro_Morelli	CVP
schneidertino	CVP
shpetimxhemaili	CVP
sophiebuchs	CVP
svenrossier	CVP
th_ammann	CVP
thibautvultier	CVP
Violapamherd	CVP
wylergut	CVP
yayaso5	CVP
YvonneBuergin	CVP
benjamincarisch	EDU
lokalpolitiker	EDU
samuelkullmann	EDU
WittwerCH	EDU
anhewe	EVP
baba08	EVP
elialeiser	EVP
familienmann	EVP
jaschamueller	EVP
joelblunier	EVP
marcjost	EVP
MarianneStreiff	EVP
Urspluess	EVP
valerieoppliger	EVP
wenger_markus	EVP
Adrian_Schoop	FDP
AlainS1991	FDP
ammannsi	FDP
andrisilbi_	FDP
annawartmann	FDP
arnogrueter	FDP
badertscher_b	FDP
benoitgenecand	FDP
birgittsiegrist	FDP
cesseiva	FDP
charly_Freitag	FDP
christamarkwald	FDP
ck_info	FDP
cluscher	FDP
cwasi	FDP
danizumoberhaus	FDP
danygygli	FDP
david_puippe	FDP
dominikzehnder	FDP
d_stolz	FDP
EliasMaier	FDP
fabiengrognuz	FDP
fritzglauser	FDP
gregorbachmann	FDP
hhiltpold	FDP
hofstetterkev	FDP
HoppSchoop	FDP
ignaziocassis	FDP
JauslinMatthias	FDP
jcfrei	FDP
jerome_jacquier	FDP
jrizzi1	FDP
lardigianluca	FDP
laurentnaville	FDP
luciomaron	FDP
LukasManser	FDP
maheer92	FDP
MajaRiniker	FDP
mariannemeister	FDP
mauruszeier	FDP
Max_Ammann	FDP
michelaris	FDP
Michellosey	FDP
NadineGobet	FDP
nazmije_fdp	FDP
nicolasarimoldi	FDP
odi87	FDP
orianeengel	FDP
PetraGoessi	FDP
Phil_Haerri	FDP
pmollet	FDP
PriscaKoller	FDP
RoccoCattaneo	FDP
roland_mahler	FDP
RolinWavre	FDP
sammyrohner	FDP
SavioMichellod	FDP
sennhaus	FDP
sennpascal	FDP
staehelip	FDP
st_mumenthaler	FDP
sveninaebnit	FDP
