steps,bmi,gender
15000,17,woman
14861,17.2,woman
14861,17.2,woman
14699,16.8,woman
14560,20.4,woman
14560,20.5,woman
14560,20.5,woman
14560,20.5,woman
14560,19.7,woman
14560,19.6,woman
14560,19.7,woman
14560,19.7,woman
14560,16.7,woman
14398,20.9,woman
14398,19.2,woman
14398,19.1,woman
14398,19.2,woman
14398,17,woman
14398,17,woman
14398,16.7,woman
14259,18.9,woman
14259,18.9,woman
14259,17.2,woman
14097,21.3,woman
14097,17.6,woman
14097,17.3,woman
14097,16.7,woman
13958,18.5,woman
13958,18.4,woman
13958,17.6,woman
13958,17.4,woman
13958,16.7,woman
13796,21.6,woman
13796,17.8,woman
13796,17.8,woman
13796,17.4,woman
13796,17.7,woman
13796,16.7,woman
13657,21.7,woman
13657,16.7,woman
13495,17.8,woman
13495,17.8,woman
13495,16.8,woman
13333,21.9,woman
13333,17,woman
13333,16.9,woman
13333,16.8,woman
13194,22,woman
13194,17.1,woman
13194,16.8,woman
13032,17.7,woman
13032,17.3,woman
12894,22.2,woman
12894,17.8,woman
12894,17.4,woman
12894,16.8,woman
12731,23.7,woman
12731,23.8,woman
12731,22.4,woman
12731,17.4,woman
12731,16.8,woman
12593,25.1,woman
12593,22.5,woman
12593,17.7,woman
12593,17.5,woman
12431,25.4,woman
12431,25.3,woman
12431,22.9,woman
12431,17.6,woman
12292,25.5,woman
12292,22.7,woman
12292,17.7,woman
12292,17.7,woman
12130,25.7,woman
12130,25.7,woman
12130,22.4,woman
12130,22.4,woman
12130,17.8,woman
12130,17.7,woman
11968,22.3,woman
11829,29.7,woman
11829,28.9,woman
11829,25.9,woman
11829,25.9,woman
11829,22.1,woman
11829,22.1,woman
11829,19,woman
11829,18.2,woman
11829,17.3,woman
11829,17.8,woman
11667,29.5,woman
11667,28.6,woman
11667,28.5,woman
11667,19.2,woman
11667,19.2,woman
11667,17.9,woman
11667,17.3,woman
11528,29.5,woman
11528,21.8,woman
11528,18.1,woman
11528,18.1,woman
11528,17.3,woman
11366,29.4,woman
11366,29.3,woman
11366,21.7,woman
11366,17.8,woman
11227,29.8,woman
11227,29.7,woman
11227,29.5,woman
11227,29.5,woman
11227,28.7,woman
11227,28.7,woman
11227,28.7,woman
11227,28.2,woman
11227,17.7,woman
11065,30,woman
11065,29.9,woman
