Category: All categories

Region,lockdown: (1/3/20 - 1/3/21),minecraft: (1/3/20 - 1/3/21)
Utah,8%,92%
Alaska,6%,94%
Idaho,8%,92%
Washington,14%,86%
Oregon,12%,88%
Maine,9%,91%
Hawaii,17%,83%
Iowa,9%,91%
Wyoming,9%,91%
New Hampshire,10%,90%
Vermont,10%,90%
West Virginia,9%,91%
Kansas,11%,89%
South Dakota,9%,91%
Oklahoma,11%,89%
North Dakota,8%,92%
Wisconsin,12%,88%
Montana,10%,90%
Indiana,13%,87%
Kentucky,9%,91%
Minnesota,14%,86%
Nebraska,9%,91%
Michigan,18%,82%
Colorado,15%,85%
Missouri,12%,88%
Nevada,17%,83%
Virginia,14%,86%
California,20%,80%
Arizona,18%,82%
Arkansas,11%,89%
Ohio,13%,87%
Texas,14%,86%
Connecticut,13%,87%
New Mexico,16%,84%
Maryland,14%,86%
Massachusetts,15%,85%
Pennsylvania,15%,85%
Rhode Island,14%,86%
Illinois,19%,81%
Delaware,14%,86%
North Carolina,13%,87%
New Jersey,17%,83%
Tennessee,13%,87%
South Carolina,12%,88%
Alabama,13%,87%
Georgia,15%,85%
Florida,18%,82%
Louisiana,12%,88%
New York,18%,82%
Mississippi,13%,87%
District of Columbia,31%,69%
