Word	Albanian-sq	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Aardvark	0.427	0.490	0.437
aback	prapa	0.385	0.407	0.288
abacus	numërator	0.510	0.276	0.485
abalone	guaskë	0.500	0.480	0.412
abandon	braktis	0.052	0.519	0.245
abandoned	braktisur	0.046	0.481	0.130
abandonment	braktisje	0.128	0.430	0.202
abashed	i hutuar	0.177	0.644	0.307
abate	i jap fund	0.255	0.696	0.604
abatement	pakësim	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	abaci	0.580	0.367	0.444
abbot	abat	0.427	0.321	0.483
abbreviate	shkurtoj	0.531	0.375	0.330
abbreviation	shkurtim	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	i barkut	0.490	0.456	0.445
abduct	rrëmbëj	0.173	0.720	0.615
abduction	rrëmbim	0.062	0.990	0.673
aberrant	rravgues	0.146	0.765	0.431
aberration	lajthitje	0.125	0.816	0.417
abeyance	pezullim	0.330	0.510	0.292
abhor	urrej	0.125	0.602	0.349
abhorrence	neveri	0.167	0.684	0.420
abhorrent	i pështirë	0.229	0.750	0.474
abide	rri	0.635	0.354	0.705
abiding	i qëndrueshëm	0.796	0.327	0.750
ability	aftësi	0.875	0.510	0.816
abject	i mjerë	0.354	0.590	0.417
ablation	të larguarit	0.418	0.500	0.500
ablaze	në flakë	0.240	0.847	0.525
able	i aftë	0.786	0.500	0.810
abnormal	jonormal	0.137	0.604	0.309
abnormality	anomali	0.092	0.655	0.383
aboard	bord	0.698	0.284	0.481
abode	vendbanim	0.620	0.302	0.500
abolish	shfuqizoj	0.448	0.615	0.529
abolition	heqje	0.323	0.690	0.529
abominable	i neveritshëm	0.120	0.731	0.482
abominate	urrej	0.198	0.788	0.366
abomination	neveri	0.078	0.755	0.518
aboriginal	vendës	0.448	0.427	0.542
abort	dështoj	0.153	0.686	0.429
abortion	abort	0.082	0.770	0.283
abortive	i dështuar	0.090	0.776	0.280
abound	ka me bollëk	0.704	0.490	0.681
abovementioned	permendur me larte	0.541	0.298	0.509
abracadabra	gjuhë pa kuptim	0.673	0.632	0.434
abrasion	pastrim	0.406	0.592	0.441
abrasive	gërryes	0.392	0.610	0.593
abreast	krah për krah	0.635	0.380	0.519
abroad	jashtë vendit	0.677	0.596	0.561
abrogate	anuloj	0.327	0.510	0.594
abrupt	i papritur	0.271	0.819	0.545
abruptly	befas	0.250	0.808	0.556
abscess	lungë	0.154	0.451	0.349
absence	mungesë	0.153	0.235	0.266
absent	që mungon	0.177	0.221	0.116
absentee	mungestar	0.235	0.330	0.279
absenteeism	shmangie nga votim	0.404	0.273	0.357
absinthe	glikanxo	0.481	0.510	0.462
absolute	absolut	0.526	0.510	0.827
absolution	falje	0.715	0.500	0.664
absolve	shfajësoj	0.684	0.449	0.660
absorb	thith	0.469	0.558	0.670
absorbed	absorbohet	0.490	0.471	0.519
absorbent	thithës	0.552	0.394	0.718
absorbing	përthithës	0.490	0.490	0.578
absorption	thithje	0.609	0.422	0.446
abstain	abstenoj	0.385	0.385	0.427
abstention	abstenim	0.271	0.264	0.509
abstinence	maturi	0.260	0.392	0.429
abstract	abstrakt	0.438	0.292	0.444
abstraction	abstragim	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurditet	0.115	0.528	0.227
abundance	bollëk	0.812	0.690	0.852
abundant	bollshme	0.958	0.590	0.760
abuse	abuzim	0.071	0.873	0.469
abused	abuzuar	0.021	0.874	0.235
abusive	fyes	0.125	0.903	0.567
abutment	kufi	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	për faqe të zezë	0.250	0.710	0.598
abyss	humnerë	0.353	0.725	0.296
academic	akademik	0.781	0.420	0.812
academy	akademi	0.704	0.473	0.792
accede	aderojë	0.698	0.510	0.537
accelerant	katalizator	0.643	0.844	0.802
accelerate	përshpejtuar	0.615	0.902	0.759
accelerated	përshpejtuar	0.610	0.812	0.682
acceleration	përshpejtim	0.704	0.905	0.843
accelerator	përshpejtues	0.593	0.830	0.812
accent	theks	0.598	0.357	0.509
accentuate	theksoj	0.673	0.556	0.667
accept	pranoj	0.847	0.286	0.565
acceptable	i pranueshëm	0.812	0.286	0.583
acceptance	pranim	0.833	0.287	0.755
acceptances	pranimet	0.847	0.413	0.648
access	hyrje	0.714	0.472	0.567
accessible	i arritshëm	0.796	0.410	0.645
accession	hyrje	0.612	0.383	0.636
accessory	pajisje shtesë	0.562	0.292	0.445
accident	aksident	0.125	0.908	0.336
accidental	aksidental	0.319	0.784	0.307
accidentally	rastësisht	0.333	0.741	0.333
acclaim	brohorit	0.562	0.809	0.718
accolade	dhënie e titullit të kalorësit	0.688	0.591	0.775
accommodate	akomoduar	0.844	0.375	0.566
accommodation	strehim	0.817	0.415	0.587
accompaniment	shoqërim	0.740	0.479	0.695
accompany	shoqëroj	0.833	0.406	0.585
accompanying	shoqërues	0.787	0.460	0.582
accomplice	bashkëfajtor	0.408	0.580	0.510
accomplish	kryej	0.929	0.673	0.816
accomplished	realizohet	0.870	0.520	0.798
accomplishment	arritje	0.917	0.694	0.888
accord	akord	0.898	0.264	0.382
accordance	përputhje	0.659	0.349	0.600
accordion	fizarmonikë	0.604	0.490	0.361
account	llogari	0.531	0.347	0.472
accountability	përgjegjësi	0.755	0.537	0.833
accountable	përgjegjës	0.709	0.282	0.777
accountant	llogaritar	0.625	0.450	0.639
accounting	Kontabiliteti	0.552	0.390	0.677
accounts	llogaritë	0.592	0.340	0.471
accredited	akredituar	0.669	0.479	0.768
accretion	shtim	0.448	0.519	0.672
accrue	rritet	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	grumbulluar	0.573	0.536	0.607
accumulation	akumulim	0.479	0.527	0.600
accuracy	saktësi	0.604	0.481	0.802
accurate	i saktë	0.743	0.360	0.737
accursed	i mallkuar	0.135	0.745	0.345
accusation	akuzë	0.073	0.718	0.564
accusative	akuzues	0.198	0.755	0.482
accuse	akuzim	0.133	0.752	0.500
accused	i akuzuar	0.130	0.670	0.420
accuser	paditës	0.122	0.779	0.615
accusing	duke e akuzuar	0.156	0.745	0.324
accustomed	mësuar	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	uthullor	0.333	0.420	0.519
acetylene	acetilen	0.306	0.469	0.509
ache	dhimbje	0.146	0.760	0.312
achieve	arrij	0.816	0.545	0.843
achieved	arritur	0.896	0.519	0.775
achievement	arritje	0.896	0.808	0.759
aching	dhemb	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	aciditet	0.156	0.663	0.360
acknowledge	pranoj	0.786	0.370	0.661
acknowledged	pranoi	0.714	0.443	0.765
acknowledgement	njohje	0.819	0.539	0.830
acknowledgment	njohje	0.796	0.528	0.777
acme	kulm	0.408	0.435	0.375
acne	puçrra fytyre	0.167	0.474	0.308
acorn	lis	0.448	0.198	0.192
acoustic	akustik	0.542	0.462	0.536
acoustics	akustikë	0.611	0.330	0.509
acquaint	njoh	0.646	0.491	0.639
acquaintance	njohje	0.656	0.290	0.670
acquainted	i njohur	0.906	0.358	0.632
acquiescence	pranim i heshtur	0.542	0.480	0.554
acquire	të marrë	0.833	0.468	0.700
acquiring	përvetësuar	0.735	0.510	0.817
acquisition	përvetësim	0.698	0.509	0.736
acquisitions	blerjet	0.773	0.660	0.790
acquit	liroj	0.583	0.571	0.611
acquittal	shfajësim	0.760	0.497	0.700
acre	akër	0.583	0.387	0.423
acreage	sipërfaqe në akra	0.741	0.450	0.528
acres	akra	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akrilik	0.582	0.279	0.420
act	akt	0.656	0.704	0.735
acting	i përkohshëm	0.698	0.643	0.500
action	veprim	0.760	0.898	0.802
action figure	figure aksioni	0.615	0.774	0.611
actionable	vepruese	0.673	0.702	0.613
activate	aktivizoj	0.764	0.650	0.806
activation	aktivizimi	0.781	0.800	0.754
active	aktiv	0.847	0.730	0.731
activist	aktivist	0.531	0.653	0.877
activity	aktivitet	0.701	0.660	0.807
actor	aktor	0.653	0.561	0.629
actress	aktore	0.633	0.556	0.596
actual	aktual	0.729	0.400	0.716
actuality	realitet	0.750	0.464	0.600
actuary	ekspert i sigurimeve	0.510	0.404	0.491
acuity	mprehtësi	0.469	0.378	0.741
acumen	mendjemprehtësi	0.564	0.660	0.679
acupuncture	akupunkturë	0.531	0.324	0.549
acute	i mprehtë	0.427	0.652	0.534
acutely	akute	0.417	0.543	0.491
ad	reklamë	0.521	0.705	0.558
adage	fjalë e urtë	0.517	0.415	0.566
adamant	i paepur	0.344	0.529	0.575
adapt	përshtat	0.740	0.355	0.551
adaptable	i adaptueshëm	0.735	0.423	0.641
adaptation	adaptim	0.663	0.365	0.609
add	shtoj	0.728	0.490	0.554
added	shtuar	0.562	0.405	0.509
addendum	shtesë	0.392	0.370	0.418
adder	nëpërkë	0.388	0.461	0.588
addict	i droguar	0.075	0.696	0.327
addicted	addicted	0.156	0.712	0.483
addiction	dhënie pas	0.180	0.806	0.420
addictive	Addictive	0.302	0.683	0.472
addition	shtim	0.562	0.373	0.471
additional	plotësues	0.673	0.462	0.526
additive	shtesë	0.561	0.633	0.691
address	adresë	0.650	0.327	0.567
addressee	i adresuar	0.622	0.382	0.538
addresses	Adresat	0.510	0.354	0.450
adept	i aftë	0.594	0.539	0.789
adequacy	mjaftueshmëri	0.615	0.435	0.702
adequate	i përshtatshëm	0.854	0.264	0.705
adhere	përmbahen	0.633	0.339	0.554
adherence	zbatim	0.760	0.307	0.630
adherent	përkrahës	0.561	0.385	0.555
adhering	respektimi	0.612	0.561	0.537
