Word	Arabic-ar	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	خنزير الأرض	0.427	0.490	0.437
aback	الى الوراء	0.385	0.407	0.288
abacus	طبلية تاج	0.510	0.276	0.485
abalone	أذن البحر	0.500	0.480	0.412
abandon	تخلى	0.052	0.519	0.245
abandoned	مهجور	0.046	0.481	0.130
abandonment	التخلي عن	0.128	0.430	0.202
abashed	خجول	0.177	0.644	0.307
abate	انحسر	0.255	0.696	0.604
abatement	انحسار	0.388	0.338	0.336
abba	أبا	0.562	0.500	0.480
abbey	دير	0.580	0.367	0.444
abbot	رئيس الدير	0.427	0.321	0.483
abbreviate	اختصر	0.531	0.375	0.330
abbreviation	الاختصار	0.469	0.306	0.345
abdomen	بطن	0.469	0.462	0.471
abdominal	البطني	0.490	0.456	0.445
abduct	خطف	0.173	0.720	0.615
abduction	اختطاف	0.062	0.990	0.673
aberrant	شاذ	0.146	0.765	0.431
aberration	انحراف	0.125	0.816	0.417
abeyance	تعليق	0.330	0.510	0.292
abhor	مقت	0.125	0.602	0.349
abhorrence	اشمئزاز	0.167	0.684	0.420
abhorrent	مكروه	0.229	0.750	0.474
abide	الالتزام	0.635	0.354	0.705
abiding	مستمر	0.796	0.327	0.750
ability	القدرة	0.875	0.510	0.816
abject	خسيس	0.354	0.590	0.417
ablation	استئصال	0.418	0.500	0.500
ablaze	مشتعل	0.240	0.847	0.525
able	قادر	0.786	0.500	0.810
abnormal	غير طبيعى	0.137	0.604	0.309
abnormality	شذوذ	0.092	0.655	0.383
aboard	على متن سفينة	0.698	0.284	0.481
abode	مسكن	0.620	0.302	0.500
abolish	إلغاء	0.448	0.615	0.529
abolition	إلغاء	0.323	0.690	0.529
abominable	فظيع	0.120	0.731	0.482
abominate	مقت	0.198	0.788	0.366
abomination	رجس - مقت شديد، عمل بغيض	0.078	0.755	0.518
aboriginal	بدائي	0.448	0.427	0.542
abort	إجهاض	0.153	0.686	0.429
abortion	الإجهاض	0.082	0.770	0.283
abortive	ناقص النمو مخفق	0.090	0.776	0.280
abound	تكثر	0.704	0.490	0.681
abovementioned	ورد أعلاه	0.541	0.298	0.509
abracadabra	تعويذة	0.673	0.632	0.434
abrasion	تآكل	0.406	0.592	0.441
abrasive	كاشط	0.392	0.610	0.593
abreast	جنبا إلى جنب	0.635	0.380	0.519
abroad	خارج البلاد	0.677	0.596	0.561
abrogate	فسخ	0.327	0.510	0.594
abrupt	شديد الأنحدار	0.271	0.819	0.545
abruptly	بشكل مفاجئ	0.250	0.808	0.556
abscess	خراج	0.154	0.451	0.349
absence	غياب	0.153	0.235	0.266
absent	غائب	0.177	0.221	0.116
absentee	الغائب	0.235	0.330	0.279
absenteeism	الغياب	0.404	0.273	0.357
absinthe	الأفسنتين شراب مسكر	0.481	0.510	0.462
absolute	مطلق	0.526	0.510	0.827
absolution	غفران	0.715	0.500	0.664
absolve	تبرئة	0.684	0.449	0.660
absorb	تمتص	0.469	0.558	0.670
absorbed	يمتص	0.490	0.471	0.519
absorbent	ماص	0.552	0.394	0.718
absorbing	امتصاص	0.490	0.490	0.578
absorption	استيعاب	0.609	0.422	0.446
abstain	امتنع	0.385	0.385	0.427
abstention	امتناع	0.271	0.264	0.509
abstinence	تقشف	0.260	0.392	0.429
abstract	نبذة مختصرة	0.438	0.292	0.444
abstraction	التجريد	0.469	0.439	0.525
absurd	سخيف	0.188	0.656	0.284
absurdity	سخافة	0.115	0.528	0.227
abundance	وفرة	0.812	0.690	0.852
abundant	الوفيرة	0.958	0.590	0.760
abuse	إساءة	0.071	0.873	0.469
abused	سوء المعاملة	0.021	0.874	0.235
abusive	فاسد	0.125	0.903	0.567
abutment	دعامة	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	سحيق	0.250	0.710	0.598
abyss	هاوية	0.353	0.725	0.296
academic	أكاديمي	0.781	0.420	0.812
academy	الأكاديمية	0.704	0.473	0.792
accede	الانضمام	0.698	0.510	0.537
accelerant	متعجل	0.643	0.844	0.802
accelerate	تسارع	0.615	0.902	0.759
accelerated	معجل	0.610	0.812	0.682
acceleration	التعجيل	0.704	0.905	0.843
accelerator	مسرع	0.593	0.830	0.812
accent	لهجة	0.598	0.357	0.509
accentuate	التأكيد	0.673	0.556	0.667
accept	قبول	0.847	0.286	0.565
acceptable	مقبول	0.812	0.286	0.583
acceptance	قبول	0.833	0.287	0.755
acceptances	القبول	0.847	0.413	0.648
access	التمكن من	0.714	0.472	0.567
accessible	يمكن الوصول	0.796	0.410	0.645
accession	الانضمام	0.612	0.383	0.636
accessory	ملحق	0.562	0.292	0.445
accident	حادث	0.125	0.908	0.336
accidental	عرضي	0.319	0.784	0.307
accidentally	من غير قصد	0.333	0.741	0.333
acclaim	هتاف	0.562	0.809	0.718
accolade	احتضان	0.688	0.591	0.775
accommodate	يوفق	0.844	0.375	0.566
accommodation	الإقامة	0.817	0.415	0.587
accompaniment	مرافقة	0.740	0.479	0.695
accompany	مرافقة	0.833	0.406	0.585
accompanying	مصاحب	0.787	0.460	0.582
accomplice	متواطئ	0.408	0.580	0.510
accomplish	إنجاز	0.929	0.673	0.816
accomplished	إنجاز	0.870	0.520	0.798
accomplishment	إنجاز	0.917	0.694	0.888
accord	اتفاق	0.898	0.264	0.382
accordance	مطابقة	0.659	0.349	0.600
accordion	أكورديون	0.604	0.490	0.361
account	الحساب	0.531	0.347	0.472
accountability	المسائلة	0.755	0.537	0.833
accountable	مسؤول	0.709	0.282	0.777
accountant	محاسب	0.625	0.450	0.639
accounting	محاسبة	0.552	0.390	0.677
accounts	حسابات	0.592	0.340	0.471
accredited	معتمد	0.669	0.479	0.768
accretion	ازدياد	0.448	0.519	0.672
accrue	تعود	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	جمع	0.573	0.536	0.607
accumulation	تراكم	0.479	0.527	0.600
accuracy	صحة	0.604	0.481	0.802
accurate	دقيق	0.743	0.360	0.737
accursed	ملعون	0.135	0.745	0.345
accusation	اتهام	0.073	0.718	0.564
accusative	حالة النصب	0.198	0.755	0.482
accuse	اتهم	0.133	0.752	0.500
accused	المتهم	0.130	0.670	0.420
accuser	المتهم	0.122	0.779	0.615
accusing	اتهام	0.156	0.745	0.324
accustomed	متعود	0.542	0.365	0.441
ace	أجاد	0.643	0.481	0.546
acetic	خلى	0.333	0.420	0.519
acetylene	الأستيلين غاز عديم اللون	0.306	0.469	0.509
ache	وجع	0.146	0.760	0.312
achieve	التوصل	0.816	0.545	0.843
achieved	حقق	0.896	0.519	0.775
achievement	موهلات	0.896	0.808	0.759
aching	مؤلم	0.053	0.880	0.348
achy	متألم	0.167	0.840	0.373
acid	حامض	0.265	0.642	0.566
acidity	حموضة	0.156	0.663	0.360
acknowledge	الإقرار	0.786	0.370	0.661
acknowledged	اعترف	0.714	0.443	0.765
acknowledgement	إعتراف	0.819	0.539	0.830
acknowledgment	إعتراف	0.796	0.528	0.777
acme	ذروة	0.408	0.435	0.375
acne	حب الشباب	0.167	0.474	0.308
acorn	شجرة البلوط	0.448	0.198	0.192
acoustic	صوتي	0.542	0.462	0.536
acoustics	الصوتيات	0.611	0.330	0.509
acquaint	تعريف	0.646	0.491	0.639
acquaintance	معرفة	0.656	0.290	0.670
acquainted	مطلع	0.906	0.358	0.632
acquiescence	إذعان	0.542	0.480	0.554
acquire	يكتسب	0.833	0.468	0.700
acquiring	كسب	0.735	0.510	0.817
acquisition	استحواذ	0.698	0.509	0.736
acquisitions	الاستحواذ	0.773	0.660	0.790
acquit	أبرئ	0.583	0.571	0.611
acquittal	تبرئة	0.760	0.497	0.700
acre	فدان	0.583	0.387	0.423
acreage	المساحة الأكرية	0.741	0.450	0.528
acres	فدان	0.510	0.363	0.500
acrobat	بهلوان	0.708	0.828	0.602
acrylic	أكريليك	0.582	0.279	0.420
act	فعل	0.656	0.704	0.735
acting	التمثيل	0.698	0.643	0.500
action	عمل	0.760	0.898	0.802
action figure	رقم العمل	0.615	0.774	0.611
actionable	فعالة	0.673	0.702	0.613
activate	تفعيل	0.764	0.650	0.806
activation	تفعيل	0.781	0.800	0.754
active	نشيط	0.847	0.730	0.731
activist	ناشط	0.531	0.653	0.877
activity	نشاط	0.701	0.660	0.807
actor	الممثل	0.653	0.561	0.629
actress	ممثلة	0.633	0.556	0.596
actual	فعلي	0.729	0.400	0.716
actuality	حقيقة	0.750	0.464	0.600
actuary	الخبير بشؤون التأمين	0.510	0.404	0.491
acuity	حدة	0.469	0.378	0.741
acumen	فطنة	0.564	0.660	0.679
acupuncture	العلاج بالإبر	0.531	0.324	0.549
acute	حاد	0.427	0.652	0.534
acutely	تماما	0.417	0.543	0.491
ad	ميلادي	0.521	0.705	0.558
adage	قول مأثور	0.517	0.415	0.566
adamant	عنيد	0.344	0.529	0.575
adapt	تكيف	0.740	0.355	0.551
adaptable	قابل للتكيف	0.735	0.423	0.641
adaptation	تكيف	0.663	0.365	0.609
add	إضافة	0.728	0.490	0.554
added	وأضاف	0.562	0.405	0.509
addendum	إضافة	0.392	0.370	0.418
adder	الجامع	0.388	0.461	0.588
addict	مدمن	0.075	0.696	0.327
addicted	مدمن	0.156	0.712	0.483
addiction	إدمان	0.180	0.806	0.420
addictive	الادمان	0.302	0.683	0.472
addition	إضافة	0.562	0.373	0.471
additional	إضافي	0.673	0.462	0.526
additive	المضافات	0.561	0.633	0.691
address	عنوان	0.650	0.327	0.567
addressee	المرسل اليه	0.622	0.382	0.538
addresses	عناوين	0.510	0.354	0.450
adept	ماهر	0.594	0.539	0.789
adequacy	قدرة	0.615	0.435	0.702
adequate	كاف	0.854	0.264	0.705
adhere	تقيد	0.633	0.339	0.554
