Word	Basque-eu	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abako	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	bertan behera	0.052	0.519	0.245
abandoned	abandonatutako	0.046	0.481	0.130
abandonment	abandono	0.128	0.430	0.202
abashed	lotsatuta	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	murrizteko	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abadia	0.580	0.367	0.444
abbot	abade	0.427	0.321	0.483
abbreviate	laburtu	0.531	0.375	0.330
abbreviation	laburdura	0.469	0.306	0.345
abdomen	abdominalak	0.469	0.462	0.471
abdominal	sabeleko	0.490	0.456	0.445
abduct	abduct	0.173	0.720	0.615
abduction	bahiketa	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberrazio	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	gaitzesten	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	bete beharko	0.635	0.354	0.705
abiding	izkutuko	0.796	0.327	0.750
ability	gaitasuna	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablazioa	0.418	0.500	0.500
ablaze	ablaze	0.240	0.847	0.525
able	ahal	0.786	0.500	0.810
abnormal	anormal	0.137	0.604	0.309
abnormality	Gorabeheraren	0.092	0.655	0.383
aboard	itsasontzian	0.698	0.284	0.481
abode	abode	0.620	0.302	0.500
abolish	indargabetzeko	0.448	0.615	0.529
abolition	indargabetzea	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	nardagarri	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	aborigenen	0.448	0.427	0.542
abort	abortatzeko	0.153	0.686	0.429
abortion	abortua	0.082	0.770	0.283
abortive	abortu	0.090	0.776	0.280
abound	ugariak	0.704	0.490	0.681
abovementioned	aipatutako	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	urradura	0.406	0.592	0.441
abrasive	urratzailea	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	atzerrian	0.677	0.596	0.561
abrogate	indargabetu	0.327	0.510	0.594
abrupt	bortitza	0.271	0.819	0.545
abruptly	bortizki	0.250	0.808	0.556
abscess	absceso	0.154	0.451	0.349
absence	absentzia	0.153	0.235	0.266
absent	absent	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	absentismoa	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	absolutua	0.526	0.510	0.827
absolution	absoluzioa	0.715	0.500	0.664
absolve	absolbitu	0.684	0.449	0.660
absorb	xurgatzen	0.469	0.558	0.670
absorbed	xurgatu	0.490	0.471	0.519
absorbent	xurgatzaile	0.552	0.394	0.718
absorbing	xurgatzeko	0.490	0.490	0.578
absorption	absortzio	0.609	0.422	0.446
abstain	Abstentzioa	0.385	0.385	0.427
abstention	abstentzioa	0.271	0.264	0.509
abstinence	abstinentzia	0.260	0.392	0.429
abstract	abstraktu	0.438	0.292	0.444
abstraction	abstrakzioa	0.469	0.439	0.525
absurd	absurdu	0.188	0.656	0.284
absurdity	zentzugabekeria	0.115	0.528	0.227
abundance	ugaritasuna	0.812	0.690	0.852
abundant	ugaria	0.958	0.590	0.760
abuse	tratu txarrak	0.071	0.873	0.469
abused	neurriz	0.021	0.874	0.235
abusive	gehiegikeri	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	amildegitik	0.353	0.725	0.296
academic	akademikoa	0.781	0.420	0.812
academy	akademia	0.704	0.473	0.792
accede	atxikiko	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	bizkortzea	0.615	0.902	0.759
accelerated	azeleratu	0.610	0.812	0.682
acceleration	azelerazio	0.704	0.905	0.843
accelerator	azeleragailu	0.593	0.830	0.812
accent	azentuarekin	0.598	0.357	0.509
accentuate	areagotu	0.673	0.556	0.667
accept	onartu	0.847	0.286	0.565
acceptable	onargarria	0.812	0.286	0.583
acceptance	onarpena	0.833	0.287	0.755
acceptances	onarpenak	0.847	0.413	0.648
access	sarbidea	0.714	0.472	0.567
accessible	irisgarria	0.796	0.410	0.645
accession	Atxikitze	0.612	0.383	0.636
accessory	osagarri	0.562	0.292	0.445
accident	istripua	0.125	0.908	0.336
accidental	istripuz	0.319	0.784	0.307
accidentally	ustekabean	0.333	0.741	0.333
acclaim	txalotu	0.562	0.809	0.718
accolade	alorrean	0.688	0.591	0.775
accommodate	moldatzeko	0.844	0.375	0.566
accommodation	ostatua	0.817	0.415	0.587
accompaniment	lagundurik	0.740	0.479	0.695
accompany	batera	0.833	0.406	0.585
accompanying	batera doan	0.787	0.460	0.582
accomplice	konplize	0.408	0.580	0.510
accomplish	betetzeko	0.929	0.673	0.816
accomplished	lortzen	0.870	0.520	0.798
accomplishment	lorpen	0.917	0.694	0.888
accord	akordioa	0.898	0.264	0.382
accordance	jarraiki	0.659	0.349	0.600
accordion	akordeoia	0.604	0.490	0.361
account	kontu	0.531	0.347	0.472
accountability	erantzukizun	0.755	0.537	0.833
accountable	kontuak	0.709	0.282	0.777
accountant	kontulari	0.625	0.450	0.639
accounting	kontabilitate	0.552	0.390	0.677
accounts	kontuak	0.592	0.340	0.471
accredited	akreditatu	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	sortuko	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	pilatu	0.573	0.536	0.607
accumulation	metaketa	0.479	0.527	0.600
accuracy	zehaztasun	0.604	0.481	0.802
accurate	zehatza	0.743	0.360	0.737
accursed	madarikatuak	0.135	0.745	0.345
accusation	salaketa	0.073	0.718	0.564
accusative	akusatiboa	0.198	0.755	0.482
accuse	leporatzen	0.133	0.752	0.500
accused	leporatu	0.130	0.670	0.420
accuser	accuser	0.122	0.779	0.615
accusing	salatuz	0.156	0.745	0.324
accustomed	ohituta	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	azetiko	0.333	0.420	0.519
acetylene	azetilenoaren	0.306	0.469	0.509
ache	mina	0.146	0.760	0.312
achieve	lortzea	0.816	0.545	0.843
achieved	lortzen	0.896	0.519	0.775
achievement	lorpen	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	azido	0.265	0.642	0.566
acidity	azidotasun	0.156	0.663	0.360
acknowledge	aitortu	0.786	0.370	0.661
acknowledged	onartu	0.714	0.443	0.765
acknowledgement	errekonozimendua	0.819	0.539	0.830
acknowledgment	errekonozimendua	0.796	0.528	0.777
acme	Acme	0.408	0.435	0.375
acne	aknea	0.167	0.474	0.308
acorn	ezkur	0.448	0.198	0.192
acoustic	akustikoa	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	acquaint	0.646	0.491	0.639
acquaintance	ezagun	0.656	0.290	0.670
acquainted	ezagutu	0.906	0.358	0.632
acquiescence	acquiescence	0.542	0.480	0.554
acquire	eskuratzen	0.833	0.468	0.700
acquiring	eskuratzen	0.735	0.510	0.817
acquisition	eskuratzea	0.698	0.509	0.736
acquisitions	erosketak	0.773	0.660	0.790
acquit	absolbitu	0.583	0.571	0.611
acquittal	absoluzioa	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	jabaria	0.741	0.450	0.528
acres	akre	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	akrilikoa	0.582	0.279	0.420
act	egintza	0.656	0.704	0.735
acting	Ukan	0.698	0.643	0.500
action	ekintza	0.760	0.898	0.802
action figure	ekintza figura	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	aktibatu	0.764	0.650	0.806
activation	aktibazioa	0.781	0.800	0.754
active	aktibo	0.847	0.730	0.731
activist	aktibista	0.531	0.653	0.877
activity	jarduera	0.701	0.660	0.807
actor	aktore	0.653	0.561	0.629
actress	aktorea	0.633	0.556	0.596
actual	benetako	0.729	0.400	0.716
actuality	actuality	0.750	0.464	0.600
actuary	aktuario	0.510	0.404	0.491
acuity	zorroztasun	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	akupuntura	0.531	0.324	0.549
acute	akutua	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	moldatu	0.740	0.355	0.551
adaptable	moldagarria	0.735	0.423	0.641
adaptation	egokitze	0.663	0.365	0.609
add	gehitu	0.728	0.490	0.554
added	gehitu	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	Addictos	0.075	0.696	0.327
addicted	adikzioa	0.156	0.712	0.483
addiction	mendetasuna	0.180	0.806	0.420
addictive	addictive	0.302	0.683	0.472
addition	Horrez	0.562	0.373	0.471
additional	osagarriak	0.673	0.462	0.526
additive	gehigarri	0.561	0.633	0.691
address	helbidea	0.650	0.327	0.567
addressee	hartzaileak	0.622	0.382	0.538
addresses	helbideak	0.510	0.354	0.450
adept	maite	0.594	0.539	0.789
adequacy	egokitasuna	0.615	0.435	0.702
adequate	egokia	0.854	0.264	0.705
adhere	atxikitzen	0.633	0.339	0.554
adherence	atxikimendua	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	atxikitzea	0.612	0.561	0.537
adhesion	atxikidura	0.521	0.445	0.586
