Word	Belarusian-be	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	трубказуб	0.427	0.490	0.437
aback	ззаду	0.385	0.407	0.288
abacus	абака	0.510	0.276	0.485
abalone	марское вушка	0.500	0.480	0.412
abandon	адмовіцца ад	0.052	0.519	0.245
abandoned	закінуты	0.046	0.481	0.130
abandonment	пакіданне	0.128	0.430	0.202
abashed	збянтэжаны	0.177	0.644	0.307
abate	сціхаць	0.255	0.696	0.604
abatement	зніжэнне	0.388	0.338	0.336
abba	авва	0.562	0.500	0.480
abbey	абацтва	0.580	0.367	0.444
abbot	абат	0.427	0.321	0.483
abbreviate	скарачаць	0.531	0.375	0.330
abbreviation	скарачэнне	0.469	0.306	0.345
abdomen	жывот	0.469	0.462	0.471
abdominal	абдамінальны	0.490	0.456	0.445
abduct	выкрадаць	0.173	0.720	0.615
abduction	адвядзенне	0.062	0.990	0.673
aberrant	адхіляцца	0.146	0.765	0.431
aberration	аберацыя	0.125	0.816	0.417
abeyance	латэнтнасьць	0.330	0.510	0.292
abhor	сілкаваць агіду	0.125	0.602	0.349
abhorrence	агіда	0.167	0.684	0.420
abhorrent	агідны	0.229	0.750	0.474
abide	выконваць	0.635	0.354	0.705
abiding	нязменны	0.796	0.327	0.750
ability	здольнасць	0.875	0.510	0.816
abject	прыніжаны	0.354	0.590	0.417
ablation	абляцыя	0.418	0.500	0.500
ablaze	палаць	0.240	0.847	0.525
able	ў стане	0.786	0.500	0.810
abnormal	ненармальны	0.137	0.604	0.309
abnormality	ненармальнасць	0.092	0.655	0.383
aboard	на борце	0.698	0.284	0.481
abode	месцазнаходжанне	0.620	0.302	0.500
abolish	касаваць	0.448	0.615	0.529
abolition	адмена	0.323	0.690	0.529
abominable	агідны	0.120	0.731	0.482
abominate	сілкаваць агіду	0.198	0.788	0.366
abomination	мярзота	0.078	0.755	0.518
aboriginal	абарыгенныя	0.448	0.427	0.542
abort	выкінуць	0.153	0.686	0.429
abortion	аборт	0.082	0.770	0.283
abortive	абартыўны	0.090	0.776	0.280
abound	мець шмат	0.704	0.490	0.681
abovementioned	вышэйзгаданы	0.541	0.298	0.509
abracadabra	абракадабра	0.673	0.632	0.434
abrasion	ізаляцыі	0.406	0.592	0.441
abrasive	абразіўны	0.392	0.610	0.593
abreast	ў шэраг	0.635	0.380	0.519
abroad	за мяжой	0.677	0.596	0.561
abrogate	касаваць	0.327	0.510	0.594
abrupt	круты	0.271	0.819	0.545
abruptly	рэзка	0.250	0.808	0.556
abscess	абсцэс	0.154	0.451	0.349
absence	адсутнасць	0.153	0.235	0.266
absent	адсутны	0.177	0.221	0.116
absentee	адсутны	0.235	0.330	0.279
absenteeism	абсентэізм	0.404	0.273	0.357
absinthe	абсэнт	0.481	0.510	0.462
absolute	абсалютны	0.526	0.510	0.827
absolution	адпушчэнне грахоў	0.715	0.500	0.664
absolve	вызваляць	0.684	0.449	0.660
absorb	абсарбаваць	0.469	0.558	0.670
absorbed	паглынуты	0.490	0.471	0.519
absorbent	абсарбавальныя	0.552	0.394	0.718
absorbing	паглынальны	0.490	0.490	0.578
absorption	паглынанне	0.609	0.422	0.446
abstain	устрымлівацца	0.385	0.385	0.427
abstention	ўстрыманасць	0.271	0.264	0.509
abstinence	абстыненцыя	0.260	0.392	0.429
abstract	анатацыя	0.438	0.292	0.444
abstraction	абстракцыя	0.469	0.439	0.525
absurd	абсурд	0.188	0.656	0.284
absurdity	недарэчнасць	0.115	0.528	0.227
abundance	багацце	0.812	0.690	0.852
abundant	багаты	0.958	0.590	0.760
abuse	злоўжыванне	0.071	0.873	0.469
abused	злоўжывалі	0.021	0.874	0.235
abusive	абразлівы	0.125	0.903	0.567
abutment	устой	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	бяздонны	0.250	0.710	0.598
abyss	бездань	0.353	0.725	0.296
academic	акадэмічны	0.781	0.420	0.812
academy	акадэмія	0.704	0.473	0.792
accede	далучацца	0.698	0.510	0.537
accelerant	паскаральнік	0.643	0.844	0.802
accelerate	паскараць	0.615	0.902	0.759
accelerated	паскораны	0.610	0.812	0.682
acceleration	паскарэнне	0.704	0.905	0.843
accelerator	паскаральнік	0.593	0.830	0.812
accent	акцэнт	0.598	0.357	0.509
accentuate	акцэнтаваць	0.673	0.556	0.667
accept	прымаць	0.847	0.286	0.565
acceptable	прымальны	0.812	0.286	0.583
acceptance	прыняцце	0.833	0.287	0.755
acceptances	акцэпт	0.847	0.413	0.648
access	доступ	0.714	0.472	0.567
accessible	даступнай	0.796	0.410	0.645
accession	далучэнне	0.612	0.383	0.636
accessory	аксэсуар	0.562	0.292	0.445
accident	аварыя	0.125	0.908	0.336
accidental	выпадковы	0.319	0.784	0.307
accidentally	выпадкова	0.333	0.741	0.333
acclaim	шумнае прывітанне	0.562	0.809	0.718
accolade	акколада	0.688	0.591	0.775
accommodate	мясціць	0.844	0.375	0.566
accommodation	жыллё	0.817	0.415	0.587
accompaniment	суправаджэнне	0.740	0.479	0.695
accompany	суправаджаць	0.833	0.406	0.585
accompanying	суправаджальны	0.787	0.460	0.582
accomplice	саўдзельнік	0.408	0.580	0.510
accomplish	выконваць	0.929	0.673	0.816
accomplished	ажыццяўляецца	0.870	0.520	0.798
accomplishment	дасягненне	0.917	0.694	0.888
accord	згоду	0.898	0.264	0.382
accordance	адпаведнасць	0.659	0.349	0.600
accordion	акардэон	0.604	0.490	0.361
account	кошт	0.531	0.347	0.472
accountability	падсправаздачнасць	0.755	0.537	0.833
accountable	падсправаздачны	0.709	0.282	0.777
accountant	бухгалтар	0.625	0.450	0.639
accounting	ўлік	0.552	0.390	0.677
accounts	рахункі	0.592	0.340	0.471
accredited	акрэдытаваны	0.669	0.479	0.768
accretion	зрастанне	0.448	0.519	0.672
accrue	даставацца	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	запасіцца	0.573	0.536	0.607
accumulation	назапашванне	0.479	0.527	0.600
accuracy	дакладнасць	0.604	0.481	0.802
accurate	дакладны	0.743	0.360	0.737
accursed	пракляты	0.135	0.745	0.345
accusation	абвінавачванне	0.073	0.718	0.564
accusative	вінавальны	0.198	0.755	0.482
accuse	вінаваціць	0.133	0.752	0.500
accused	абвінавачваны	0.130	0.670	0.420
accuser	абвінаваўца	0.122	0.779	0.615
accusing	абвінавачванне	0.156	0.745	0.324
accustomed	звыкся	0.542	0.365	0.441
ace	туз	0.643	0.481	0.546
acetic	воцатны	0.333	0.420	0.519
acetylene	ацэтылен	0.306	0.469	0.509
ache	боль	0.146	0.760	0.312
achieve	дасягаць	0.816	0.545	0.843
achieved	дасягнуты	0.896	0.519	0.775
achievement	дасягненне	0.896	0.808	0.759
aching	дасьць хвораму	0.053	0.880	0.348
achy	хворы	0.167	0.840	0.373
acid	кіслата	0.265	0.642	0.566
acidity	кіслотнасць	0.156	0.663	0.360
acknowledge	прызнаваць	0.786	0.370	0.661
acknowledged	прызнаны	0.714	0.443	0.765
acknowledgement	прызнанне	0.819	0.539	0.830
acknowledgment	прызнанне	0.796	0.528	0.777
acme	кульмінацыя	0.408	0.435	0.375
acne	акне	0.167	0.474	0.308
acorn	жолуд	0.448	0.198	0.192
acoustic	акустычнае	0.542	0.462	0.536
acoustics	акустыка	0.611	0.330	0.509
acquaint	знаёміць	0.646	0.491	0.639
acquaintance	знаёмства	0.656	0.290	0.670
acquainted	знаёмы	0.906	0.358	0.632
acquiescence	падатлівасць	0.542	0.480	0.554
acquire	набываць	0.833	0.468	0.700
acquiring	набыццё	0.735	0.510	0.817
acquisition	набыццё	0.698	0.509	0.736
acquisitions	набыцця	0.773	0.660	0.790
acquit	апраўдаць	0.583	0.571	0.611
acquittal	апраўданне	0.760	0.497	0.700
acre	акр	0.583	0.387	0.423
acreage	плошчу	0.741	0.450	0.528
acres	акра	0.510	0.363	0.500
acrobat	акрабат	0.708	0.828	0.602
acrylic	акрыл	0.582	0.279	0.420
act	акт	0.656	0.704	0.735
acting	дзеючы	0.698	0.643	0.500
action	дзеянне	0.760	0.898	0.802
action figure	фігурка	0.615	0.774	0.611
actionable	дзейсныя	0.673	0.702	0.613
activate	актываваць	0.764	0.650	0.806
activation	актывацыя	0.781	0.800	0.754
active	актыўны	0.847	0.730	0.731
activist	актывіст	0.531	0.653	0.877
activity	дзейнасць	0.701	0.660	0.807
actor	акцёр	0.653	0.561	0.629
actress	актрыса	0.633	0.556	0.596
actual	фактычны	0.729	0.400	0.716
actuality	рэчаіснасць	0.750	0.464	0.600
actuary	Актуары	0.510	0.404	0.491
acuity	вастрыня	0.469	0.378	0.741
acumen	кемлівасць	0.564	0.660	0.679
acupuncture	іглаўколванне	0.531	0.324	0.549
acute	востры	0.427	0.652	0.534
acutely	востра	0.417	0.543	0.491
ad	аб'яву	0.521	0.705	0.558
adage	выслоўе	0.517	0.415	0.566
adamant	непахісны	0.344	0.529	0.575
adapt	адаптавацца	0.740	0.355	0.551
adaptable	адаптуюцца	0.735	0.423	0.641
adaptation	адаптацыя	0.663	0.365	0.609
add	дадаваць	0.728	0.490	0.554
added	дабаўленай	0.562	0.405	0.509
addendum	даданне	0.392	0.370	0.418
adder	суматар	0.388	0.461	0.588
addict	наркаман	0.075	0.696	0.327
addicted	схільны	0.156	0.712	0.483
addiction	наркаманія	0.180	0.806	0.420
addictive	прывыканне	0.302	0.683	0.472
addition	прыбаўленне	0.562	0.373	0.471
additional	дадатковы	0.673	0.462	0.526
additive	прысадка	0.561	0.633	0.691
address	адрас	0.650	0.327	0.567
addressee	адрасат	0.622	0.382	0.538
addresses	адрасы	0.510	0.354	0.450
adept	майстэрскі	0.594	0.539	0.789
