Word	Bengali-bn	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	পশ্চাতে	0.385	0.407	0.288
abacus	গণনা-যন্ত্রবিশেষ	0.510	0.276	0.485
abalone	ঝিনুক	0.500	0.480	0.412
abandon	বর্জিত করা	0.052	0.519	0.245
abandoned	পরিত্যক্ত	0.046	0.481	0.130
abandonment	বিসর্জন	0.128	0.430	0.202
abashed	লজ্জিত	0.177	0.644	0.307
abate	ক্ষীণ করা	0.255	0.696	0.604
abatement	উপশম	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	মঠ	0.580	0.367	0.444
abbot	মঠাধ্যক্ষ	0.427	0.321	0.483
abbreviate	খাট করা	0.531	0.375	0.330
abbreviation	সংক্ষেপ	0.469	0.306	0.345
abdomen	উদর	0.469	0.462	0.471
abdominal	উদরিক	0.490	0.456	0.445
abduct	অপহরণ করা	0.173	0.720	0.615
abduction	অপহরণ	0.062	0.990	0.673
aberrant	নীতিভ্রষ্ট	0.146	0.765	0.431
aberration	স্খলন	0.125	0.816	0.417
abeyance	মুলতবি অবস্থা	0.330	0.510	0.292
abhor	ঘৃণাসহকারে পরিহার করা	0.125	0.602	0.349
abhorrence	ন্যক্কার	0.167	0.684	0.420
abhorrent	জঘন্য	0.229	0.750	0.474
abide	মেনে চলা	0.635	0.354	0.705
abiding	স্থায়ী	0.796	0.327	0.750
ability	ক্ষমতা	0.875	0.510	0.816
abject	পতিত	0.354	0.590	0.417
ablation	অপসারণ	0.418	0.500	0.500
ablaze	বহ্নিমান	0.240	0.847	0.525
able	সক্ষম	0.786	0.500	0.810
abnormal	অস্বাভাবিক	0.137	0.604	0.309
abnormality	অস্বাভাবিকতা	0.092	0.655	0.383
aboard	জাহাজের উপরে	0.698	0.284	0.481
abode	গৃহ	0.620	0.302	0.500
abolish	উঠান	0.448	0.615	0.529
abolition	রদ	0.323	0.690	0.529
abominable	জঘন্য	0.120	0.731	0.482
abominate	ঘৃণায় পরিহার করা	0.198	0.788	0.366
abomination	কদর্যতা	0.078	0.755	0.518
aboriginal	আদিবাসী	0.448	0.427	0.542
abort	গর্ভপাত করান	0.153	0.686	0.429
abortion	গর্ভপাত	0.082	0.770	0.283
abortive	ব্যর্থ	0.090	0.776	0.280
abound	উড়া	0.704	0.490	0.681
abovementioned	উপরে উল্লেখিত	0.541	0.298	0.509
abracadabra	অবোধ্য বুলি	0.673	0.632	0.434
abrasion	ঘর্ষণ	0.406	0.592	0.441
abrasive	ঘষিয়া তুলিয়া ফেলিতে সক্ষম	0.392	0.610	0.593
abreast	পাশাপাশি	0.635	0.380	0.519
abroad	বিদেশে	0.677	0.596	0.561
abrogate	উচ্ছেদ করা	0.327	0.510	0.594
abrupt	আকস্মিক	0.271	0.819	0.545
abruptly	হঠাৎ	0.250	0.808	0.556
abscess	ফোড়া	0.154	0.451	0.349
absence	অনুপস্থিতি	0.153	0.235	0.266
absent	অনুপস্থিত	0.177	0.221	0.116
absentee	অনুপস্থিত ব্যক্তি	0.235	0.330	0.279
absenteeism	কর্মক্ষেত্রাদিতে অনুপসি্থত থাকার অভ্যাস	0.404	0.273	0.357
absinthe	বৃক্ষবিশেষ	0.481	0.510	0.462
absolute	পরম	0.526	0.510	0.827
absolution	আত্মসমর্থন	0.715	0.500	0.664
absolve	মুক্তিদান করা	0.684	0.449	0.660
absorb	শোষণ করা	0.469	0.558	0.670
absorbed	শোষিত	0.490	0.471	0.519
absorbent	বিশোষক	0.552	0.394	0.718
absorbing	শোষক	0.490	0.490	0.578
absorption	শোষণ	0.609	0.422	0.446
abstain	বিরত থাকা	0.385	0.385	0.427
abstention	নিবৃত্তি	0.271	0.264	0.509
abstinence	পরিহার	0.260	0.392	0.429
abstract	বিমূর্ত	0.438	0.292	0.444
abstraction	বিমূর্তন	0.469	0.439	0.525
absurd	কিম্ভুতকিমাকার	0.188	0.656	0.284
absurdity	অর্থহীনতা	0.115	0.528	0.227
abundance	প্রাচুর্য	0.812	0.690	0.852
abundant	প্রচুর	0.958	0.590	0.760
abuse	অপব্যবহার	0.071	0.873	0.469
abused	নির্যাতিত	0.021	0.874	0.235
abusive	অবমাননাকর	0.125	0.903	0.567
abutment	মোড়	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	অতল	0.250	0.710	0.598
abyss	রসাতল	0.353	0.725	0.296
academic	কেতাবি	0.781	0.420	0.812
academy	শিক্ষায়তন	0.704	0.473	0.792
accede	গদিলাভ করা	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	দ্রুততর করা	0.615	0.902	0.759
accelerated	দ্রুততর	0.610	0.812	0.682
acceleration	ত্বরণ	0.704	0.905	0.843
accelerator	বেগবর্ধক ব্যক্তি	0.593	0.830	0.812
accent	স্বরাঘাত	0.598	0.357	0.509
accentuate	উচ্চারণ করা	0.673	0.556	0.667
accept	গ্রহণ করা	0.847	0.286	0.565
acceptable	গ্রহণযোগ্য	0.812	0.286	0.583
acceptance	গ্রহণযোগ্যতা	0.833	0.287	0.755
acceptances	স্বীকৃতি	0.847	0.413	0.648
access	প্রবেশ	0.714	0.472	0.567
accessible	প্রবেশযোগ্য	0.796	0.410	0.645
accession	সংযোজন	0.612	0.383	0.636
accessory	আনুষঙ্গিক	0.562	0.292	0.445
accident	দুর্ঘটনা	0.125	0.908	0.336
accidental	আপতিক	0.319	0.784	0.307
accidentally	ঘটনাক্রমে	0.333	0.741	0.333
acclaim	জয়ধ্বনি	0.562	0.809	0.718
accolade	প্রশংসা	0.688	0.591	0.775
accommodate	মিটমাট করা	0.844	0.375	0.566
accommodation	বাসস্থান	0.817	0.415	0.587
accompaniment	সঙ্গত	0.740	0.479	0.695
accompany	সহগমন করা	0.833	0.406	0.585
accompanying	সহচারী	0.787	0.460	0.582
accomplice	যোগদানকারী	0.408	0.580	0.510
accomplish	সাধা	0.929	0.673	0.816
accomplished	সম্পন্ন	0.870	0.520	0.798
accomplishment	সংসাধন	0.917	0.694	0.888
accord	সঙ্গতি	0.898	0.264	0.382
accordance	অনুযায়ী	0.659	0.349	0.600
accordion	বাদ্যযন্ত্রবিশেষ	0.604	0.490	0.361
account	হিসাব	0.531	0.347	0.472
accountability	দায়িত্ব	0.755	0.537	0.833
accountable	দায়ী	0.709	0.282	0.777
accountant	হিসাবরক্ষক	0.625	0.450	0.639
accounting	হিসাবরক্ষণ	0.552	0.390	0.677
accounts	অ্যাকাউন্ট	0.592	0.340	0.471
accredited	নিসৃষ্ঠ	0.669	0.479	0.768
accretion	পুষ্টি	0.448	0.519	0.672
accrue	জমা	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	স্তূপাকার করা	0.573	0.536	0.607
accumulation	আহরণ	0.479	0.527	0.600
accuracy	সঠিকতা	0.604	0.481	0.802
accurate	সঠিক	0.743	0.360	0.737
accursed	অভিশপ্ত	0.135	0.745	0.345
accusation	অভিযোগ	0.073	0.718	0.564
accusative	দ্বিতীয়া-বিভক্তি	0.198	0.755	0.482
accuse	অভিযুক্ত করা	0.133	0.752	0.500
accused	অভিযুক্ত	0.130	0.670	0.420
accuser	ফরিয়াদী	0.122	0.779	0.615
accusing	অভিযুক্ত করলেও	0.156	0.745	0.324
accustomed	অভ্যস্ত	0.542	0.365	0.441
ace	টেক্কা	0.643	0.481	0.546
acetic	সির্কাম্লযুক্ত	0.333	0.420	0.519
acetylene	উজ্জ্বল শিখাযুক্ত বর্ণহীন গ্যাসবিশেষ	0.306	0.469	0.509
ache	ব্যাথা	0.146	0.760	0.312
achieve	অর্জন করা	0.816	0.545	0.843
achieved	অর্জন	0.896	0.519	0.775
achievement	কৃতিত্ব	0.896	0.808	0.759
aching	ধরা	0.053	0.880	0.348
achy	Achy	0.167	0.840	0.373
acid	অ্যাসিড	0.265	0.642	0.566
acidity	অম্লতা	0.156	0.663	0.360
acknowledge	স্বীকার করা	0.786	0.370	0.661
acknowledged	স্বীকৃত	0.714	0.443	0.765
acknowledgement	স্বীকৃতি	0.819	0.539	0.830
acknowledgment	স্বীকৃতি	0.796	0.528	0.777
acme	চূড়া	0.408	0.435	0.375
acne	ব্রণ	0.167	0.474	0.308
acorn	ত্তক্ বৃক্ষের ফল	0.448	0.198	0.192
acoustic	শাব্দ	0.542	0.462	0.536
acoustics	শ্রবণশক্তি	0.611	0.330	0.509
acquaint	পরিচিত করান	0.646	0.491	0.639
acquaintance	জানাশোনা	0.656	0.290	0.670
acquainted	পরিচিত	0.906	0.358	0.632
acquiescence	মৌনসন্মতি	0.542	0.480	0.554
acquire	অর্জন	0.833	0.468	0.700
acquiring	অর্জন	0.735	0.510	0.817
acquisition	অর্জন	0.698	0.509	0.736
acquisitions	অধিগ্রহণ	0.773	0.660	0.790
acquit	নির্দোষ প্রমাণ করা	0.583	0.571	0.611
acquittal	বেকসুর খালাস	0.760	0.497	0.700
acre	ভূসম্পত্তি	0.583	0.387	0.423
acreage	মোট খেতের পরিমাণ	0.741	0.450	0.528
acres	জমি	0.510	0.363	0.500
acrobat	মল্ল	0.708	0.828	0.602
acrylic	এক্রাইলিক	0.582	0.279	0.420
act	আইন	0.656	0.704	0.735
acting	অভিনয়	0.698	0.643	0.500
action	কর্ম	0.760	0.898	0.802
action figure	কর্ম চিত্র	0.615	0.774	0.611
actionable	অভিযোগ্য	0.673	0.702	0.613
activate	সক্রিয় করা	0.764	0.650	0.806
activation	সক্রিয়করণ	0.781	0.800	0.754
active	সক্রিয়	0.847	0.730	0.731
activist	কর্মী	0.531	0.653	0.877
activity	কার্যকলাপ	0.701	0.660	0.807
actor	অভিনেতা	0.653	0.561	0.629
