Word	Bosnian-bs	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abakus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	napuštanje	0.052	0.519	0.245
abandoned	napušteno	0.046	0.481	0.130
abandonment	napuštanje	0.128	0.430	0.202
abashed	ubrzano	0.177	0.644	0.307
abate	smanjiti	0.255	0.696	0.604
abatement	smanjenje	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	opat	0.427	0.321	0.483
abbreviate	skraćeno	0.531	0.375	0.330
abbreviation	skraćenica	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	abdominalna	0.490	0.456	0.445
abduct	otmica	0.173	0.720	0.615
abduction	otmica	0.062	0.990	0.673
aberrant	aberrantan	0.146	0.765	0.431
aberration	aberacija	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	uznemiri se	0.125	0.602	0.349
abhorrence	aborencija	0.167	0.684	0.420
abhorrent	odvratan	0.229	0.750	0.474
abide	pridržavati se	0.635	0.354	0.705
abiding	poštovanje	0.796	0.327	0.750
ability	sposobnost	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablacija	0.418	0.500	0.500
ablaze	plamen	0.240	0.847	0.525
able	sposoban	0.786	0.500	0.810
abnormal	abnormalno	0.137	0.604	0.309
abnormality	abnormalnost	0.092	0.655	0.383
aboard	na brodu	0.698	0.284	0.481
abode	prebivalište	0.620	0.302	0.500
abolish	ukinuti	0.448	0.615	0.529
abolition	ukidanje	0.323	0.690	0.529
abominable	odvratno	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	Aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	abortus	0.082	0.770	0.283
abortive	abortivno	0.090	0.776	0.280
abound	obiluje	0.704	0.490	0.681
abovementioned	gore pomenuto	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrazija	0.406	0.592	0.441
abrasive	abrazivni	0.392	0.610	0.593
abreast	uskoro	0.635	0.380	0.519
abroad	u inostranstvu	0.677	0.596	0.561
abrogate	ukinuti	0.327	0.510	0.594
abrupt	naglo	0.271	0.819	0.545
abruptly	iznenada	0.250	0.808	0.556
abscess	apsces	0.154	0.451	0.349
absence	odsustvo	0.153	0.235	0.266
absent	odsutan	0.177	0.221	0.116
absentee	odsutan	0.235	0.330	0.279
absenteeism	odsustvo	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	apsolutno	0.526	0.510	0.827
absolution	oproštaj	0.715	0.500	0.664
absolve	oslobodi se	0.684	0.449	0.660
absorb	apsorbirati	0.469	0.558	0.670
absorbed	apsorbovan	0.490	0.471	0.519
absorbent	apsorbent	0.552	0.394	0.718
absorbing	apsorbira	0.490	0.490	0.578
absorption	apsorpcija	0.609	0.422	0.446
abstain	apstinirati	0.385	0.385	0.427
abstention	apstinencija	0.271	0.264	0.509
abstinence	apstinencija	0.260	0.392	0.429
abstract	apstraktno	0.438	0.292	0.444
abstraction	apstrakcija	0.469	0.439	0.525
absurd	apsurdno	0.188	0.656	0.284
absurdity	apsurd	0.115	0.528	0.227
abundance	obilje	0.812	0.690	0.852
abundant	obilno	0.958	0.590	0.760
abuse	zloupotreba	0.071	0.873	0.469
abused	zlostavljani	0.021	0.874	0.235
abusive	uvredljiv	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	nespretno	0.250	0.710	0.598
abyss	ponor	0.353	0.725	0.296
academic	akademski	0.781	0.420	0.812
academy	akademija	0.704	0.473	0.792
accede	pristupiti	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	ubrzati	0.615	0.902	0.759
accelerated	ubrzano	0.610	0.812	0.682
acceleration	ubrzanje	0.704	0.905	0.843
accelerator	akcelerator	0.593	0.830	0.812
accent	naglasak	0.598	0.357	0.509
accentuate	naglašavaju	0.673	0.556	0.667
accept	prihvatiti	0.847	0.286	0.565
acceptable	prihvatljivo	0.812	0.286	0.583
acceptance	prihvatanje	0.833	0.287	0.755
acceptances	prihvatanja	0.847	0.413	0.648
access	pristup	0.714	0.472	0.567
accessible	pristupačno	0.796	0.410	0.645
accession	pristupanje	0.612	0.383	0.636
accessory	dodatak	0.562	0.292	0.445
accident	nesreća	0.125	0.908	0.336
accidental	slučajno	0.319	0.784	0.307
accidentally	slučajno	0.333	0.741	0.333
acclaim	priznajem	0.562	0.809	0.718
accolade	priznanje	0.688	0.591	0.775
accommodate	smjestiti	0.844	0.375	0.566
accommodation	smještaj	0.817	0.415	0.587
accompaniment	pratnja	0.740	0.479	0.695
accompany	pratite	0.833	0.406	0.585
accompanying	prateći	0.787	0.460	0.582
accomplice	saučesnik	0.408	0.580	0.510
accomplish	postići	0.929	0.673	0.816
accomplished	ispunjeno	0.870	0.520	0.798
accomplishment	dostignuća	0.917	0.694	0.888
accord	sporazum	0.898	0.264	0.382
accordance	saglasnost	0.659	0.349	0.600
accordion	harmonika	0.604	0.490	0.361
account	račun	0.531	0.347	0.472
accountability	odgovornost	0.755	0.537	0.833
accountable	odgovorni	0.709	0.282	0.777
accountant	računovođa	0.625	0.450	0.639
accounting	računovodstvo	0.552	0.390	0.677
accounts	račune	0.592	0.340	0.471
accredited	akreditovan	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	accrue	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	akumulirati	0.573	0.536	0.607
accumulation	akumulacija	0.479	0.527	0.600
accuracy	tačnost	0.604	0.481	0.802
accurate	tačan	0.743	0.360	0.737
accursed	proklet	0.135	0.745	0.345
accusation	optužba	0.073	0.718	0.564
accusative	akuzativ	0.198	0.755	0.482
accuse	optužuje	0.133	0.752	0.500
accused	optuženi	0.130	0.670	0.420
accuser	optužilac	0.122	0.779	0.615
accusing	optužujući	0.156	0.745	0.324
accustomed	Naviknut	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	sirćetna	0.333	0.420	0.519
acetylene	acetilen	0.306	0.469	0.509
ache	boli	0.146	0.760	0.312
achieve	postići	0.816	0.545	0.843
achieved	postignut	0.896	0.519	0.775
achievement	postignuće	0.896	0.808	0.759
aching	boli	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	kiselina	0.265	0.642	0.566
acidity	kiselost	0.156	0.663	0.360
acknowledge	priznati	0.786	0.370	0.661
acknowledged	priznat	0.714	0.443	0.765
acknowledgement	priznanje	0.819	0.539	0.830
acknowledgment	priznanje	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	akne	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	akustični	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	upoznajte	0.646	0.491	0.639
acquaintance	poznanik	0.656	0.290	0.670
acquainted	upoznati	0.906	0.358	0.632
acquiescence	pristanak	0.542	0.480	0.554
acquire	nabaviti	0.833	0.468	0.700
acquiring	sticanje	0.735	0.510	0.817
acquisition	akvizicija	0.698	0.509	0.736
acquisitions	akvizicije	0.773	0.660	0.790
acquit	osloboditi	0.583	0.571	0.611
acquittal	oslobađajuću presudu	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	površina	0.741	0.450	0.528
acres	ari	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	akril	0.582	0.279	0.420
act	činiti	0.656	0.704	0.735
acting	glumi	0.698	0.643	0.500
action	akcija	0.760	0.898	0.802
action figure	akciona figura	0.615	0.774	0.611
actionable	djelotvorno	0.673	0.702	0.613
activate	aktivirati	0.764	0.650	0.806
activation	aktivacija	0.781	0.800	0.754
active	aktivan	0.847	0.730	0.731
activist	aktivistkinja	0.531	0.653	0.877
activity	aktivnost	0.701	0.660	0.807
actor	glumac	0.653	0.561	0.629
actress	glumica	0.633	0.556	0.596
actual	stvarno	0.729	0.400	0.716
actuality	aktualnost	0.750	0.464	0.600
actuary	aktuar	0.510	0.404	0.491
acuity	ostrva	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	akupunktura	0.531	0.324	0.549
acute	akutni	0.427	0.652	0.534
acutely	akutno	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamantan	0.344	0.529	0.575
adapt	adaptirati	0.740	0.355	0.551
adaptable	prilagodljiv	0.735	0.423	0.641
adaptation	adaptacija	0.663	0.365	0.609
add	dodati	0.728	0.490	0.554
added	dodato	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	sabirnica	0.388	0.461	0.588
addict	zavisnik	0.075	0.696	0.327
addicted	ovisnik	0.156	0.712	0.483
addiction	zavisnost	0.180	0.806	0.420
addictive	zavisnost	0.302	0.683	0.472
addition	dodatak	0.562	0.373	0.471
additional	dodatno	0.673	0.462	0.526
additive	aditiv	0.561	0.633	0.691
address	adresa	0.650	0.327	0.567
addressee	adresu	0.622	0.382	0.538
addresses	adrese	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	adekvatnost	0.615	0.435	0.702
adequate	adekvatno	0.854	0.264	0.705
adhere	Pridržavajte se	0.633	0.339	0.554
adherence	pridržavanje	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	Pridržavati se	0.612	0.561	0.537
adhesion	adhezija	0.521	0.445	0.586
adhesive	lepak	0.604	0.350	0.413
