Word	Catalan-ca	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	sorpresa	0.385	0.407	0.288
abacus	àbac	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	abandonar	0.052	0.519	0.245
abandoned	abandonat	0.046	0.481	0.130
abandonment	abandó	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	reducció	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abadia	0.580	0.367	0.444
abbot	abat	0.427	0.321	0.483
abbreviate	abrevia	0.531	0.375	0.330
abbreviation	abreviatura	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	segrest	0.173	0.720	0.615
abduction	segrest	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberració	0.125	0.816	0.417
abeyance	suspensió	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	aversió	0.167	0.684	0.420
abhorrent	abominable	0.229	0.750	0.474
abide	acatar	0.635	0.354	0.705
abiding	complint	0.796	0.327	0.750
ability	habilitat	0.875	0.510	0.816
abject	abjecte	0.354	0.590	0.417
ablation	ablació	0.418	0.500	0.500
ablaze	incendi	0.240	0.847	0.525
able	capaç	0.786	0.500	0.810
abnormal	anormal	0.137	0.604	0.309
abnormality	anormalitat	0.092	0.655	0.383
aboard	a bord	0.698	0.284	0.481
abode	residència	0.620	0.302	0.500
abolish	abolir	0.448	0.615	0.529
abolition	abolició	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominar	0.198	0.788	0.366
abomination	abominació	0.078	0.755	0.518
aboriginal	aborigen	0.448	0.427	0.542
abort	avortar	0.153	0.686	0.429
abortion	avortament	0.082	0.770	0.283
abortive	abortiu	0.090	0.776	0.280
abound	abunden	0.704	0.490	0.681
abovementioned	anteriorment esmentat	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasió	0.406	0.592	0.441
abrasive	abrasiu	0.392	0.610	0.593
abreast	al corrent	0.635	0.380	0.519
abroad	a l'estranger	0.677	0.596	0.561
abrogate	cancel·lar	0.327	0.510	0.594
abrupt	abrupte	0.271	0.819	0.545
abruptly	bruscament	0.250	0.808	0.556
abscess	abscés	0.154	0.451	0.349
absence	absència	0.153	0.235	0.266
absent	absent	0.177	0.221	0.116
absentee	absent	0.235	0.330	0.279
absenteeism	absentisme	0.404	0.273	0.357
absinthe	absenta	0.481	0.510	0.462
absolute	absolut	0.526	0.510	0.827
absolution	absolució	0.715	0.500	0.664
absolve	absolver	0.684	0.449	0.660
absorb	absorbeix	0.469	0.558	0.670
absorbed	absorbit	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	absorció	0.490	0.490	0.578
absorption	absorció	0.609	0.422	0.446
abstain	abstenir-se	0.385	0.385	0.427
abstention	abstenció	0.271	0.264	0.509
abstinence	abstinència	0.260	0.392	0.429
abstract	resum	0.438	0.292	0.444
abstraction	abstracció	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurd	0.115	0.528	0.227
abundance	abundància	0.812	0.690	0.852
abundant	abundant	0.958	0.590	0.760
abuse	abús	0.071	0.873	0.469
abused	abusat	0.021	0.874	0.235
abusive	abusiu	0.125	0.903	0.567
abutment	pilar	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abismal	0.250	0.710	0.598
abyss	abisme	0.353	0.725	0.296
academic	acadèmic	0.781	0.420	0.812
academy	acadèmia	0.704	0.473	0.792
accede	Accedir	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	accelerar	0.615	0.902	0.759
accelerated	accelerat	0.610	0.812	0.682
acceleration	acceleració	0.704	0.905	0.843
accelerator	accelerador	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	accentuar	0.673	0.556	0.667
accept	acceptar	0.847	0.286	0.565
acceptable	acceptable	0.812	0.286	0.583
acceptance	acceptació	0.833	0.287	0.755
acceptances	acceptacions	0.847	0.413	0.648
access	accés	0.714	0.472	0.567
accessible	accessible	0.796	0.410	0.645
accession	adhesió	0.612	0.383	0.636
accessory	accessori	0.562	0.292	0.445
accident	accident	0.125	0.908	0.336
accidental	accidental	0.319	0.784	0.307
accidentally	accidentalment	0.333	0.741	0.333
acclaim	aclamació	0.562	0.809	0.718
accolade	acolliment	0.688	0.591	0.775
accommodate	acomodar	0.844	0.375	0.566
accommodation	allotjament	0.817	0.415	0.587
accompaniment	acompanyament	0.740	0.479	0.695
accompany	acompanyar	0.833	0.406	0.585
accompanying	acompanyant	0.787	0.460	0.582
accomplice	còmplice	0.408	0.580	0.510
accomplish	aconseguir	0.929	0.673	0.816
accomplished	realitzat	0.870	0.520	0.798
accomplishment	realització	0.917	0.694	0.888
accord	acord	0.898	0.264	0.382
accordance	acord	0.659	0.349	0.600
accordion	acordió	0.604	0.490	0.361
account	compte	0.531	0.347	0.472
accountability	responsabilitat	0.755	0.537	0.833
accountable	responsable	0.709	0.282	0.777
accountant	comptador	0.625	0.450	0.639
accounting	comptabilitat	0.552	0.390	0.677
accounts	comptes	0.592	0.340	0.471
accredited	acreditat	0.669	0.479	0.768
accretion	acreció	0.448	0.519	0.672
accrue	acumular	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	acumular	0.573	0.536	0.607
accumulation	acumulació	0.479	0.527	0.600
accuracy	precisió	0.604	0.481	0.802
accurate	precís	0.743	0.360	0.737
accursed	maldestre	0.135	0.745	0.345
accusation	acusació	0.073	0.718	0.564
accusative	acusatiu	0.198	0.755	0.482
accuse	acusar	0.133	0.752	0.500
accused	acusat	0.130	0.670	0.420
accuser	acusador	0.122	0.779	0.615
accusing	acusant	0.156	0.745	0.324
accustomed	acostumat	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetilè	0.306	0.469	0.509
ache	dolor	0.146	0.760	0.312
achieve	aconseguir	0.816	0.545	0.843
achieved	aconseguit	0.896	0.519	0.775
achievement	assoliment	0.896	0.808	0.759
aching	dolor	0.053	0.880	0.348
achy	adolorit	0.167	0.840	0.373
acid	àcid	0.265	0.642	0.566
acidity	acidesa	0.156	0.663	0.360
acknowledge	reconèixer	0.786	0.370	0.661
acknowledged	reconegut	0.714	0.443	0.765
acknowledgement	reconeixement	0.819	0.539	0.830
acknowledgment	reconeixement	0.796	0.528	0.777
acme	Acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	gla	0.448	0.198	0.192
acoustic	acústic	0.542	0.462	0.536
acoustics	acústica	0.611	0.330	0.509
acquaint	familiaritzar	0.646	0.491	0.639
acquaintance	conegut	0.656	0.290	0.670
acquainted	familiaritzat	0.906	0.358	0.632
acquiescence	aquiescència	0.542	0.480	0.554
acquire	adquirir	0.833	0.468	0.700
acquiring	adquirint	0.735	0.510	0.817
acquisition	adquisició	0.698	0.509	0.736
acquisitions	adquisicions	0.773	0.660	0.790
acquit	absència	0.583	0.571	0.611
acquittal	absolució	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	superfície	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	Acrobat	0.708	0.828	0.602
acrylic	acrílic	0.582	0.279	0.420
act	actuar	0.656	0.704	0.735
acting	actuació	0.698	0.643	0.500
action	acció	0.760	0.898	0.802
action figure	figura d'acció	0.615	0.774	0.611
actionable	accionable	0.673	0.702	0.613
activate	activar	0.764	0.650	0.806
activation	activació	0.781	0.800	0.754
active	actiu	0.847	0.730	0.731
activist	activista	0.531	0.653	0.877
activity	activitat	0.701	0.660	0.807
actor	actor	0.653	0.561	0.629
actress	actriu	0.633	0.556	0.596
actual	actual	0.729	0.400	0.716
actuality	actualitat	0.750	0.464	0.600
actuary	actuari	0.510	0.404	0.491
acuity	agudesa	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuntura	0.531	0.324	0.549
acute	agut	0.427	0.652	0.534
acutely	agudament	0.417	0.543	0.491
ad	anunci	0.521	0.705	0.558
adage	adagi	0.517	0.415	0.566
adamant	ferm	0.344	0.529	0.575
adapt	adaptar	0.740	0.355	0.551
adaptable	adaptable	0.735	0.423	0.641
adaptation	adaptació	0.663	0.365	0.609
add	afegir	0.728	0.490	0.554
added	afegit	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	addicta	0.075	0.696	0.327
addicted	addicta	0.156	0.712	0.483
addiction	adicció	0.180	0.806	0.420
addictive	addictiu	0.302	0.683	0.472
addition	afegit	0.562	0.373	0.471
additional	addicional	0.673	0.462	0.526
additive	additiu	0.561	0.633	0.691
address	adreça	0.650	0.327	0.567
addressee	destinatari	0.622	0.382	0.538
addresses	adreces	0.510	0.354	0.450
adept	adepte	0.594	0.539	0.789
adequacy	adequació	0.615	0.435	0.702
adequate	adequat	0.854	0.264	0.705
adhere	s'adhereixen	0.633	0.339	0.554
adherence	adherència	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	adherir	0.612	0.561	0.537
adhesion	adhesió	0.521	0.445	0.586
adhesive	adhesiu	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipós	0.333	0.350	0.391
adjacency	adjacència	0.365	0.417	0.375
adjacent	adjacent	0.645	0.276	0.536
adjective	adjectiu	0.570	0.316	0.569
adjoining	adjacent	0.520	0.400	0.393
adjourn	ajornar	0.385	0.456	0.475
adjournment	ajornament	0.438	0.510	0.370
