Word	Chinese (Traditional)-zh-TW	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	土豚	0.427	0.490	0.437
aback	嚇了一跳	0.385	0.407	0.288
abacus	算盤	0.510	0.276	0.485
abalone	鮑魚	0.500	0.480	0.412
abandon	放棄	0.052	0.519	0.245
abandoned	棄	0.046	0.481	0.130
abandonment	放棄	0.128	0.430	0.202
abashed	愧	0.177	0.644	0.307
abate	殺	0.255	0.696	0.604
abatement	減排	0.388	0.338	0.336
abba	ABBA	0.562	0.500	0.480
abbey	僧院	0.580	0.367	0.444
abbot	方丈	0.427	0.321	0.483
abbreviate	簡略	0.531	0.375	0.330
abbreviation	縮寫	0.469	0.306	0.345
abdomen	腹部	0.469	0.462	0.471
abdominal	腹部的	0.490	0.456	0.445
abduct	拐	0.173	0.720	0.615
abduction	綁架	0.062	0.990	0.673
aberrant	異常	0.146	0.765	0.431
aberration	像差	0.125	0.816	0.417
abeyance	暫時保留	0.330	0.510	0.292
abhor	痛恨	0.125	0.602	0.349
abhorrence	深惡痛絕	0.167	0.684	0.420
abhorrent	可惡	0.229	0.750	0.474
abide	遵守	0.635	0.354	0.705
abiding	守法	0.796	0.327	0.750
ability	能力	0.875	0.510	0.816
abject	卑劣	0.354	0.590	0.417
ablation	切除	0.418	0.500	0.500
ablaze	熾盛	0.240	0.847	0.525
able	能夠	0.786	0.500	0.810
abnormal	不正常	0.137	0.604	0.309
abnormality	異常	0.092	0.655	0.383
aboard	船上	0.698	0.284	0.481
abode	住所	0.620	0.302	0.500
abolish	廢除	0.448	0.615	0.529
abolition	廢除	0.323	0.690	0.529
abominable	可惡	0.120	0.731	0.482
abominate	鄙棄	0.198	0.788	0.366
abomination	厭惡	0.078	0.755	0.518
aboriginal	土著	0.448	0.427	0.542
abort	退出	0.153	0.686	0.429
abortion	流產	0.082	0.770	0.283
abortive	未遂	0.090	0.776	0.280
abound	盛產	0.704	0.490	0.681
abovementioned	上述	0.541	0.298	0.509
abracadabra	胡言亂語	0.673	0.632	0.434
abrasion	磨損	0.406	0.592	0.441
abrasive	磨料	0.392	0.610	0.593
abreast	並肩	0.635	0.380	0.519
abroad	國外	0.677	0.596	0.561
abrogate	廢除	0.327	0.510	0.594
abrupt	突兀	0.271	0.819	0.545
abruptly	突然	0.250	0.808	0.556
abscess	膿腫	0.154	0.451	0.349
absence	缺席	0.153	0.235	0.266
absent	缺席	0.177	0.221	0.116
absentee	缺席者	0.235	0.330	0.279
absenteeism	曠工	0.404	0.273	0.357
absinthe	苦艾酒	0.481	0.510	0.462
absolute	絕對	0.526	0.510	0.827
absolution	赦免	0.715	0.500	0.664
absolve	開脫	0.684	0.449	0.660
absorb	吸收	0.469	0.558	0.670
absorbed	吸收	0.490	0.471	0.519
absorbent	吸水	0.552	0.394	0.718
absorbing	吸收	0.490	0.490	0.578
absorption	吸收	0.609	0.422	0.446
abstain	避免	0.385	0.385	0.427
abstention	棄權	0.271	0.264	0.509
abstinence	節制	0.260	0.392	0.429
abstract	抽象	0.438	0.292	0.444
abstraction	抽象化	0.469	0.439	0.525
absurd	荒誕	0.188	0.656	0.284
absurdity	荒謬	0.115	0.528	0.227
abundance	豐富	0.812	0.690	0.852
abundant	豐富	0.958	0.590	0.760
abuse	濫用	0.071	0.873	0.469
abused	濫用	0.021	0.874	0.235
abusive	濫用的	0.125	0.903	0.567
abutment	鄰接	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	深	0.250	0.710	0.598
abyss	深淵	0.353	0.725	0.296
academic	學術的	0.781	0.420	0.812
academy	學院	0.704	0.473	0.792
accede	加入	0.698	0.510	0.537
accelerant	促進劑	0.643	0.844	0.802
accelerate	加速	0.615	0.902	0.759
accelerated	加速	0.610	0.812	0.682
acceleration	促進	0.704	0.905	0.843
accelerator	加速器	0.593	0.830	0.812
accent	口音	0.598	0.357	0.509
accentuate	加重	0.673	0.556	0.667
accept	接受	0.847	0.286	0.565
acceptable	接受	0.812	0.286	0.583
acceptance	驗收	0.833	0.287	0.755
acceptances	承兌匯票	0.847	0.413	0.648
access	訪問	0.714	0.472	0.567
accessible	無障礙	0.796	0.410	0.645
accession	加入	0.612	0.383	0.636
accessory	附件	0.562	0.292	0.445
accident	事故	0.125	0.908	0.336
accidental	偶然	0.319	0.784	0.307
accidentally	偶然	0.333	0.741	0.333
acclaim	歡呼	0.562	0.809	0.718
accolade	榮譽	0.688	0.591	0.775
accommodate	容納	0.844	0.375	0.566
accommodation	住所	0.817	0.415	0.587
accompaniment	伴奏	0.740	0.479	0.695
accompany	陪	0.833	0.406	0.585
accompanying	隨同	0.787	0.460	0.582
accomplice	同案犯	0.408	0.580	0.510
accomplish	完成	0.929	0.673	0.816
accomplished	完成	0.870	0.520	0.798
accomplishment	成就	0.917	0.694	0.888
accord	符合	0.898	0.264	0.382
accordance	按照	0.659	0.349	0.600
accordion	手風琴	0.604	0.490	0.361
account	帳戶	0.531	0.347	0.472
accountability	問責	0.755	0.537	0.833
accountable	問責	0.709	0.282	0.777
accountant	會計	0.625	0.450	0.639
accounting	會計	0.552	0.390	0.677
accounts	賬戶	0.592	0.340	0.471
accredited	認可	0.669	0.479	0.768
accretion	積	0.448	0.519	0.672
accrue	累積	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	積累	0.573	0.536	0.607
accumulation	積累	0.479	0.527	0.600
accuracy	準確性	0.604	0.481	0.802
accurate	準確	0.743	0.360	0.737
accursed	詛咒	0.135	0.745	0.345
accusation	指控	0.073	0.718	0.564
accusative	賓格	0.198	0.755	0.482
accuse	告	0.133	0.752	0.500
accused	被告	0.130	0.670	0.420
accuser	原告	0.122	0.779	0.615
accusing	指責	0.156	0.745	0.324
accustomed	慣常的	0.542	0.365	0.441
ace	高手	0.643	0.481	0.546
acetic	醋	0.333	0.420	0.519
acetylene	乙炔	0.306	0.469	0.509
ache	疼痛	0.146	0.760	0.312
achieve	實現	0.816	0.545	0.843
achieved	實現	0.896	0.519	0.775
achievement	成就	0.896	0.808	0.759
aching	疼痛	0.053	0.880	0.348
achy	微弱	0.167	0.840	0.373
acid	酸	0.265	0.642	0.566
acidity	酸度	0.156	0.663	0.360
acknowledge	確認	0.786	0.370	0.661
acknowledged	承認	0.714	0.443	0.765
acknowledgement	承認	0.819	0.539	0.830
acknowledgment	承認	0.796	0.528	0.777
acme	頂點	0.408	0.435	0.375
acne	粉刺	0.167	0.474	0.308
acorn	橡子	0.448	0.198	0.192
acoustic	聲	0.542	0.462	0.536
acoustics	聲學	0.611	0.330	0.509
acquaint	認識	0.646	0.491	0.639
acquaintance	熟人	0.656	0.290	0.670
acquainted	熟悉	0.906	0.358	0.632
acquiescence	默認	0.542	0.480	0.554
acquire	獲得	0.833	0.468	0.700
acquiring	收購	0.735	0.510	0.817
acquisition	獲得	0.698	0.509	0.736
acquisitions	收購	0.773	0.660	0.790
acquit	開釋	0.583	0.571	0.611
acquittal	開釋	0.760	0.497	0.700
acre	英畝	0.583	0.387	0.423
acreage	面積	0.741	0.450	0.528
acres	畝	0.510	0.363	0.500
acrobat	雜技演員	0.708	0.828	0.602
acrylic	丙烯酸樹脂	0.582	0.279	0.420
act	法案	0.656	0.704	0.735
acting	演戲	0.698	0.643	0.500
action	行動	0.760	0.898	0.802
action figure	行動圖	0.615	0.774	0.611
actionable	訴	0.673	0.702	0.613
activate	啟用	0.764	0.650	0.806
activation	激活	0.781	0.800	0.754
active	活性	0.847	0.730	0.731
activist	活動家	0.531	0.653	0.877
activity	活動	0.701	0.660	0.807
actor	演員	0.653	0.561	0.629
actress	演員	0.633	0.556	0.596
actual	實際	0.729	0.400	0.716
actuality	現實	0.750	0.464	0.600
actuary	精算師	0.510	0.404	0.491
acuity	敏銳	0.469	0.378	0.741
acumen	頭腦	0.564	0.660	0.679
acupuncture	針刺	0.531	0.324	0.549
acute	急性	0.427	0.652	0.534
acutely	急性	0.417	0.543	0.491
ad	廣告	0.521	0.705	0.558
adage	諺語	0.517	0.415	0.566
adamant	堅決	0.344	0.529	0.575
adapt	適應	0.740	0.355	0.551
adaptable	適應性強	0.735	0.423	0.641
adaptation	適應	0.663	0.365	0.609
add	加	0.728	0.490	0.554
added	添加	0.562	0.405	0.509
addendum	附錄	0.392	0.370	0.418
adder	加法器	0.388	0.461	0.588
addict	癮君子	0.075	0.696	0.327
addicted	上癮	0.156	0.712	0.483
addiction	癮	0.180	0.806	0.420
addictive	上癮	0.302	0.683	0.472
addition	加成	0.562	0.373	0.471
additional	額外	0.673	0.462	0.526
additive	添加劑	0.561	0.633	0.691
address	地址	0.650	0.327	0.567
addressee	收件人	0.622	0.382	0.538
addresses	地址	0.510	0.354	0.450
adept	拿手	0.594	0.539	0.789
adequacy	充足	0.615	0.435	0.702
adequate	充足	0.854	0.264	0.705
adhere	附著	0.633	0.339	0.554
adherence	附著	0.760	0.307	0.630
adherent	追隨者	0.561	0.385	0.555
adhering	秉承	0.612	0.561	0.537
adhesion	粘著	0.521	0.445	0.586
adhesive	膠粘劑	0.604	0.350	0.413
adieu	再見	0.250	0.471	0.342
adipose	脂肪	0.333	0.350	0.391
adjacency	鄰接	0.365	0.417	0.375
adjacent	鄰	0.645	0.276	0.536
adjective	形容詞	0.570	0.316	0.569
adjoining	隔壁的	0.520	0.400	0.393
adjourn	休會	0.385	0.456	0.475
adjournment	休會	0.438	0.510	0.370
adjudicate	裁定	0.559	0.520	0.683
adjudication	裁決	0.551	0.462	0.691
adjunct	附件	0.459	0.440	0.426
adjust	調整	0.647	0.327	0.638
adjuster	調整	0.510	0.540	0.760
adjustment	調整	0.590	0.520	0.661
adjuvant	輔助	0.510	0.500	0.456
