Word	Czech-cs	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	překvapení	0.385	0.407	0.288
abacus	počitadlo	0.510	0.276	0.485
abalone	ušeň	0.500	0.480	0.412
abandon	opustit	0.052	0.519	0.245
abandoned	opuštěný	0.046	0.481	0.130
abandonment	opuštění	0.128	0.430	0.202
abashed	v rozpacích	0.177	0.644	0.307
abate	snížit	0.255	0.696	0.604
abatement	snížení	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	opatství	0.580	0.367	0.444
abbot	opat	0.427	0.321	0.483
abbreviate	zkrátit	0.531	0.375	0.330
abbreviation	zkratka	0.469	0.306	0.345
abdomen	břicho	0.469	0.462	0.471
abdominal	břišní	0.490	0.456	0.445
abduct	unést	0.173	0.720	0.615
abduction	únos	0.062	0.990	0.673
aberrant	aberantní	0.146	0.765	0.431
aberration	aberace	0.125	0.816	0.417
abeyance	suspenze	0.330	0.510	0.292
abhor	hnusit si	0.125	0.602	0.349
abhorrence	odcizení	0.167	0.684	0.420
abhorrent	odporný	0.229	0.750	0.474
abide	dodržujte	0.635	0.354	0.705
abiding	trvalý	0.796	0.327	0.750
ability	schopnost	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablace	0.418	0.500	0.500
ablaze	ohněm	0.240	0.847	0.525
able	schopný	0.786	0.500	0.810
abnormal	abnormální	0.137	0.604	0.309
abnormality	abnormalita	0.092	0.655	0.383
aboard	na palubě	0.698	0.284	0.481
abode	příbytek	0.620	0.302	0.500
abolish	zrušit	0.448	0.615	0.529
abolition	zrušení	0.323	0.690	0.529
abominable	odporný	0.120	0.731	0.482
abominate	hnusit si	0.198	0.788	0.366
abomination	ohavnost	0.078	0.755	0.518
aboriginal	domorodý	0.448	0.427	0.542
abort	přerušit	0.153	0.686	0.429
abortion	potrat	0.082	0.770	0.283
abortive	neúspěšný	0.090	0.776	0.280
abound	obrovské množství	0.704	0.490	0.681
abovementioned	výše zmíněné	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	oděru	0.406	0.592	0.441
abrasive	abrazivní	0.392	0.610	0.593
abreast	poblíž	0.635	0.380	0.519
abroad	do zahraničí	0.677	0.596	0.561
abrogate	zrušit	0.327	0.510	0.594
abrupt	náhlý	0.271	0.819	0.545
abruptly	náhle	0.250	0.808	0.556
abscess	absces	0.154	0.451	0.349
absence	absence	0.153	0.235	0.266
absent	chybí	0.177	0.221	0.116
absentee	absentující	0.235	0.330	0.279
absenteeism	absentérství	0.404	0.273	0.357
absinthe	absint	0.481	0.510	0.462
absolute	absolutní	0.526	0.510	0.827
absolution	rozhřešení	0.715	0.500	0.664
absolve	osvobodit	0.684	0.449	0.660
absorb	absorbovat	0.469	0.558	0.670
absorbed	absorbováno	0.490	0.471	0.519
absorbent	savý	0.552	0.394	0.718
absorbing	absorbující	0.490	0.490	0.578
absorption	vstřebávání	0.609	0.422	0.446
abstain	zdržet se	0.385	0.385	0.427
abstention	zdržení se hlasování	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	abstraktní	0.438	0.292	0.444
abstraction	abstrakce	0.469	0.439	0.525
absurd	absurdní	0.188	0.656	0.284
absurdity	nesmyslnost	0.115	0.528	0.227
abundance	hojnost	0.812	0.690	0.852
abundant	bohatý	0.958	0.590	0.760
abuse	zneužívání	0.071	0.873	0.469
abused	zneužíváno	0.021	0.874	0.235
abusive	zneužívající	0.125	0.903	0.567
abutment	opěra	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	propastný	0.250	0.710	0.598
abyss	propast	0.353	0.725	0.296
academic	akademický	0.781	0.420	0.812
academy	akademie	0.704	0.473	0.792
accede	přistoupit	0.698	0.510	0.537
accelerant	akcelerátor	0.643	0.844	0.802
accelerate	urychlit	0.615	0.902	0.759
accelerated	zrychlený	0.610	0.812	0.682
acceleration	akcelerace	0.704	0.905	0.843
accelerator	plynový pedál	0.593	0.830	0.812
accent	přízvuk	0.598	0.357	0.509
accentuate	zdůraznit	0.673	0.556	0.667
accept	akceptovat	0.847	0.286	0.565
acceptable	přijatelný	0.812	0.286	0.583
acceptance	přijetí	0.833	0.287	0.755
acceptances	přijetí	0.847	0.413	0.648
access	přístup	0.714	0.472	0.567
accessible	přístupné	0.796	0.410	0.645
accession	přistoupení	0.612	0.383	0.636
accessory	doplněk	0.562	0.292	0.445
accident	nehoda	0.125	0.908	0.336
accidental	náhodný	0.319	0.784	0.307
accidentally	náhodou	0.333	0.741	0.333
acclaim	pozdravovat	0.562	0.809	0.718
accolade	ocenění	0.688	0.591	0.775
accommodate	ubytovat	0.844	0.375	0.566
accommodation	ubytování	0.817	0.415	0.587
accompaniment	doprovod	0.740	0.479	0.695
accompany	doprovázet	0.833	0.406	0.585
accompanying	doprovázející	0.787	0.460	0.582
accomplice	spolupachatel	0.408	0.580	0.510
accomplish	dosáhnout	0.929	0.673	0.816
accomplished	dokonalý	0.870	0.520	0.798
accomplishment	dosažení	0.917	0.694	0.888
accord	souhlas	0.898	0.264	0.382
accordance	souladu	0.659	0.349	0.600
accordion	akordeon	0.604	0.490	0.361
account	účet	0.531	0.347	0.472
accountability	odpovědnost	0.755	0.537	0.833
accountable	odpovědný	0.709	0.282	0.777
accountant	účetní	0.625	0.450	0.639
accounting	účetnictví	0.552	0.390	0.677
accounts	účty	0.592	0.340	0.471
accredited	akreditovat, pověřit, zplnomocnit	0.669	0.479	0.768
accretion	akrece	0.448	0.519	0.672
accrue	nárůst	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	akumulovat	0.573	0.536	0.607
accumulation	akumulace	0.479	0.527	0.600
accuracy	přesnost	0.604	0.481	0.802
accurate	přesný	0.743	0.360	0.737
accursed	prokletý	0.135	0.745	0.345
accusation	obvinění	0.073	0.718	0.564
accusative	akuzativ	0.198	0.755	0.482
accuse	obvinit	0.133	0.752	0.500
accused	obžalovaný	0.130	0.670	0.420
accuser	žalobce	0.122	0.779	0.615
accusing	obvinění	0.156	0.745	0.324
accustomed	zvyklý	0.542	0.365	0.441
ace	eso	0.643	0.481	0.546
acetic	octové	0.333	0.420	0.519
acetylene	acetylén	0.306	0.469	0.509
ache	bolest	0.146	0.760	0.312
achieve	dosáhnout	0.816	0.545	0.843
achieved	dosaženo	0.896	0.519	0.775
achievement	úspěch	0.896	0.808	0.759
aching	bolest	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	kyselina	0.265	0.642	0.566
acidity	kyselost	0.156	0.663	0.360
acknowledge	potvrdit	0.786	0.370	0.661
acknowledged	uznal	0.714	0.443	0.765
acknowledgement	potvrzení	0.819	0.539	0.830
acknowledgment	potvrzení	0.796	0.528	0.777
acme	vrchol	0.408	0.435	0.375
acne	akné	0.167	0.474	0.308
acorn	žalud	0.448	0.198	0.192
acoustic	akustický	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	seznámit	0.646	0.491	0.639
acquaintance	známost	0.656	0.290	0.670
acquainted	seznámit se	0.906	0.358	0.632
acquiescence	souhlas	0.542	0.480	0.554
acquire	získat	0.833	0.468	0.700
acquiring	získání	0.735	0.510	0.817
acquisition	získávání	0.698	0.509	0.736
acquisitions	akvizic	0.773	0.660	0.790
acquit	osvobození	0.583	0.571	0.611
acquittal	osvobození	0.760	0.497	0.700
acre	akr	0.583	0.387	0.423
acreage	výměra	0.741	0.450	0.528
acres	akrů	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akryl	0.582	0.279	0.420
act	akt	0.656	0.704	0.735
acting	herectví	0.698	0.643	0.500
action	akce	0.760	0.898	0.802
action figure	akční figurka	0.615	0.774	0.611
actionable	akční	0.673	0.702	0.613
activate	aktivovat	0.764	0.650	0.806
activation	aktivace	0.781	0.800	0.754
active	aktivní	0.847	0.730	0.731
activist	aktivista	0.531	0.653	0.877
activity	aktivita	0.701	0.660	0.807
actor	herec	0.653	0.561	0.629
actress	herečka	0.633	0.556	0.596
actual	aktuální	0.729	0.400	0.716
actuality	skutečnost	0.750	0.464	0.600
actuary	pojistný matematik	0.510	0.404	0.491
acuity	ostrost	0.469	0.378	0.741
acumen	prozíravost	0.564	0.660	0.679
acupuncture	akupunktura	0.531	0.324	0.549
acute	akutní	0.427	0.652	0.534
acutely	akutně	0.417	0.543	0.491
ad	inzerát	0.521	0.705	0.558
adage	pořekadlo	0.517	0.415	0.566
adamant	neústupný	0.344	0.529	0.575
adapt	přizpůsobit	0.740	0.355	0.551
adaptable	adaptabilní	0.735	0.423	0.641
adaptation	přizpůsobování	0.663	0.365	0.609
add	přidat	0.728	0.490	0.554
added	přidal	0.562	0.405	0.509
addendum	dodatek	0.392	0.370	0.418
adder	zmije	0.388	0.461	0.588
addict	narkoman	0.075	0.696	0.327
addicted	závislý	0.156	0.712	0.483
addiction	závislost	0.180	0.806	0.420
addictive	návykové	0.302	0.683	0.472
addition	přidání	0.562	0.373	0.471
additional	další	0.673	0.462	0.526
additive	přísada	0.561	0.633	0.691
address	adresa	0.650	0.327	0.567
addressee	adresát	0.622	0.382	0.538
addresses	adresy	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	přiměřenost	0.615	0.435	0.702
adequate	odpovídající	0.854	0.264	0.705
adhere	dodržovat	0.633	0.339	0.554
adherence	adherence	0.760	0.307	0.630
adherent	přichycený	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
adhesion	přilnavost	0.521	0.445	0.586
adhesive	lepidlo	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	tukové	0.333	0.350	0.391
