Word	Dutch-nl	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvarken	0.427	0.490	0.437
aback	verrast	0.385	0.407	0.288
abacus	telraam	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	in de steek laten	0.052	0.519	0.245
abandoned	verlaten	0.046	0.481	0.130
abandonment	verlatenheid	0.128	0.430	0.202
abashed	verlegen	0.177	0.644	0.307
abate	verminderen	0.255	0.696	0.604
abatement	vermindering	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abdij	0.580	0.367	0.444
abbot	abt	0.427	0.321	0.483
abbreviate	afkorten	0.531	0.375	0.330
abbreviation	afkorting	0.469	0.306	0.345
abdomen	buik	0.469	0.462	0.471
abdominal	abdominaal	0.490	0.456	0.445
abduct	ontvoeren	0.173	0.720	0.615
abduction	ontvoering	0.062	0.990	0.673
aberrant	afwijkend	0.146	0.765	0.431
aberration	aberratie	0.125	0.816	0.417
abeyance	onbeheerdheid	0.330	0.510	0.292
abhor	verafschuwen	0.125	0.602	0.349
abhorrence	afschuw	0.167	0.684	0.420
abhorrent	weerzinwekkend	0.229	0.750	0.474
abide	vertoeven	0.635	0.354	0.705
abiding	aanhoudend	0.796	0.327	0.750
ability	vermogen	0.875	0.510	0.816
abject	verachtelijk	0.354	0.590	0.417
ablation	verwijdering	0.418	0.500	0.500
ablaze	in lichterlaaie	0.240	0.847	0.525
able	in staat	0.786	0.500	0.810
abnormal	abnormaal	0.137	0.604	0.309
abnormality	afwijking	0.092	0.655	0.383
aboard	aan boord	0.698	0.284	0.481
abode	woonplaats	0.620	0.302	0.500
abolish	afschaffen	0.448	0.615	0.529
abolition	afschaffing	0.323	0.690	0.529
abominable	afschuwelijk	0.120	0.731	0.482
abominate	verfoeien	0.198	0.788	0.366
abomination	gruwel	0.078	0.755	0.518
aboriginal	inheems	0.448	0.427	0.542
abort	afbreken	0.153	0.686	0.429
abortion	abortus	0.082	0.770	0.283
abortive	vruchteloos	0.090	0.776	0.280
abound	rijk zijn	0.704	0.490	0.681
abovementioned	bovenvermelde	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	schuring	0.406	0.592	0.441
abrasive	schurende	0.392	0.610	0.593
abreast	naast elkaar	0.635	0.380	0.519
abroad	Buitenland	0.677	0.596	0.561
abrogate	afschaffen	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	abrupt	0.250	0.808	0.556
abscess	abces	0.154	0.451	0.349
absence	afwezigheid	0.153	0.235	0.266
absent	afwezig	0.177	0.221	0.116
absentee	afwezige	0.235	0.330	0.279
absenteeism	absenteïsme	0.404	0.273	0.357
absinthe	absint	0.481	0.510	0.462
absolute	absoluut	0.526	0.510	0.827
absolution	absolutie	0.715	0.500	0.664
absolve	vrijspreken	0.684	0.449	0.660
absorb	absorberen	0.469	0.558	0.670
absorbed	geabsorbeerd	0.490	0.471	0.519
absorbent	absorbens	0.552	0.394	0.718
absorbing	absorberen	0.490	0.490	0.578
absorption	absorptie	0.609	0.422	0.446
abstain	zich onthouden	0.385	0.385	0.427
abstention	onthouding	0.271	0.264	0.509
abstinence	onthouding	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	abstractie	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurditeit	0.115	0.528	0.227
abundance	overvloed	0.812	0.690	0.852
abundant	overvloedig	0.958	0.590	0.760
abuse	misbruik	0.071	0.873	0.469
abused	misbruikt	0.021	0.874	0.235
abusive	beledigend	0.125	0.903	0.567
abutment	aanrakingspunt	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	onpeilbaar	0.250	0.710	0.598
abyss	afgrond	0.353	0.725	0.296
academic	academische	0.781	0.420	0.812
academy	academie	0.704	0.473	0.792
accede	toetreden	0.698	0.510	0.537
accelerant	katalysator	0.643	0.844	0.802
accelerate	versnellen	0.615	0.902	0.759
accelerated	versneld	0.610	0.812	0.682
acceleration	versnelling	0.704	0.905	0.843
accelerator	gaspedaal	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	accentueren	0.673	0.556	0.667
accept	aanvaarden	0.847	0.286	0.565
acceptable	aanvaardbaar	0.812	0.286	0.583
acceptance	aanvaarding	0.833	0.287	0.755
acceptances	aanvaardingen	0.847	0.413	0.648
access	toegang	0.714	0.472	0.567
accessible	beschikbaar	0.796	0.410	0.645
accession	toetreding	0.612	0.383	0.636
accessory	medeplichtig	0.562	0.292	0.445
accident	ongeval	0.125	0.908	0.336
accidental	onopzettelijk	0.319	0.784	0.307
accidentally	per ongeluk	0.333	0.741	0.333
acclaim	bijval	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	accommoderen	0.844	0.375	0.566
accommodation	accommodatie	0.817	0.415	0.587
accompaniment	begeleiding	0.740	0.479	0.695
accompany	begeleiden	0.833	0.406	0.585
accompanying	begeleidend	0.787	0.460	0.582
accomplice	medeplichtige	0.408	0.580	0.510
accomplish	bereiken	0.929	0.673	0.816
accomplished	volbracht	0.870	0.520	0.798
accomplishment	prestatie	0.917	0.694	0.888
accord	overeenstemming	0.898	0.264	0.382
accordance	overeenstemming	0.659	0.349	0.600
accordion	accordeon	0.604	0.490	0.361
account	account	0.531	0.347	0.472
accountability	verantwoording	0.755	0.537	0.833
accountable	verantwoordelijk	0.709	0.282	0.777
accountant	accountant	0.625	0.450	0.639
accounting	accounting	0.552	0.390	0.677
accounts	rekeningen	0.592	0.340	0.471
accredited	geaccrediteerd	0.669	0.479	0.768
accretion	aanwas	0.448	0.519	0.672
accrue	toenemen	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	accumuleren	0.573	0.536	0.607
accumulation	ophoping	0.479	0.527	0.600
accuracy	nauwkeurigheid	0.604	0.481	0.802
accurate	accuraat	0.743	0.360	0.737
accursed	vervloekt	0.135	0.745	0.345
accusation	beschuldiging	0.073	0.718	0.564
accusative	accusatief	0.198	0.755	0.482
accuse	beschuldigen	0.133	0.752	0.500
accused	verdachte	0.130	0.670	0.420
accuser	aanklager	0.122	0.779	0.615
accusing	beschuldigen	0.156	0.745	0.324
accustomed	gebruikelijk	0.542	0.365	0.441
ace	aas	0.643	0.481	0.546
acetic	azijnzuur	0.333	0.420	0.519
acetylene	acetyleen	0.306	0.469	0.509
ache	pijn	0.146	0.760	0.312
achieve	bereiken	0.816	0.545	0.843
achieved	bereikt	0.896	0.519	0.775
achievement	prestatie	0.896	0.808	0.759
aching	pijnlijke	0.053	0.880	0.348
achy	pijnlijke	0.167	0.840	0.373
acid	zuur	0.265	0.642	0.566
acidity	zuurheid	0.156	0.663	0.360
acknowledge	erkennen	0.786	0.370	0.661
acknowledged	erkend	0.714	0.443	0.765
acknowledgement	erkenning	0.819	0.539	0.830
acknowledgment	erkenning	0.796	0.528	0.777
acme	toppunt	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	eikel-	0.448	0.198	0.192
acoustic	akoestisch	0.542	0.462	0.536
acoustics	akoestiek	0.611	0.330	0.509
acquaint	bekend maken	0.646	0.491	0.639
acquaintance	kennis	0.656	0.290	0.670
acquainted	kennis gemaakt	0.906	0.358	0.632
acquiescence	berusting	0.542	0.480	0.554
acquire	verkrijgen	0.833	0.468	0.700
acquiring	verwerven	0.735	0.510	0.817
acquisition	acquisitie	0.698	0.509	0.736
acquisitions	overnames	0.773	0.660	0.790
acquit	vrijspreken	0.583	0.571	0.611
acquittal	vrijspraak	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	oppervlakte	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobaat	0.708	0.828	0.602
acrylic	acryl	0.582	0.279	0.420
act	handelen	0.656	0.704	0.735
acting	acteren	0.698	0.643	0.500
action	actie	0.760	0.898	0.802
action figure	actiefiguur	0.615	0.774	0.611
actionable	actiegericht	0.673	0.702	0.613
activate	activeren	0.764	0.650	0.806
activation	activering	0.781	0.800	0.754
active	actief	0.847	0.730	0.731
activist	activist	0.531	0.653	0.877
activity	activiteit	0.701	0.660	0.807
actor	acteur	0.653	0.561	0.629
actress	actrice	0.633	0.556	0.596
actual	werkelijk	0.729	0.400	0.716
actuality	actualiteit	0.750	0.464	0.600
actuary	actuaris	0.510	0.404	0.491
acuity	scherpheid	0.469	0.378	0.741
acumen	scherpzinnigheid	0.564	0.660	0.679
acupuncture	acupunctuur	0.531	0.324	0.549
acute	acuut	0.427	0.652	0.534
acutely	acuut	0.417	0.543	0.491
ad	advertentie	0.521	0.705	0.558
adage	gezegde	0.517	0.415	0.566
adamant	onvermurwbaar	0.344	0.529	0.575
adapt	zich aanpassen	0.740	0.355	0.551
adaptable	aanpasbaar	0.735	0.423	0.641
adaptation	aanpassing	0.663	0.365	0.609
add	toevoegen	0.728	0.490	0.554
added	toegevoegd	0.562	0.405	0.509
addendum	bijvoegsel	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	verslaafde	0.075	0.696	0.327
addicted	verslaafd	0.156	0.712	0.483
addiction	verslaving	0.180	0.806	0.420
addictive	verslavend	0.302	0.683	0.472
addition	toevoeging	0.562	0.373	0.471
additional	extra	0.673	0.462	0.526
additive	toevoeging	0.561	0.633	0.691
address	adres	0.650	0.327	0.567
addressee	geadresseerde	0.622	0.382	0.538
addresses	adressen	0.510	0.354	0.450
adept	bedreven	0.594	0.539	0.789
adequacy	toereikendheid	0.615	0.435	0.702
adequate	voldoende	0.854	0.264	0.705
adhere	aanhangen	0.633	0.339	0.554
adherence	aanhankelijkheid	0.760	0.307	0.630
adherent	aanhanger	0.561	0.385	0.555
